日時	HKD/JPY(始値, 買い)	HKD/JPY(高値, 買い)	HKD/JPY(安値, 買い)	HKD/JPY(終値, 買い)	HKD/JPY(始値, 売り)	HKD/JPY(高値, 売り)	HKD/JPY(安値, 売り)	HKD/JPY(終値, 売り)	
2014-02-01T07:00:00	13.152	13.199	12.984	13.098	13.119	13.179	12.964	13.078	
2014-01-25T07:00:00	13.195	13.330	13.124	13.152	13.148	13.311	13.097	13.119	
2014-01-18T07:00:00	13.473	13.524	13.149	13.195	13.419	13.505	13.129	13.148	
2014-01-11T07:00:00	13.446	13.539	13.274	13.473	13.419	13.520	13.254	13.419	
2014-01-04T07:00:00	13.536	13.596	13.400	13.446	13.504	13.574	13.379	13.419	
2013-12-28T07:00:00	13.580	13.608	13.432	13.536	13.542	13.588	13.412	13.504	
2013-12-21T07:00:00	13.445	13.580	13.393	13.580	13.401	13.554	13.373	13.542	
2013-12-14T07:00:00	13.325	13.508	13.231	13.445	13.288	13.483	13.211	13.401	
2013-12-07T07:00:00	13.287	13.412	13.184	13.325	13.253	13.393	13.165	13.288	
2013-11-30T07:00:00	13.233	13.345	13.116	13.287	13.193	13.325	13.096	13.253	
2013-11-23T07:00:00	13.079	13.245	13.055	13.233	13.043	13.225	13.035	13.193	
2013-11-16T07:00:00	12.932	13.083	12.853	13.079	12.908	13.064	12.833	13.043	
2013-11-09T07:00:00	12.796	12.962	12.770	12.932	12.750	12.942	12.750	12.908	
2013-11-02T06:00:00	12.745	12.833	12.602	12.796	12.721	12.814	12.586	12.750	
2013-10-26T06:00:00	12.573	12.759	12.577	12.745	12.546	12.740	12.558	12.721	
2013-10-19T06:00:00	12.623	12.712	12.513	12.573	12.599	12.693	12.493	12.546	
2013-10-12T06:00:00	12.726	12.777	12.592	12.623	12.698	12.758	12.572	12.599	
2013-10-05T06:00:00	12.585	12.726	12.463	12.726	12.554	12.705	12.443	12.698	
2013-09-28T06:00:00	12.689	12.740	12.510	12.585	12.658	12.720	12.490	12.554	
2013-09-21T06:00:00	12.869	12.826	12.660	12.689	12.733	12.809	12.640	12.658	
2013-09-14T06:00:00	12.823	12.872	12.619	12.869	12.800	12.846	12.597	12.733	
2013-09-07T06:00:00	12.805	12.983	12.778	12.823	12.756	12.964	12.758	12.800	
2013-08-31T06:00:00	12.671	12.933	12.684	12.805	12.641	12.912	12.619	12.756	
2013-08-24T06:00:00	12.742	12.761	12.492	12.671	12.713	12.736	12.471	12.641	
2013-08-17T06:00:00	12.596	12.793	12.509	12.742	12.570	12.774	12.489	12.713	
2013-08-10T06:00:00	12.422	12.731	12.379	12.596	12.393	12.711	12.357	12.570	
2013-08-03T06:00:00	12.768	12.793	12.362	12.422	12.739	12.773	12.342	12.393	
2013-07-27T06:00:00	12.683	12.899	12.593	12.768	12.654	12.878	12.573	12.739	
2013-07-20T06:00:00	12.984	13.005	12.639	12.683	12.956	12.959	12.618	12.654	
2013-07-13T06:00:00	12.803	13.011	12.757	12.984	12.776	12.991	12.736	12.956	
2013-07-06T06:00:00	13.065	13.103	12.680	12.803	13.032	13.083	12.635	12.776	
2013-06-29T06:00:00	12.799	13.067	12.795	13.065	12.768	13.043	12.758	13.032	
2013-06-22T06:00:00	12.634	12.831	12.511	12.799	12.600	12.812	12.491	12.768	
2013-06-15T06:00:00	12.146	12.681	12.138	12.634	12.097	12.662	12.109	12.600	
2013-06-08T06:00:00	12.571	12.798	12.088	12.146	12.549	12.778	12.067	12.097	
2013-06-01T06:00:00	12.950	13.000	12.247	12.571	12.928	12.964	12.222	12.549	
2013-05-25T06:00:00	13.061	13.214	12.918	12.950	13.038	13.195	12.898	12.928	
2013-05-18T06:00:00	13.307	13.375	12.977	13.061	13.285	13.355	12.955	13.038	
2013-05-11T06:00:00	13.105	13.317	13.057	13.307	13.083	13.297	13.037	13.285	
2013-05-04T06:00:00	12.773	13.150	12.713	13.105	12.751	13.130	12.693	13.083	
2013-04-27T06:00:00	12.648	12.803	12.509	12.773	12.625	12.784	12.460	12.751	
2013-04-20T06:00:00	12.831	12.876	12.576	12.648	12.809	12.855	12.556	12.625	
2013-04-13T06:00:00	12.688	12.850	12.353	12.831	12.668	12.830	12.328	12.809	
2013-04-06T06:00:00	12.575	12.888	12.575	12.688	12.549	12.868	12.549	12.668	
2013-03-30T06:00:00	12.150	12.609	11.933	12.575	12.110	12.590	11.913	12.549	
2013-03-23T06:00:00	12.185	12.242	12.061	12.150	12.164	12.222	12.039	12.110	
2013-03-16T06:00:00	12.288	12.394	12.121	12.185	12.257	12.374	12.086	12.164	
2013-03-09T07:00:00	12.393	12.477	12.261	12.288	12.370	12.457	12.241	12.257	
2013-03-02T07:00:00	12.079	12.463	11.990	12.393	12.057	12.442	11.970	12.370	
2013-02-23T07:00:00	12.051	12.231	11.724	12.079	12.032	12.207	11.703	12.057	
2013-02-16T07:00:00	12.070	12.159	11.971	12.051	12.046	12.139	11.951	12.032	
2013-02-09T07:00:00	11.970	12.190	11.902	12.070	11.942	12.169	11.882	12.046	
2013-02-02T07:00:00	11.981	12.141	11.873	11.970	11.957	12.120	11.851	11.942	
2013-01-26T07:00:00	11.725	11.996	11.653	11.981	11.704	11.975	11.632	11.957	
2013-01-19T07:00:00	11.628	11.770	11.367	11.725	11.609	11.751	11.348	11.704	
2013-01-12T07:00:00	11.518	11.646	11.334	11.628	11.495	11.626	11.314	11.609	
2013-01-05T07:00:00	11.386	11.548	11.212	11.518	11.364	11.529	11.190	11.495	
2012-12-29T07:00:00	11.103	11.415	11.063	11.386	11.082	11.395	11.040	11.364	
2012-12-22T07:00:00	10.881	11.188	10.881	11.103	10.859	11.166	10.859	11.082	
2012-12-15T07:00:00	10.785	10.927	10.785	10.881	10.765	10.908	10.765	10.859	
2012-12-08T07:00:00	10.655	10.843	10.605	10.785	10.634	10.824	10.586	10.765	
2012-12-01T07:00:00	10.650	10.701	10.554	10.655	10.630	10.677	10.534	10.634	
2012-11-24T07:00:00	10.643	10.686	10.550	10.650	10.619	10.667	10.530	10.630	
2012-11-17T07:00:00	10.500	10.697	10.470	10.643	10.479	10.677	10.450	10.619	
2012-11-10T07:00:00	10.262	10.518	10.229	10.500	10.241	10.499	10.210	10.479	
2012-11-03T06:00:00	10.395	10.404	10.211	10.262	10.374	10.385	10.192	10.241	
2012-10-27T06:00:00	10.287	10.419	10.232	10.395	10.266	10.400	10.201	10.374	
2012-10-20T06:00:00	10.246	10.381	10.230	10.287	10.224	10.361	10.211	10.266	
