日時	JPN225(始値, 買い)	JPN225(高値, 買い)	JPN225(安値, 買い)	JPN225(終値, 買い)	JPN225(始値, 売り)	JPN225(高値, 売り)	JPN225(安値, 売り)	JPN225(終値, 売り)	
2014-02-01T07:00:00	14599	14844	13914	14235	14589	14834	13904	14225	
2014-01-25T07:00:00	14946	15374	14584	14599	14936	15364	14574	14589	
2014-01-18T07:00:00	15747	15955	14934	14946	15727	15945	14924	14936	
2014-01-11T07:00:00	15828	15943	15325	15747	15818	15933	15315	15727	
2014-01-04T07:00:00	16048	16125	15703	15828	16028	16105	15683	15818	
2013-12-28T07:00:00	16270	16318	15843	16048	16250	16298	15823	16028	
2013-12-21T07:00:00	15908	16298	15853	16270	15888	16278	15833	16250	
2013-12-14T07:00:00	15467	15915	15156	15908	15442	15895	15136	15888	
2013-12-07T07:00:00	15548	15708	15235	15467	15528	15688	15215	15442	
2013-11-30T07:00:00	15692	15847	15057	15548	15672	15827	15037	15528	
2013-11-23T07:00:00	15529	15747	15392	15692	15509	15727	15372	15672	
2013-11-16T07:00:00	15314	15602	15027	15529	15294	15582	15007	15509	
2013-11-09T07:00:00	14245	15377	14204	15314	14225	15357	14184	15294	
2013-11-02T06:00:00	14303	14413	13883	14245	14283	14393	13863	14225	
2013-10-26T06:00:00	14208	14583	14118	14303	14188	14563	14098	14283	
2013-10-19T06:00:00	14603	14823	14093	14208	14583	14803	14073	14188	
2013-10-12T06:00:00	14540	14675	14288	14603	14520	14655	14268	14583	
2013-10-05T06:00:00	14188	14543	13728	14540	14168	14523	13708	14520	
2013-09-28T06:00:00	14620	14653	13933	14188	14600	14633	13913	14168	
2013-09-21T06:00:00	14705	14848	14398	14620	14675	14828	14378	14600	
2013-09-14T06:00:00	14423	14923	14295	14705	14403	14903	14275	14675	
2013-09-07T06:00:00	13850	14598	14118	14423	13830	14578	14098	14403	
2013-08-31T06:00:00	13323	14178	13418	13850	13303	14158	13398	13830	
2013-08-24T06:00:00	13740	13780	13180	13323	13720	13760	13160	13303	
2013-08-17T06:00:00	13620	13798	13223	13740	13590	13778	13203	13720	
2013-08-10T06:00:00	13523	14053	13385	13620	13503	14033	13365	13590	
2013-08-03T06:00:00	14295	14390	13363	13523	14275	14370	13343	13503	
2013-07-27T06:00:00	13925	14508	13483	14295	13905	14488	13463	14275	
2013-07-20T06:00:00	14818	14875	13828	13925	14798	14845	13808	13905	
2013-07-13T06:00:00	14513	14983	14408	14818	14493	14963	14388	14798	
2013-07-06T06:00:00	14428	14595	14075	14513	14398	14565	14045	14493	
2013-06-29T06:00:00	13713	14458	13578	14428	13683	14428	13548	14398	
2013-06-22T06:00:00	13348	13793	12760	13713	13318	13763	12730	13683	
2013-06-15T06:00:00	12488	13493	12508	13348	12468	13463	12478	13318	
2013-06-08T06:00:00	13153	13733	12393	12488	13123	13703	12373	12468	
2013-06-01T06:00:00	13455	13753	12313	13243	13435	13733	12283	13213	
2013-05-25T06:00:00	14323	14688	13418	13455	14293	14658	13398	13435	
2013-05-18T06:00:00	15348	15988	13995	14323	15338	15978	13975	14293	
2013-05-11T06:00:00	14763	15388	14723	15348	14753	15378	14713	15338	
2013-05-04T06:00:00	14153	14793	14060	14763	14143	14783	14050	14753	
2013-04-27T06:00:00	13783	14213	13645	14153	13773	14203	13635	14143	
2013-04-20T06:00:00	13592	14043	13473	13783	13582	14033	13463	13773	
2013-04-13T06:00:00	13383	13603	12945	13592	13373	13593	12935	13582	
2013-04-06T06:00:00	13108	13533	13095	13383	13093	13523	13080	13373	
2013-03-30T06:00:00	12410	13248	11800	13108	12395	13233	11785	13093	
2013-03-23T06:00:00	12495	12610	12283	12410	12480	12595	12268	12395	
2013-03-16T06:00:00	12461	12695	12223	12495	12446	12680	12208	12480	
2013-03-09T07:00:00	12431	12561	12211	12461	12416	12546	12196	12446	
2013-03-02T07:00:00	11718	12466	11628	12431	11703	12451	11613	12416	
2013-02-23T07:00:00	11500	11743	11113	11718	11485	11728	11098	11703	
2013-02-16T07:00:00	11318	11565	11175	11500	11303	11550	11160	11485	
2013-02-09T07:00:00	11155	11473	11073	11318	11140	11458	11058	11303	
