日時	NOK/JPY(始値, 買い)	NOK/JPY(高値, 買い)	NOK/JPY(安値, 買い)	NOK/JPY(終値, 買い)	NOK/JPY(始値, 売り)	NOK/JPY(高値, 売り)	NOK/JPY(安値, 売り)	NOK/JPY(終値, 売り)	
2014-02-01T07:00:00	16.312	16.341	16.033	16.309	16.220	16.299	15.994	16.269	
2014-01-25T07:00:00	16.687	16.908	16.222	16.312	16.624	16.869	16.182	16.220	
2014-01-18T07:00:00	16.972	17.098	16.608	16.687	16.904	17.060	16.567	16.624	
2014-01-11T07:00:00	17.007	17.178	16.811	16.972	16.914	17.125	16.769	16.904	
2014-01-04T07:00:00	17.060	17.080	16.848	17.007	16.964	17.034	16.809	16.914	
2013-12-28T07:00:00	17.169	17.372	16.898	17.060	17.014	17.330	16.852	16.964	
2013-12-21T07:00:00	16.922	17.257	16.850	17.169	16.826	17.215	16.808	17.014	
2013-12-14T07:00:00	16.735	17.066	16.617	16.922	16.645	17.027	16.570	16.826	
2013-12-07T07:00:00	16.794	16.924	16.602	16.735	16.695	16.853	16.562	16.645	
2013-11-30T07:00:00	16.780	16.903	16.466	16.794	16.657	16.864	16.427	16.695	
2013-11-23T07:00:00	16.763	16.883	16.558	16.780	16.656	16.836	16.520	16.657	
2013-11-16T07:00:00	16.430	16.763	16.282	16.763	16.339	16.701	16.235	16.656	
2013-11-09T07:00:00	16.229	16.450	15.987	16.430	16.038	16.400	15.948	16.339	
2013-11-02T06:00:00	16.578	16.644	16.022	16.229	16.493	16.607	15.978	16.038	
2013-10-26T06:00:00	16.573	16.772	16.439	16.578	16.498	16.734	16.343	16.493	
2013-10-19T06:00:00	16.583	16.720	16.435	16.573	16.529	16.665	16.392	16.498	
2013-10-12T06:00:00	16.458	16.611	16.301	16.583	16.383	16.570	16.253	16.529	
2013-10-05T06:00:00	16.363	16.463	16.103	16.458	16.279	16.405	16.054	16.383	
2013-09-28T06:00:00	16.451	16.524	16.157	16.363	16.367	16.438	16.118	16.279	
2013-09-21T06:00:00	16.762	16.866	16.302	16.451	16.701	16.793	16.262	16.367	
2013-09-14T06:00:00	16.766	17.248	16.705	16.762	16.705	17.202	16.621	16.701	
2013-09-07T06:00:00	16.339	17.007	16.346	16.766	16.150	16.961	16.307	16.705	
2013-08-31T06:00:00	16.100	16.498	16.093	16.339	16.011	16.445	16.018	16.150	
2013-08-24T06:00:00	16.432	16.463	16.012	16.100	16.341	16.413	15.922	16.011	
2013-08-17T06:00:00	16.547	16.626	16.059	16.432	16.442	16.587	16.007	16.341	
2013-08-10T06:00:00	16.479	16.758	16.407	16.547	16.385	16.720	16.366	16.442	
2013-08-03T06:00:00	16.712	16.758	16.240	16.479	16.630	16.688	16.201	16.385	
2013-07-27T06:00:00	16.668	16.798	16.439	16.712	16.590	16.758	16.380	16.630	
