日時	NZD/CAD(始値, 買い)	NZD/CAD(高値, 買い)	NZD/CAD(安値, 買い)	NZD/CAD(終値, 買い)	NZD/CAD(始値, 売り)	NZD/CAD(高値, 売り)	NZD/CAD(安値, 売り)	NZD/CAD(終値, 売り)	
2014-02-01T07:00:00	0.90080	0.91530	0.89417	0.91117	0.89837	0.91470	0.89390	0.91085	
2014-01-25T07:00:00	0.91119	0.92604	0.89788	0.90080	0.90936	0.92567	0.89755	0.89837	
2014-01-18T07:00:00	0.90672	0.92860	0.89976	0.91119	0.90440	0.92827	0.89928	0.90936	
2014-01-11T07:00:00	0.90595	0.92113	0.90403	0.90672	0.90409	0.92086	0.90336	0.90440	
2014-01-04T07:00:00	0.88111	0.90634	0.87649	0.90595	0.87879	0.90612	0.87617	0.90409	
2013-12-28T07:00:00	0.87442	0.88339	0.86670	0.88111	0.87213	0.88311	0.86629	0.87879	
2013-12-21T07:00:00	0.87280	0.87628	0.86617	0.87442	0.87037	0.87600	0.86584	0.87213	
2013-12-14T07:00:00	0.87668	0.88414	0.87037	0.87280	0.87437	0.88320	0.87007	0.87037	
2013-12-07T07:00:00	0.88251	0.88665	0.87075	0.87668	0.88019	0.88627	0.87047	0.87437	
2013-11-30T07:00:00	0.86433	0.88425	0.86615	0.88251	0.86234	0.88392	0.86583	0.88019	
2013-11-23T07:00:00	0.86320	0.87070	0.85694	0.86433	0.86079	0.87040	0.85663	0.86234	
2013-11-16T07:00:00	0.87132	0.87833	0.85625	0.86320	0.86960	0.87751	0.85597	0.86079	
2013-11-09T07:00:00	0.86559	0.87304	0.85775	0.87132	0.86318	0.87248	0.85730	0.86960	
2013-11-02T06:00:00	0.86252	0.87848	0.85971	0.86559	0.86020	0.87821	0.85892	0.86318	
2013-10-26T06:00:00	0.86644	0.87038	0.85746	0.86252	0.86453	0.87002	0.85713	0.86020	
2013-10-19T06:00:00	0.87627	0.87790	0.86344	0.86644	0.87433	0.87764	0.86317	0.86453	
2013-10-12T06:00:00	0.86323	0.87764	0.86052	0.87627	0.86110	0.87739	0.85872	0.87433	
2013-10-05T06:00:00	0.85774	0.86912	0.85361	0.86323	0.85543	0.86791	0.85334	0.86110	
2013-09-28T06:00:00	0.85432	0.86271	0.84805	0.85774	0.85201	0.86206	0.84755	0.85543	
2013-09-21T06:00:00	0.86335	0.86387	0.84748	0.85432	0.86142	0.86356	0.84719	0.85201	
2013-09-14T06:00:00	0.84256	0.86382	0.84207	0.86335	0.84146	0.86356	0.84029	0.86142	
2013-09-07T06:00:00	0.83365	0.84419	0.82885	0.84256	0.83135	0.84392	0.82853	0.84146	
2013-08-31T06:00:00	0.81522	0.83462	0.81565	0.83365	0.81338	0.83424	0.81445	0.83135	
2013-08-24T06:00:00	0.82090	0.82819	0.81202	0.81522	0.81871	0.82793	0.81170	0.81338	
2013-08-17T06:00:00	0.83852	0.84293	0.81908	0.82090	0.83653	0.84275	0.81871	0.81871	
2013-08-10T06:00:00	0.82784	0.84118	0.82090	0.83852	0.82558	0.84083	0.82061	0.83653	
2013-08-03T06:00:00	0.81480	0.83452	0.80503	0.82784	0.81406	0.83408	0.80297	0.82558	
2013-07-27T06:00:00	0.83116	0.83183	0.81074	0.81480	0.83011	0.83119	0.81040	0.81406	
2013-07-20T06:00:00	0.82289	0.83268	0.81600	0.83116	0.82103	0.83228	0.81567	0.83011	
2013-07-13T06:00:00	0.80966	0.82890	0.80659	0.82289	0.80764	0.82839	0.80621	0.82103	
2013-07-06T06:00:00	0.81606	0.83032	0.80581	0.80966	0.81432	0.83004	0.80554	0.80764	
2013-06-29T06:00:00	0.81477	0.82682	0.81263	0.81606	0.81348	0.82641	0.81114	0.81432	
2013-06-22T06:00:00	0.81204	0.82292	0.80975	0.81477	0.80959	0.82255	0.80936	0.81348	
