日時	NZD/CHF(始値, 買い)	NZD/CHF(高値, 買い)	NZD/CHF(安値, 買い)	NZD/CHF(終値, 買い)	NZD/CHF(始値, 売り)	NZD/CHF(高値, 売り)	NZD/CHF(安値, 売り)	NZD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.73336	0.74694	0.72638	0.74516	0.73100	0.74609	0.72603	0.74480	
2014-01-25T07:00:00	0.73518	0.74669	0.72966	0.73336	0.73349	0.74634	0.72931	0.73100	
2014-01-18T07:00:00	0.75304	0.76041	0.73278	0.73518	0.75059	0.76009	0.73234	0.73349	
2014-01-11T07:00:00	0.75034	0.76129	0.74750	0.75304	0.74804	0.76013	0.74686	0.75059	
2014-01-04T07:00:00	0.74979	0.75720	0.74434	0.75034	0.74838	0.75685	0.74340	0.74804	
2013-12-28T07:00:00	0.72816	0.75184	0.72465	0.74979	0.72578	0.75151	0.72421	0.74838	
2013-12-21T07:00:00	0.73594	0.73694	0.71952	0.72816	0.73351	0.73588	0.71899	0.72578	
2013-12-14T07:00:00	0.73577	0.73901	0.72674	0.73594	0.73451	0.73828	0.72611	0.73351	
2013-12-07T07:00:00	0.73985	0.74289	0.72733	0.73577	0.73784	0.74252	0.72698	0.73451	
2013-11-30T07:00:00	0.73785	0.74730	0.73068	0.73985	0.73645	0.74699	0.73023	0.73784	
2013-11-23T07:00:00	0.74380	0.75259	0.73167	0.73785	0.74234	0.75227	0.73135	0.73645	
2013-11-16T07:00:00	0.76367	0.76904	0.73936	0.74380	0.76203	0.76839	0.73901	0.74234	
2013-11-09T07:00:00	0.76120	0.76484	0.75028	0.76367	0.75889	0.76450	0.74986	0.76203	
2013-11-02T06:00:00	0.75473	0.77313	0.75218	0.76120	0.75260	0.77288	0.75177	0.75889	
2013-10-26T06:00:00	0.74001	0.75513	0.73851	0.75473	0.73820	0.75441	0.73796	0.75260	
2013-10-19T06:00:00	0.76809	0.76800	0.73860	0.74001	0.76626	0.76769	0.73820	0.73820	
2013-10-12T06:00:00	0.76059	0.77159	0.75463	0.76809	0.75858	0.77130	0.75283	0.76626	
2013-10-05T06:00:00	0.75575	0.76116	0.74616	0.76059	0.75371	0.76089	0.74581	0.75858	
2013-09-28T06:00:00	0.75115	0.75646	0.74149	0.75575	0.74899	0.75611	0.74113	0.75371	
2013-09-21T06:00:00	0.76322	0.76510	0.74566	0.75115	0.76096	0.76476	0.74530	0.74899	
2013-09-14T06:00:00	0.75638	0.76823	0.75632	0.76322	0.75499	0.76789	0.75417	0.76096	
2013-09-07T06:00:00	0.75057	0.76248	0.74578	0.75638	0.74852	0.76216	0.74543	0.75499	
2013-08-31T06:00:00	0.71920	0.75535	0.72119	0.75057	0.71679	0.75494	0.72014	0.74852	
2013-08-24T06:00:00	0.72067	0.72688	0.71112	0.71920	0.71859	0.72654	0.71062	0.71679	
2013-08-17T06:00:00	0.75173	0.75685	0.71709	0.72067	0.74945	0.75654	0.71674	0.71859	
2013-08-10T06:00:00	0.74263	0.75707	0.73868	0.75173	0.74039	0.75674	0.73831	0.74945	
2013-08-03T06:00:00	0.72891	0.74349	0.71734	0.74263	0.72811	0.74310	0.71533	0.74039	
2013-07-27T06:00:00	0.75101	0.75233	0.72592	0.72891	0.74991	0.75201	0.72554	0.72811	
2013-07-20T06:00:00	0.74724	0.75425	0.74150	0.75101	0.74550	0.75393	0.74115	0.74991	
2013-07-13T06:00:00	0.73688	0.75284	0.73670	0.74724	0.73478	0.75247	0.73534	0.74550	
2013-07-06T06:00:00	0.74389	0.76687	0.73536	0.73688	0.74208	0.76649	0.73478	0.73478	
2013-06-29T06:00:00	0.73233	0.75354	0.73001	0.74389	0.73052	0.75245	0.72840	0.74208	
2013-06-22T06:00:00	0.72563	0.74282	0.71905	0.73233	0.72349	0.74213	0.71870	0.73052	
2013-06-15T06:00:00	0.74163	0.74858	0.71630	0.72563	0.74003	0.74826	0.71585	0.72349	
2013-06-08T06:00:00	0.73807	0.75108	0.71971	0.74163	0.73613	0.75075	0.71937	0.74003	
2013-06-01T06:00:00	0.76081	0.77009	0.73481	0.73807	0.75845	0.76977	0.73429	0.73613	
2013-05-25T06:00:00	0.77848	0.79174	0.75908	0.76081	0.77647	0.79047	0.75807	0.75845	
2013-05-18T06:00:00	0.78500	0.79644	0.77559	0.77848	0.78375	0.79611	0.77511	0.77647	
2013-05-11T06:00:00	0.79542	0.79983	0.78111	0.78500	0.79457	0.79957	0.78069	0.78375	
2013-05-04T06:00:00	0.79872	0.80087	0.78341	0.79542	0.79765	0.80057	0.78307	0.79457	
2013-04-27T06:00:00	0.80052	0.80402	0.78562	0.79872	0.79927	0.80367	0.78531	0.79765	
2013-04-20T06:00:00	0.78707	0.80854	0.78116	0.80052	0.78539	0.80836	0.77975	0.79927	
2013-04-13T06:00:00	0.79702	0.79702	0.78000	0.78707	0.79576	0.79647	0.77965	0.78539	
2013-04-06T06:00:00	0.78892	0.80836	0.78482	0.79702	0.78750	0.80807	0.78442	0.79576	
2013-03-30T06:00:00	0.79555	0.80243	0.78303	0.78892	0.79328	0.80217	0.78270	0.78750	
2013-03-23T06:00:00	0.78683	0.80009	0.78212	0.79555	0.78577	0.79977	0.78155	0.79328	
2013-03-16T06:00:00	0.77716	0.79060	0.77492	0.78683	0.77647	0.79036	0.77424	0.78577	
2013-03-09T07:00:00	0.78332	0.78909	0.77332	0.77716	0.78123	0.78763	0.77297	0.77647	
2013-03-02T07:00:00	0.77863	0.78875	0.77273	0.78332	0.77767	0.78847	0.77241	0.78123	
2013-02-23T07:00:00	0.77912	0.78159	0.76532	0.77863	0.77834	0.78120	0.76502	0.77767	
2013-02-16T07:00:00	0.77952	0.78366	0.77026	0.77912	0.77769	0.78337	0.76996	0.77834	
2013-02-09T07:00:00	0.76748	0.78682	0.76201	0.77952	0.76694	0.78649	0.76167	0.77769	
2013-02-02T07:00:00	0.76764	0.77228	0.75778	0.76748	0.76664	0.77190	0.75744	0.76694	
2013-01-26T07:00:00	0.77677	0.77677	0.75634	0.76764	0.77565	0.77628	0.75599	0.76664	
2013-01-19T07:00:00	0.78193	0.78602	0.77314	0.77677	0.78102	0.78573	0.77280	0.77565	
2013-01-12T07:00:00	0.76496	0.78711	0.76418	0.78193	0.76400	0.78678	0.76355	0.78102	
2013-01-05T07:00:00	0.76947	0.78040	0.76336	0.76496	0.76869	0.78004	0.76301	0.76400	
2012-12-29T07:00:00	0.74913	0.77095	0.74913	0.76947	0.74835	0.77056	0.74821	0.76869	
2012-12-22T07:00:00	0.75506	0.75662	0.74464	0.74913	0.75409	0.75590	0.74417	0.74835	
2012-12-15T07:00:00	0.77730	0.77813	0.75229	0.75506	0.77644	0.77781	0.75187	0.75409	
2012-12-08T07:00:00	0.77884	0.78425	0.77572	0.77730	0.77794	0.78396	0.77539	0.77644	
2012-12-01T07:00:00	0.76161	0.78067	0.75740	0.77884	0.76089	0.78035	0.75703	0.77794	
2012-11-24T07:00:00	0.76496	0.76788	0.75873	0.76161	0.76399	0.76755	0.75838	0.76089	
2012-11-17T07:00:00	0.76861	0.77249	0.76165	0.76496	0.76795	0.77214	0.76130	0.76399	
2012-11-10T07:00:00	0.77307	0.77869	0.76177	0.76861	0.77155	0.77836	0.76112	0.76795	
2012-11-03T06:00:00	0.77635	0.78389	0.76946	0.77307	0.77575	0.78355	0.76909	0.77155	
2012-10-27T06:00:00	0.76985	0.78203	0.76234	0.77635	0.76853	0.77959	0.76199	0.77575	
2012-10-20T06:00:00	0.75775	0.77047	0.75580	0.76985	0.75670	0.77016	0.75545	0.76853	
2012-10-13T06:00:00	0.76204	0.76545	0.75284	0.75775	0.76155	0.76515	0.75214	0.75670	
2012-10-06T06:00:00	0.76006	0.77119	0.75999	0.76204	0.75940	0.77090	0.75838	0.76155	
2012-09-29T06:00:00	0.78035	0.78165	0.75865	0.76006	0.77945	0.78125	0.75818	0.75940	
2012-09-22T06:00:00	0.77305	0.78204	0.76697	0.78035	0.77245	0.78173	0.76665	0.77945	
2012-09-15T06:00:00	0.76925	0.77765	0.76401	0.77305	0.76845	0.77735	0.76351	0.77245	
2012-09-08T06:00:00	0.76729	0.78065	0.76384	0.76925	0.76620	0.78027	0.76340	0.76845	
2012-09-01T06:00:00	0.76827	0.77054	0.75602	0.76729	0.76639	0.77021	0.75572	0.76620	
2012-08-25T06:00:00	0.77932	0.78107	0.76308	0.76827	0.77764	0.77994	0.76277	0.76639	
2012-08-18T06:00:00	0.78762	0.78952	0.77570	0.77932	0.78503	0.78922	0.77444	0.77764	
2012-08-11T06:00:00	0.79517	0.79540	0.78330	0.78762	0.79443	0.79443	0.78297	0.78503	
2012-08-04T06:00:00	0.79597	0.79947	0.78746	0.79517	0.79330	0.79864	0.78712	0.79443	
2012-07-28T06:00:00	0.79064	0.80284	0.78876	0.79597	0.78912	0.80256	0.78826	0.79330	
2012-07-21T06:00:00	0.79025	0.79299	0.77775	0.79064	0.78923	0.79065	0.77730	0.78912	
2012-07-14T06:00:00	0.78123	0.79112	0.77736	0.79025	0.77935	0.79047	0.77692	0.78923	
2012-07-07T06:00:00	0.78040	0.78356	0.77466	0.78123	0.77912	0.78318	0.77422	0.77935	
2012-06-30T06:00:00	0.76055	0.78152	0.75949	0.78040	0.75954	0.78114	0.75759	0.77912	
2012-06-23T06:00:00	0.75574	0.76602	0.75357	0.76055	0.75429	0.76564	0.75311	0.75954	
2012-06-16T06:00:00	0.74946	0.76067	0.74651	0.75574	0.74673	0.75922	0.74576	0.75429	
2012-06-09T06:00:00	0.74010	0.75116	0.73681	0.74946	0.73875	0.75080	0.73600	0.74673	
2012-06-02T06:00:00	0.73067	0.74146	0.72611	0.74010	0.72919	0.74089	0.72530	0.73875	
2012-05-26T06:00:00	0.72391	0.73446	0.72391	0.73067	0.72287	0.73323	0.72287	0.72919	
2012-05-19T06:00:00	0.71130	0.72659	0.70979	0.72391	0.71058	0.72618	0.70936	0.72287	
2012-05-12T06:00:00	0.72843	0.72977	0.70773	0.71130	0.72740	0.72909	0.70725	0.71058	
2012-05-05T06:00:00	0.73082	0.73442	0.72615	0.72843	0.73005	0.73392	0.72556	0.72740	
2012-04-28T06:00:00	0.74676	0.74739	0.72511	0.73082	0.74457	0.74687	0.72464	0.73005	
2012-04-21T06:00:00	0.74440	0.74676	0.73774	0.74676	0.74362	0.74621	0.73730	0.74457	
2012-04-14T06:00:00	0.75845	0.76006	0.74110	0.74440	0.75598	0.75900	0.74066	0.74362	
2012-04-07T06:00:00	0.75267	0.75990	0.74633	0.75845	0.75036	0.75949	0.74586	0.75598	
2012-03-31T06:00:00	0.73955	0.75348	0.73873	0.75267	0.73756	0.75270	0.73756	0.75036	
2012-03-24T06:00:00	0.74343	0.74643	0.73724	0.73955	0.74137	0.74602	0.73680	0.73756	
2012-03-17T06:00:00	0.75606	0.75815	0.73531	0.74343	0.75351	0.75746	0.73485	0.74137	
2012-03-10T07:00:00	0.75515	0.76053	0.74875	0.75606	0.75411	0.75990	0.74837	0.75351	
2012-03-03T07:00:00	0.75893	0.76034	0.74344	0.75515	0.75717	0.75937	0.74309	0.75411	
2012-02-25T07:00:00	0.74927	0.76232	0.74646	0.75893	0.74823	0.76198	0.74595	0.75717	
2012-02-18T07:00:00	0.76626	0.77151	0.74786	0.74927	0.76500	0.77096	0.74738	0.74823	
2012-02-11T07:00:00	0.75806	0.77481	0.75717	0.76626	0.75702	0.77433	0.75597	0.76500	
2012-02-04T07:00:00	0.76731	0.77015	0.75506	0.75806	0.76644	0.76967	0.75463	0.75702	
2012-01-28T07:00:00	0.75317	0.77064	0.74962	0.76731	0.75239	0.77026	0.74913	0.76644	
2012-01-21T07:00:00	0.75407	0.75934	0.74643	0.75317	0.75303	0.75892	0.74593	0.75239	
2012-01-14T07:00:00	0.75708	0.76253	0.74727	0.75407	0.75605	0.76152	0.74678	0.75303	
2012-01-07T07:00:00	0.74575	0.76160	0.74509	0.75708	0.74510	0.76099	0.74439	0.75605	
2011-12-31T07:00:00	0.73039	0.74896	0.72801	0.74575	0.72928	0.74853	0.72672	0.74510	
2011-12-24T07:00:00	0.72609	0.73310	0.71984	0.73039	0.72453	0.73253	0.71916	0.72928	
2011-12-17T07:00:00	0.71411	0.72750	0.70728	0.72609	0.71154	0.72644	0.70686	0.72453	
2011-12-10T07:00:00	0.71650	0.71991	0.70589	0.71411	0.71499	0.71947	0.70508	0.71154	
2011-12-03T07:00:00	0.71611	0.72495	0.70825	0.71650	0.71559	0.72452	0.70770	0.71499	
2011-11-26T07:00:00	0.68820	0.71829	0.68820	0.71611	0.68763	0.71787	0.68763	0.71559	
2011-11-19T07:00:00	0.69440	0.69612	0.67940	0.68820	0.69365	0.69475	0.67896	0.68763	
2011-11-12T07:00:00	0.70879	0.71393	0.69264	0.69440	0.70801	0.71263	0.69227	0.69365	
2011-11-05T06:00:00	0.70483	0.72032	0.70211	0.70879	0.70409	0.71983	0.70163	0.70801	
2011-10-29T06:00:00	0.70940	0.71259	0.69275	0.70483	0.70893	0.71174	0.69188	0.70409	
2011-10-22T06:00:00	0.70812	0.71535	0.69453	0.70940	0.70758	0.71471	0.69403	0.70893	
2011-10-15T06:00:00	0.71877	0.72056	0.70252	0.70812	0.71804	0.72006	0.70188	0.70758	
2011-10-08T06:00:00	0.71439	0.71963	0.70502	0.71877	0.71344	0.71905	0.70459	0.71804	
2011-10-01T06:00:00	0.69133	0.71814	0.69023	0.71439	0.69064	0.71736	0.68937	0.71344	
2011-09-24T06:00:00	0.70220	0.71331	0.68733	0.69133	0.70094	0.71271	0.68674	0.69064	
2011-09-17T06:00:00	0.72757	0.74144	0.69981	0.70220	0.72672	0.73967	0.69885	0.70094	
2011-09-10T06:00:00	0.72697	0.73187	0.71435	0.72757	0.72574	0.73032	0.71371	0.72672	
2011-09-03T06:00:00	0.66877	0.73360	0.64947	0.72697	0.66787	0.73302	0.64862	0.72574	
2011-08-27T06:00:00	0.67827	0.70156	0.65736	0.66877	0.67741	0.70104	0.65613	0.66787	
2011-08-20T06:00:00	0.64383	0.68148	0.64088	0.67827	0.64286	0.68087	0.64021	0.67741	
2011-08-13T06:00:00	0.64756	0.67134	0.64278	0.64383	0.64593	0.67083	0.64191	0.64286	
2011-08-06T06:00:00	0.64676	0.64904	0.57401	0.64756	0.64587	0.64838	0.57321	0.64593	
2011-07-30T06:00:00	0.69271	0.70220	0.63127	0.64676	0.69132	0.70172	0.63043	0.64587	
2011-07-23T06:00:00	0.70744	0.70744	0.68301	0.69271	0.70667	0.70667	0.68251	0.69132	
2011-07-16T06:00:00	0.68882	0.71246	0.68315	0.70744	0.68792	0.71201	0.68207	0.70667	
2011-07-09T06:00:00	0.70099	0.70100	0.67743	0.68882	0.70022	0.70024	0.67659	0.68792	
2011-07-02T06:00:00	0.70290	0.70997	0.69223	0.70099	0.70214	0.70920	0.69180	0.70022	
2011-06-25T06:00:00	0.67971	0.70383	0.66829	0.70290	0.67853	0.70330	0.66779	0.70214	
2011-06-18T06:00:00	0.68953	0.69017	0.67793	0.67971	0.68871	0.68881	0.67739	0.67853	
2011-06-11T06:00:00	0.69279	0.69433	0.67703	0.68953	0.69203	0.69322	0.67651	0.68871	
2011-06-04T06:00:00	0.68117	0.69866	0.67908	0.69279	0.67997	0.69820	0.67812	0.69203	
2011-05-28T06:00:00	0.69653	0.70476	0.67428	0.68117	0.69572	0.70436	0.67379	0.67997	
2011-05-21T06:00:00	0.70109	0.70663	0.69352	0.69653	0.70054	0.70618	0.68907	0.69572	
2011-05-14T06:00:00	0.70311	0.70472	0.68752	0.70109	0.70241	0.70267	0.68587	0.70054	
2011-05-07T06:00:00	0.69362	0.70645	0.68978	0.70311	0.69285	0.70595	0.68922	0.70241	
2011-04-30T06:00:00	0.70070	0.70238	0.67424	0.69362	0.70017	0.70185	0.67371	0.69285	
2011-04-23T06:00:00	0.71126	0.71211	0.69658	0.70070	0.70930	0.71089	0.69607	0.70017	
2011-04-16T06:00:00	0.71382	0.71500	0.70131	0.71126	0.71304	0.71457	0.70084	0.70930	
2011-04-09T06:00:00	0.71057	0.71551	0.69962	0.71382	0.70892	0.71505	0.69903	0.71304	
2011-04-02T06:00:00	0.71002	0.71815	0.70517	0.71057	0.70917	0.71745	0.70469	0.70892	
2011-03-26T06:00:00	0.69386	0.71249	0.68682	0.71002	0.69293	0.71203	0.68632	0.70917	
2011-03-19T06:00:00	0.66073	0.69482	0.65695	0.69386	0.65996	0.69430	0.65562	0.69293	
2011-03-12T07:00:00	0.69132	0.69132	0.64043	0.66073	0.69076	0.69076	0.63742	0.65996	
2011-03-05T07:00:00	0.68410	0.69406	0.68053	0.69132	0.68332	0.69349	0.68005	0.69076	
2011-02-26T07:00:00	0.69724	0.70152	0.68021	0.68410	0.69677	0.70103	0.67978	0.68332	
2011-02-19T07:00:00	0.72022	0.72522	0.68897	0.69724	0.71962	0.72473	0.68852	0.69677	
2011-02-12T07:00:00	0.74012	0.74012	0.71751	0.72022	0.73955	0.73955	0.71703	0.71962	
2011-02-05T07:00:00	0.73461	0.74815	0.73432	0.74012	0.73361	0.74747	0.73360	0.73955	
2011-01-29T07:00:00	0.72798	0.74034	0.72403	0.73461	0.72700	0.73989	0.72337	0.73361	
2011-01-22T07:00:00	0.72737	0.73523	0.72017	0.72798	0.72652	0.73470	0.71957	0.72700	
2011-01-15T07:00:00	0.74007	0.74834	0.72473	0.72737	0.73932	0.74787	0.72417	0.72652	
2011-01-08T07:00:00	0.73629	0.74836	0.73098	0.74007	0.73568	0.74791	0.73050	0.73932	
2011-01-01T07:00:00	0.72443	0.73777	0.72112	0.73629	0.72392	0.73733	0.72052	0.73568	
2010-12-25T07:00:00	0.72097	0.72967	0.71091	0.72754	0.71996	0.72892	0.71026	0.72652	
2010-12-18T07:00:00	0.71572	0.72292	0.70362	0.72097	0.71498	0.72242	0.70268	0.71996	
2010-12-11T07:00:00	0.73371	0.73812	0.70782	0.71572	0.73312	0.73763	0.70734	0.71498	
2010-12-04T07:00:00	0.74741	0.75102	0.73297	0.73371	0.74692	0.75054	0.73242	0.73312	
2010-11-27T07:00:00	0.75272	0.75732	0.73950	0.74741	0.75197	0.75678	0.73902	0.74692	
2010-11-20T07:00:00	0.77342	0.77722	0.74980	0.75272	0.77262	0.77674	0.74932	0.75197	
2010-11-13T07:00:00	0.76092	0.77792	0.75328	0.77342	0.75977	0.77747	0.75242	0.77262	
2010-11-06T06:00:00	0.76702	0.76702	0.75004	0.75945	0.76621	0.76621	0.74937	0.75865	
2010-10-30T06:00:00	0.75057	0.77145	0.75057	0.76702	0.74967	0.77086	0.74905	0.76621	
2010-10-23T06:00:00	0.73192	0.75363	0.72958	0.75057	0.73103	0.75287	0.72828	0.74967	
2010-10-16T06:00:00	0.72270	0.73212	0.71912	0.73192	0.72177	0.73117	0.71838	0.73103	
2010-10-09T06:00:00	0.72807	0.73361	0.71964	0.72270	0.72717	0.73317	0.71908	0.72177	
2010-10-02T06:00:00	0.72594	0.73068	0.71616	0.72807	0.72545	0.73024	0.71466	0.72717	
2010-09-25T06:00:00	0.72372	0.72897	0.71641	0.72594	0.72298	0.72800	0.71594	0.72545	
2010-09-18T06:00:00	0.73306	0.73764	0.71441	0.72372	0.73241	0.73649	0.71397	0.72298	
2010-09-11T06:00:00	0.74263	0.74712	0.72429	0.73306	0.74193	0.74623	0.72369	0.73241	
2010-09-04T06:00:00	0.73318	0.74930	0.72337	0.74263	0.73254	0.74882	0.72289	0.74193	
2010-08-28T06:00:00	0.73382	0.73812	0.70698	0.73318	0.73327	0.73767	0.70633	0.73254	
2010-08-21T06:00:00	0.73258	0.73958	0.71425	0.73382	0.73188	0.73910	0.71377	0.73327	
2010-08-14T06:00:00	0.74280	0.74911	0.72547	0.73258	0.74203	0.74874	0.72497	0.73188	
2010-08-07T06:00:00	0.76062	0.76564	0.74212	0.74280	0.75981	0.76484	0.74167	0.74203	
2010-07-31T06:00:00	0.75611	0.77556	0.75371	0.76062	0.75534	0.77467	0.75307	0.75981	
2010-07-24T06:00:00	0.76642	0.78276	0.74690	0.75611	0.76564	0.78237	0.74589	0.75534	
2010-07-17T06:00:00	0.74802	0.76897	0.73725	0.76642	0.74723	0.76837	0.73665	0.76564	
2010-07-10T06:00:00	0.75129	0.76532	0.74244	0.74802	0.75050	0.76477	0.74186	0.74723	
2010-07-03T06:00:00	0.73448	0.75132	0.72688	0.75129	0.73377	0.75068	0.72590	0.75050	
2010-06-26T06:00:00	0.78090	0.78512	0.72646	0.73448	0.78009	0.78251	0.72591	0.73377	
2010-06-19T06:00:00	0.78211	0.79346	0.77170	0.78090	0.78216	0.79290	0.77116	0.78009	
2010-06-12T06:00:00	0.79371	0.79758	0.77742	0.78211	0.79376	0.79763	0.77747	0.78216	
2010-06-05T06:00:00	0.77767	0.79472	0.75969	0.79371	0.77772	0.79477	0.75974	0.79376	
2010-05-29T06:00:00	0.78775	0.79377	0.77452	0.77767	0.78662	0.79382	0.77287	0.77772	
2010-05-22T06:00:00	0.77991	0.79297	0.76622	0.78775	0.77918	0.79246	0.76557	0.78662	
2010-05-15T06:00:00	0.79994	0.80312	0.76268	0.77991	0.79921	0.80209	0.76111	0.77918	
2010-05-08T06:00:00	0.79116	0.80655	0.78937	0.79994	0.79036	0.80607	0.78544	0.79921	
2010-05-01T06:00:00	0.78241	0.81452	0.78132	0.79116	0.78177	0.81400	0.77987	0.79036	
2010-04-24T06:00:00	0.76934	0.79015	0.76932	0.78241	0.76841	0.78980	0.76841	0.78177	
2010-04-17T06:00:00	0.75228	0.77150	0.75158	0.76934	0.75136	0.77061	0.75054	0.76841	
2010-04-10T06:00:00	0.76304	0.76510	0.74767	0.75228	0.76193	0.76193	0.74671	0.75136	
2010-04-03T06:00:00	0.75018	0.76718	0.74465	0.76304	0.74891	0.76632	0.74348	0.76193	
