日時	NZD/JPY(始値, 買い)	NZD/JPY(高値, 買い)	NZD/JPY(安値, 買い)	NZD/JPY(終値, 買い)	NZD/JPY(始値, 売り)	NZD/JPY(高値, 売り)	NZD/JPY(安値, 売り)	NZD/JPY(終値, 売り)	
2014-02-01T07:00:00	82.614	83.989	81.442	83.349	82.458	83.942	81.414	83.316	
2014-01-25T07:00:00	84.267	85.824	82.452	82.614	84.134	85.667	82.414	82.458	
2014-01-18T07:00:00	86.226	87.230	83.954	84.267	86.032	87.202	83.928	84.134	
2014-01-11T07:00:00	86.526	87.432	85.958	86.226	86.441	87.389	85.924	86.032	
2014-01-04T07:00:00	86.817	87.236	86.030	86.526	86.713	87.211	85.894	86.441	
2013-12-28T07:00:00	85.792	86.845	85.387	86.817	85.608	86.812	85.358	86.713	
2013-12-21T07:00:00	85.428	85.984	85.125	85.792	85.224	85.955	85.091	85.608	
2013-12-14T07:00:00	85.441	86.223	84.405	85.428	85.261	86.130	84.358	85.224	
2013-12-07T07:00:00	85.329	85.764	84.075	85.441	85.151	85.738	84.054	85.261	
2013-11-30T07:00:00	83.377	85.367	83.243	85.329	83.213	85.337	83.214	85.151	
2013-11-23T07:00:00	83.060	83.860	82.819	83.377	82.868	83.832	82.780	83.213	
2013-11-16T07:00:00	83.610	84.136	82.171	83.060	83.462	84.069	82.146	82.868	
2013-11-09T07:00:00	81.789	83.631	81.464	83.610	81.639	83.597	81.439	83.462	
2013-11-02T06:00:00	81.620	83.053	81.260	81.789	81.462	83.027	81.227	81.639	
2013-10-26T06:00:00	80.683	81.654	80.492	81.620	80.605	81.624	80.466	81.462	
2013-10-19T06:00:00	83.274	83.995	80.546	80.683	83.115	83.966	80.518	80.605	
2013-10-12T06:00:00	82.154	83.493	81.399	83.274	82.085	83.464	81.277	83.115	
2013-10-05T06:00:00	81.134	82.219	80.059	82.154	81.076	82.191	80.030	82.085	
2013-09-28T06:00:00	81.431	81.964	79.894	81.134	81.258	81.929	79.873	81.076	
2013-09-21T06:00:00	83.252	83.125	80.947	81.431	83.083	83.092	80.915	81.258	
2013-09-14T06:00:00	80.843	83.691	80.684	83.252	80.751	83.667	80.486	83.083	
2013-09-07T06:00:00	79.324	81.403	79.287	80.843	79.169	81.372	79.258	80.751	
2013-08-31T06:00:00	75.935	79.596	76.127	79.324	75.722	79.477	76.080	79.169	
2013-08-24T06:00:00	77.129	77.611	75.140	75.935	76.996	77.581	75.082	75.722	
2013-08-17T06:00:00	79.137	79.909	76.448	77.129	79.009	79.886	76.420	76.996	
2013-08-10T06:00:00	77.430	79.423	77.059	79.137	77.234	79.389	77.020	79.009	
2013-08-03T06:00:00	77.580	77.651	76.337	77.430	77.511	77.613	76.143	77.234	
2013-07-27T06:00:00	79.522	79.472	77.221	77.580	79.335	79.395	77.187	77.511	
2013-07-20T06:00:00	79.888	80.452	79.002	79.522	79.677	80.421	78.972	79.335	
2013-07-13T06:00:00	77.218	80.109	77.262	79.888	77.029	80.072	77.229	79.677	
2013-07-06T06:00:00	78.121	79.765	76.710	77.218	77.940	79.736	76.675	77.029	
2013-06-29T06:00:00	76.895	78.987	76.621	78.121	76.695	78.808	76.460	77.940	
2013-06-22T06:00:00	75.977	77.331	75.081	76.895	75.764	77.300	75.043	76.695	
2013-06-15T06:00:00	75.757	77.006	75.059	75.977	75.634	76.976	75.026	75.764	
2013-06-08T06:00:00	76.915	78.425	74.479	75.757	76.786	78.397	74.437	75.634	
2013-06-01T06:00:00	79.932	80.782	75.816	76.915	79.739	80.753	75.789	76.786	
2013-05-25T06:00:00	82.053	83.146	79.782	79.932	81.899	83.019	79.681	79.739	
2013-05-18T06:00:00	83.313	84.388	81.153	82.053	83.213	84.358	81.126	81.899	
2013-05-11T06:00:00	84.443	84.637	82.755	83.313	84.367	84.609	82.723	83.213	
2013-05-04T06:00:00	84.545	84.892	82.716	84.443	84.464	84.863	82.686	84.367	
2013-04-27T06:00:00	83.235	84.794	82.262	84.545	83.139	84.766	82.230	84.464	
2013-04-20T06:00:00	83.842	84.948	82.411	83.235	83.740	84.921	82.378	83.139	
2013-04-13T06:00:00	84.555	84.654	80.583	83.842	84.478	84.627	80.510	83.740	
2013-04-06T06:00:00	82.295	86.427	82.295	84.555	82.252	86.401	82.252	84.478	
2013-03-30T06:00:00	78.891	82.526	77.805	82.295	78.745	82.497	77.774	82.252	
2013-03-23T06:00:00	79.043	79.497	78.056	78.891	78.947	79.468	78.028	78.745	
2013-03-16T06:00:00	78.873	79.622	77.482	79.043	78.819	79.596	77.379	78.947	
2013-03-09T07:00:00	78.944	79.915	78.344	78.873	78.866	79.890	78.313	78.819	
2013-03-02T07:00:00	77.243	79.927	76.509	78.944	77.166	79.796	76.477	78.866	
2013-02-23T07:00:00	78.252	79.376	75.123	77.243	78.219	79.223	75.093	77.166	
2013-02-16T07:00:00	79.072	79.556	77.380	78.252	78.906	79.526	77.352	78.219	
2013-02-09T07:00:00	77.563	79.654	77.011	79.072	77.473	79.629	76.980	78.906	
2013-02-02T07:00:00	78.494	79.433	77.133	77.563	78.408	79.407	77.102	77.473	
2013-01-26T07:00:00	76.127	78.556	75.066	78.494	76.063	78.520	75.038	78.408	
2013-01-19T07:00:00	75.347	76.396	74.068	76.127	75.334	76.369	74.039	76.063	
2013-01-12T07:00:00	74.702	75.853	73.504	75.347	74.577	75.829	73.476	75.334	
2013-01-05T07:00:00	73.397	75.418	72.582	74.702	73.282	75.388	72.555	74.577	
2012-12-29T07:00:00	70.511	73.404	70.343	73.397	70.437	73.374	70.007	73.282	
2012-12-22T07:00:00	69.413	71.164	69.307	70.511	69.284	71.126	69.277	70.437	
2012-12-15T07:00:00	70.717	71.451	69.164	69.413	70.634	71.356	69.132	69.284	
2012-12-08T07:00:00	68.734	70.926	68.423	70.717	68.681	70.900	68.394	70.634	
2012-12-01T07:00:00	67.655	68.947	67.284	68.734	67.606	68.921	67.254	68.681	
2012-11-24T07:00:00	67.941	68.102	67.019	67.655	67.812	68.073	66.989	67.606	
2012-11-17T07:00:00	66.104	67.983	66.001	67.941	66.057	67.972	65.972	67.812	
2012-11-10T07:00:00	64.738	66.134	64.672	66.104	64.678	66.094	64.641	66.057	
2012-11-03T06:00:00	66.438	66.745	64.284	64.738	66.397	66.724	64.260	64.678	
2012-10-27T06:00:00	65.589	66.791	65.013	66.438	65.492	66.767	64.986	66.397	
2012-10-20T06:00:00	64.737	66.203	64.589	65.589	64.682	66.175	64.558	65.492	
2012-10-13T06:00:00	64.038	65.245	63.727	64.737	63.993	65.218	63.698	64.682	
2012-10-06T06:00:00	64.321	64.567	63.677	64.038	64.271	64.541	63.646	63.993	
2012-09-29T06:00:00	64.675	65.150	64.142	64.321	64.654	65.123	64.115	64.271	
2012-09-22T06:00:00	64.776	65.060	63.556	64.675	64.731	64.913	63.530	64.654	
2012-09-15T06:00:00	65.030	65.719	64.120	64.776	64.967	65.691	64.091	64.731	
2012-09-08T06:00:00	63.604	65.307	63.245	65.030	63.539	65.280	63.214	64.967	
2012-09-01T06:00:00	63.031	63.621	62.054	63.604	62.885	63.573	62.028	63.539	
2012-08-25T06:00:00	63.893	64.026	62.629	63.031	63.750	63.926	62.586	62.885	
2012-08-18T06:00:00	64.332	64.734	63.497	63.893	64.136	64.709	63.472	63.750	
2012-08-11T06:00:00	63.672	64.448	63.271	64.332	63.609	64.419	63.242	64.136	
2012-08-04T06:00:00	64.333	64.532	63.326	63.672	64.184	64.504	63.294	63.609	
2012-07-28T06:00:00	63.632	64.449	63.057	64.333	63.476	64.420	63.021	64.184	
2012-07-21T06:00:00	62.856	63.688	61.022	63.632	62.683	63.644	60.990	63.476	
2012-07-14T06:00:00	63.121	63.388	62.584	62.856	62.951	63.275	62.552	62.683	
2012-07-07T06:00:00	63.582	63.688	62.336	63.121	63.531	63.658	62.303	62.951	
2012-06-30T06:00:00	64.036	64.419	63.347	63.582	63.892	64.387	63.315	63.531	
2012-06-23T06:00:00	63.710	64.236	62.265	64.036	63.505	64.207	62.231	63.892	
2012-06-16T06:00:00	62.083	64.117	62.083	63.710	61.926	64.085	61.926	63.505	
2012-06-09T06:00:00	61.296	62.285	60.828	62.083	61.154	62.255	60.793	61.926	
2012-06-02T06:00:00	58.899	61.821	58.625	61.296	58.747	61.794	58.593	61.154	
2012-05-26T06:00:00	60.140	60.799	57.982	58.899	59.986	60.774	57.950	58.747	
2012-05-19T06:00:00	59.834	61.082	59.196	60.140	59.692	61.052	59.165	59.986	
2012-05-12T06:00:00	62.656	62.673	59.516	59.834	62.506	62.643	59.483	59.692	
2012-05-05T06:00:00	63.616	63.736	62.188	62.656	63.475	63.705	62.154	62.506	
2012-04-28T06:00:00	66.043	66.212	63.391	63.616	65.891	66.178	63.364	63.475	
2012-04-21T06:00:00	66.815	66.842	65.425	66.043	66.665	66.807	65.390	65.891	
2012-04-14T06:00:00	66.659	66.974	65.563	66.815	66.507	66.939	65.532	66.665	
2012-04-07T06:00:00	66.952	67.514	65.617	66.659	66.804	67.482	65.580	66.507	
2012-03-31T06:00:00	67.903	68.499	66.477	66.952	67.766	68.424	66.433	66.804	
2012-03-24T06:00:00	67.464	68.574	66.605	67.903	67.323	68.543	66.576	67.766	
2012-03-17T06:00:00	68.879	69.166	66.566	67.464	68.734	69.112	66.535	67.323	
2012-03-10T07:00:00	67.819	68.932	66.884	68.879	67.661	68.901	66.852	68.734	
2012-03-03T07:00:00	67.911	67.972	65.325	67.819	67.781	67.938	65.294	67.661	
2012-02-25T07:00:00	67.915	68.380	66.844	67.911	67.828	68.322	66.815	67.781	
2012-02-18T07:00:00	66.301	67.971	66.301	67.915	66.147	67.884	66.147	67.828	
2012-02-11T07:00:00	64.249	66.444	64.249	66.301	64.101	66.417	64.101	66.147	
2012-02-04T07:00:00	64.123	64.884	63.513	64.249	63.975	64.856	63.487	64.101	
2012-01-28T07:00:00	63.293	64.192	62.323	64.123	63.229	64.162	62.294	63.975	
2012-01-21T07:00:00	62.152	63.827	61.940	63.293	62.079	63.801	61.908	63.229	
2012-01-14T07:00:00	61.191	62.207	60.819	62.152	61.105	62.182	60.790	62.079	
2012-01-07T07:00:00	60.110	61.370	59.862	61.191	59.915	61.344	59.836	61.105	
2011-12-31T07:00:00	59.864	60.745	59.652	60.110	59.730	60.705	59.303	59.915	
2011-12-24T07:00:00	60.541	60.541	59.585	59.864	60.409	60.419	59.552	59.730	
2011-12-17T07:00:00	59.353	60.652	58.860	60.541	59.183	60.617	58.832	60.409	
2011-12-10T07:00:00	60.221	60.281	58.252	59.353	60.168	60.168	58.239	59.183	
2011-12-03T07:00:00	60.675	61.035	59.330	60.221	60.636	61.008	59.301	60.168	
2011-11-26T07:00:00	57.477	61.150	57.477	60.675	57.431	61.123	57.431	60.636	
2011-11-19T07:00:00	58.202	58.324	57.050	57.477	58.169	58.231	57.021	57.431	
2011-11-12T07:00:00	60.651	61.353	58.116	58.202	60.607	61.217	58.085	58.169	
2011-11-05T06:00:00	62.202	62.406	60.006	60.651	62.154	62.370	59.975	60.607	
2011-10-29T06:00:00	62.346	64.609	60.955	62.202	62.311	64.565	60.915	62.154	
2011-10-22T06:00:00	61.144	62.627	60.127	62.346	61.102	62.591	60.090	62.311	
2011-10-15T06:00:00	62.182	62.480	60.334	61.144	62.145	62.445	60.300	61.102	
2011-10-08T06:00:00	59.243	62.199	58.993	62.182	59.201	62.171	58.888	62.145	
2011-10-01T06:00:00	58.773	59.940	57.363	59.243	58.719	59.900	57.324	59.201	
2011-09-24T06:00:00	59.409	61.029	58.280	58.773	59.343	60.998	58.245	58.719	
2011-09-17T06:00:00	63.791	63.791	58.845	59.409	63.638	63.687	58.811	59.343	
2011-09-10T06:00:00	63.719	64.112	62.288	63.791	63.673	64.077	62.250	63.638	
2011-09-03T06:00:00	65.026	65.039	63.327	63.719	64.950	64.959	63.290	63.673	
2011-08-27T06:00:00	64.423	65.798	64.348	65.026	64.370	65.754	64.292	64.950	
2011-08-20T06:00:00	62.664	64.548	62.657	64.423	62.590	64.505	62.590	64.370	
2011-08-13T06:00:00	63.987	64.546	62.545	62.664	63.927	64.508	62.500	62.590	
2011-08-06T06:00:00	66.253	66.253	61.416	63.987	66.197	66.197	61.373	63.927	
2011-07-30T06:00:00	67.619	68.912	65.265	66.253	67.572	68.876	65.230	66.197	
2011-07-23T06:00:00	67.837	68.280	66.645	67.619	67.785	68.252	66.610	67.572	
2011-07-16T06:00:00	66.984	68.096	66.476	67.837	66.905	68.065	66.438	67.785	
2011-07-09T06:00:00	67.526	67.526	64.164	66.984	67.480	67.504	64.099	66.905	
2011-07-02T06:00:00	66.912	67.951	66.689	67.526	66.860	67.833	66.651	67.480	
2011-06-25T06:00:00	65.336	67.016	64.542	66.912	65.212	66.984	64.506	66.860	
2011-06-18T06:00:00	64.999	65.811	64.478	65.336	64.953	65.780	64.444	65.212	
2011-06-11T06:00:00	66.009	66.198	64.345	64.999	65.969	66.123	64.330	64.953	
2011-06-04T06:00:00	65.409	66.549	65.017	66.009	65.315	66.518	64.989	65.969	
2011-05-28T06:00:00	66.007	67.441	64.763	65.409	65.970	67.419	64.726	65.315	
2011-05-21T06:00:00	65.152	66.555	64.069	66.007	65.104	66.524	64.050	65.970	
2011-05-14T06:00:00	63.673	65.293	62.675	65.152	63.637	65.261	62.648	65.104	
2011-05-07T06:00:00	63.701	64.694	63.248	63.673	63.664	64.674	63.210	63.637	
2011-04-30T06:00:00	65.696	65.891	62.568	63.701	65.655	65.860	62.528	63.664	
2011-04-23T06:00:00	65.721	66.479	65.086	65.696	65.665	66.372	65.050	65.655	
2011-04-16T06:00:00	66.416	66.629	64.479	65.721	66.374	66.570	64.447	65.665	
2011-04-09T06:00:00	66.445	66.659	64.772	66.416	66.383	66.624	64.748	66.374	
2011-04-02T06:00:00	64.527	66.735	64.281	66.445	64.486	66.704	64.249	66.383	
2011-03-26T06:00:00	61.377	64.679	61.115	64.527	61.338	64.646	61.056	64.486	
2011-03-19T06:00:00	59.028	61.527	58.954	61.377	58.976	61.498	58.871	61.338	
2011-03-12T07:00:00	60.921	61.006	54.907	59.028	60.880	60.963	54.553	58.976	
2011-03-05T07:00:00	60.808	61.439	60.311	60.921	60.762	61.410	60.283	60.880	
