日時	NZD/USD(始値, 買い)	NZD/USD(高値, 買い)	NZD/USD(安値, 買い)	NZD/USD(終値, 買い)	NZD/USD(始値, 売り)	NZD/USD(高値, 売り)	NZD/USD(安値, 売り)	NZD/USD(終値, 売り)	
2014-02-01T07:00:00	0.80917	0.82615	0.80526	0.82083	0.80791	0.82579	0.80507	0.82061	
2014-01-25T07:00:00	0.82367	0.83048	0.80636	0.80917	0.82275	0.83033	0.80613	0.80791	
2014-01-18T07:00:00	0.82638	0.83471	0.82147	0.82367	0.82481	0.83453	0.82116	0.82275	
2014-01-11T07:00:00	0.83063	0.84341	0.82495	0.82638	0.82991	0.84313	0.82471	0.82481	
2014-01-04T07:00:00	0.82778	0.83199	0.82081	0.83063	0.82704	0.83177	0.82040	0.82991	
2013-12-28T07:00:00	0.81655	0.83181	0.81182	0.82778	0.81411	0.83164	0.81159	0.82704	
2013-12-21T07:00:00	0.82088	0.82180	0.81425	0.81655	0.81911	0.82155	0.81403	0.81411	
2013-12-14T07:00:00	0.82718	0.82903	0.81504	0.82088	0.82611	0.82884	0.81487	0.81911	
2013-12-07T07:00:00	0.82898	0.83357	0.81955	0.82718	0.82761	0.83337	0.81799	0.82611	
2013-11-30T07:00:00	0.81537	0.82934	0.81408	0.82898	0.81346	0.82916	0.81387	0.82761	
2013-11-23T07:00:00	0.82008	0.82666	0.80852	0.81537	0.81820	0.82645	0.80837	0.81346	
2013-11-16T07:00:00	0.83478	0.84109	0.81256	0.82008	0.83254	0.84038	0.81234	0.81820	
2013-11-09T07:00:00	0.82572	0.83594	0.81696	0.83478	0.82417	0.83556	0.81677	0.83254	
2013-11-02T06:00:00	0.82672	0.84160	0.82258	0.82572	0.82551	0.84139	0.82243	0.82417	
2013-10-26T06:00:00	0.82829	0.83337	0.81941	0.82672	0.82765	0.83317	0.81920	0.82551	
2013-10-19T06:00:00	0.85142	0.85452	0.82752	0.82829	0.84995	0.85434	0.82731	0.82765	
2013-10-12T06:00:00	0.83347	0.85259	0.82925	0.85142	0.83202	0.85243	0.82767	0.84995	
2013-10-05T06:00:00	0.83223	0.83556	0.82329	0.83347	0.83151	0.83540	0.82306	0.83202	
