日時	SEK/JPY(始値, 買い)	SEK/JPY(高値, 買い)	SEK/JPY(安値, 買い)	SEK/JPY(終値, 買い)	SEK/JPY(始値, 売り)	SEK/JPY(高値, 売り)	SEK/JPY(安値, 売り)	SEK/JPY(終値, 売り)	
2014-02-01T07:00:00	15.631	15.717	15.411	15.570	15.539	15.655	15.367	15.529	
2014-01-25T07:00:00	15.940	16.144	15.590	15.631	15.862	16.106	15.537	15.539	
2014-01-18T07:00:00	16.135	16.253	15.806	15.940	16.089	16.210	15.769	15.862	
2014-01-11T07:00:00	16.099	16.254	15.822	16.135	16.017	16.213	15.783	16.089	
2014-01-04T07:00:00	16.076	16.156	15.938	16.099	15.981	16.108	15.899	16.017	
2013-12-28T07:00:00	16.173	16.426	15.989	16.076	15.979	16.375	15.944	15.981	
2013-12-21T07:00:00	15.844	16.251	15.795	16.173	15.768	16.208	15.720	15.979	
2013-12-14T07:00:00	15.743	15.984	15.601	15.844	15.620	15.947	15.562	15.768	
2013-12-07T07:00:00	15.844	15.894	15.592	15.743	15.781	15.855	15.553	15.620	
2013-11-30T07:00:00	15.689	15.852	15.629	15.844	15.571	15.806	15.587	15.781	
2013-11-23T07:00:00	15.441	15.716	15.373	15.689	15.346	15.663	15.331	15.571	
2013-11-16T07:00:00	15.146	15.444	15.039	15.441	15.059	15.389	14.996	15.346	
2013-11-09T07:00:00	15.115	15.188	14.835	15.146	14.923	15.145	14.797	15.059	
2013-11-02T06:00:00	15.136	15.280	14.904	15.115	15.059	15.243	14.847	14.923	
2013-10-26T06:00:00	15.456	15.510	15.063	15.136	15.385	15.454	14.982	15.059	
2013-10-19T06:00:00	15.272	15.496	15.233	15.456	15.203	15.459	15.165	15.385	
2013-10-12T06:00:00	15.252	15.340	15.111	15.272	15.182	15.299	15.066	15.203	
2013-10-05T06:00:00	15.178	15.262	15.001	15.252	15.122	15.206	14.963	15.182	
2013-09-28T06:00:00	15.317	15.483	15.151	15.178	15.240	15.445	15.082	15.122	
2013-09-21T06:00:00	15.621	15.680	15.288	15.317	15.562	15.616	15.237	15.240	
2013-09-14T06:00:00	15.168	15.751	15.120	15.621	15.109	15.713	15.044	15.562	
2013-09-07T06:00:00	15.013	15.389	14.982	15.168	14.938	15.346	14.944	15.109	
2013-08-31T06:00:00	14.868	15.170	14.845	15.013	14.782	15.115	14.799	14.938	
2013-08-24T06:00:00	15.245	15.272	14.775	14.868	15.160	15.212	14.737	14.782	
2013-08-17T06:00:00	15.032	15.257	14.866	15.245	14.940	15.213	14.816	15.160	
2013-08-10T06:00:00	14.849	15.132	14.766	15.032	14.761	15.091	14.705	14.940	
2013-08-03T06:00:00	15.028	15.063	14.707	14.849	14.942	14.985	14.667	14.761	
2013-07-27T06:00:00	15.202	15.233	14.863	15.028	15.123	15.181	14.823	14.942	
2013-07-20T06:00:00	15.437	15.546	15.142	15.202	15.351	15.509	15.103	15.123	
2013-07-13T06:00:00	14.947	15.437	14.857	15.437	14.819	15.373	14.800	15.351	
2013-07-06T06:00:00	14.941	15.038	14.723	14.947	14.819	14.981	14.598	14.819	
2013-06-29T06:00:00	14.851	15.071	14.787	14.941	14.762	15.033	14.693	14.819	
2013-06-22T06:00:00	14.742	14.856	14.367	14.851	14.610	14.803	14.327	14.762	
2013-06-15T06:00:00	14.665	15.171	14.550	14.742	14.565	15.119	14.508	14.610	
2013-06-08T06:00:00	14.947	15.096	14.419	14.665	14.786	15.043	14.381	14.565	
2013-06-01T06:00:00	15.209	15.381	14.546	14.947	15.129	15.343	14.494	14.786	
2013-05-25T06:00:00	15.279	15.440	15.141	15.209	15.217	15.398	15.103	15.129	
2013-05-18T06:00:00	15.453	15.676	15.153	15.279	15.385	15.638	15.115	15.217	
2013-05-11T06:00:00	15.440	15.513	15.230	15.453	15.356	15.436	15.191	15.385	
2013-05-04T06:00:00	15.256	15.485	15.106	15.440	15.189	15.445	15.064	15.356	
2013-04-27T06:00:00	14.957	15.327	14.884	15.256	14.886	15.286	14.844	15.189	
2013-04-20T06:00:00	15.255	15.357	14.848	14.957	15.169	15.307	14.807	14.886	
2013-04-13T06:00:00	15.521	15.527	14.932	15.255	15.438	15.474	14.869	15.169	
2013-04-06T06:00:00	15.169	15.779	15.169	15.521	15.104	15.738	15.064	15.438	
2013-03-30T06:00:00	14.493	15.204	14.253	15.169	14.362	15.163	14.211	15.104	
2013-03-23T06:00:00	14.594	14.735	14.351	14.493	14.514	14.693	14.310	14.362	
2013-03-16T06:00:00	14.942	14.942	14.470	14.594	14.884	14.884	14.431	14.514	
2013-03-09T07:00:00	15.034	15.187	14.864	14.942	14.958	15.150	14.826	14.884	
2013-03-02T07:00:00	14.588	15.162	14.491	15.034	14.515	15.115	14.451	14.958	
2013-02-23T07:00:00	14.584	14.857	14.053	14.588	14.521	14.791	14.012	14.515	
2013-02-16T07:00:00	14.833	14.940	14.456	14.584	14.735	14.901	14.417	14.521	
2013-02-09T07:00:00	14.415	14.942	14.372	14.833	14.346	14.903	14.319	14.735	
