日時	SGD/JPY(始値, 買い)	SGD/JPY(高値, 買い)	SGD/JPY(安値, 買い)	SGD/JPY(終値, 買い)	SGD/JPY(始値, 売り)	SGD/JPY(高値, 売り)	SGD/JPY(安値, 売り)	SGD/JPY(終値, 売り)	
2014-02-01T07:00:00	80.012	80.242	79.012	80.022	79.817	80.197	78.977	79.990	
2014-01-25T07:00:00	80.107	81.235	79.612	80.012	79.947	81.198	79.442	79.817	
2014-01-18T07:00:00	81.850	82.057	79.675	80.107	81.636	82.027	79.637	79.947	
2014-01-11T07:00:00	82.516	82.422	81.347	81.850	82.330	82.377	81.312	81.636	
2014-01-04T07:00:00	82.834	83.042	81.992	82.516	82.665	82.947	81.947	82.330	
2013-12-28T07:00:00	82.961	83.433	82.121	82.834	82.802	83.382	82.090	82.665	
2013-12-21T07:00:00	82.302	82.973	81.997	82.961	82.107	82.929	81.957	82.802	
2013-12-14T07:00:00	82.352	82.828	81.512	82.302	82.187	82.752	81.477	82.107	
2013-12-07T07:00:00	82.437	82.755	81.722	82.352	82.252	82.712	81.672	82.187	
2013-11-30T07:00:00	81.702	82.457	81.078	82.437	81.438	82.362	81.036	82.252	
2013-11-23T07:00:00	81.141	81.727	80.831	81.702	80.896	81.682	80.792	81.438	
2013-11-16T07:00:00	80.413	81.142	79.937	81.141	80.296	81.107	79.901	80.896	
2013-11-09T07:00:00	79.553	80.521	79.246	80.413	79.394	80.482	79.212	80.296	
2013-11-02T06:00:00	79.462	79.852	78.507	79.553	79.377	79.812	78.467	79.394	
2013-10-26T06:00:00	78.837	79.641	78.692	79.462	78.787	79.587	78.657	79.377	
2013-10-19T06:00:00	78.972	79.642	78.352	78.837	78.867	79.611	78.317	78.787	
2013-10-12T06:00:00	79.196	79.602	78.766	78.972	79.068	79.567	78.588	78.867	
2013-10-05T06:00:00	78.242	79.196	77.392	79.196	78.157	79.136	77.337	79.068	
2013-09-28T06:00:00	78.232	78.708	77.617	78.242	78.137	78.671	77.572	78.157	
2013-09-21T06:00:00	79.428	79.493	78.124	78.232	79.297	79.446	78.082	78.137	
2013-09-14T06:00:00	78.274	80.006	77.794	79.428	78.190	79.935	77.596	79.297	
2013-09-07T06:00:00	77.882	79.337	78.002	78.274	77.687	79.301	77.966	78.190	
2013-08-31T06:00:00	77.079	78.397	77.069	77.882	76.931	78.362	76.978	77.687	
2013-08-24T06:00:00	77.266	77.391	75.430	77.079	77.109	77.352	75.359	76.931	
2013-08-17T06:00:00	76.879	77.481	75.893	77.266	76.757	77.437	75.857	77.109	
2013-08-10T06:00:00	76.620	77.634	76.319	76.879	76.452	77.592	76.255	76.757	
2013-08-03T06:00:00	77.830	78.007	76.053	76.620	77.675	77.922	75.961	76.452	
2013-07-27T06:00:00	77.827	78.402	76.707	77.830	77.684	78.317	76.641	77.675	
2013-07-20T06:00:00	79.512	79.666	77.544	77.827	79.387	79.552	77.505	77.684	
2013-07-13T06:00:00	78.750	79.554	78.400	79.512	78.507	79.501	78.339	79.387	
2013-07-06T06:00:00	79.086	79.379	77.757	78.750	78.845	79.341	77.577	78.507	
2013-06-29T06:00:00	78.347	79.331	77.992	79.086	78.106	79.289	77.955	78.845	
2013-06-22T06:00:00	76.819	78.422	76.036	78.347	76.587	78.377	75.962	78.106	
2013-06-15T06:00:00	75.307	77.152	75.167	76.819	75.023	77.107	75.111	76.587	
2013-06-08T06:00:00	78.170	78.779	74.677	75.307	78.009	78.707	74.624	75.023	
2013-06-01T06:00:00	79.517	80.384	76.555	78.170	79.418	80.348	76.470	78.009	
2013-05-25T06:00:00	80.211	80.979	79.352	79.517	80.045	80.891	79.282	79.418	
2013-05-18T06:00:00	82.020	82.156	79.632	80.211	81.934	81.946	79.583	80.045	
2013-05-11T06:00:00	82.070	82.473	81.390	82.020	82.007	82.437	81.357	81.934	
2013-05-04T06:00:00	80.292	82.260	80.080	82.070	80.178	82.217	80.021	82.007	
2013-04-27T06:00:00	79.362	80.459	78.717	80.292	79.297	80.419	78.678	80.178	
2013-04-20T06:00:00	80.525	80.788	78.922	79.362	80.406	80.725	78.881	79.297	
2013-04-13T06:00:00	79.594	80.592	77.352	80.525	79.517	80.549	77.277	80.406	
2013-04-06T06:00:00	78.672	80.816	78.672	79.594	78.587	80.777	78.587	79.517	
2013-03-30T06:00:00	76.061	78.913	74.873	78.672	75.797	78.868	74.845	78.587	
2013-03-23T06:00:00	75.788	76.382	75.162	76.061	75.687	76.356	75.117	75.797	
2013-03-16T06:00:00	76.425	76.872	75.277	75.788	76.347	76.827	75.082	75.687	
2013-03-09T07:00:00	77.012	77.509	76.182	76.425	76.937	77.477	76.157	76.347	
2013-03-02T07:00:00	75.482	77.452	74.662	77.012	75.387	77.407	74.627	76.937	
2013-02-23T07:00:00	75.492	76.582	73.415	75.482	75.441	76.452	73.347	75.387	
2013-02-16T07:00:00	75.642	76.005	74.787	75.492	75.527	75.970	74.746	75.441	
2013-02-09T07:00:00	74.973	76.132	74.622	75.642	74.837	76.079	74.574	75.527	
2013-02-02T07:00:00	74.882	76.023	74.259	74.973	74.797	75.987	74.200	74.837	
2013-01-26T07:00:00	73.612	75.002	72.988	74.882	73.567	74.945	72.951	74.797	
2013-01-19T07:00:00	73.387	74.077	71.740	73.612	73.314	74.038	71.702	73.567	
2013-01-12T07:00:00	72.829	73.691	71.693	73.387	72.734	73.638	71.658	73.314	
