日時	TRY/JPY(始値, 買い)	TRY/JPY(高値, 買い)	TRY/JPY(安値, 買い)	TRY/JPY(終値, 買い)	TRY/JPY(始値, 売り)	TRY/JPY(高値, 売り)	TRY/JPY(安値, 売り)	TRY/JPY(終値, 売り)	
2014-02-01T07:00:00	45.211	45.570	44.143	45.395	45.005	45.482	44.065	45.285	
2014-01-25T07:00:00	43.950	47.777	42.911	45.211	43.585	47.672	42.844	45.005	
2014-01-18T07:00:00	46.840	47.051	43.657	43.950	46.502	46.796	43.431	43.585	
2014-01-11T07:00:00	48.256	48.183	46.693	46.840	47.985	48.060	46.502	46.502	
2014-01-04T07:00:00	48.333	48.585	47.646	48.256	48.008	48.520	47.575	47.985	
2013-12-28T07:00:00	48.850	49.684	47.884	48.333	48.646	49.587	47.780	48.008	
2013-12-21T07:00:00	49.827	50.300	48.139	48.850	49.682	50.224	48.054	48.646	
2013-12-14T07:00:00	50.809	51.003	49.682	49.827	50.426	50.814	49.603	49.682	
2013-12-07T07:00:00	50.968	51.091	50.100	50.809	50.619	50.926	49.938	50.426	
2013-11-30T07:00:00	50.813	50.968	49.628	50.968	50.603	50.867	49.547	50.619	
2013-11-23T07:00:00	50.670	51.042	50.248	50.813	50.348	50.977	50.006	50.603	
2013-11-16T07:00:00	49.438	50.671	49.281	50.670	49.271	50.487	49.071	50.348	
2013-11-09T07:00:00	48.780	49.459	48.345	49.438	48.395	49.387	48.271	49.271	
2013-11-02T06:00:00	49.017	49.308	47.945	48.780	48.812	49.012	47.852	48.395	
2013-10-26T06:00:00	49.197	49.634	48.730	49.017	48.982	49.530	48.663	48.812	
2013-10-19T06:00:00	49.825	50.093	48.817	49.197	49.556	50.028	48.752	48.982	
2013-10-12T06:00:00	49.880	50.248	49.318	49.825	49.647	50.132	49.192	49.556	
2013-10-05T06:00:00	49.137	49.950	48.437	49.880	48.962	49.868	48.324	49.647	
2013-09-28T06:00:00	48.515	49.147	47.853	49.137	48.272	48.986	47.639	48.962	
2013-09-21T06:00:00	50.242	50.352	48.233	48.515	50.043	50.122	48.169	48.272	
2013-09-14T06:00:00	49.054	50.922	48.886	50.242	48.840	50.776	48.556	50.043	
2013-09-07T06:00:00	48.427	50.098	48.497	49.054	48.184	50.031	48.189	48.840	
2013-08-31T06:00:00	48.307	49.437	47.826	48.427	48.058	49.312	47.755	48.184	
2013-08-24T06:00:00	49.748	49.789	46.927	48.307	49.525	49.596	46.802	48.058	
2013-08-17T06:00:00	50.299	50.484	49.267	49.748	50.068	50.338	49.107	49.525	
2013-08-10T06:00:00	50.262	51.015	49.987	50.299	49.951	50.912	49.827	50.068	
2013-08-03T06:00:00	51.458	51.662	49.867	50.262	51.264	51.345	49.706	49.951	
2013-07-27T06:00:00	51.084	51.737	50.407	51.458	50.943	51.444	50.272	51.264	
2013-07-20T06:00:00	52.598	52.749	50.899	51.084	52.358	52.518	50.817	50.943	
2013-07-13T06:00:00	50.869	52.598	50.782	52.598	50.692	52.413	50.456	52.358	
2013-07-06T06:00:00	51.546	52.381	50.506	50.869	51.361	52.265	50.352	50.692	
2013-06-29T06:00:00	51.493	52.297	50.904	51.546	51.359	52.215	50.823	51.361	
2013-06-22T06:00:00	50.663	51.698	49.781	51.493	50.310	51.582	49.702	51.359	
2013-06-15T06:00:00	50.687	51.404	49.847	50.663	50.539	51.317	49.737	50.310	
2013-06-08T06:00:00	52.138	52.578	50.002	50.687	51.790	52.322	49.913	50.539	
2013-06-01T06:00:00	53.599	53.771	50.377	52.138	53.449	53.586	50.272	51.790	
2013-05-25T06:00:00	54.947	55.499	52.987	53.599	54.756	55.312	52.922	53.449	
2013-05-18T06:00:00	56.100	56.285	54.433	54.947	55.954	56.214	54.366	54.756	
2013-05-11T06:00:00	56.487	56.763	55.487	56.100	56.362	56.592	55.404	55.954	
2013-05-04T06:00:00	55.247	56.550	54.957	56.487	55.122	56.484	54.811	56.362	
2013-04-27T06:00:00	54.597	55.344	54.083	55.247	54.482	55.259	53.877	55.122	
2013-04-20T06:00:00	55.397	55.861	54.307	54.597	55.172	55.443	54.232	54.482	
2013-04-13T06:00:00	55.117	55.447	53.517	55.397	54.922	55.365	53.216	55.172	
2013-04-06T06:00:00	54.422	56.175	54.422	55.117	54.342	55.954	54.329	54.922	
2013-03-30T06:00:00	52.231	54.572	51.284	54.422	51.853	54.495	51.208	54.342	
2013-03-23T06:00:00	52.141	52.509	51.292	52.231	52.045	52.367	51.212	51.853	
2013-03-16T06:00:00	52.817	53.201	51.765	52.141	52.692	52.841	51.511	52.045	
2013-03-09T07:00:00	53.297	53.819	52.647	52.817	53.092	53.726	52.582	52.692	
2013-03-02T07:00:00	52.097	53.920	51.698	53.297	51.992	53.742	51.632	53.092	
2013-02-23T07:00:00	51.927	53.023	50.266	52.097	51.772	52.671	50.187	51.992	
2013-02-16T07:00:00	53.027	53.312	51.723	51.927	52.782	53.237	51.654	51.772	
2013-02-09T07:00:00	52.387	53.321	52.147	53.027	52.282	53.193	52.085	52.782	
2013-02-02T07:00:00	53.137	53.439	52.005	52.387	53.032	53.352	51.942	52.282	
2013-01-26T07:00:00	51.438	53.227	51.002	53.137	51.352	53.142	50.927	53.032	
2013-01-19T07:00:00	51.222	51.667	49.677	51.438	51.112	51.605	49.609	51.352	
2013-01-12T07:00:00	50.455	51.459	49.566	51.222	50.292	51.387	49.501	51.112	
2013-01-05T07:00:00	49.519	50.596	48.857	50.455	49.419	50.514	48.754	50.292	
2012-12-29T07:00:00	48.080	49.595	47.924	49.519	47.989	49.507	47.593	49.419	
2012-12-22T07:00:00	46.938	48.465	46.938	48.080	46.838	48.357	46.838	47.989	
2012-12-15T07:00:00	47.016	47.793	46.757	46.938	46.920	47.480	46.685	46.838	
2012-12-08T07:00:00	46.142	47.187	45.857	47.016	46.068	47.112	45.675	46.920	
2012-12-01T07:00:00	46.185	46.501	45.804	46.142	46.098	46.207	45.735	46.068	
2012-11-24T07:00:00	45.963	46.387	45.567	46.185	45.872	46.323	45.428	46.098	
2012-11-17T07:00:00	45.230	46.045	45.000	45.963	45.139	45.979	44.935	45.872	
2012-11-10T07:00:00	44.437	45.464	43.844	45.230	44.352	45.197	43.673	45.139	
2012-11-03T06:00:00	44.948	45.628	44.145	44.437	44.866	45.354	44.081	44.352	
2012-10-27T06:00:00	44.347	45.178	43.948	44.948	44.182	45.102	43.552	44.866	
2012-10-20T06:00:00	44.239	44.707	44.105	44.347	44.148	44.639	43.934	44.182	
2012-10-13T06:00:00	43.437	44.277	43.248	44.239	43.355	44.212	43.123	44.148	
2012-10-06T06:00:00	43.628	43.637	42.856	43.437	43.477	43.554	42.782	43.355	
2012-09-29T06:00:00	43.412	44.076	43.307	43.628	43.286	43.896	43.082	43.477	
2012-09-22T06:00:00	43.587	43.856	43.225	43.412	43.496	43.576	43.160	43.286	
2012-09-15T06:00:00	43.656	44.293	43.297	43.587	43.565	44.232	43.235	43.496	
2012-09-08T06:00:00	43.795	43.795	42.754	43.656	43.337	43.682	42.459	43.565	
2012-09-01T06:00:00	43.360	43.878	42.916	43.795	42.867	43.742	42.854	43.337	
2012-08-25T06:00:00	43.812	43.897	42.904	43.360	43.710	43.811	42.839	42.867	
2012-08-18T06:00:00	44.368	44.527	43.597	43.812	44.007	44.325	43.535	43.710	
