日時	US30(始値, 買い)	US30(高値, 買い)	US30(安値, 買い)	US30(終値, 買い)	US30(始値, 売り)	US30(高値, 売り)	US30(安値, 売り)	US30(終値, 売り)	
2014-02-01T07:00:00	15718	15761	15342	15461	15714	15757	15338	15457	
2014-01-25T07:00:00	15869	16044	15615	15718	15865	16040	15611	15714	
2014-01-18T07:00:00	16460	16551	15867	15869	16456	16547	15863	15865	
2014-01-11T07:00:00	16448	16508	16243	16460	16444	16504	16239	16456	
2014-01-04T07:00:00	16473	16564	16382	16448	16469	16560	16378	16444	
2013-12-28T07:00:00	16483	16573	16401	16473	16479	16569	16397	16469	
2013-12-21T07:00:00	16238	16531	16238	16483	16234	16527	16234	16479	
2013-12-14T07:00:00	15761	16283	15666	16238	15757	16279	15662	16234	
2013-12-07T07:00:00	16020	16059	15704	15761	16016	16055	15700	15757	
2013-11-30T07:00:00	16095	16132	15794	16020	16091	16128	15790	16016	
2013-11-23T07:00:00	16056	16180	16057	16095	16052	16176	16053	16091	
2013-11-16T07:00:00	15949	16071	15866	16056	15945	16067	15862	16052	
2013-11-09T07:00:00	15751	15965	15658	15949	15747	15961	15654	15945	
2013-11-02T06:00:00	15605	15832	15522	15751	15601	15828	15518	15747	
2013-10-26T06:00:00	15562	15741	15534	15605	15558	15737	15530	15601	
2013-10-19T06:00:00	15381	15578	15363	15562	15377	15574	15359	15558	
2013-10-12T06:00:00	15249	15417	15110	15381	15245	15413	15106	15377	
2013-10-05T06:00:00	15075	15254	14721	15249	15071	15250	14717	15245	
2013-09-28T06:00:00	15268	15213	14943	15075	15264	15209	14939	15071	
2013-09-21T06:00:00	15471	15525	15209	15268	15467	15521	15205	15264	
2013-09-14T06:00:00	15384	15726	15464	15471	15380	15722	15460	15467	
2013-09-07T06:00:00	14929	15389	14922	15384	14925	15385	14918	15380	
2013-08-31T06:00:00	14821	15019	14777	14929	14817	15013	14773	14925	
2013-08-24T06:00:00	15010	15053	14765	14821	15006	15049	14761	14817	
2013-08-17T06:00:00	15066	15104	14828	15010	15062	15100	14824	15006	
2013-08-10T06:00:00	15415	15508	15055	15066	15411	15504	15051	15062	
2013-08-03T06:00:00	15650	15655	15346	15415	15646	15651	15342	15411	
2013-07-27T06:00:00	15556	15658	15478	15650	15552	15654	15474	15646	
2013-07-20T06:00:00	15558	15622	15402	15556	15554	15618	15398	15552	
2013-07-13T06:00:00	15435	15591	15408	15558	15431	15587	15404	15554	
2013-07-06T06:00:00	15147	15500	15131	15435	15143	15496	15127	15431	
2013-06-29T06:00:00	14907	15190	14820	15147	14903	15176	14816	15143	
2013-06-22T06:00:00	14789	15078	14551	14907	14785	15074	14547	14903	
2013-06-15T06:00:00	15062	15348	14686	14789	15058	15344	14682	14785	
2013-06-08T06:00:00	15217	15303	14879	15062	15213	15299	14875	15058	
2013-06-01T06:00:00	15130	15310	14848	15228	15126	15306	14844	15224	
2013-05-25T06:00:00	15323	15526	15117	15130	15319	15522	15113	15126	
2013-05-18T06:00:00	15342	15544	15160	15323	15338	15540	15156	15319	
2013-05-11T06:00:00	15106	15359	15051	15342	15102	15355	15047	15338	
2013-05-04T06:00:00	14962	15152	14939	15106	14958	15148	14935	15102	
2013-04-27T06:00:00	14708	15015	14688	14962	14704	15011	14684	14958	
2013-04-20T06:00:00	14534	14770	14456	14708	14530	14766	14452	14704	
2013-04-13T06:00:00	14848	14863	14470	14534	14844	14859	14465	14530	
2013-04-06T06:00:00	14558	14890	14500	14848	14554	14886	14496	14844	
2013-03-30T06:00:00	14581	14687	14434	14558	14577	14683	14430	14554	
2013-03-23T06:00:00	14524	14590	14394	14581	14520	14586	14390	14577	
2013-03-16T06:00:00	14513	14548	14342	14524	14509	14544	14338	14520	
2013-03-09T07:00:00	14390	14546	14362	14513	14386	14542	14358	14509	
2013-03-02T07:00:00	14087	14438	14020	14390	14083	14424	14016	14386	
2013-02-23T07:00:00	13998	14150	13766	14087	13994	14146	13762	14083	
2013-02-16T07:00:00	13978	14057	13836	13998	13974	14053	13832	13994	
2013-02-09T07:00:00	13983	14042	13905	13978	13979	14038	13901	13974	
2013-02-02T07:00:00	13994	14027	13859	13983	13990	14023	13855	13979	
2013-01-26T07:00:00	13872	14022	13861	13994	13868	14018	13855	13990	
2013-01-19T07:00:00	13635	13900	13592	13872	13631	13896	13588	13868	
2013-01-12T07:00:00	13497	13646	13445	13635	13493	13642	13441	13631	
