日時	USD/CAD(始値, 買い)	USD/CAD(高値, 買い)	USD/CAD(安値, 買い)	USD/CAD(終値, 買い)	USD/CAD(始値, 売り)	USD/CAD(高値, 売り)	USD/CAD(安値, 売り)	USD/CAD(終値, 売り)	
2014-02-01T07:00:00	1.11348	1.11348	1.10420	1.10872	1.11291	1.11326	1.10405	1.10851	
2014-01-25T07:00:00	1.10868	1.12252	1.10326	1.11348	1.10821	1.12237	1.10309	1.11291	
2014-01-18T07:00:00	1.09678	1.11745	1.09308	1.10868	1.09621	1.11731	1.09287	1.10821	
2014-01-11T07:00:00	1.09038	1.09922	1.08437	1.09678	1.08951	1.09903	1.08418	1.09621	
2014-01-04T07:00:00	1.06398	1.09468	1.06099	1.09038	1.06311	1.09454	1.06078	1.08951	
2013-12-28T07:00:00	1.07108	1.07286	1.05895	1.06398	1.07001	1.07266	1.05876	1.06311	
2013-12-21T07:00:00	1.06388	1.07197	1.05825	1.07108	1.06331	1.07180	1.05808	1.07001	
2013-12-14T07:00:00	1.05923	1.07384	1.05734	1.06388	1.05831	1.07366	1.05717	1.06331	
2013-12-07T07:00:00	1.06408	1.06709	1.05617	1.05923	1.06361	1.06691	1.05602	1.05831	
2013-11-30T07:00:00	1.06196	1.07092	1.06150	1.06408	1.06091	1.07076	1.06131	1.06361	
2013-11-23T07:00:00	1.05208	1.06294	1.05212	1.06196	1.05146	1.06274	1.05193	1.06091	
2013-11-16T07:00:00	1.04433	1.05702	1.04154	1.05208	1.04348	1.05685	1.04141	1.05146	
2013-11-09T07:00:00	1.04804	1.05266	1.04389	1.04433	1.04771	1.05251	1.04348	1.04348	
2013-11-02T06:00:00	1.04268	1.05043	1.03990	1.04804	1.04215	1.05029	1.03973	1.04771	
2013-10-26T06:00:00	1.04522	1.04975	1.04127	1.04268	1.04481	1.04979	1.04109	1.04215	
2013-10-19T06:00:00	1.02915	1.04615	1.02720	1.04522	1.02866	1.04599	1.02704	1.04481	
2013-10-12T06:00:00	1.03545	1.03920	1.02779	1.02915	1.03517	1.03902	1.02765	1.02866	
2013-10-05T06:00:00	1.02978	1.04205	1.02885	1.03545	1.02933	1.04190	1.02816	1.03517	
2013-09-28T06:00:00	1.03069	1.03576	1.02762	1.02978	1.03041	1.03559	1.02739	1.02933	
2013-09-21T06:00:00	1.03092	1.03413	1.02725	1.03069	1.03037	1.03396	1.02680	1.03041	
2013-09-14T06:00:00	1.03545	1.03572	1.01832	1.03092	1.03523	1.03497	1.01816	1.03037	
2013-09-07T06:00:00	1.04133	1.04370	1.03070	1.03545	1.04077	1.04349	1.03050	1.03523	
2013-08-31T06:00:00	1.05432	1.05607	1.03821	1.04133	1.05318	1.05590	1.03807	1.04077	
2013-08-24T06:00:00	1.05037	1.05588	1.04730	1.05432	1.04950	1.05573	1.04706	1.05318	
2013-08-17T06:00:00	1.03432	1.05701	1.03169	1.05037	1.03378	1.05675	1.03153	1.04950	
2013-08-10T06:00:00	1.02940	1.03706	1.02809	1.03432	1.02822	1.03689	1.02791	1.03378	
2013-08-03T06:00:00	1.03932	1.04461	1.02759	1.02940	1.03854	1.04446	1.02745	1.02822	
2013-07-27T06:00:00	1.02794	1.04035	1.02470	1.03932	1.02730	1.04018	1.02447	1.03854	
2013-07-20T06:00:00	1.03704	1.03754	1.02561	1.02794	1.03625	1.03697	1.02544	1.02730	
2013-07-13T06:00:00	1.03984	1.04466	1.03565	1.03704	1.03955	1.04414	1.03548	1.03625	
2013-07-06T06:00:00	1.05817	1.05916	1.03273	1.03984	1.05701	1.05847	1.03252	1.03955	
2013-06-29T06:00:00	1.05242	1.06102	1.04726	1.05817	1.05127	1.06085	1.04709	1.05701	
