日時	USD/CHF(始値, 買い)	USD/CHF(高値, 買い)	USD/CHF(安値, 買い)	USD/CHF(終値, 買い)	USD/CHF(始値, 売り)	USD/CHF(高値, 売り)	USD/CHF(安値, 売り)	USD/CHF(終値, 売り)	
2014-02-01T07:00:00	0.90640	0.90826	0.90045	0.90345	0.90581	0.90809	0.89992	0.90324	
2014-01-25T07:00:00	0.89466	0.90810	0.89329	0.90640	0.89392	0.90790	0.89311	0.90581	
2014-01-18T07:00:00	0.91073	0.91573	0.89047	0.89466	0.90992	0.91557	0.89022	0.89392	
2014-01-11T07:00:00	0.90322	0.91210	0.89866	0.91073	0.90241	0.91190	0.89856	0.90992	
2014-01-04T07:00:00	0.90586	0.91281	0.90058	0.90322	0.90505	0.91264	0.90043	0.90241	
2013-12-28T07:00:00	0.89225	0.90590	0.88612	0.90586	0.89132	0.90571	0.88597	0.90505	
2013-12-21T07:00:00	0.89648	0.89734	0.88009	0.89225	0.89567	0.89716	0.87986	0.89132	
2013-12-14T07:00:00	0.88963	0.90021	0.88334	0.89648	0.88879	0.90006	0.88317	0.89567	
2013-12-07T07:00:00	0.89250	0.89353	0.88407	0.88963	0.89169	0.89336	0.88389	0.88879	
2013-11-30T07:00:00	0.90662	0.91113	0.89134	0.89250	0.90560	0.91096	0.89117	0.89169	
2013-11-23T07:00:00	0.90735	0.91322	0.90294	0.90662	0.90653	0.91305	0.90276	0.90560	
2013-11-16T07:00:00	0.91579	0.91930	0.90676	0.90735	0.91397	0.91900	0.90653	0.90653	
2013-11-09T07:00:00	0.92202	0.92331	0.91242	0.91579	0.92107	0.92312	0.91225	0.91397	
2013-11-02T06:00:00	0.91246	0.92508	0.90936	0.92202	0.91170	0.92494	0.90918	0.92107	
2013-10-26T06:00:00	0.89295	0.91390	0.89228	0.91246	0.89239	0.91373	0.89183	0.91170	
2013-10-19T06:00:00	0.90172	0.90457	0.88913	0.89295	0.90153	0.90440	0.88896	0.89239	
2013-10-12T06:00:00	0.91226	0.91791	0.90057	0.90172	0.91184	0.91775	0.90038	0.90153	
2013-10-05T06:00:00	0.90748	0.91329	0.90168	0.91226	0.90688	0.91314	0.90147	0.91184	
2013-09-28T06:00:00	0.90624	0.90830	0.89686	0.90748	0.90558	0.90812	0.89667	0.90688	
2013-09-21T06:00:00	0.91052	0.91387	0.90223	0.90624	0.91036	0.91368	0.90204	0.90558	
2013-09-14T06:00:00	0.92965	0.93041	0.90903	0.91052	0.92891	0.92968	0.90884	0.91036	
2013-09-07T06:00:00	0.93796	0.94001	0.92735	0.92965	0.93742	0.93913	0.92709	0.92891	
2013-08-31T06:00:00	0.93054	0.94566	0.93093	0.93796	0.92877	0.94548	0.92969	0.93742	
2013-08-24T06:00:00	0.92268	0.93332	0.91720	0.93054	0.92091	0.93317	0.91699	0.92877	
2013-08-17T06:00:00	0.92739	0.92908	0.91480	0.92268	0.92562	0.92891	0.91464	0.92091	
2013-08-10T06:00:00	0.92333	0.93974	0.92179	0.92739	0.92149	0.93958	0.92159	0.92562	
2013-08-03T06:00:00	0.92980	0.93339	0.91752	0.92333	0.92891	0.93320	0.91731	0.92149	
2013-07-27T06:00:00	0.92898	0.93925	0.92298	0.92980	0.92790	0.93889	0.92274	0.92891	
2013-07-20T06:00:00	0.94191	0.94217	0.92639	0.92898	0.94072	0.94145	0.92630	0.92790	
2013-07-13T06:00:00	0.94723	0.95354	0.93592	0.94191	0.94546	0.95338	0.93558	0.94072	
2013-07-06T06:00:00	0.96458	0.97522	0.94074	0.94723	0.96281	0.97507	0.94032	0.94546	
2013-06-29T06:00:00	0.94580	0.96624	0.94405	0.96458	0.94403	0.96600	0.94373	0.96281	
2013-06-22T06:00:00	0.93509	0.94887	0.93137	0.94580	0.93332	0.94871	0.93118	0.94403	
2013-06-15T06:00:00	0.92169	0.93696	0.91766	0.93509	0.92047	0.93679	0.91747	0.93332	
2013-06-08T06:00:00	0.93673	0.94197	0.91318	0.92169	0.93514	0.94179	0.91296	0.92047	
2013-06-01T06:00:00	0.95622	0.96255	0.92277	0.93673	0.95521	0.96238	0.92239	0.93514	
2013-05-25T06:00:00	0.96151	0.97914	0.95126	0.95622	0.96072	0.97896	0.95108	0.95521	
2013-05-18T06:00:00	0.97274	0.98392	0.95914	0.96151	0.97220	0.98380	0.95897	0.96072	
2013-05-11T06:00:00	0.95767	0.97626	0.95220	0.97274	0.95660	0.97610	0.95203	0.97220	
2013-05-04T06:00:00	0.93574	0.96294	0.93339	0.95767	0.93515	0.96274	0.93323	0.95660	
2013-04-27T06:00:00	0.94312	0.94379	0.92482	0.93574	0.94250	0.94295	0.92463	0.93515	
2013-04-20T06:00:00	0.93436	0.94998	0.93135	0.94312	0.93354	0.94982	0.93013	0.94250	
2013-04-13T06:00:00	0.92778	0.93453	0.92075	0.93436	0.92706	0.93423	0.92056	0.93354	
2013-04-06T06:00:00	0.93471	0.93735	0.92661	0.92778	0.93406	0.93658	0.92631	0.92706	
2013-03-30T06:00:00	0.94962	0.95280	0.93138	0.93471	0.94912	0.95259	0.93120	0.93406	
2013-03-23T06:00:00	0.94105	0.95550	0.93543	0.94962	0.94026	0.95531	0.93502	0.94912	
2013-03-16T06:00:00	0.93890	0.94927	0.93890	0.94105	0.93845	0.94908	0.93845	0.94026	
2013-03-09T07:00:00	0.95208	0.95680	0.93806	0.93890	0.95164	0.95662	0.93788	0.93845	
2013-03-02T07:00:00	0.94318	0.95536	0.93942	0.95208	0.94275	0.95510	0.93926	0.95164	
2013-02-23T07:00:00	0.92992	0.94642	0.92327	0.94318	0.92941	0.94625	0.92306	0.94275	
2013-02-16T07:00:00	0.92222	0.93339	0.91857	0.92992	0.92150	0.93321	0.91837	0.92941	
2013-02-09T07:00:00	0.91773	0.92468	0.91506	0.92222	0.91722	0.92452	0.91490	0.92150	
2013-02-02T07:00:00	0.90842	0.92023	0.90580	0.91773	0.90743	0.92005	0.90559	0.91722	
2013-01-26T07:00:00	0.92704	0.92937	0.90233	0.90842	0.92682	0.92918	0.90213	0.90743	
2013-01-19T07:00:00	0.93497	0.93573	0.92230	0.92704	0.93364	0.93491	0.92211	0.92682	
2013-01-12T07:00:00	0.91379	0.93901	0.91211	0.93497	0.91348	0.93878	0.91191	0.93364	
2013-01-05T07:00:00	0.92528	0.92878	0.91116	0.91379	0.92424	0.92860	0.91100	0.91348	
2012-12-29T07:00:00	0.91362	0.93043	0.90929	0.92528	0.91325	0.93025	0.90897	0.92424	
2012-12-22T07:00:00	0.91660	0.91826	0.90972	0.91362	0.91603	0.91810	0.90952	0.91325	
2012-12-15T07:00:00	0.91818	0.91959	0.90845	0.91660	0.91781	0.91939	0.90828	0.91603	
2012-12-08T07:00:00	0.93472	0.93732	0.91678	0.91818	0.93406	0.93691	0.91659	0.91781	
2012-12-01T07:00:00	0.92829	0.93839	0.92420	0.93472	0.92796	0.93824	0.92402	0.93406	
2012-11-24T07:00:00	0.92862	0.93420	0.92467	0.92829	0.92732	0.93401	0.92448	0.92796	
2012-11-17T07:00:00	0.94566	0.94599	0.92671	0.92862	0.94529	0.94578	0.92649	0.92732	
2012-11-10T07:00:00	0.94851	0.95138	0.94043	0.94566	0.94818	0.95118	0.94025	0.94529	
2012-11-03T06:00:00	0.94055	0.94998	0.93821	0.94851	0.94024	0.94979	0.93802	0.94818	
2012-10-27T06:00:00	0.93493	0.94157	0.92775	0.94055	0.93462	0.94140	0.92756	0.94024	
2012-10-20T06:00:00	0.92862	0.93877	0.92502	0.93493	0.92811	0.93857	0.92482	0.93462	
2012-10-13T06:00:00	0.93343	0.93730	0.92157	0.92862	0.93300	0.93708	0.92135	0.92811	
2012-10-06T06:00:00	0.92952	0.94331	0.92952	0.93343	0.92913	0.94313	0.92913	0.93300	
2012-09-29T06:00:00	0.94009	0.94396	0.92767	0.92952	0.93976	0.94374	0.92746	0.92913	
2012-09-22T06:00:00	0.93329	0.94185	0.93260	0.94009	0.93290	0.94167	0.93177	0.93976	
2012-09-15T06:00:00	0.92747	0.93570	0.92468	0.93329	0.92708	0.93551	0.92439	0.93290	
2012-09-08T06:00:00	0.94424	0.94849	0.92399	0.92747	0.94359	0.94831	0.92377	0.92708	
2012-09-01T06:00:00	0.95520	0.96090	0.94354	0.94424	0.95482	0.96072	0.94334	0.94359	
2012-08-25T06:00:00	0.95986	0.96361	0.95034	0.95520	0.95945	0.96345	0.95016	0.95482	
2012-08-18T06:00:00	0.97444	0.97688	0.95398	0.95986	0.97349	0.97669	0.95377	0.95945	
2012-08-11T06:00:00	0.97757	0.98002	0.96985	0.97444	0.97718	0.97984	0.96962	0.97349	
