日時	USD/HKD(始値, 買い)	USD/HKD(高値, 買い)	USD/HKD(安値, 買い)	USD/HKD(終値, 買い)	USD/HKD(始値, 売り)	USD/HKD(高値, 売り)	USD/HKD(安値, 売り)	USD/HKD(終値, 売り)	
2014-02-01T07:00:00	7.76418	7.76769	7.75938	7.75981	7.76231	7.76724	7.75904	7.75942	
2014-01-25T07:00:00	7.76360	7.76807	7.76151	7.76418	7.76205	7.76755	7.76108	7.76231	
2014-01-18T07:00:00	7.75580	7.76457	7.75577	7.76360	7.75480	7.76412	7.75517	7.76205	
2014-01-11T07:00:00	7.75480	7.75667	7.75410	7.75580	7.75380	7.75634	7.75369	7.75480	
2014-01-04T07:00:00	7.75468	7.75542	7.75407	7.75480	7.75361	7.75508	7.75357	7.75380	
2013-12-28T07:00:00	7.75555	7.75546	7.75381	7.75468	7.75431	7.75520	7.75341	7.75361	
2013-12-21T07:00:00	7.75501	7.75590	7.75373	7.75555	7.75405	7.75545	7.75290	7.75431	
2013-12-14T07:00:00	7.75425	7.75550	7.75226	7.75501	7.75325	7.75508	7.75182	7.75405	
2013-12-07T07:00:00	7.75495	7.75509	7.75318	7.75425	7.75395	7.75468	7.75273	7.75325	
2013-11-30T07:00:00	7.75320	7.75514	7.75211	7.75495	7.75220	7.75478	7.75153	7.75395	
2013-11-23T07:00:00	7.75342	7.75359	7.75202	7.75320	7.75230	7.75294	7.75166	7.75220	
2013-11-16T07:00:00	7.75492	7.75437	7.75166	7.75342	7.75297	7.75371	7.75093	7.75230	
2013-11-09T07:00:00	7.75267	7.75492	7.75185	7.75492	7.75072	7.75427	7.75124	7.75297	
2013-11-02T06:00:00	7.75259	7.75305	7.75165	7.75267	7.75160	7.75230	7.75072	7.75072	
2013-10-26T06:00:00	7.75418	7.75423	7.75219	7.75259	7.75311	7.75370	7.75160	7.75160	
2013-10-19T06:00:00	7.75360	7.75527	7.75230	7.75418	7.75260	7.75480	7.75187	7.75311	
2013-10-12T06:00:00	7.75446	7.75517	7.75322	7.75360	7.75382	7.75474	7.75260	7.75260	
2013-10-05T06:00:00	7.75501	7.75547	7.75377	7.75446	7.75403	7.75467	7.75342	7.75382	
2013-09-28T06:00:00	7.75494	7.75647	7.75388	7.75501	7.75369	7.75578	7.75344	7.75403	
2013-09-21T06:00:00	7.75376	7.75504	7.75321	7.75494	7.75231	7.75464	7.75240	7.75369	
2013-09-14T06:00:00	7.75461	7.75520	7.75279	7.75376	7.75380	7.75460	7.75228	7.75231	
2013-09-07T06:00:00	7.75541	7.75657	7.75401	7.75461	7.75456	7.75572	7.75352	7.75380	
2013-08-31T06:00:00	7.75587	7.75687	7.75427	7.75541	7.75412	7.75651	7.75374	7.75456	
2013-08-24T06:00:00	7.75579	7.75718	7.75409	7.75587	7.75399	7.75678	7.75371	7.75412	
2013-08-17T06:00:00	7.75481	7.75622	7.75362	7.75579	7.75344	7.75586	7.75314	7.75399	
2013-08-10T06:00:00	7.75637	7.75640	7.75401	7.75481	7.75522	7.75591	7.75344	7.75344	
2013-08-03T06:00:00	7.75717	7.75769	7.75490	7.75637	7.75534	7.75688	7.75440	7.75522	
2013-07-27T06:00:00	7.75766	7.75788	7.75417	7.75717	7.75663	7.75728	7.75370	7.75534	
2013-07-20T06:00:00	7.75857	7.75935	7.75672	7.75766	7.75752	7.75877	7.75635	7.75663	
2013-07-13T06:00:00	7.75960	7.76007	7.75710	7.75857	7.75810	7.75923	7.75637	7.75752	
2013-07-06T06:00:00	7.75526	7.75960	7.75423	7.75960	7.75362	7.75870	7.75347	7.75810	
2013-06-29T06:00:00	7.75721	7.75779	7.75244	7.75526	7.75588	7.75708	7.75200	7.75362	
2013-06-22T06:00:00	7.75920	7.76028	7.75551	7.75721	7.75737	7.75996	7.75509	7.75588	
2013-06-15T06:00:00	7.76164	7.76279	7.75374	7.75920	7.76010	7.76127	7.75327	7.75737	
2013-06-08T06:00:00	7.76327	7.76626	7.76051	7.76164	7.76221	7.76576	7.76009	7.76010	
2013-06-01T06:00:00	7.76321	7.76424	7.75929	7.76327	7.76223	7.76357	7.75880	7.76221	
2013-05-25T06:00:00	7.76349	7.76478	7.76241	7.76321	7.76251	7.76423	7.76197	7.76223	
2013-05-18T06:00:00	7.76258	7.76429	7.76074	7.76349	7.76203	7.76377	7.76016	7.76251	
2013-05-11T06:00:00	7.76162	7.76435	7.76046	7.76258	7.76101	7.76397	7.75976	7.76203	
2013-05-04T06:00:00	7.75888	7.76198	7.75855	7.76162	7.75831	7.76162	7.75793	7.76101	
2013-04-27T06:00:00	7.76390	7.76417	7.75853	7.75888	7.76239	7.76340	7.75813	7.75831	
2013-04-20T06:00:00	7.76452	7.76525	7.76318	7.76390	7.76375	7.76480	7.76239	7.76239	
2013-04-13T06:00:00	7.76268	7.76480	7.76175	7.76452	7.76131	7.76435	7.76122	7.76375	
2013-04-06T06:00:00	7.76458	7.76595	7.76076	7.76268	7.76361	7.76500	7.76014	7.76131	
2013-03-30T06:00:00	7.76380	7.76657	7.76172	7.76458	7.76288	7.76626	7.76134	7.76361	
2013-03-23T06:00:00	7.76421	7.76550	7.75873	7.76380	7.76358	7.76506	7.75836	7.76288	
2013-03-16T06:00:00	7.76120	7.76427	7.75980	7.76421	7.76013	7.76386	7.75862	7.76358	
2013-03-09T07:00:00	7.75729	7.76208	7.75630	7.76120	7.75668	7.76137	7.75532	7.76013	
2013-03-02T07:00:00	7.75480	7.75762	7.75463	7.75729	7.75388	7.75724	7.75388	7.75668	
2013-02-23T07:00:00	7.75627	7.75981	7.75417	7.75480	7.75543	7.75946	7.75375	7.75388	
2013-02-16T07:00:00	7.75499	7.75736	7.75425	7.75627	7.75401	7.75703	7.75375	7.75543	
2013-02-09T07:00:00	7.75551	7.75667	7.75405	7.75499	7.75411	7.75623	7.75357	7.75401	
2013-02-02T07:00:00	7.75614	7.75834	7.75335	7.75551	7.75568	7.75790	7.75289	7.75411	
2013-01-26T07:00:00	7.75452	7.76026	7.75398	7.75614	7.75382	7.75989	7.75342	7.75568	
2013-01-19T07:00:00	7.75294	7.75482	7.75264	7.75452	7.75229	7.75441	7.75227	7.75382	
2013-01-12T07:00:00	7.75237	7.75356	7.75191	7.75294	7.75132	7.75315	7.75118	7.75229	
2013-01-05T07:00:00	7.75115	7.75312	7.75047	7.75237	7.75015	7.75282	7.75003	7.75132	
2012-12-29T07:00:00	7.75170	7.75233	7.75035	7.75115	7.75105	7.75183	7.74987	7.75015	
2012-12-22T07:00:00	7.75061	7.75252	7.75022	7.75170	7.74978	7.75206	7.74970	7.75105	
2012-12-15T07:00:00	7.75046	7.75106	7.75019	7.75061	7.74962	7.75040	7.74933	7.74978	
2012-12-08T07:00:00	7.75040	7.75067	7.75002	7.75046	7.74970	7.75004	7.74962	7.74962	
2012-12-01T07:00:00	7.75045	7.75063	7.75016	7.75040	7.74984	7.75012	7.74947	7.74970	
2012-11-24T07:00:00	7.75073	7.75097	7.75019	7.75045	7.74982	7.75047	7.74967	7.74984	
2012-11-17T07:00:00	7.75282	7.75297	7.75027	7.75073	7.75161	7.75217	7.74982	7.74982	
2012-11-10T07:00:00	7.75190	7.75282	7.75049	7.75282	7.75091	7.75237	7.74992	7.75161	
2012-11-03T06:00:00	7.75035	7.75217	7.75024	7.75190	7.74987	7.75156	7.74976	7.75091	
2012-10-27T06:00:00	7.75081	7.75091	7.75018	7.75035	7.74984	7.75058	7.74967	7.74987	
2012-10-20T06:00:00	7.75029	7.75134	7.75023	7.75081	7.74974	7.75082	7.74972	7.74984	
2012-10-13T06:00:00	7.75179	7.75262	7.75017	7.75029	7.75122	7.75210	7.74974	7.74974	
2012-10-06T06:00:00	7.75285	7.75351	7.75139	7.75179	7.75200	7.75287	7.75085	7.75122	
2012-09-29T06:00:00	7.75475	7.75616	7.75226	7.75285	7.75398	7.75574	7.75182	7.75200	
2012-09-22T06:00:00	7.75417	7.75496	7.75213	7.75475	7.75324	7.75435	7.75157	7.75398	
2012-09-15T06:00:00	7.75198	7.75449	7.75155	7.75417	7.75081	7.75395	7.75055	7.75324	
2012-09-08T06:00:00	7.75649	7.75707	7.75118	7.75198	7.75548	7.75593	7.75075	7.75081	
2012-09-01T06:00:00	7.75642	7.75759	7.75572	7.75649	7.75523	7.75717	7.75501	7.75548	
2012-08-25T06:00:00	7.75742	7.75742	7.75555	7.75642	7.75623	7.75683	7.75484	7.75523	
2012-08-18T06:00:00	7.75748	7.75813	7.75583	7.75742	7.75611	7.75730	7.75543	7.75623	
2012-08-11T06:00:00	7.75818	7.75907	7.75643	7.75748	7.75661	7.75840	7.75592	7.75611	
2012-08-04T06:00:00	7.75527	7.75873	7.75435	7.75818	7.75416	7.75767	7.75357	7.75661	
2012-07-28T06:00:00	7.75818	7.75818	7.75348	7.75527	7.75641	7.75699	7.75295	7.75416	
2012-07-21T06:00:00	7.75667	7.75918	7.75626	7.75818	7.75572	7.75877	7.75560	7.75641	
2012-07-14T06:00:00	7.75835	7.75835	7.75519	7.75667	7.75681	7.75762	7.75452	7.75572	
2012-07-07T06:00:00	7.75492	7.75837	7.75299	7.75835	7.75410	7.75766	7.75220	7.75681	
2012-06-30T06:00:00	7.75813	7.75877	7.75287	7.75492	7.75611	7.75807	7.75232	7.75410	
2012-06-23T06:00:00	7.76159	7.76159	7.75572	7.75813	7.75821	7.76077	7.75517	7.75611	
2012-06-16T06:00:00	7.76038	7.76188	7.75839	7.76159	7.75911	7.76116	7.75792	7.75821	
2012-06-09T06:00:00	7.75898	7.76117	7.75372	7.76038	7.75779	7.76055	7.75335	7.75911	
2012-06-02T06:00:00	7.76120	7.76262	7.75764	7.75898	7.75994	7.76205	7.75722	7.75779	
2012-05-26T06:00:00	7.76401	7.76802	7.76010	7.76120	7.76282	7.76751	7.75964	7.75994	
2012-05-19T06:00:00	7.76776	7.76822	7.76205	7.76401	7.76657	7.76756	7.76152	7.76282	
2012-05-12T06:00:00	7.76724	7.77153	7.76457	7.76776	7.76567	7.77103	7.76412	7.76657	
2012-05-05T06:00:00	7.76151	7.76733	7.76151	7.76724	7.76032	7.76614	7.76032	7.76567	
2012-04-28T06:00:00	7.76012	7.76258	7.75744	7.76151	7.75897	7.76217	7.75692	7.76032	
2012-04-21T06:00:00	7.76128	7.76287	7.75839	7.76012	7.75952	7.76172	7.75797	7.75897	
2012-04-14T06:00:00	7.75965	7.76388	7.75616	7.76128	7.75846	7.76321	7.75567	7.75952	
2012-04-07T06:00:00	7.76612	7.76727	7.75906	7.75965	7.76408	7.76628	7.75810	7.75846	
2012-03-31T06:00:00	7.76671	7.76694	7.76422	7.76612	7.76526	7.76632	7.76324	7.76408	
2012-03-24T06:00:00	7.76837	7.76947	7.76271	7.76671	7.76660	7.76893	7.76228	7.76526	
2012-03-17T06:00:00	7.76444	7.76937	7.76205	7.76837	7.76238	7.76867	7.76137	7.76660	
2012-03-10T07:00:00	7.75859	7.76451	7.75722	7.76444	7.75742	7.76369	7.75592	7.76238	
2012-03-03T07:00:00	7.75947	7.76487	7.75527	7.75859	7.75799	7.76432	7.75462	7.75742	
2012-02-25T07:00:00	7.75482	7.76012	7.75457	7.75947	7.75363	7.75967	7.75363	7.75799	
2012-02-18T07:00:00	7.75459	7.75672	7.75346	7.75482	7.75324	7.75612	7.75302	7.75363	
2012-02-11T07:00:00	7.75567	7.75752	7.75311	7.75459	7.75482	7.75623	7.75242	7.75324	
2012-02-04T07:00:00	7.75443	7.75732	7.75327	7.75567	7.75342	7.75677	7.75267	7.75482	
2012-01-28T07:00:00	7.75567	7.75877	7.75397	7.75443	7.75322	7.75818	7.75307	7.75342	
2012-01-21T07:00:00	7.76445	7.76445	7.75432	7.75567	7.76059	7.76295	7.75284	7.75322	
2012-01-14T07:00:00	7.76728	7.76967	7.75962	7.76445	7.76393	7.76912	7.75835	7.76059	
2012-01-07T07:00:00	7.76593	7.76934	7.76421	7.76728	7.76294	7.76872	7.76294	7.76393	
2011-12-31T07:00:00	7.76970	7.77093	7.76397	7.76593	7.76531	7.77036	7.76294	7.76294	
2011-12-24T07:00:00	7.77859	7.78167	7.76632	7.76970	7.77491	7.77938	7.76531	7.76531	
2011-12-17T07:00:00	7.78667	7.78697	7.77569	7.77859	7.78362	7.78582	7.77491	7.77491	
2011-12-10T07:00:00	7.78377	7.78684	7.77727	7.78667	7.78132	7.78625	7.77672	7.78362	
2011-12-03T07:00:00	7.76870	7.78384	7.76834	7.78377	7.76755	7.78252	7.76502	7.78132	
2011-11-26T07:00:00	7.79647	7.79787	7.76613	7.76870	7.79516	7.79592	7.76494	7.76755	
2011-11-19T07:00:00	7.78976	7.79847	7.78827	7.79647	7.78881	7.79782	7.78672	7.79516	
2011-11-12T07:00:00	7.77780	7.79049	7.77780	7.78976	7.77695	7.78902	7.77692	7.78881	
2011-11-05T06:00:00	7.76798	7.78397	7.76798	7.77780	7.76683	7.78312	7.76452	7.77695	
2011-10-29T06:00:00	7.76295	7.77356	7.76295	7.76798	7.76229	7.77272	7.76222	7.76683	
2011-10-22T06:00:00	7.78173	7.78247	7.76282	7.76295	7.78100	7.78100	7.76218	7.76229	
2011-10-15T06:00:00	7.77771	7.78227	7.77479	7.78173	7.77705	7.78147	7.77409	7.78100	
2011-10-08T06:00:00	7.78296	7.78390	7.77647	7.77771	7.78190	7.78329	7.77536	7.77705	
2011-10-01T06:00:00	7.78796	7.79217	7.78126	7.78296	7.78702	7.79040	7.78052	7.78190	
2011-09-24T06:00:00	7.80516	7.80516	7.78432	7.78796	7.80433	7.80433	7.78383	7.78702	
2011-09-17T06:00:00	7.79227	7.80577	7.78857	7.80516	7.79122	7.80462	7.78783	7.80433	
2011-09-10T06:00:00	7.79426	7.80787	7.78707	7.79227	7.79377	7.80742	7.78642	7.79122	
2011-09-03T06:00:00	7.78906	7.79672	7.78906	7.79426	7.78792	7.79632	7.78622	7.79377	
2011-08-27T06:00:00	7.79667	7.79772	7.78207	7.78906	7.79574	7.79712	7.78152	7.78792	
2011-08-20T06:00:00	7.79728	7.80118	7.79433	7.79667	7.79653	7.80006	7.79382	7.79574	
2011-08-13T06:00:00	7.79342	7.80249	7.78926	7.79728	7.79247	7.80202	7.78852	7.79653	
2011-08-06T06:00:00	7.80877	7.81166	7.79166	7.79342	7.80682	7.81113	7.79090	7.79247	
2011-07-30T06:00:00	7.79436	7.80890	7.79061	7.80877	7.79239	7.80712	7.78882	7.80682	
2011-07-23T06:00:00	7.79228	7.79657	7.78973	7.79436	7.79041	7.79478	7.78756	7.79239	
2011-07-16T06:00:00	7.79538	7.79778	7.79087	7.79228	7.79311	7.79612	7.78921	7.79041	
2011-07-09T06:00:00	7.78307	7.80053	7.78278	7.79538	7.78072	7.79891	7.78030	7.79311	
2011-07-02T06:00:00	7.78527	7.78533	7.78008	7.78307	7.78031	7.78361	7.77821	7.78072	
2011-06-25T06:00:00	7.79123	7.79188	7.78097	7.78527	7.78906	7.78971	7.77877	7.78031	
2011-06-18T06:00:00	7.79116	7.79683	7.78683	7.79123	7.78922	7.79507	7.78422	7.78906	
2011-06-11T06:00:00	7.78566	7.80518	7.78309	7.79116	7.78369	7.80341	7.78137	7.78922	
2011-06-04T06:00:00	7.77917	7.78577	7.77813	7.78566	7.77731	7.78412	7.77531	7.78369	
2011-05-28T06:00:00	7.78177	7.78478	7.77617	7.77917	7.77982	7.78176	7.77442	7.77731	
2011-05-21T06:00:00	7.77507	7.78717	7.77488	7.78177	7.77322	7.78552	7.77281	7.77982	
2011-05-14T06:00:00	7.77337	7.77898	7.77273	7.77507	7.77172	7.77731	7.76961	7.77322	
2011-05-07T06:00:00	7.77297	7.77503	7.77098	7.77337	7.77074	7.77331	7.76921	7.77172	
2011-04-30T06:00:00	7.76706	7.77477	7.76408	7.77297	7.76526	7.77261	7.76221	7.77074	
2011-04-23T06:00:00	7.77187	7.77543	7.76616	7.76706	7.76910	7.77368	7.76432	7.76526	
2011-04-16T06:00:00	7.77550	7.78228	7.76737	7.77187	7.77358	7.78061	7.76521	7.76910	
2011-04-09T06:00:00	7.77227	7.77828	7.76818	7.77550	7.77022	7.77633	7.76531	7.77358	
2011-04-02T06:00:00	7.77902	7.78258	7.76727	7.77227	7.77707	7.77916	7.76562	7.77022	
2011-03-26T06:00:00	7.79527	7.80411	7.77587	7.77902	7.79345	7.80121	7.77422	7.77707	
2011-03-19T06:00:00	7.80043	7.80278	7.79332	7.79527	7.79826	7.80021	7.79167	7.79345	
2011-03-12T07:00:00	7.78847	7.80518	7.78847	7.80043	7.78672	7.80261	7.78672	7.79826	
2011-03-05T07:00:00	7.78772	7.79373	7.78647	7.78847	7.78522	7.79187	7.78472	7.78672	
2011-02-26T07:00:00	7.79487	7.79588	7.78729	7.78772	7.79322	7.79322	7.78522	7.78522	
2011-02-19T07:00:00	7.78657	7.79778	7.78328	7.79487	7.78341	7.79612	7.78061	7.79322	
2011-02-12T07:00:00	7.79727	7.79778	7.78343	7.78657	7.79391	7.79582	7.78152	7.78341	
2011-02-05T07:00:00	7.78777	7.79777	7.78127	7.79727	7.78612	7.79592	7.77931	7.79391	
2011-01-29T07:00:00	7.79317	7.79928	7.78388	7.78777	7.79152	7.79736	7.78221	7.78612	
2011-01-22T07:00:00	7.79156	7.79927	7.78343	7.79317	7.78972	7.79762	7.77961	7.79152	
2011-01-15T07:00:00	7.77610	7.79168	7.77432	7.79156	7.77540	7.78990	7.77322	7.78972	
2011-01-08T07:00:00	7.77327	7.77998	7.77327	7.77536	7.77122	7.77811	7.77121	7.77322	
2011-01-01T07:00:00	7.77322	7.77742	7.76803	7.77327	7.77297	7.77517	7.76626	7.77122	
2010-12-25T07:00:00	7.78161	7.78593	7.77337	7.77427	7.77968	7.78424	7.77161	7.77222	
2010-12-18T07:00:00	7.77908	7.78521	7.77383	7.78161	7.77661	7.78361	7.77191	7.77968	
2010-12-11T07:00:00	7.77438	7.78038	7.77286	7.77908	7.77201	7.77821	7.77011	7.77661	
2010-12-04T07:00:00	7.76379	7.77728	7.76125	7.77438	7.76110	7.77551	7.75931	7.77201	
2010-11-27T07:00:00	7.76558	7.77318	7.76197	7.76379	7.76321	7.77126	7.76001	7.76110	
2010-11-20T07:00:00	7.75518	7.76618	7.75478	7.76558	7.75261	7.76406	7.75121	7.76321	
2010-11-13T07:00:00	7.75278	7.75878	7.75221	7.75518	7.75011	7.75673	7.75011	7.75261	
2010-11-06T06:00:00	7.75158	7.75358	7.75138	7.75238	7.74971	7.75161	7.74941	7.75051	
2010-10-30T06:00:00	7.75243	7.75508	7.75136	7.75158	7.75056	7.75271	7.74931	7.74971	
2010-10-23T06:00:00	7.76298	7.76408	7.75143	7.75243	7.76061	7.76188	7.74941	7.75056	
2010-10-16T06:00:00	7.75773	7.76738	7.75751	7.76298	7.75586	7.76556	7.75541	7.76061	
2010-10-09T06:00:00	7.75928	7.76228	7.75771	7.75773	7.75671	7.76041	7.75521	7.75586	
2010-10-02T06:00:00	7.75998	7.76188	7.75363	7.75928	7.75761	7.76001	7.75181	7.75671	
2010-09-25T06:00:00	7.75738	7.76558	7.75738	7.75998	7.75501	7.76381	7.75441	7.75761	
2010-09-18T06:00:00	7.76653	7.76753	7.75582	7.75738	7.76466	7.76486	7.75421	7.75501	
2010-09-11T06:00:00	7.76863	7.76998	7.76463	7.76653	7.76721	7.76748	7.76271	7.76466	
2010-09-04T06:00:00	7.77157	7.77588	7.76618	7.76863	7.76981	7.77396	7.76411	7.76721	
2010-08-28T06:00:00	7.77928	7.78268	7.77096	7.77157	7.77731	7.78053	7.76881	7.76981	
2010-08-21T06:00:00	7.77588	7.78148	7.77483	7.77928	7.77351	7.77926	7.77251	7.77731	
2010-08-14T06:00:00	7.77408	7.77748	7.76943	7.77588	7.77151	7.77556	7.76741	7.77351	
2010-08-07T06:00:00	7.76368	7.77418	7.76193	7.77408	7.76111	7.77202	7.76001	7.77151	
2010-07-31T06:00:00	7.76888	7.76898	7.76108	7.76368	7.76631	7.76633	7.75901	7.76111	
2010-07-24T06:00:00	7.76638	7.77238	7.76597	7.76888	7.76401	7.77043	7.76401	7.76631	
2010-07-17T06:00:00	7.77328	7.78028	7.76588	7.76638	7.77101	7.77813	7.76381	7.76401	
2010-07-10T06:00:00	7.76508	7.77888	7.76508	7.77328	7.76261	7.77672	7.76241	7.77101	
2010-07-03T06:00:00	7.79328	7.79688	7.76448	7.76508	7.79161	7.79463	7.76211	7.76261	
2010-06-26T06:00:00	7.77788	7.79818	7.77788	7.79328	7.77561	7.79596	7.77561	7.79161	
2010-06-19T06:00:00	7.78126	7.78228	7.76763	7.77788	7.78131	7.78131	7.76571	7.77561	
2010-06-12T06:00:00	7.78916	7.79392	7.78076	7.78126	7.78921	7.79397	7.78081	7.78131	
2010-06-05T06:00:00	7.79066	7.80530	7.78756	7.78916	7.79071	7.80535	7.78761	7.78921	
2010-05-29T06:00:00	7.78998	7.79498	7.78673	7.79066	7.78611	7.79478	7.78401	7.79071	
