日時	USD/JPY(始値, 買い)	USD/JPY(高値, 買い)	USD/JPY(安値, 買い)	USD/JPY(終値, 買い)	USD/JPY(始値, 売り)	USD/JPY(高値, 売り)	USD/JPY(安値, 売り)	USD/JPY(終値, 売り)	
2014-02-01T07:00:00	102.082	102.414	100.757	101.579	102.038	102.409	100.752	101.572	
2014-01-25T07:00:00	102.332	103.443	101.774	102.082	102.227	103.437	101.759	102.038	
2014-01-18T07:00:00	104.332	104.845	102.001	102.332	104.257	104.840	101.997	102.227	
2014-01-11T07:00:00	104.187	104.925	102.859	104.332	104.147	104.920	102.852	104.257	
2014-01-04T07:00:00	104.860	105.373	103.834	104.187	104.832	105.353	103.827	104.147	
2013-12-28T07:00:00	105.186	105.444	104.078	104.860	105.148	105.439	104.071	104.832	
2013-12-21T07:00:00	104.099	105.198	103.776	105.186	104.067	105.185	103.770	105.148	
2013-12-14T07:00:00	103.278	104.638	102.507	104.099	103.207	104.634	102.499	104.067	
2013-12-07T07:00:00	102.918	103.926	102.151	103.278	102.897	103.920	102.144	103.207	
2013-11-30T07:00:00	102.482	103.382	101.627	102.918	102.377	103.377	101.624	102.897	
2013-11-23T07:00:00	101.290	102.615	101.143	102.482	101.240	102.609	101.137	102.377	
2013-11-16T07:00:00	100.202	101.357	99.573	101.290	100.161	101.353	99.569	101.240	
2013-11-09T07:00:00	99.066	100.435	98.928	100.202	99.056	100.433	98.922	100.161	
2013-11-02T06:00:00	98.706	99.414	97.615	99.066	98.698	99.409	97.612	99.056	
2013-10-26T06:00:00	97.413	98.851	97.449	98.706	97.376	98.847	97.442	98.698	
2013-10-19T06:00:00	97.797	98.488	96.946	97.413	97.770	98.482	96.942	97.376	
2013-10-12T06:00:00	98.586	99.009	97.561	97.797	98.562	99.003	97.556	97.770	
2013-10-05T06:00:00	97.490	98.606	96.578	98.586	97.458	98.591	96.564	98.562	
2013-09-28T06:00:00	98.304	98.731	96.933	97.490	98.275	98.726	96.927	97.458	
2013-09-21T06:00:00	99.391	99.365	98.101	98.304	99.368	99.358	98.093	98.275	
2013-09-14T06:00:00	99.370	99.673	97.769	99.391	99.329	99.667	97.759	99.368	
2013-09-07T06:00:00	99.136	100.613	99.017	99.370	99.101	100.608	99.010	99.329	
