日時	USD/SGD(始値, 買い)	USD/SGD(高値, 買い)	USD/SGD(安値, 買い)	USD/SGD(終値, 買い)	USD/SGD(始値, 売り)	USD/SGD(高値, 売り)	USD/SGD(安値, 売り)	USD/SGD(終値, 売り)	
2014-02-01T07:00:00	1.27724	1.27854	1.26739	1.26859	1.27583	1.27770	1.26698	1.26815	
2014-01-25T07:00:00	1.27861	1.28060	1.27214	1.27724	1.27761	1.27988	1.27169	1.27583	
2014-01-18T07:00:00	1.27687	1.28324	1.27509	1.27861	1.27511	1.28282	1.27438	1.27761	
2014-01-11T07:00:00	1.26488	1.27687	1.26329	1.27687	1.26301	1.27606	1.26289	1.27511	
2014-01-04T07:00:00	1.26782	1.27425	1.26364	1.26488	1.26595	1.27360	1.26301	1.26301	
2013-12-28T07:00:00	1.26967	1.27005	1.26201	1.26782	1.26780	1.26963	1.26152	1.26595	
2013-12-21T07:00:00	1.26702	1.27000	1.26523	1.26967	1.26500	1.26939	1.26479	1.26780	
2013-12-14T07:00:00	1.25608	1.26863	1.25454	1.26702	1.25421	1.26823	1.25396	1.26500	
2013-12-07T07:00:00	1.25011	1.25852	1.24742	1.25608	1.24851	1.25811	1.24691	1.25421	
2013-11-30T07:00:00	1.25629	1.25723	1.24940	1.25011	1.25484	1.25686	1.24851	1.24851	
2013-11-23T07:00:00	1.25057	1.25698	1.24876	1.25629	1.24920	1.25656	1.24831	1.25484	
2013-11-16T07:00:00	1.24749	1.25298	1.24275	1.25057	1.24606	1.25258	1.24231	1.24920	
2013-11-09T07:00:00	1.24756	1.25207	1.24449	1.24749	1.24564	1.25166	1.24408	1.24606	
2013-11-02T06:00:00	1.24346	1.24865	1.24079	1.24756	1.24245	1.24825	1.24038	1.24564	
2013-10-26T06:00:00	1.23616	1.24454	1.23542	1.24346	1.23517	1.24411	1.23494	1.24245	
2013-10-19T06:00:00	1.23936	1.24359	1.23443	1.23616	1.23844	1.24319	1.23406	1.23517	
2013-10-12T06:00:00	1.24640	1.24786	1.23719	1.23936	1.24528	1.24711	1.23679	1.23844	
2013-10-05T06:00:00	1.24713	1.25440	1.24530	1.24640	1.24606	1.25396	1.24476	1.24528	
2013-09-28T06:00:00	1.25736	1.25851	1.24569	1.24713	1.25569	1.25804	1.24521	1.24606	
2013-09-21T06:00:00	1.25295	1.25757	1.24812	1.25736	1.25130	1.25717	1.24760	1.25569	
2013-09-14T06:00:00	1.27031	1.26862	1.24243	1.25295	1.26944	1.26750	1.24198	1.25130	
2013-09-07T06:00:00	1.27498	1.27607	1.26509	1.27031	1.27313	1.27560	1.26463	1.26944	
2013-08-31T06:00:00	1.27543	1.28157	1.27183	1.27498	1.27350	1.28108	1.27125	1.27313	
2013-08-24T06:00:00	1.27985	1.28568	1.27287	1.27543	1.27780	1.28520	1.27239	1.27350	
2013-08-17T06:00:00	1.27053	1.28655	1.26995	1.27985	1.26981	1.28594	1.26843	1.27780	
2013-08-10T06:00:00	1.25843	1.27582	1.25621	1.27053	1.25626	1.27536	1.25568	1.26981	
2013-08-03T06:00:00	1.27317	1.27396	1.25726	1.25843	1.27107	1.27352	1.25626	1.25626	
2013-07-27T06:00:00	1.26501	1.27726	1.26251	1.27317	1.26269	1.27663	1.26207	1.27107	
2013-07-20T06:00:00	1.26690	1.27023	1.25900	1.26501	1.26583	1.26975	1.25852	1.26269	
2013-07-13T06:00:00	1.26318	1.27110	1.25710	1.26690	1.26145	1.27067	1.25658	1.26583	
2013-07-06T06:00:00	1.28169	1.28616	1.25824	1.26318	1.28081	1.28568	1.25765	1.26145	
2013-06-29T06:00:00	1.26887	1.28236	1.26329	1.28169	1.26687	1.28183	1.26285	1.28081	
2013-06-22T06:00:00	1.27692	1.28169	1.26221	1.26887	1.27537	1.28118	1.26160	1.26687	
2013-06-15T06:00:00	1.25247	1.27779	1.25041	1.27692	1.25074	1.27728	1.24901	1.27537	
2013-06-08T06:00:00	1.24978	1.26350	1.24834	1.25247	1.24841	1.26298	1.24777	1.25074	
