日時	USD/TRY(始値, 買い)	USD/TRY(高値, 買い)	USD/TRY(安値, 買い)	USD/TRY(終値, 買い)	USD/TRY(始値, 売り)	USD/TRY(高値, 売り)	USD/TRY(安値, 売り)	USD/TRY(終値, 売り)	
2014-02-01T07:00:00	2.26113	2.28714	2.23243	2.24097	2.25240	2.28541	2.23161	2.23673	
2014-01-25T07:00:00	2.33868	2.39086	2.16443	2.26113	2.33336	2.38966	2.16081	2.25240	
2014-01-18T07:00:00	2.24032	2.34897	2.22841	2.33868	2.22840	2.34390	2.21976	2.33336	
2014-01-11T07:00:00	2.17125	2.24032	2.16288	2.24032	2.15723	2.23546	2.15901	2.22840	
2014-01-04T07:00:00	2.18372	2.19588	2.15814	2.17125	2.17020	2.19453	2.15470	2.15723	
2013-12-28T07:00:00	2.15793	2.18897	2.11280	2.18372	2.15205	2.18822	2.11221	2.17020	
2013-12-21T07:00:00	2.09873	2.17664	2.07640	2.15793	2.08421	2.17621	2.07573	2.15205	
2013-12-14T07:00:00	2.04579	2.09873	2.02542	2.09873	2.03227	2.09781	2.01991	2.08421	
2013-12-07T07:00:00	2.03276	2.05193	2.02116	2.04579	2.01924	2.04706	2.01953	2.03227	
2013-11-30T07:00:00	2.02521	2.05655	2.01757	2.03276	2.01329	2.05461	2.01416	2.01924	
2013-11-23T07:00:00	2.00588	2.03183	1.99419	2.02521	2.00408	2.02748	1.99361	2.01329	
2013-11-16T07:00:00	2.03644	2.03738	2.00182	2.00588	2.02262	2.03429	2.00136	2.00408	
2013-11-09T07:00:00	2.04490	2.06138	2.02881	2.03644	2.03088	2.06036	2.02196	2.02262	
2013-11-02T06:00:00	2.02032	2.05688	2.01326	2.04490	2.01440	2.05481	2.01036	2.03088	
2013-10-26T06:00:00	1.98653	2.02203	1.97819	2.02032	1.98023	2.02149	1.97593	2.01440	
2013-10-19T06:00:00	1.97211	1.98904	1.96569	1.98653	1.96347	1.98856	1.96171	1.98023	
2013-10-12T06:00:00	1.98437	1.99518	1.96093	1.97211	1.97723	1.99184	1.96003	1.96347	
2013-10-05T06:00:00	1.98939	2.00208	1.97348	1.98437	1.98460	2.00161	1.96933	1.97723	
2013-09-28T06:00:00	2.03416	2.04718	1.98698	1.98939	2.02729	2.04416	1.98459	1.98460	
2013-09-21T06:00:00	1.98546	2.04376	1.97461	2.03416	1.97717	2.04321	1.97336	2.02729	
2013-09-14T06:00:00	2.03242	2.03321	1.93403	1.98546	2.02595	2.02750	1.93261	1.97717	
2013-09-07T06:00:00	2.05540	2.05643	2.00413	2.03242	2.04746	2.05394	2.00349	2.02595	
2013-08-31T06:00:00	2.04163	2.08453	2.01191	2.05540	2.03394	2.08359	2.01151	2.04746	
2013-08-24T06:00:00	1.98928	2.07363	1.98661	2.04163	1.98551	2.07260	1.98293	2.03394	
2013-08-17T06:00:00	1.94783	2.00030	1.93949	1.98928	1.94121	1.99889	1.93439	1.98551	
2013-08-10T06:00:00	1.92477	1.94783	1.91707	1.94783	1.91503	1.94597	1.91207	1.94121	
2013-08-03T06:00:00	1.92799	1.93493	1.91466	1.92477	1.92283	1.93419	1.91404	1.91503	
2013-07-27T06:00:00	1.92788	1.95230	1.92192	1.92799	1.92401	1.95133	1.91698	1.92283	
2013-07-20T06:00:00	1.92264	1.93165	1.89998	1.92788	1.91307	1.93100	1.89821	1.92401	
2013-07-13T06:00:00	1.95993	1.96304	1.90786	1.92264	1.94624	1.95446	1.90671	1.91307	
2013-07-06T06:00:00	1.96858	1.97449	1.92218	1.95993	1.96651	1.97358	1.91898	1.94624	
2013-06-29T06:00:00	1.92875	1.97053	1.91817	1.96858	1.92756	1.96985	1.91769	1.96651	
2013-06-22T06:00:00	1.94048	1.96066	1.91437	1.92875	1.93751	1.95992	1.91376	1.92756	
2013-06-15T06:00:00	1.86048	1.95033	1.86287	1.94048	1.85781	1.94959	1.86231	1.93751	
2013-06-08T06:00:00	1.88365	1.90949	1.85064	1.86048	1.86888	1.90892	1.85004	1.85781	
