日時	USD/ZAR(始値, 買い)	USD/ZAR(高値, 買い)	USD/ZAR(安値, 買い)	USD/ZAR(終値, 買い)	USD/ZAR(始値, 売り)	USD/ZAR(高値, 売り)	USD/ZAR(安値, 売り)	USD/ZAR(終値, 売り)	
2014-02-01T07:00:00	11.12372	11.29447	11.06373	11.09757	11.11822	11.28022	11.06082	11.09022	
2014-01-25T07:00:00	11.10877	11.39127	10.90676	11.12372	11.07792	11.39032	10.90002	11.11822	
2014-01-18T07:00:00	10.87479	11.19627	10.79507	11.10877	10.85862	11.19412	10.79287	11.07792	
2014-01-11T07:00:00	10.64797	10.96217	10.64031	10.87479	10.64062	10.96052	10.63532	10.85862	
2014-01-04T07:00:00	10.67937	10.83797	10.59257	10.64797	10.65062	10.83452	10.59093	10.64062	
2013-12-28T07:00:00	10.54637	10.70017	10.40917	10.67937	10.51452	10.69702	10.39995	10.65062	
2013-12-21T07:00:00	10.37277	10.55157	10.30337	10.54637	10.33942	10.54072	10.30052	10.51452	
2013-12-14T07:00:00	10.30787	10.47752	10.21963	10.37277	10.27702	10.47522	10.21601	10.33942	
2013-12-07T07:00:00	10.33677	10.45417	10.27217	10.30787	10.30592	10.45202	10.27032	10.27702	
2013-11-30T07:00:00	10.19147	10.58627	10.12817	10.33677	10.15862	10.58302	10.12692	10.30592	
2013-11-23T07:00:00	10.08497	10.26327	10.02867	10.19147	10.05412	10.25660	10.02602	10.15862	
2013-11-16T07:00:00	10.16836	10.22887	10.05277	10.08497	10.15351	10.22622	10.05117	10.05412	
2013-11-09T07:00:00	10.34717	10.46007	10.12177	10.16836	10.31910	10.45883	10.11962	10.15351	
2013-11-02T06:00:00	10.20757	10.40422	10.11767	10.34717	10.17275	10.40162	10.10652	10.31910	
2013-10-26T06:00:00	9.83997	10.21947	9.77767	10.20757	9.81322	10.21772	9.77432	10.17275	
2013-10-19T06:00:00	9.80352	9.88757	9.71937	9.83997	9.79032	9.88662	9.71742	9.81322	
2013-10-12T06:00:00	9.89837	9.99027	9.74387	9.80352	9.88002	9.98452	9.74257	9.79032	
2013-10-05T06:00:00	9.97767	10.05117	9.86777	9.89837	9.97452	10.04852	9.86507	9.88002	
2013-09-28T06:00:00	10.08732	10.15897	9.95902	9.97767	10.06322	10.15712	9.95707	9.97452	
2013-09-21T06:00:00	9.90727	10.16932	9.80907	10.08732	9.87602	10.16722	9.80652	10.06322	
