日時	XAU/USD(始値, 買い)	XAU/USD(高値, 買い)	XAU/USD(安値, 買い)	XAU/USD(終値, 買い)	XAU/USD(始値, 売り)	XAU/USD(高値, 売り)	XAU/USD(安値, 売り)	XAU/USD(終値, 売り)	
2014-02-01T07:00:00	1245.08	1274.71	1241.13	1256.05	1243.33	1274.41	1240.72	1255.55	
2014-01-25T07:00:00	1270.65	1279.58	1238.40	1245.08	1268.80	1279.10	1237.96	1243.33	
2014-01-18T07:00:00	1254.86	1272.95	1231.91	1270.65	1253.01	1272.50	1231.47	1268.80	
2014-01-11T07:00:00	1248.95	1255.81	1234.60	1254.86	1247.20	1255.26	1234.20	1253.01	
2014-01-04T07:00:00	1237.26	1249.19	1216.13	1248.95	1236.32	1248.85	1215.58	1247.20	
2013-12-28T07:00:00	1213.98	1240.58	1182.75	1237.26	1212.40	1240.10	1182.43	1236.32	
2013-12-21T07:00:00	1204.33	1219.45	1193.06	1213.98	1202.28	1219.01	1192.60	1212.40	
2013-12-14T07:00:00	1239.50	1252.24	1187.55	1204.33	1237.55	1252.01	1187.14	1202.28	
2013-12-07T07:00:00	1229.74	1268.15	1220.81	1239.50	1228.64	1267.80	1220.55	1237.55	
2013-11-30T07:00:00	1252.23	1251.80	1212.02	1229.74	1251.51	1251.64	1210.50	1228.64	
2013-11-23T07:00:00	1244.65	1258.63	1227.23	1252.23	1243.07	1258.13	1226.80	1251.51	
2013-11-16T07:00:00	1291.57	1290.30	1237.14	1244.65	1288.67	1289.55	1236.68	1243.07	
2013-11-09T07:00:00	1290.23	1294.56	1261.77	1291.57	1287.08	1294.23	1261.33	1288.67	
2013-11-02T06:00:00	1317.18	1326.45	1281.52	1290.23	1314.93	1326.04	1281.05	1287.08	
2013-10-26T06:00:00	1351.91	1362.06	1306.45	1317.18	1349.75	1361.68	1306.03	1314.93	
2013-10-19T06:00:00	1317.30	1356.09	1310.49	1351.91	1315.10	1355.70	1310.15	1349.75	
2013-10-12T06:00:00	1273.50	1327.50	1252.00	1317.30	1271.20	1327.32	1251.64	1315.10	
2013-10-05T06:00:00	1312.06	1329.98	1261.55	1273.50	1309.81	1329.88	1260.56	1271.20	
2013-09-28T06:00:00	1337.70	1350.73	1278.10	1312.06	1335.70	1348.88	1277.23	1309.81	
2013-09-21T06:00:00	1326.64	1345.06	1306.15	1337.70	1324.69	1344.05	1305.82	1335.70	
2013-09-14T06:00:00	1327.35	1375.43	1292.10	1326.64	1325.35	1375.25	1291.75	1324.69	
2013-09-07T06:00:00	1392.65	1394.99	1305.13	1327.35	1390.40	1394.13	1304.83	1325.35	
2013-08-31T06:00:00	1395.79	1416.52	1360.55	1392.65	1395.05	1416.26	1358.05	1390.40	
2013-08-24T06:00:00	1398.20	1434.05	1389.85	1395.79	1397.56	1433.61	1389.40	1395.05	
2013-08-17T06:00:00	1376.86	1400.46	1352.68	1398.20	1376.01	1399.96	1352.22	1397.56	
2013-08-10T06:00:00	1314.89	1380.03	1315.30	1376.86	1314.07	1379.45	1314.00	1376.01	
2013-08-03T06:00:00	1312.83	1321.11	1273.31	1314.89	1311.96	1320.62	1272.81	1314.07	
2013-07-27T06:00:00	1333.68	1339.80	1283.62	1312.83	1332.96	1339.20	1283.06	1311.96	
2013-07-20T06:00:00	1296.37	1348.94	1296.76	1333.68	1295.63	1347.57	1295.87	1332.96	
2013-07-13T06:00:00	1285.93	1300.99	1270.65	1296.37	1285.17	1300.65	1270.15	1295.63	
2013-07-06T06:00:00	1223.85	1299.23	1216.16	1285.93	1223.01	1298.75	1215.62	1285.17	
2013-06-29T06:00:00	1234.83	1267.78	1208.55	1223.85	1233.90	1267.36	1208.10	1223.01	
2013-06-22T06:00:00	1297.05	1301.76	1180.65	1234.83	1296.37	1301.41	1180.15	1233.90	
2013-06-15T06:00:00	1391.05	1392.33	1269.90	1297.05	1390.18	1391.84	1269.45	1296.37	
2013-06-08T06:00:00	1383.36	1395.25	1366.33	1391.05	1382.58	1394.78	1365.54	1390.18	
2013-06-01T06:00:00	1388.31	1424.03	1378.12	1383.36	1387.59	1423.71	1377.65	1382.58	
2013-05-25T06:00:00	1386.73	1422.25	1373.95	1388.31	1386.23	1421.90	1373.59	1387.59	
2013-05-18T06:00:00	1359.67	1415.14	1338.59	1386.73	1359.42	1414.48	1338.06	1386.23	
2013-05-11T06:00:00	1448.20	1451.00	1355.51	1359.67	1447.70	1447.90	1355.22	1359.42	
2013-05-04T06:00:00	1470.95	1479.23	1419.91	1448.20	1470.45	1478.84	1419.65	1447.70	
2013-04-27T06:00:00	1461.91	1488.26	1440.81	1470.95	1461.29	1488.00	1440.35	1470.45	
2013-04-20T06:00:00	1404.10	1485.69	1404.10	1461.91	1403.30	1485.30	1403.30	1461.29	
2013-04-13T06:00:00	1483.56	1495.85	1322.14	1404.10	1482.99	1495.55	1321.59	1403.30	
2013-04-06T06:00:00	1581.42	1590.60	1481.16	1483.56	1580.95	1590.29	1480.61	1482.99	
2013-03-30T06:00:00	1597.13	1604.13	1540.42	1581.42	1596.95	1603.83	1540.05	1580.95	
2013-03-23T06:00:00	1608.99	1614.15	1590.20	1597.13	1608.55	1613.71	1589.59	1596.95	
2013-03-16T06:00:00	1592.44	1617.22	1591.45	1608.99	1591.89	1616.98	1590.95	1608.55	
2013-03-09T07:00:00	1579.28	1599.95	1575.81	1592.44	1578.71	1599.61	1575.43	1591.89	
2013-03-02T07:00:00	1576.68	1586.74	1561.84	1579.28	1576.11	1586.40	1561.34	1578.71	
2013-02-23T07:00:00	1582.28	1620.31	1565.15	1576.68	1581.75	1620.09	1564.80	1576.11	
2013-02-16T07:00:00	1610.35	1619.16	1555.31	1582.28	1609.80	1618.90	1555.00	1581.75	
2013-02-09T07:00:00	1667.56	1669.92	1598.25	1610.35	1667.10	1669.56	1597.10	1609.80	
2013-02-02T07:00:00	1667.20	1686.34	1661.75	1667.56	1666.99	1685.55	1661.32	1667.10	
2013-01-26T07:00:00	1659.18	1684.34	1652.43	1667.20	1658.48	1684.05	1651.85	1666.99	
2013-01-19T07:00:00	1684.58	1696.53	1656.21	1659.18	1683.80	1695.99	1655.81	1658.48	
2013-01-12T07:00:00	1663.33	1698.57	1661.05	1684.58	1662.57	1697.40	1659.20	1683.80	
2013-01-05T07:00:00	1656.48	1679.21	1643.38	1663.33	1655.68	1678.73	1642.61	1662.57	
2012-12-29T07:00:00	1656.45	1695.36	1626.22	1656.48	1655.48	1694.79	1625.69	1655.68	
2012-12-22T07:00:00	1657.80	1668.60	1652.44	1656.45	1656.94	1667.90	1651.76	1655.48	
2012-12-15T07:00:00	1696.12	1703.50	1635.90	1657.80	1695.45	1703.02	1635.43	1656.94	
2012-12-08T07:00:00	1704.55	1723.79	1689.88	1696.12	1703.85	1723.30	1689.42	1695.45	
2012-12-01T07:00:00	1715.28	1723.47	1683.80	1704.55	1714.48	1722.59	1683.25	1703.85	
2012-11-24T07:00:00	1751.90	1753.25	1706.23	1715.28	1745.30	1752.06	1705.49	1714.48	
2012-11-17T07:00:00	1714.15	1754.95	1714.15	1751.90	1713.37	1754.20	1713.37	1745.30	
2012-11-10T07:00:00	1731.38	1738.35	1705.16	1714.15	1730.62	1737.85	1704.56	1713.37	
2012-11-03T06:00:00	1678.46	1739.27	1673.03	1731.38	1677.64	1738.69	1672.50	1730.62	
2012-10-27T06:00:00	1711.89	1727.39	1674.99	1678.46	1711.09	1726.89	1674.25	1677.64	
2012-10-20T06:00:00	1722.03	1734.95	1699.07	1711.89	1721.22	1729.90	1698.30	1711.09	
2012-10-13T06:00:00	1754.45	1758.90	1716.75	1722.03	1753.56	1754.15	1715.73	1721.22	
2012-10-06T06:00:00	1781.15	1781.55	1752.61	1754.45	1780.45	1780.45	1752.02	1753.56	
2012-09-29T06:00:00	1772.55	1796.30	1763.75	1781.15	1771.90	1795.80	1763.25	1780.45	
2012-09-22T06:00:00	1773.55	1783.60	1736.85	1772.55	1772.90	1783.15	1736.05	1771.90	
2012-09-15T06:00:00	1770.80	1787.85	1752.75	1773.55	1770.15	1787.35	1752.00	1772.90	
2012-09-08T06:00:00	1736.30	1778.17	1717.87	1770.80	1735.65	1777.70	1715.22	1770.15	
2012-09-01T06:00:00	1692.30	1742.63	1685.65	1736.30	1691.55	1742.05	1685.30	1735.65	
2012-08-25T06:00:00	1671.00	1693.50	1646.55	1692.30	1670.33	1692.90	1645.76	1691.55	
2012-08-18T06:00:00	1616.35	1675.30	1610.20	1671.00	1615.70	1674.85	1609.62	1670.33	
2012-08-11T06:00:00	1620.60	1626.00	1590.40	1616.35	1619.95	1625.50	1589.85	1615.70	
2012-08-04T06:00:00	1603.80	1627.00	1602.74	1620.60	1603.17	1626.35	1602.13	1619.95	
2012-07-28T06:00:00	1623.75	1628.49	1583.95	1603.80	1623.10	1627.95	1583.62	1603.17	
2012-07-21T06:00:00	1584.70	1630.07	1563.71	1623.75	1584.05	1629.50	1563.12	1623.10	
2012-07-14T06:00:00	1590.05	1599.70	1568.10	1584.70	1589.30	1598.90	1567.60	1584.05	
2012-07-07T06:00:00	1584.15	1601.98	1555.35	1590.05	1583.44	1601.40	1554.83	1589.30	
2012-06-30T06:00:00	1597.55	1625.36	1576.90	1584.15	1596.93	1624.81	1576.34	1583.44	
2012-06-23T06:00:00	1572.70	1607.60	1548.45	1597.55	1571.95	1607.05	1547.86	1596.93	
2012-06-16T06:00:00	1627.60	1633.67	1558.60	1572.70	1626.56	1633.35	1558.00	1571.95	
2012-06-09T06:00:00	1593.85	1634.65	1582.25	1627.60	1593.10	1633.80	1581.62	1626.56	
2012-06-02T06:00:00	1623.05	1641.40	1555.70	1593.85	1622.55	1640.80	1553.42	1593.10	
2012-05-26T06:00:00	1573.25	1630.65	1531.70	1623.05	1572.55	1630.15	1531.14	1622.55	
2012-05-19T06:00:00	1593.60	1599.60	1533.73	1573.25	1592.85	1599.05	1533.17	1572.55	
2012-05-12T06:00:00	1579.70	1598.05	1527.34	1593.60	1579.05	1597.47	1526.84	1592.85	
2012-05-05T06:00:00	1642.60	1643.65	1573.25	1579.70	1641.98	1642.47	1572.40	1579.05	
2012-04-28T06:00:00	1663.20	1671.90	1626.90	1642.60	1662.55	1671.49	1626.54	1641.98	
2012-04-21T06:00:00	1643.45	1668.00	1623.68	1663.20	1642.66	1667.52	1623.10	1662.55	
2012-04-14T06:00:00	1658.82	1658.82	1631.15	1643.45	1658.00	1658.00	1630.89	1642.66	
2012-04-07T06:00:00	1643.15	1680.58	1632.29	1658.82	1636.80	1680.00	1631.68	1658.00	
2012-03-31T06:00:00	1668.70	1683.95	1612.70	1643.15	1667.98	1683.35	1612.24	1636.80	
2012-03-24T06:00:00	1662.25	1697.48	1645.15	1668.70	1661.60	1696.88	1644.87	1667.98	
2012-03-17T06:00:00	1660.29	1670.25	1628.45	1662.25	1659.65	1669.75	1627.91	1661.60	
2012-03-10T07:00:00	1714.45	1717.31	1634.80	1660.29	1713.58	1716.55	1634.34	1659.65	
2012-03-03T07:00:00	1712.85	1717.20	1664.00	1714.45	1712.05	1716.60	1663.29	1713.58	
2012-02-25T07:00:00	1772.70	1791.07	1688.21	1712.85	1772.05	1790.55	1685.91	1712.05	
2012-02-18T07:00:00	1723.79	1787.87	1723.79	1772.70	1723.15	1787.55	1723.15	1772.05	
2012-02-11T07:00:00	1722.05	1737.65	1705.70	1723.79	1721.40	1737.23	1705.16	1723.15	
2012-02-04T07:00:00	1726.56	1753.06	1705.08	1722.05	1725.70	1752.46	1704.54	1721.40	
2012-01-28T07:00:00	1739.29	1763.45	1716.71	1726.56	1738.35	1763.07	1716.09	1725.70	
2012-01-21T07:00:00	1666.94	1740.30	1649.49	1739.29	1665.99	1739.70	1648.89	1738.35	
2012-01-14T07:00:00	1639.65	1670.50	1631.85	1666.94	1638.84	1669.97	1631.30	1665.99	
2012-01-07T07:00:00	1617.97	1662.43	1605.45	1639.65	1617.04	1661.85	1604.91	1638.84	
2011-12-31T07:00:00	1565.38	1631.70	1565.38	1617.97	1564.35	1630.98	1564.35	1617.04	
2011-12-24T07:00:00	1607.57	1607.57	1523.00	1565.38	1606.51	1606.51	1522.50	1564.35	
2011-12-17T07:00:00	1599.25	1642.25	1583.83	1607.57	1598.60	1641.62	1583.26	1606.51	
2011-12-10T07:00:00	1711.91	1715.32	1560.82	1599.25	1710.85	1714.75	1560.15	1598.60	
2011-12-03T07:00:00	1746.90	1756.65	1702.55	1711.91	1746.10	1756.00	1701.90	1710.85	
2011-11-26T07:00:00	1686.90	1763.70	1680.95	1746.90	1680.05	1763.00	1679.95	1746.10	
2011-11-19T07:00:00	1724.75	1726.87	1666.90	1686.90	1723.10	1726.37	1666.37	1680.05	
2011-11-12T07:00:00	1789.35	1796.90	1710.84	1724.75	1788.60	1796.02	1710.29	1723.10	
2011-11-05T06:00:00	1755.15	1803.45	1736.35	1789.35	1754.10	1802.80	1735.55	1788.60	
2011-10-29T06:00:00	1744.25	1768.35	1681.65	1755.15	1743.05	1767.65	1679.60	1754.10	
2011-10-22T06:00:00	1640.13	1753.07	1636.00	1744.25	1639.35	1752.45	1635.40	1743.05	
2011-10-15T06:00:00	1681.25	1695.50	1604.22	1640.13	1680.40	1694.95	1603.75	1639.35	
2011-10-08T06:00:00	1638.45	1692.65	1638.45	1681.25	1637.05	1692.15	1635.45	1680.40	
2011-10-01T06:00:00	1623.45	1679.65	1596.30	1638.45	1622.25	1679.05	1595.45	1637.05	
2011-09-24T06:00:00	1645.25	1677.85	1533.35	1623.45	1643.85	1677.30	1532.45	1622.25	
2011-09-17T06:00:00	1810.05	1829.40	1629.00	1645.25	1809.30	1827.47	1628.00	1643.85	
2011-09-10T06:00:00	1857.05	1863.50	1763.00	1810.05	1856.30	1861.55	1762.40	1809.30	
2011-09-03T06:00:00	1882.35	1921.49	1793.45	1857.05	1881.75	1920.80	1792.60	1856.30	
2011-08-27T06:00:00	1819.60	1885.05	1776.56	1882.35	1818.95	1884.45	1775.65	1881.75	
2011-08-20T06:00:00	1850.90	1913.04	1703.43	1819.60	1849.80	1912.10	1702.90	1818.95	
2011-08-13T06:00:00	1746.15	1878.72	1729.10	1850.90	1745.16	1877.95	1727.90	1849.80	
2011-08-06T06:00:00	1660.85	1815.66	1660.85	1746.15	1660.05	1814.75	1660.05	1745.16	
2011-07-30T06:00:00	1626.30	1682.70	1608.09	1660.85	1625.70	1682.09	1607.03	1660.05	
2011-07-23T06:00:00	1603.00	1633.10	1603.00	1626.30	1602.40	1632.75	1602.40	1625.70	
2011-07-16T06:00:00	1594.38	1610.31	1581.35	1603.00	1593.48	1610.08	1581.05	1602.40	
2011-07-09T06:00:00	1543.72	1594.68	1541.13	1594.38	1542.74	1594.20	1540.62	1593.48	
