日時	ZAR/JPY(始値, 買い)	ZAR/JPY(高値, 買い)	ZAR/JPY(安値, 買い)	ZAR/JPY(終値, 買い)	ZAR/JPY(始値, 売り)	ZAR/JPY(高値, 売り)	ZAR/JPY(安値, 売り)	ZAR/JPY(終値, 売り)	
2014-02-01T07:00:00	9.188	9.221	8.958	9.144	9.110	9.194	8.929	9.112	
2014-01-25T07:00:00	9.256	9.482	8.981	9.188	9.206	9.452	8.953	9.110	
2014-01-18T07:00:00	9.630	9.707	9.138	9.256	9.563	9.681	9.110	9.206	
2014-01-11T07:00:00	9.865	9.793	9.507	9.630	9.772	9.755	9.480	9.563	
2014-01-04T07:00:00	9.818	9.910	9.675	9.865	9.796	9.869	9.647	9.772	
2013-12-28T07:00:00	10.011	10.121	9.781	9.818	9.939	10.075	9.749	9.796	
2013-12-21T07:00:00	10.052	10.162	9.973	10.011	10.017	10.130	9.938	9.939	
2013-12-14T07:00:00	10.055	10.146	9.924	10.052	9.979	10.097	9.894	10.017	
2013-12-07T07:00:00	9.978	10.065	9.857	10.055	9.939	10.038	9.822	9.979	
2013-11-30T07:00:00	10.098	10.133	9.698	9.978	10.036	10.107	9.671	9.939	
2013-11-23T07:00:00	10.068	10.160	9.974	10.098	10.027	10.134	9.912	10.036	
2013-11-16T07:00:00	9.879	10.085	9.798	10.068	9.833	10.057	9.766	10.027	
2013-11-09T07:00:00	9.626	9.904	9.546	9.879	9.545	9.878	9.513	9.833	
2013-11-02T06:00:00	9.721	9.771	9.484	9.626	9.651	9.736	9.457	9.545	
2013-10-26T06:00:00	9.936	10.000	9.681	9.721	9.886	9.976	9.651	9.651	
2013-10-19T06:00:00	10.002	10.131	9.883	9.936	9.959	10.104	9.848	9.886	
2013-10-12T06:00:00	9.966	10.059	9.839	10.002	9.943	10.023	9.774	9.959	
2013-10-05T06:00:00	9.787	9.991	9.656	9.966	9.736	9.961	9.629	9.943	
2013-09-28T06:00:00	9.779	9.858	9.600	9.787	9.725	9.831	9.573	9.736	
2013-09-21T06:00:00	10.103	10.104	9.705	9.779	9.996	10.075	9.678	9.725	
2013-09-14T06:00:00	10.046	10.359	9.969	10.103	9.977	10.326	9.896	9.996	
2013-09-07T06:00:00	9.947	10.160	9.926	10.046	9.849	10.130	9.898	9.977	
2013-08-31T06:00:00	9.588	9.947	9.593	9.947	9.520	9.902	9.541	9.849	
