日時	AUD/CHF(始値, 買い)	AUD/CHF(高値, 買い)	AUD/CHF(安値, 買い)	AUD/CHF(終値, 買い)	AUD/CHF(始値, 売り)	AUD/CHF(高値, 売り)	AUD/CHF(安値, 売り)	AUD/CHF(終値, 売り)	
2014-02-07T06:00:00	0.80702	0.80728	0.80686	0.80708	0.80676	0.80702	0.80661	0.80673	
2014-02-07T05:00:00	0.80742	0.80783	0.80683	0.80702	0.80716	0.80758	0.80670	0.80676	
2014-02-07T04:00:00	0.80768	0.80843	0.80733	0.80742	0.80745	0.80818	0.80714	0.80716	
2014-02-07T03:00:00	0.80762	0.80833	0.80726	0.80768	0.80737	0.80811	0.80701	0.80745	
2014-02-07T02:00:00	0.80643	0.80762	0.80623	0.80762	0.80617	0.80737	0.80601	0.80737	
2014-02-07T01:00:00	0.80591	0.80705	0.80568	0.80643	0.80568	0.80681	0.80544	0.80617	
2014-02-07T00:00:00	0.80548	0.80759	0.80546	0.80591	0.80522	0.80736	0.80522	0.80568	
2014-02-06T23:00:00	0.80635	0.80635	0.80385	0.80548	0.80616	0.80616	0.80361	0.80522	
2014-02-06T22:00:00	0.81158	0.81363	0.80436	0.80635	0.81131	0.81333	0.80411	0.80616	
2014-02-06T21:00:00	0.81055	0.81227	0.80901	0.81158	0.81031	0.81205	0.80877	0.81131	
2014-02-06T20:00:00	0.80984	0.81072	0.80927	0.81055	0.80955	0.81046	0.80901	0.81031	
2014-02-06T19:00:00	0.80938	0.80986	0.80918	0.80984	0.80916	0.80958	0.80896	0.80955	
2014-02-06T18:00:00	0.80831	0.80943	0.80823	0.80938	0.80806	0.80921	0.80802	0.80916	
2014-02-06T17:00:00	0.81013	0.81054	0.80788	0.80831	0.80986	0.81030	0.80766	0.80806	
2014-02-06T16:00:00	0.81153	0.81153	0.81008	0.81013	0.81122	0.81122	0.80983	0.80986	
2014-02-06T15:00:00	0.81080	0.81163	0.81063	0.81153	0.81052	0.81136	0.81039	0.81122	
2014-02-06T14:00:00	0.81093	0.81113	0.81033	0.81080	0.81066	0.81092	0.81008	0.81052	
2014-02-06T13:00:00	0.81091	0.81121	0.81066	0.81093	0.81063	0.81094	0.81041	0.81066	
2014-02-06T12:00:00	0.81054	0.81103	0.81028	0.81091	0.81027	0.81075	0.81001	0.81063	
