日時	AUD/JPY(始値, 買い)	AUD/JPY(高値, 買い)	AUD/JPY(安値, 買い)	AUD/JPY(終値, 買い)	AUD/JPY(始値, 売り)	AUD/JPY(高値, 売り)	AUD/JPY(安値, 売り)	AUD/JPY(終値, 売り)	
2014-02-07T06:00:00	91.521	91.529	91.471	91.501	91.510	91.520	91.459	91.482	
2014-02-07T05:00:00	91.535	91.572	91.469	91.521	91.525	91.563	91.455	91.510	
2014-02-07T04:00:00	91.409	91.655	91.404	91.535	91.396	91.645	91.391	91.525	
2014-02-07T03:00:00	91.471	91.528	91.403	91.409	91.459	91.515	91.391	91.396	
2014-02-07T02:00:00	91.323	91.478	91.315	91.471	91.312	91.466	91.306	91.459	
2014-02-07T01:00:00	91.278	91.383	91.235	91.323	91.267	91.373	91.223	91.312	
2014-02-07T00:00:00	91.181	91.527	91.181	91.278	91.168	91.525	91.168	91.267	
2014-02-06T23:00:00	90.860	91.263	90.799	91.181	90.850	91.254	90.787	91.168	
2014-02-06T22:00:00	90.947	91.133	90.641	90.860	90.934	91.122	90.628	90.850	
2014-02-06T21:00:00	90.974	91.017	90.814	90.947	90.961	91.001	90.805	90.934	
2014-02-06T20:00:00	90.971	91.001	90.873	90.974	90.957	90.989	90.861	90.961	
2014-02-06T19:00:00	90.871	90.975	90.831	90.971	90.859	90.961	90.818	90.957	
2014-02-06T18:00:00	90.723	90.884	90.716	90.871	90.710	90.869	90.701	90.859	
2014-02-06T17:00:00	90.935	90.945	90.637	90.723	90.922	90.935	90.626	90.710	
2014-02-06T16:00:00	91.003	91.041	90.904	90.935	90.989	91.029	90.892	90.922	
2014-02-06T15:00:00	90.885	91.062	90.846	91.003	90.874	91.048	90.832	90.989	
2014-02-06T14:00:00	91.070	91.070	90.868	90.885	91.057	91.058	90.856	90.874	
2014-02-06T13:00:00	90.990	91.131	90.961	91.070	90.978	91.118	90.946	91.057	
2014-02-06T12:00:00	90.954	91.060	90.877	90.990	90.941	91.045	90.864	90.978	
2014-02-06T11:00:00	90.970	91.064	90.891	90.954	90.955	91.055	90.878	90.941	
2014-02-06T10:00:00	91.203	91.211	90.806	90.970	91.188	91.197	90.793	90.955	
2014-02-06T09:00:00	90.585	91.274	90.566	91.203	90.572	91.264	90.555	91.188	
2014-02-06T08:00:00	90.572	90.628	90.532	90.585	90.548	90.614	90.520	90.572	
2014-02-06T07:00:00	90.429	90.611	90.429	90.572	90.394	90.583	90.366	90.548	
2014-02-06T06:00:00	90.373	90.479	90.327	90.429	90.360	90.469	90.314	90.394	
2014-02-06T05:00:00	90.252	90.415	90.235	90.373	90.240	90.403	90.224	90.360	
2014-02-06T04:00:00	90.476	90.533	90.241	90.252	90.462	90.520	90.227	90.240	
2014-02-06T03:00:00	90.375	90.522	90.372	90.476	90.365	90.513	90.363	90.462	
2014-02-06T02:00:00	90.345	90.402	90.264	90.375	90.331	90.388	90.251	90.365	
2014-02-06T01:00:00	90.245	90.395	90.078	90.345	90.236	90.384	90.063	90.331	
2014-02-06T00:00:00	90.294	90.494	90.095	90.245	90.248	90.487	90.086	90.236	
2014-02-05T23:00:00	90.244	90.407	90.165	90.294	90.232	90.393	90.153	90.248	
2014-02-05T22:00:00	90.190	90.360	89.945	90.244	90.175	90.340	89.935	90.232	
2014-02-05T21:00:00	90.368	90.392	90.180	90.190	90.354	90.378	90.168	90.175	
2014-02-05T20:00:00	90.404	90.422	90.282	90.368	90.391	90.409	90.270	90.354	
2014-02-05T19:00:00	90.364	90.447	90.238	90.404	90.353	90.435	90.223	90.391	
2014-02-05T18:00:00	90.204	90.464	90.178	90.364	90.189	90.451	90.167	90.353	
2014-02-05T17:00:00	90.021	90.248	89.837	90.204	90.011	90.237	89.827	90.189	
2014-02-05T16:00:00	90.237	90.274	89.962	90.021	90.224	90.262	89.949	90.011	
2014-02-05T15:00:00	90.208	90.355	90.160	90.237	90.194	90.345	90.150	90.224	
2014-02-05T14:00:00	90.200	90.315	90.139	90.208	90.191	90.300	90.125	90.194	
2014-02-05T13:00:00	90.129	90.265	90.081	90.200	90.114	90.252	90.068	90.191	
2014-02-05T12:00:00	90.047	90.197	89.907	90.129	90.036	90.183	89.898	90.114	
2014-02-05T11:00:00	90.244	90.290	89.981	90.047	90.230	90.279	89.968	90.036	
2014-02-05T10:00:00	90.458	90.458	90.234	90.244	90.443	90.443	90.221	90.230	
2014-02-05T09:00:00	90.633	90.686	90.357	90.458	90.620	90.671	90.345	90.443	
2014-02-05T08:00:00	90.612	90.798	90.593	90.633	90.593	90.785	90.580	90.620	
2014-02-05T07:00:00	90.744	90.816	90.554	90.612	90.690	90.776	90.534	90.593	
2014-02-05T06:00:00	90.832	90.847	90.729	90.744	90.824	90.830	90.690	90.690	
2014-02-05T05:00:00	90.769	90.898	90.761	90.832	90.759	90.888	90.750	90.824	
2014-02-05T04:00:00	90.726	90.826	90.694	90.769	90.716	90.815	90.683	90.759	
2014-02-05T03:00:00	90.822	90.886	90.703	90.726	90.813	90.874	90.696	90.716	
2014-02-05T02:00:00	90.800	90.907	90.656	90.822	90.790	90.896	90.646	90.813	
2014-02-05T01:00:00	90.203	90.800	90.187	90.800	90.191	90.790	90.175	90.790	
2014-02-05T00:00:00	90.314	90.450	90.197	90.203	90.297	90.438	90.190	90.191	
2014-02-04T23:00:00	90.270	90.443	90.178	90.314	90.258	90.431	90.165	90.297	
2014-02-04T22:00:00	90.090	90.367	90.076	90.270	90.077	90.356	90.064	90.258	
2014-02-04T21:00:00	90.172	90.186	89.942	90.090	90.161	90.177	89.929	90.077	
2014-02-04T20:00:00	89.956	90.193	89.845	90.172	89.944	90.184	89.832	90.161	
2014-02-04T19:00:00	90.317	90.339	89.865	89.956	90.302	90.329	89.853	89.944	
2014-02-04T18:00:00	90.074	90.325	90.011	90.317	90.060	90.315	89.998	90.302	
2014-02-04T17:00:00	89.960	90.111	89.909	90.074	89.948	90.098	89.899	90.060	
2014-02-04T16:00:00	89.682	90.057	89.673	89.960	89.669	90.045	89.662	89.948	
2014-02-04T15:00:00	89.518	89.720	89.375	89.682	89.505	89.708	89.361	89.669	
2014-02-04T14:00:00	89.932	90.007	89.518	89.518	89.919	89.997	89.505	89.505	
2014-02-04T13:00:00	89.536	90.069	89.536	89.932	89.525	90.056	89.525	89.919	
2014-02-04T12:00:00	88.691	89.638	88.661	89.536	88.678	89.626	88.648	89.525	
2014-02-04T11:00:00	88.516	88.837	88.507	88.691	88.502	88.828	88.494	88.678	
2014-02-04T10:00:00	88.472	88.566	88.265	88.516	88.458	88.552	88.253	88.502	
2014-02-04T09:00:00	88.527	88.549	88.384	88.472	88.512	88.535	88.372	88.458	
2014-02-04T08:00:00	88.495	88.573	88.430	88.527	88.464	88.559	88.420	88.512	
2014-02-04T07:00:00	88.409	88.546	88.393	88.495	88.355	88.519	88.355	88.464	
2014-02-04T06:00:00	88.379	88.428	88.270	88.409	88.367	88.390	88.252	88.355	
2014-02-04T05:00:00	88.290	88.475	88.255	88.379	88.277	88.463	88.245	88.367	
