日時	AUD/USD(始値, 買い)	AUD/USD(高値, 買い)	AUD/USD(安値, 買い)	AUD/USD(終値, 買い)	AUD/USD(始値, 売り)	AUD/USD(高値, 売り)	AUD/USD(安値, 売り)	AUD/USD(終値, 売り)	
2014-02-07T06:00:00	0.89612	0.89626	0.89577	0.89597	0.89591	0.89606	0.89558	0.89574	
2014-02-07T05:00:00	0.89638	0.89659	0.89588	0.89612	0.89622	0.89640	0.89578	0.89591	
2014-02-07T04:00:00	0.89703	0.89736	0.89631	0.89638	0.89684	0.89716	0.89615	0.89622	
2014-02-07T03:00:00	0.89781	0.89792	0.89688	0.89703	0.89762	0.89773	0.89672	0.89684	
2014-02-07T02:00:00	0.89667	0.89783	0.89645	0.89781	0.89650	0.89763	0.89626	0.89762	
2014-02-07T01:00:00	0.89618	0.89697	0.89609	0.89667	0.89601	0.89683	0.89590	0.89650	
2014-02-07T00:00:00	0.89606	0.89801	0.89606	0.89618	0.89587	0.89786	0.89587	0.89601	
2014-02-06T23:00:00	0.89704	0.89748	0.89585	0.89606	0.89688	0.89731	0.89571	0.89587	
2014-02-06T22:00:00	0.89636	0.89788	0.89503	0.89704	0.89615	0.89772	0.89483	0.89688	
2014-02-06T21:00:00	0.89640	0.89678	0.89562	0.89636	0.89623	0.89659	0.89544	0.89615	
2014-02-06T20:00:00	0.89607	0.89650	0.89553	0.89640	0.89586	0.89634	0.89534	0.89623	
2014-02-06T19:00:00	0.89515	0.89607	0.89496	0.89607	0.89496	0.89586	0.89478	0.89586	
2014-02-06T18:00:00	0.89464	0.89546	0.89447	0.89515	0.89445	0.89530	0.89429	0.89496	
2014-02-06T17:00:00	0.89598	0.89628	0.89425	0.89464	0.89580	0.89612	0.89408	0.89445	
2014-02-06T16:00:00	0.89707	0.89707	0.89590	0.89598	0.89686	0.89686	0.89574	0.89580	
2014-02-06T15:00:00	0.89595	0.89715	0.89582	0.89707	0.89576	0.89695	0.89562	0.89686	
2014-02-06T14:00:00	0.89644	0.89655	0.89563	0.89595	0.89623	0.89635	0.89544	0.89576	
2014-02-06T13:00:00	0.89641	0.89659	0.89620	0.89644	0.89623	0.89640	0.89603	0.89623	
2014-02-06T12:00:00	0.89671	0.89675	0.89623	0.89641	0.89654	0.89656	0.89603	0.89623	
2014-02-06T11:00:00	0.89686	0.89736	0.89667	0.89671	0.89668	0.89720	0.89649	0.89654	
2014-02-06T10:00:00	0.89793	0.89808	0.89614	0.89686	0.89772	0.89790	0.89594	0.89668	
2014-02-06T09:00:00	0.89275	0.89816	0.89230	0.89793	0.89255	0.89797	0.89181	0.89772	
2014-02-06T08:00:00	0.89235	0.89326	0.89202	0.89275	0.89208	0.89306	0.89181	0.89255	
