日時	CAD/CHF(始値, 買い)	CAD/CHF(高値, 買い)	CAD/CHF(安値, 買い)	CAD/CHF(終値, 買い)	CAD/CHF(始値, 売り)	CAD/CHF(高値, 売り)	CAD/CHF(安値, 売り)	CAD/CHF(終値, 売り)	
2014-02-07T06:00:00	0.81367	0.81406	0.81332	0.81389	0.81336	0.81376	0.81299	0.81351	
2014-02-07T05:00:00	0.81394	0.81437	0.81363	0.81367	0.81364	0.81405	0.81332	0.81336	
2014-02-07T04:00:00	0.81410	0.81482	0.81379	0.81394	0.81380	0.81453	0.81351	0.81364	
2014-02-07T03:00:00	0.81327	0.81441	0.81310	0.81410	0.81296	0.81409	0.81280	0.81380	
2014-02-07T02:00:00	0.81278	0.81368	0.81266	0.81327	0.81247	0.81338	0.81236	0.81296	
2014-02-07T01:00:00	0.81293	0.81359	0.81268	0.81278	0.81261	0.81327	0.81236	0.81247	
2014-02-07T00:00:00	0.80980	0.81364	0.80962	0.81293	0.80943	0.81335	0.80924	0.81261	
2014-02-06T23:00:00	0.80946	0.81023	0.80660	0.80980	0.80917	0.80993	0.80627	0.80943	
2014-02-06T22:00:00	0.81848	0.82003	0.80882	0.80946	0.81816	0.81944	0.80852	0.80917	
2014-02-06T21:00:00	0.81722	0.81900	0.81607	0.81848	0.81692	0.81870	0.81499	0.81816	
2014-02-06T20:00:00	0.81719	0.81766	0.81684	0.81722	0.81681	0.81735	0.81653	0.81692	
2014-02-06T19:00:00	0.81675	0.81719	0.81635	0.81719	0.81644	0.81686	0.81608	0.81681	
2014-02-06T18:00:00	0.81561	0.81713	0.81558	0.81675	0.81530	0.81683	0.81527	0.81644	
2014-02-06T17:00:00	0.81765	0.81818	0.81560	0.81561	0.81735	0.81790	0.81529	0.81530	
2014-02-06T16:00:00	0.81776	0.81789	0.81702	0.81765	0.81740	0.81755	0.81671	0.81735	
2014-02-06T15:00:00	0.81807	0.81817	0.81768	0.81776	0.81773	0.81784	0.81738	0.81740	
2014-02-06T14:00:00	0.81756	0.81814	0.81752	0.81807	0.81722	0.81780	0.81718	0.81773	
2014-02-06T13:00:00	0.81782	0.81803	0.81754	0.81756	0.81750	0.81771	0.81721	0.81722	
2014-02-06T12:00:00	0.81690	0.81791	0.81690	0.81782	0.81658	0.81759	0.81658	0.81750	
2014-02-06T11:00:00	0.81719	0.81756	0.81688	0.81690	0.81686	0.81723	0.81656	0.81658	
2014-02-06T10:00:00	0.81698	0.81719	0.81627	0.81719	0.81666	0.81686	0.81597	0.81686	
