日時	CAD/JPY(始値, 買い)	CAD/JPY(高値, 買い)	CAD/JPY(安値, 買い)	CAD/JPY(終値, 買い)	CAD/JPY(始値, 売り)	CAD/JPY(高値, 売り)	CAD/JPY(安値, 売り)	CAD/JPY(終値, 売り)	
2014-02-07T06:00:00	92.276	92.278	92.209	92.231	92.251	92.256	92.187	92.207	
2014-02-07T05:00:00	92.278	92.323	92.196	92.276	92.256	92.300	92.171	92.251	
2014-02-07T04:00:00	92.135	92.378	92.130	92.278	92.111	92.358	92.107	92.256	
2014-02-07T03:00:00	92.110	92.168	92.086	92.135	92.089	92.143	92.063	92.111	
2014-02-07T02:00:00	92.046	92.176	92.038	92.110	92.027	92.162	92.015	92.089	
2014-02-07T01:00:00	92.075	92.160	92.034	92.046	92.056	92.137	92.010	92.027	
2014-02-07T00:00:00	91.672	92.187	91.664	92.075	91.639	92.162	91.631	92.056	
2014-02-06T23:00:00	91.213	91.749	91.123	91.672	91.191	91.725	91.100	91.639	
2014-02-06T22:00:00	91.722	91.822	91.147	91.213	91.699	91.798	91.125	91.191	
2014-02-06T21:00:00	91.721	91.778	91.589	91.722	91.702	91.754	91.564	91.699	
2014-02-06T20:00:00	91.795	91.833	91.691	91.721	91.771	91.809	91.667	91.702	
2014-02-06T19:00:00	91.697	91.803	91.655	91.795	91.675	91.780	91.631	91.771	
2014-02-06T18:00:00	91.546	91.723	91.546	91.697	91.524	91.703	91.524	91.675	
2014-02-06T17:00:00	91.781	91.796	91.529	91.546	91.756	91.770	91.507	91.524	
2014-02-06T16:00:00	91.710	91.783	91.675	91.781	91.684	91.760	91.654	91.756	
2014-02-06T15:00:00	91.701	91.788	91.655	91.710	91.678	91.762	91.628	91.684	
2014-02-06T14:00:00	91.818	91.823	91.682	91.701	91.791	91.796	91.656	91.678	
2014-02-06T13:00:00	91.771	91.892	91.758	91.818	91.746	91.867	91.735	91.791	
2014-02-06T12:00:00	91.674	91.823	91.647	91.771	91.647	91.798	91.621	91.746	
2014-02-06T11:00:00	91.661	91.758	91.600	91.674	91.633	91.732	91.572	91.647	
2014-02-06T10:00:00	91.781	91.788	91.501	91.661	91.755	91.762	91.480	91.633	
2014-02-06T09:00:00	91.594	91.879	91.577	91.781	91.566	91.854	91.550	91.755	
2014-02-06T08:00:00	91.638	91.648	91.545	91.594	91.592	91.624	91.517	91.566	
2014-02-06T07:00:00	91.556	91.673	91.556	91.638	91.516	91.638	91.507	91.592	
2014-02-06T06:00:00	91.508	91.570	91.478	91.556	91.484	91.541	91.454	91.516	
2014-02-06T05:00:00	91.466	91.580	91.466	91.508	91.440	91.557	91.440	91.484	
2014-02-06T04:00:00	91.734	91.760	91.459	91.466	91.709	91.739	91.436	91.440	
2014-02-06T03:00:00	91.520	91.756	91.505	91.734	91.494	91.732	91.483	91.709	
2014-02-06T02:00:00	91.339	91.522	91.304	91.520	91.320	91.499	91.283	91.494	
2014-02-06T01:00:00	91.165	91.466	91.064	91.339	91.145	91.440	91.040	91.320	
2014-02-06T00:00:00	91.222	91.397	91.066	91.165	91.171	91.374	91.045	91.145	
2014-02-05T23:00:00	91.263	91.418	91.125	91.222	91.243	91.398	91.104	91.171	
2014-02-05T22:00:00	91.364	91.536	91.096	91.263	91.342	91.506	91.072	91.243	
2014-02-05T21:00:00	91.570	91.574	91.354	91.364	91.548	91.551	91.332	91.342	
2014-02-05T20:00:00	91.637	91.705	91.565	91.570	91.615	91.681	91.542	91.548	
2014-02-05T19:00:00	91.437	91.651	91.358	91.637	91.412	91.629	91.334	91.615	
2014-02-05T18:00:00	91.514	91.636	91.437	91.437	91.490	91.614	91.412	91.412	
2014-02-05T17:00:00	91.440	91.583	91.358	91.514	91.416	91.558	91.334	91.490	
2014-02-05T16:00:00	91.532	91.571	91.352	91.440	91.508	91.546	91.327	91.416	
2014-02-05T15:00:00	91.515	91.606	91.479	91.532	91.487	91.584	91.453	91.508	
2014-02-05T14:00:00	91.480	91.610	91.462	91.515	91.452	91.583	91.444	91.487	
2014-02-05T13:00:00	91.470	91.554	91.413	91.480	91.443	91.528	91.387	91.452	
2014-02-05T12:00:00	91.373	91.507	91.288	91.470	91.349	91.482	91.262	91.443	
2014-02-05T11:00:00	91.502	91.540	91.295	91.373	91.477	91.513	91.271	91.349	
