日時	CHF/JPY(始値, 買い)	CHF/JPY(高値, 買い)	CHF/JPY(安値, 買い)	CHF/JPY(終値, 買い)	CHF/JPY(始値, 売り)	CHF/JPY(高値, 売り)	CHF/JPY(安値, 売り)	CHF/JPY(終値, 売り)	
2014-02-07T06:00:00	113.414	113.430	113.345	113.367	113.404	113.411	113.327	113.352	
2014-02-07T05:00:00	113.386	113.414	113.289	113.414	113.371	113.407	113.277	113.404	
2014-02-07T04:00:00	113.188	113.401	113.184	113.386	113.170	113.387	113.169	113.371	
2014-02-07T03:00:00	113.274	113.304	113.148	113.188	113.262	113.294	113.133	113.170	
2014-02-07T02:00:00	113.264	113.332	113.236	113.274	113.252	113.318	113.224	113.262	
2014-02-07T01:00:00	113.276	113.341	113.198	113.264	113.264	113.329	113.184	113.252	
2014-02-07T00:00:00	113.212	113.483	113.212	113.276	113.203	113.475	113.199	113.264	
2014-02-06T23:00:00	112.696	113.285	112.696	113.212	112.678	113.273	112.678	113.203	
2014-02-06T22:00:00	112.078	112.782	111.908	112.696	112.062	112.772	111.892	112.678	
2014-02-06T21:00:00	112.250	112.367	111.993	112.078	112.240	112.348	111.977	112.062	
2014-02-06T20:00:00	112.352	112.375	112.225	112.250	112.336	112.364	112.209	112.240	
2014-02-06T19:00:00	112.284	112.393	112.247	112.352	112.270	112.380	112.231	112.336	
2014-02-06T18:00:00	112.258	112.327	112.199	112.284	112.241	112.317	112.189	112.270	
2014-02-06T17:00:00	112.263	112.275	112.121	112.258	112.250	112.262	112.112	112.241	
2014-02-06T16:00:00	112.163	112.303	112.115	112.263	112.144	112.290	112.102	112.250	
2014-02-06T15:00:00	112.114	112.252	112.064	112.163	112.097	112.235	112.046	112.144	
2014-02-06T14:00:00	112.321	112.321	112.098	112.114	112.302	112.304	112.081	112.097	
2014-02-06T13:00:00	112.229	112.373	112.213	112.321	112.209	112.353	112.194	112.302	
2014-02-06T12:00:00	112.235	112.313	112.149	112.229	112.216	112.294	112.133	112.209	
2014-02-06T11:00:00	112.181	112.272	112.113	112.235	112.162	112.253	112.095	112.216	
2014-02-06T10:00:00	112.352	112.371	112.070	112.181	112.338	112.356	112.056	112.162	
2014-02-06T09:00:00	112.247	112.456	112.228	112.352	112.225	112.435	112.208	112.338	
2014-02-06T08:00:00	112.315	112.337	112.202	112.247	112.282	112.316	112.186	112.225	
2014-02-06T07:00:00	112.305	112.353	112.236	112.315	112.243	112.308	112.183	112.282	
2014-02-06T06:00:00	112.228	112.325	112.148	112.305	112.209	112.300	112.133	112.243	
2014-02-06T05:00:00	112.158	112.253	112.140	112.228	112.142	112.242	112.125	112.209	
2014-02-06T04:00:00	112.333	112.366	112.149	112.158	112.320	112.351	112.133	112.142	
2014-02-06T03:00:00	112.276	112.374	112.275	112.333	112.261	112.355	112.257	112.320	
2014-02-06T02:00:00	112.135	112.276	112.108	112.276	112.119	112.261	112.093	112.261	
2014-02-06T01:00:00	112.035	112.235	111.966	112.135	112.024	112.218	111.948	112.119	
2014-02-06T00:00:00	112.087	112.355	112.034	112.035	112.012	112.341	111.963	112.024	
2014-02-05T23:00:00	111.930	112.088	111.856	112.087	111.917	112.060	111.841	112.012	
2014-02-05T22:00:00	111.832	112.135	111.832	111.930	111.822	112.116	111.822	111.917	
2014-02-05T21:00:00	111.855	111.888	111.761	111.832	111.842	111.876	111.748	111.822	
2014-02-05T20:00:00	111.862	111.903	111.776	111.855	111.850	111.889	111.763	111.842	
2014-02-05T19:00:00	111.859	111.922	111.728	111.862	111.845	111.907	111.718	111.850	
2014-02-05T18:00:00	112.083	112.101	111.852	111.859	112.064	112.088	111.838	111.845	
2014-02-05T17:00:00	111.928	112.198	111.890	112.083	111.913	112.187	111.874	112.064	
2014-02-05T16:00:00	112.009	112.057	111.873	111.928	111.993	112.040	111.857	111.913	
2014-02-05T15:00:00	112.216	112.237	111.980	112.009	112.202	112.219	111.961	111.993	
2014-02-05T14:00:00	112.228	112.311	112.167	112.216	112.210	112.292	112.146	112.202	
2014-02-05T13:00:00	112.261	112.330	112.180	112.228	112.244	112.314	112.162	112.210	
