日時	EUR/CAD(始値, 買い)	EUR/CAD(高値, 買い)	EUR/CAD(安値, 買い)	EUR/CAD(終値, 買い)	EUR/CAD(始値, 売り)	EUR/CAD(高値, 売り)	EUR/CAD(安値, 売り)	EUR/CAD(終値, 売り)	
2014-02-07T06:00:00	1.50479	1.50536	1.50451	1.50480	1.50455	1.50514	1.50430	1.50464	
2014-02-07T05:00:00	1.50394	1.50488	1.50353	1.50479	1.50374	1.50468	1.50326	1.50455	
2014-02-07T04:00:00	1.50372	1.50418	1.50285	1.50394	1.50358	1.50398	1.50261	1.50374	
2014-02-07T03:00:00	1.50465	1.50509	1.50327	1.50372	1.50443	1.50488	1.50303	1.50358	
2014-02-07T02:00:00	1.50550	1.50576	1.50417	1.50465	1.50525	1.50553	1.50396	1.50443	
2014-02-07T01:00:00	1.50475	1.50553	1.50399	1.50550	1.50451	1.50528	1.50376	1.50525	
2014-02-07T00:00:00	1.51068	1.51099	1.50384	1.50475	1.51035	1.51067	1.50359	1.50451	
2014-02-06T23:00:00	1.50997	1.51463	1.50879	1.51068	1.50976	1.51441	1.50860	1.51035	
2014-02-06T22:00:00	1.49386	1.51116	1.49152	1.50997	1.49360	1.51096	1.49129	1.50976	
2014-02-06T21:00:00	1.49602	1.49803	1.49305	1.49386	1.49574	1.49777	1.49279	1.49360	
2014-02-06T20:00:00	1.49663	1.49692	1.49538	1.49602	1.49637	1.49667	1.49514	1.49574	
2014-02-06T19:00:00	1.49780	1.49792	1.49645	1.49663	1.49757	1.49766	1.49615	1.49637	
2014-02-06T18:00:00	1.49882	1.49885	1.49699	1.49780	1.49858	1.49862	1.49681	1.49757	
2014-02-06T17:00:00	1.49596	1.49900	1.49493	1.49882	1.49571	1.49875	1.49469	1.49858	
2014-02-06T16:00:00	1.49585	1.49690	1.49562	1.49596	1.49557	1.49664	1.49536	1.49571	
2014-02-06T15:00:00	1.49555	1.49620	1.49535	1.49585	1.49533	1.49597	1.49510	1.49557	
2014-02-06T14:00:00	1.49662	1.49670	1.49547	1.49555	1.49635	1.49648	1.49524	1.49533	
2014-02-06T13:00:00	1.49596	1.49678	1.49593	1.49662	1.49568	1.49653	1.49567	1.49635	
2014-02-06T12:00:00	1.49788	1.49789	1.49595	1.49596	1.49760	1.49768	1.49568	1.49568	
