日時	EUR/CHF(始値, 買い)	EUR/CHF(高値, 買い)	EUR/CHF(安値, 買い)	EUR/CHF(終値, 買い)	EUR/CHF(始値, 売り)	EUR/CHF(高値, 売り)	EUR/CHF(安値, 売り)	EUR/CHF(終値, 売り)	
2014-02-07T06:00:00	1.22413	1.22452	1.22397	1.22441	1.22397	1.22439	1.22378	1.22418	
2014-02-07T05:00:00	1.22385	1.22426	1.22385	1.22413	1.22369	1.22409	1.22364	1.22397	
2014-02-07T04:00:00	1.22404	1.22443	1.22362	1.22385	1.22383	1.22423	1.22348	1.22369	
2014-02-07T03:00:00	1.22352	1.22407	1.22352	1.22404	1.22333	1.22390	1.22333	1.22383	
2014-02-07T02:00:00	1.22342	1.22377	1.22330	1.22352	1.22327	1.22359	1.22314	1.22333	
2014-02-07T01:00:00	1.22304	1.22391	1.22281	1.22342	1.22286	1.22377	1.22263	1.22327	
2014-02-07T00:00:00	1.22299	1.22363	1.22282	1.22304	1.22285	1.22343	1.22263	1.22286	
2014-02-06T23:00:00	1.22206	1.22306	1.22141	1.22299	1.22185	1.22289	1.22122	1.22285	
2014-02-06T22:00:00	1.22246	1.22293	1.22129	1.22206	1.22225	1.22274	1.22109	1.22185	
2014-02-06T21:00:00	1.22235	1.22274	1.22172	1.22246	1.22216	1.22254	1.22143	1.22225	
2014-02-06T20:00:00	1.22280	1.22283	1.22210	1.22235	1.22247	1.22256	1.22192	1.22216	
2014-02-06T19:00:00	1.22308	1.22311	1.22235	1.22280	1.22290	1.22292	1.22217	1.22247	
2014-02-06T18:00:00	1.22224	1.22320	1.22221	1.22308	1.22209	1.22301	1.22204	1.22290	
2014-02-06T17:00:00	1.22292	1.22299	1.22223	1.22224	1.22275	1.22281	1.22205	1.22209	
2014-02-06T16:00:00	1.22308	1.22315	1.22268	1.22292	1.22284	1.22295	1.22248	1.22275	
2014-02-06T15:00:00	1.22327	1.22356	1.22291	1.22308	1.22307	1.22338	1.22271	1.22284	
2014-02-06T14:00:00	1.22337	1.22357	1.22321	1.22327	1.22314	1.22335	1.22298	1.22307	
2014-02-06T13:00:00	1.22323	1.22367	1.22318	1.22337	1.22302	1.22348	1.22296	1.22314	
2014-02-06T12:00:00	1.22341	1.22353	1.22300	1.22323	1.22318	1.22332	1.22285	1.22302	
2014-02-06T11:00:00	1.22370	1.22375	1.22333	1.22341	1.22352	1.22354	1.22312	1.22318	
2014-02-06T10:00:00	1.22371	1.22378	1.22338	1.22370	1.22348	1.22359	1.22316	1.22352	
2014-02-06T09:00:00	1.22366	1.22379	1.22331	1.22371	1.22343	1.22359	1.22318	1.22348	
2014-02-06T08:00:00	1.22347	1.22373	1.22313	1.22366	1.22314	1.22350	1.22290	1.22343	
2014-02-06T07:00:00	1.22307	1.22361	1.22307	1.22347	1.22246	1.22337	1.22225	1.22314	
2014-02-06T06:00:00	1.22322	1.22331	1.22283	1.22307	1.22301	1.22313	1.22246	1.22246	
2014-02-06T05:00:00	1.22272	1.22331	1.22268	1.22322	1.22251	1.22313	1.22249	1.22301	
2014-02-06T04:00:00	1.22250	1.22312	1.22234	1.22272	1.22232	1.22293	1.22217	1.22251	
2014-02-06T03:00:00	1.22254	1.22310	1.22225	1.22250	1.22233	1.22290	1.22207	1.22232	
2014-02-06T02:00:00	1.22248	1.22307	1.22225	1.22254	1.22229	1.22288	1.22205	1.22233	
2014-02-06T01:00:00	1.22239	1.22346	1.22187	1.22248	1.22219	1.22328	1.22167	1.22229	
2014-02-06T00:00:00	1.22259	1.22341	1.22125	1.22239	1.22188	1.22323	1.22105	1.22219	
2014-02-05T23:00:00	1.22226	1.22312	1.22201	1.22259	1.22207	1.22293	1.22178	1.22188	
2014-02-05T22:00:00	1.22256	1.22258	1.22059	1.22226	1.22236	1.22240	1.22046	1.22207	
2014-02-05T21:00:00	1.22310	1.22315	1.22242	1.22256	1.22293	1.22297	1.22224	1.22236	
2014-02-05T20:00:00	1.22293	1.22337	1.22277	1.22310	1.22280	1.22318	1.22256	1.22293	
2014-02-05T19:00:00	1.22283	1.22306	1.22213	1.22293	1.22265	1.22292	1.22193	1.22280	
2014-02-05T18:00:00	1.22222	1.22311	1.22216	1.22283	1.22203	1.22291	1.22197	1.22265	
2014-02-05T17:00:00	1.22205	1.22240	1.22140	1.22222	1.22187	1.22222	1.22124	1.22203	
2014-02-05T16:00:00	1.22201	1.22224	1.22138	1.22205	1.22177	1.22203	1.22119	1.22187	
2014-02-05T15:00:00	1.22161	1.22248	1.22146	1.22201	1.22141	1.22227	1.22125	1.22177	
2014-02-05T14:00:00	1.22156	1.22169	1.22152	1.22161	1.22133	1.22152	1.22129	1.22141	
2014-02-05T13:00:00	1.22142	1.22163	1.22128	1.22156	1.22119	1.22140	1.22105	1.22133	
2014-02-05T12:00:00	1.22147	1.22154	1.22113	1.22142	1.22130	1.22132	1.22094	1.22119	
2014-02-05T11:00:00	1.22170	1.22177	1.22123	1.22147	1.22149	1.22155	1.22103	1.22130	
2014-02-05T10:00:00	1.22181	1.22194	1.22136	1.22170	1.22158	1.22177	1.22119	1.22149	
2014-02-05T09:00:00	1.22208	1.22212	1.22146	1.22181	1.22180	1.22189	1.22124	1.22158	
2014-02-05T08:00:00	1.22174	1.22229	1.22151	1.22208	1.22151	1.22200	1.22121	1.22180	
2014-02-05T07:00:00	1.22224	1.22245	1.22138	1.22174	1.22130	1.22186	1.22112	1.22151	
2014-02-05T06:00:00	1.22211	1.22226	1.22158	1.22224	1.22191	1.22207	1.22130	1.22130	
2014-02-05T05:00:00	1.22244	1.22258	1.22204	1.22211	1.22225	1.22239	1.22187	1.22191	
2014-02-05T04:00:00	1.22238	1.22277	1.22236	1.22244	1.22218	1.22259	1.22218	1.22225	
2014-02-05T03:00:00	1.22311	1.22328	1.22238	1.22238	1.22295	1.22310	1.22218	1.22218	
2014-02-05T02:00:00	1.22259	1.22316	1.22242	1.22311	1.22238	1.22297	1.22226	1.22295	
2014-02-05T01:00:00	1.22183	1.22306	1.22180	1.22259	1.22165	1.22288	1.22162	1.22238	
2014-02-05T00:00:00	1.22274	1.22326	1.22183	1.22183	1.22252	1.22308	1.22165	1.22165	
2014-02-04T23:00:00	1.22213	1.22304	1.22206	1.22274	1.22194	1.22284	1.22188	1.22252	
2014-02-04T22:00:00	1.22158	1.22214	1.22147	1.22213	1.22141	1.22196	1.22128	1.22194	
2014-02-04T21:00:00	1.22214	1.22216	1.22130	1.22158	1.22192	1.22201	1.22116	1.22141	
2014-02-04T20:00:00	1.22191	1.22241	1.22180	1.22214	1.22174	1.22222	1.22162	1.22192	
2014-02-04T19:00:00	1.22202	1.22214	1.22147	1.22191	1.22186	1.22192	1.22129	1.22174	
2014-02-04T18:00:00	1.22123	1.22224	1.22101	1.22202	1.22105	1.22208	1.22082	1.22186	
2014-02-04T17:00:00	1.22027	1.22158	1.21995	1.22123	1.22011	1.22141	1.21974	1.22105	
2014-02-04T16:00:00	1.21943	1.22039	1.21942	1.22027	1.21926	1.22022	1.21926	1.22011	
2014-02-04T15:00:00	1.21988	1.22037	1.21889	1.21943	1.21965	1.22015	1.21871	1.21926	
2014-02-04T14:00:00	1.21961	1.22061	1.21957	1.21988	1.21943	1.22040	1.21938	1.21965	
2014-02-04T13:00:00	1.21984	1.22048	1.21959	1.21961	1.21961	1.22038	1.21940	1.21943	
2014-02-04T12:00:00	1.21997	1.22007	1.21944	1.21984	1.21980	1.21984	1.21924	1.21961	
2014-02-04T11:00:00	1.21954	1.21997	1.21948	1.21997	1.21931	1.21980	1.21929	1.21980	
2014-02-04T10:00:00	1.21957	1.21962	1.21883	1.21954	1.21935	1.21942	1.21865	1.21931	
2014-02-04T09:00:00	1.21896	1.21974	1.21896	1.21957	1.21875	1.21954	1.21874	1.21935	
2014-02-04T08:00:00	1.21942	1.21947	1.21879	1.21896	1.21917	1.21920	1.21842	1.21875	
2014-02-04T07:00:00	1.21913	1.21951	1.21867	1.21942	1.21843	1.21917	1.21843	1.21917	
2014-02-04T06:00:00	1.21939	1.21950	1.21865	1.21913	1.21918	1.21930	1.21843	1.21843	
2014-02-04T05:00:00	1.21903	1.21957	1.21882	1.21939	1.21884	1.21938	1.21863	1.21918	
2014-02-04T04:00:00	1.21931	1.21995	1.21858	1.21903	1.21915	1.21977	1.21837	1.21884	
2014-02-04T03:00:00	1.21962	1.21968	1.21881	1.21931	1.21944	1.21949	1.21863	1.21915	
2014-02-04T02:00:00	1.21912	1.22000	1.21899	1.21962	1.21897	1.21988	1.21882	1.21944	
2014-02-04T01:00:00	1.22041	1.22051	1.21899	1.21912	1.22023	1.22031	1.21894	1.21897	
2014-02-04T00:00:00	1.22140	1.22143	1.21913	1.22041	1.22100	1.22121	1.21897	1.22023	
2014-02-03T23:00:00	1.22172	1.22206	1.22102	1.22140	1.22154	1.22187	1.22092	1.22100	
2014-02-03T22:00:00	1.22184	1.22278	1.22160	1.22172	1.22167	1.22262	1.22144	1.22154	
2014-02-03T21:00:00	1.22140	1.22195	1.22135	1.22184	1.22125	1.22176	1.22121	1.22167	
2014-02-03T20:00:00	1.22240	1.22254	1.22118	1.22140	1.22219	1.22236	1.22101	1.22125	
2014-02-03T19:00:00	1.22200	1.22256	1.22138	1.22240	1.22180	1.22238	1.22119	1.22219	
2014-02-03T18:00:00	1.22199	1.22216	1.22132	1.22200	1.22179	1.22198	1.22113	1.22180	
2014-02-03T17:00:00	1.22305	1.22316	1.22126	1.22199	1.22286	1.22298	1.22109	1.22179	
2014-02-03T16:00:00	1.22193	1.22337	1.22190	1.22305	1.22173	1.22319	1.22169	1.22286	
2014-02-03T15:00:00	1.22276	1.22278	1.22114	1.22193	1.22250	1.22255	1.22092	1.22173	
2014-02-03T14:00:00	1.22344	1.22351	1.22273	1.22276	1.22328	1.22340	1.22241	1.22250	
2014-02-03T13:00:00	1.22390	1.22406	1.22338	1.22344	1.22371	1.22386	1.22325	1.22328	
2014-02-03T12:00:00	1.22368	1.22396	1.22335	1.22390	1.22345	1.22374	1.22312	1.22371	
2014-02-03T11:00:00	1.22350	1.22369	1.22292	1.22368	1.22329	1.22346	1.22276	1.22345	
2014-02-03T10:00:00	1.22354	1.22433	1.22338	1.22350	1.22333	1.22413	1.22315	1.22329	
2014-02-03T09:00:00	1.22286	1.22369	1.22286	1.22354	1.22264	1.22350	1.22264	1.22333	
2014-02-03T08:00:00	1.22281	1.22292	1.22265	1.22286	1.22226	1.22269	1.22218	1.22264	
2014-02-03T07:00:00	1.22287	1.22320	1.22255	1.22281	1.22207	1.22248	1.22146	1.22226	
2014-02-03T06:00:00	1.22271	1.22323	1.22257	1.22287	1.22220	1.22222	1.22166	1.22207	
2014-02-03T05:00:00	1.22287	1.22295	1.22271	1.22271	1.22197	1.22220	1.22170	1.22220	
2014-02-03T04:00:00	1.22272	1.22293	1.22272	1.22287	1.22189	1.22214	1.22184	1.22197	
2014-02-01T06:00:00	1.22301	1.22306	1.22201	1.22272	1.22278	1.22284	1.22163	1.22189	
2014-02-01T05:00:00	1.22405	1.22431	1.22255	1.22301	1.22382	1.22411	1.22234	1.22278	
2014-02-01T04:00:00	1.22232	1.22405	1.22231	1.22405	1.22211	1.22382	1.22213	1.22382	
2014-02-01T03:00:00	1.22222	1.22255	1.22178	1.22232	1.22205	1.22237	1.22161	1.22211	
2014-02-01T02:00:00	1.22210	1.22302	1.22189	1.22222	1.22191	1.22283	1.22169	1.22205	
2014-02-01T01:00:00	1.22141	1.22227	1.22128	1.22210	1.22125	1.22208	1.22109	1.22191	
2014-02-01T00:00:00	1.22252	1.22263	1.22117	1.22141	1.22232	1.22245	1.22102	1.22125	
2014-01-31T23:00:00	1.22182	1.22269	1.22172	1.22252	1.22163	1.22251	1.22152	1.22232	
2014-01-31T22:00:00	1.22277	1.22312	1.22134	1.22182	1.22256	1.22291	1.22115	1.22163	
2014-01-31T21:00:00	1.22251	1.22306	1.22182	1.22277	1.22234	1.22289	1.22162	1.22256	
2014-01-31T20:00:00	1.22346	1.22392	1.22173	1.22251	1.22325	1.22373	1.22157	1.22234	
2014-01-31T19:00:00	1.22307	1.22396	1.22229	1.22346	1.22278	1.22383	1.22209	1.22325	
2014-01-31T18:00:00	1.22429	1.22445	1.22299	1.22307	1.22414	1.22429	1.22270	1.22278	
2014-01-31T17:00:00	1.22354	1.22466	1.22305	1.22429	1.22333	1.22452	1.22285	1.22414	
2014-01-31T16:00:00	1.22366	1.22423	1.22342	1.22354	1.22334	1.22406	1.22322	1.22333	
2014-01-31T15:00:00	1.22309	1.22370	1.22296	1.22366	1.22288	1.22354	1.22277	1.22334	
2014-01-31T14:00:00	1.22301	1.22317	1.22280	1.22309	1.22280	1.22295	1.22263	1.22288	
2014-01-31T13:00:00	1.22284	1.22303	1.22270	1.22301	1.22261	1.22284	1.22251	1.22280	
2014-01-31T12:00:00	1.22328	1.22328	1.22281	1.22284	1.22307	1.22309	1.22259	1.22261	
2014-01-31T11:00:00	1.22346	1.22346	1.22318	1.22328	1.22323	1.22323	1.22299	1.22307	
2014-01-31T10:00:00	1.22351	1.22373	1.22318	1.22346	1.22331	1.22351	1.22299	1.22323	
2014-01-31T09:00:00	1.22381	1.22432	1.22341	1.22351	1.22360	1.22400	1.22318	1.22331	
2014-01-31T08:00:00	1.22364	1.22383	1.22352	1.22381	1.22342	1.22362	1.22329	1.22360	
2014-01-31T07:00:00	1.22360	1.22425	1.22328	1.22364	1.22362	1.22354	1.22254	1.22342	
2014-01-31T06:00:00	1.22438	1.22459	1.22340	1.22360	1.22421	1.22441	1.22315	1.22362	
2014-01-31T05:00:00	1.22414	1.22453	1.22413	1.22438	1.22396	1.22448	1.22392	1.22421	
2014-01-31T04:00:00	1.22420	1.22433	1.22371	1.22414	1.22399	1.22418	1.22352	1.22396	
2014-01-31T03:00:00	1.22462	1.22476	1.22410	1.22420	1.22445	1.22457	1.22391	1.22399	
2014-01-31T02:00:00	1.22538	1.22544	1.22444	1.22462	1.22521	1.22526	1.22424	1.22445	
2014-01-31T01:00:00	1.22437	1.22553	1.22431	1.22538	1.22418	1.22539	1.22412	1.22521	
2014-01-31T00:00:00	1.22413	1.22438	1.22351	1.22437	1.22401	1.22421	1.22332	1.22418	
2014-01-30T23:00:00	1.22448	1.22497	1.22410	1.22413	1.22432	1.22481	1.22391	1.22401	
2014-01-30T22:00:00	1.22430	1.22485	1.22313	1.22448	1.22404	1.22469	1.22296	1.22432	
2014-01-30T21:00:00	1.22369	1.22469	1.22297	1.22430	1.22350	1.22450	1.22278	1.22404	
2014-01-30T20:00:00	1.22288	1.22374	1.22283	1.22369	1.22269	1.22355	1.22264	1.22350	
2014-01-30T19:00:00	1.22238	1.22323	1.22226	1.22288	1.22220	1.22303	1.22213	1.22269	
2014-01-30T18:00:00	1.22348	1.22346	1.22220	1.22238	1.22317	1.22329	1.22199	1.22220	
2014-01-30T17:00:00	1.22327	1.22419	1.22292	1.22348	1.22314	1.22399	1.22273	1.22317	
2014-01-30T16:00:00	1.22363	1.22392	1.22312	1.22327	1.22341	1.22373	1.22294	1.22314	
2014-01-30T15:00:00	1.22332	1.22372	1.22334	1.22363	1.22309	1.22353	1.22311	1.22341	
2014-01-30T14:00:00	1.22361	1.22383	1.22310	1.22332	1.22338	1.22361	1.22287	1.22309	
2014-01-30T13:00:00	1.22319	1.22403	1.22299	1.22361	1.22296	1.22384	1.22276	1.22338	
2014-01-30T12:00:00	1.22282	1.22328	1.22237	1.22319	1.22263	1.22304	1.22220	1.22296	
2014-01-30T11:00:00	1.22235	1.22289	1.22218	1.22282	1.22215	1.22269	1.22200	1.22263	
2014-01-30T10:00:00	1.22215	1.22241	1.22202	1.22235	1.22197	1.22232	1.22180	1.22215	
2014-01-30T09:00:00	1.22258	1.22258	1.22210	1.22215	1.22228	1.22231	1.22191	1.22197	
2014-01-30T08:00:00	1.22224	1.22283	1.22203	1.22258	1.22179	1.22250	1.22179	1.22228	
2014-01-30T07:00:00	1.22232	1.22323	1.22212	1.22224	1.22190	1.22260	1.22142	1.22179	
2014-01-30T06:00:00	1.22281	1.22314	1.22188	1.22232	1.22260	1.22294	1.22168	1.22190	
2014-01-30T05:00:00	1.22221	1.22289	1.22190	1.22281	1.22197	1.22270	1.22168	1.22260	
2014-01-30T04:00:00	1.22307	1.22358	1.22141	1.22221	1.22216	1.22332	1.22123	1.22197	
2014-01-30T03:00:00	1.22176	1.22339	1.22162	1.22307	1.22162	1.22270	1.22141	1.22216	
2014-01-30T02:00:00	1.22269	1.22277	1.22165	1.22176	1.22256	1.22261	1.22145	1.22162	
2014-01-30T01:00:00	1.22227	1.22352	1.22221	1.22269	1.22206	1.22333	1.22203	1.22256	
2014-01-30T00:00:00	1.22327	1.22354	1.22214	1.22227	1.22308	1.22335	1.22193	1.22206	
2014-01-29T23:00:00	1.22292	1.22384	1.22170	1.22327	1.22268	1.22367	1.22158	1.22308	
2014-01-29T22:00:00	1.22619	1.22648	1.22291	1.22292	1.22600	1.22629	1.22268	1.22268	
2014-01-29T21:00:00	1.22636	1.22690	1.22593	1.22619	1.22617	1.22672	1.22572	1.22600	
2014-01-29T20:00:00	1.22628	1.22691	1.22608	1.22636	1.22607	1.22674	1.22589	1.22617	
2014-01-29T19:00:00	1.22745	1.22752	1.22617	1.22628	1.22724	1.22736	1.22602	1.22607	
2014-01-29T18:00:00	1.22850	1.22859	1.22648	1.22745	1.22829	1.22842	1.22628	1.22724	
2014-01-29T17:00:00	1.22860	1.22914	1.22826	1.22850	1.22839	1.22895	1.22806	1.22829	
2014-01-29T16:00:00	1.22956	1.22984	1.22841	1.22860	1.22937	1.22968	1.22822	1.22839	
2014-01-29T15:00:00	1.22934	1.22982	1.22926	1.22956	1.22913	1.22965	1.22903	1.22937	
2014-01-29T14:00:00	1.22964	1.22964	1.22921	1.22934	1.22941	1.22945	1.22907	1.22913	
2014-01-29T13:00:00	1.22935	1.22964	1.22932	1.22964	1.22913	1.22943	1.22909	1.22941	
2014-01-29T12:00:00	1.22853	1.22935	1.22847	1.22935	1.22830	1.22913	1.22827	1.22913	
2014-01-29T11:00:00	1.22871	1.22897	1.22841	1.22853	1.22848	1.22883	1.22818	1.22830	
2014-01-29T10:00:00	1.22850	1.22876	1.22831	1.22871	1.22829	1.22856	1.22808	1.22848	
2014-01-29T09:00:00	1.22853	1.22872	1.22822	1.22850	1.22830	1.22850	1.22804	1.22829	
2014-01-29T08:00:00	1.22896	1.22907	1.22853	1.22853	1.22877	1.22885	1.22824	1.22830	
2014-01-29T07:00:00	1.22706	1.22929	1.22698	1.22896	1.22638	1.22904	1.22564	1.22877	
2014-01-29T06:00:00	1.22708	1.22715	1.22660	1.22706	1.22687	1.22694	1.22638	1.22638	
2014-01-29T05:00:00	1.22694	1.22722	1.22684	1.22708	1.22673	1.22703	1.22666	1.22687	
2014-01-29T04:00:00	1.22761	1.22761	1.22684	1.22694	1.22740	1.22740	1.22665	1.22673	
2014-01-29T03:00:00	1.22776	1.22800	1.22759	1.22761	1.22759	1.22779	1.22739	1.22740	
2014-01-29T02:00:00	1.22745	1.22814	1.22744	1.22776	1.22726	1.22794	1.22723	1.22759	
2014-01-29T01:00:00	1.22811	1.22836	1.22740	1.22745	1.22790	1.22818	1.22721	1.22726	
2014-01-29T00:00:00	1.22733	1.22814	1.22720	1.22811	1.22699	1.22798	1.22699	1.22790	
2014-01-28T23:00:00	1.22726	1.22737	1.22653	1.22733	1.22706	1.22720	1.22633	1.22699	
2014-01-28T22:00:00	1.22824	1.22829	1.22673	1.22726	1.22807	1.22808	1.22654	1.22706	
2014-01-28T21:00:00	1.22732	1.22846	1.22730	1.22824	1.22716	1.22827	1.22713	1.22807	
2014-01-28T20:00:00	1.22728	1.22738	1.22687	1.22732	1.22707	1.22721	1.22669	1.22716	
2014-01-28T19:00:00	1.22793	1.22824	1.22724	1.22728	1.22778	1.22808	1.22705	1.22707	
2014-01-28T18:00:00	1.22671	1.22796	1.22666	1.22793	1.22651	1.22783	1.22647	1.22778	
2014-01-28T17:00:00	1.22689	1.22734	1.22656	1.22671	1.22668	1.22717	1.22638	1.22651	
2014-01-28T16:00:00	1.22602	1.22690	1.22576	1.22689	1.22581	1.22671	1.22561	1.22668	
2014-01-28T15:00:00	1.22588	1.22621	1.22571	1.22602	1.22569	1.22601	1.22557	1.22581	
2014-01-28T14:00:00	1.22602	1.22605	1.22585	1.22588	1.22582	1.22586	1.22569	1.22569	
2014-01-28T13:00:00	1.22610	1.22624	1.22596	1.22602	1.22589	1.22602	1.22579	1.22582	
2014-01-28T12:00:00	1.22568	1.22622	1.22545	1.22610	1.22546	1.22606	1.22522	1.22589	
2014-01-28T11:00:00	1.22613	1.22621	1.22543	1.22568	1.22590	1.22599	1.22520	1.22546	
2014-01-28T10:00:00	1.22592	1.22633	1.22588	1.22613	1.22571	1.22612	1.22565	1.22590	
2014-01-28T09:00:00	1.22593	1.22608	1.22522	1.22592	1.22562	1.22588	1.22502	1.22571	
2014-01-28T08:00:00	1.22567	1.22620	1.22565	1.22593	1.22530	1.22592	1.22529	1.22562	
