日時	EUR/GBP(始値, 買い)	EUR/GBP(高値, 買い)	EUR/GBP(安値, 買い)	EUR/GBP(終値, 買い)	EUR/GBP(始値, 売り)	EUR/GBP(高値, 売り)	EUR/GBP(安値, 売り)	EUR/GBP(終値, 売り)	
2014-02-07T06:00:00	0.83262	0.83278	0.83247	0.83260	0.83243	0.83258	0.83230	0.83241	
2014-02-07T05:00:00	0.83255	0.83276	0.83241	0.83262	0.83237	0.83257	0.83223	0.83243	
2014-02-07T04:00:00	0.83263	0.83267	0.83225	0.83255	0.83244	0.83248	0.83207	0.83237	
2014-02-07T03:00:00	0.83246	0.83270	0.83215	0.83263	0.83227	0.83251	0.83200	0.83244	
2014-02-07T02:00:00	0.83242	0.83299	0.83231	0.83246	0.83224	0.83280	0.83213	0.83227	
2014-02-07T01:00:00	0.83317	0.83330	0.83217	0.83242	0.83302	0.83314	0.83201	0.83224	
2014-02-07T00:00:00	0.83387	0.83397	0.83228	0.83317	0.83376	0.83384	0.83210	0.83302	
2014-02-06T23:00:00	0.83400	0.83510	0.83353	0.83387	0.83382	0.83492	0.83334	0.83376	
2014-02-06T22:00:00	0.82867	0.83422	0.82804	0.83400	0.82849	0.83405	0.82793	0.83382	
2014-02-06T21:00:00	0.82931	0.83076	0.82820	0.82867	0.82861	0.83021	0.82802	0.82849	
2014-02-06T20:00:00	0.83045	0.83102	0.82869	0.82931	0.83025	0.83085	0.82839	0.82861	
2014-02-06T19:00:00	0.83010	0.83059	0.82992	0.83045	0.82994	0.83041	0.82975	0.83025	
2014-02-06T18:00:00	0.83035	0.83036	0.82961	0.83010	0.83019	0.83020	0.82942	0.82994	
2014-02-06T17:00:00	0.82912	0.83073	0.82902	0.83035	0.82898	0.83055	0.82884	0.83019	
2014-02-06T16:00:00	0.82888	0.82951	0.82877	0.82912	0.82869	0.82933	0.82860	0.82898	
2014-02-06T15:00:00	0.82929	0.82960	0.82869	0.82888	0.82909	0.82940	0.82853	0.82869	
2014-02-06T14:00:00	0.82918	0.82972	0.82903	0.82929	0.82898	0.82953	0.82886	0.82909	
2014-02-06T13:00:00	0.82938	0.82946	0.82892	0.82918	0.82921	0.82927	0.82873	0.82898	
2014-02-06T12:00:00	0.82978	0.82997	0.82931	0.82938	0.82960	0.82979	0.82912	0.82921	
2014-02-06T11:00:00	0.82968	0.82987	0.82942	0.82978	0.82949	0.82972	0.82920	0.82960	
2014-02-06T10:00:00	0.82949	0.82985	0.82907	0.82968	0.82930	0.82965	0.82889	0.82949	
2014-02-06T09:00:00	0.82917	0.82952	0.82903	0.82949	0.82898	0.82932	0.82887	0.82930	
2014-02-06T08:00:00	0.82999	0.83004	0.82914	0.82917	0.82970	0.82974	0.82895	0.82898	
2014-02-06T07:00:00	0.82992	0.83027	0.82970	0.82999	0.82960	0.83012	0.82945	0.82970	
2014-02-06T06:00:00	0.83008	0.83016	0.82972	0.82992	0.82992	0.82996	0.82958	0.82960	
2014-02-06T05:00:00	0.82978	0.83011	0.82972	0.83008	0.82961	0.82993	0.82952	0.82992	
2014-02-06T04:00:00	0.82924	0.82988	0.82904	0.82978	0.82907	0.82969	0.82886	0.82961	
2014-02-06T03:00:00	0.82928	0.82938	0.82890	0.82924	0.82908	0.82920	0.82872	0.82907	
2014-02-06T02:00:00	0.82914	0.82948	0.82901	0.82928	0.82896	0.82929	0.82881	0.82908	
2014-02-06T01:00:00	0.82995	0.83040	0.82908	0.82914	0.82979	0.83022	0.82891	0.82896	
2014-02-06T00:00:00	0.83048	0.83087	0.82923	0.82995	0.83003	0.83070	0.82910	0.82979	
2014-02-05T23:00:00	0.83079	0.83098	0.82946	0.83048	0.83062	0.83079	0.82930	0.83003	
2014-02-05T22:00:00	0.83161	0.83347	0.83071	0.83079	0.83144	0.83328	0.83057	0.83062	
2014-02-05T21:00:00	0.83078	0.83165	0.83015	0.83161	0.83063	0.83149	0.82998	0.83144	
2014-02-05T20:00:00	0.82999	0.83090	0.82994	0.83078	0.82989	0.83072	0.82981	0.83063	
2014-02-05T19:00:00	0.83085	0.83085	0.82977	0.82999	0.83071	0.83071	0.82959	0.82989	
2014-02-05T18:00:00	0.82869	0.83128	0.82726	0.83085	0.82849	0.83112	0.82689	0.83071	
2014-02-05T17:00:00	0.82803	0.82904	0.82803	0.82869	0.82783	0.82887	0.82783	0.82849	
2014-02-05T16:00:00	0.82701	0.82853	0.82696	0.82803	0.82681	0.82837	0.82681	0.82783	
2014-02-05T15:00:00	0.82711	0.82714	0.82671	0.82701	0.82692	0.82698	0.82656	0.82681	
2014-02-05T14:00:00	0.82739	0.82744	0.82694	0.82711	0.82722	0.82725	0.82677	0.82692	
2014-02-05T13:00:00	0.82745	0.82764	0.82722	0.82739	0.82729	0.82745	0.82704	0.82722	
2014-02-05T12:00:00	0.82794	0.82824	0.82745	0.82745	0.82772	0.82808	0.82723	0.82729	
2014-02-05T11:00:00	0.82805	0.82817	0.82792	0.82794	0.82784	0.82797	0.82772	0.82772	
2014-02-05T10:00:00	0.82781	0.82831	0.82775	0.82805	0.82763	0.82810	0.82756	0.82784	
2014-02-05T09:00:00	0.82775	0.82792	0.82736	0.82781	0.82759	0.82772	0.82719	0.82763	
2014-02-05T08:00:00	0.82796	0.82809	0.82771	0.82775	0.82773	0.82783	0.82751	0.82759	
2014-02-05T07:00:00	0.82823	0.82837	0.82766	0.82796	0.82788	0.82789	0.82744	0.82773	
2014-02-05T06:00:00	0.82789	0.82824	0.82769	0.82823	0.82771	0.82798	0.82751	0.82788	
2014-02-05T05:00:00	0.82825	0.82833	0.82786	0.82789	0.82808	0.82817	0.82769	0.82771	
2014-02-05T04:00:00	0.82832	0.82848	0.82814	0.82825	0.82817	0.82830	0.82798	0.82808	
2014-02-05T03:00:00	0.82845	0.82847	0.82798	0.82832	0.82828	0.82829	0.82779	0.82817	
2014-02-05T02:00:00	0.82869	0.82871	0.82796	0.82845	0.82853	0.82854	0.82779	0.82828	
2014-02-05T01:00:00	0.82910	0.82917	0.82781	0.82869	0.82895	0.82899	0.82764	0.82853	
2014-02-05T00:00:00	0.82891	0.82928	0.82785	0.82910	0.82859	0.82911	0.82768	0.82895	
2014-02-04T23:00:00	0.82912	0.82960	0.82881	0.82891	0.82894	0.82946	0.82853	0.82859	
2014-02-04T22:00:00	0.82850	0.82939	0.82844	0.82912	0.82831	0.82921	0.82827	0.82894	
2014-02-04T21:00:00	0.82814	0.82895	0.82788	0.82850	0.82796	0.82877	0.82771	0.82831	
2014-02-04T20:00:00	0.82779	0.82843	0.82709	0.82814	0.82763	0.82824	0.82693	0.82796	
2014-02-04T19:00:00	0.82751	0.82779	0.82695	0.82779	0.82732	0.82763	0.82678	0.82763	
2014-02-04T18:00:00	0.82923	0.82978	0.82671	0.82751	0.82906	0.82961	0.82651	0.82732	
2014-02-04T17:00:00	0.83052	0.83053	0.82848	0.82923	0.83033	0.83035	0.82830	0.82906	
2014-02-04T16:00:00	0.83135	0.83169	0.83049	0.83052	0.83119	0.83152	0.83032	0.83033	
2014-02-04T15:00:00	0.82999	0.83275	0.82995	0.83135	0.82980	0.83256	0.82976	0.83119	
2014-02-04T14:00:00	0.82965	0.82999	0.82933	0.82999	0.82946	0.82980	0.82916	0.82980	
2014-02-04T13:00:00	0.82886	0.82965	0.82883	0.82965	0.82868	0.82946	0.82862	0.82946	
2014-02-04T12:00:00	0.82889	0.82906	0.82826	0.82886	0.82874	0.82886	0.82808	0.82868	
2014-02-04T11:00:00	0.82901	0.82908	0.82874	0.82889	0.82881	0.82892	0.82855	0.82874	
2014-02-04T10:00:00	0.82913	0.82925	0.82879	0.82901	0.82895	0.82908	0.82861	0.82881	
2014-02-04T09:00:00	0.82925	0.82934	0.82882	0.82913	0.82900	0.82921	0.82865	0.82895	
2014-02-04T08:00:00	0.82949	0.82960	0.82899	0.82925	0.82922	0.82944	0.82880	0.82900	
2014-02-04T07:00:00	0.82971	0.83000	0.82946	0.82949	0.82937	0.82958	0.82917	0.82922	
2014-02-04T06:00:00	0.82976	0.83004	0.82952	0.82971	0.82957	0.82984	0.82936	0.82937	
2014-02-04T05:00:00	0.82987	0.83005	0.82950	0.82976	0.82971	0.82985	0.82932	0.82957	
2014-02-04T04:00:00	0.82951	0.83024	0.82929	0.82987	0.82931	0.83005	0.82910	0.82971	
2014-02-04T03:00:00	0.82881	0.82976	0.82870	0.82951	0.82865	0.82958	0.82852	0.82931	
2014-02-04T02:00:00	0.82943	0.83029	0.82878	0.82881	0.82925	0.83011	0.82860	0.82865	
2014-02-04T01:00:00	0.82779	0.82990	0.82733	0.82943	0.82761	0.82974	0.82716	0.82925	
2014-02-04T00:00:00	0.82532	0.82784	0.82532	0.82779	0.82508	0.82770	0.82487	0.82761	
2014-02-03T23:00:00	0.82565	0.82591	0.82495	0.82532	0.82549	0.82576	0.82479	0.82508	
2014-02-03T22:00:00	0.82584	0.82630	0.82550	0.82565	0.82566	0.82613	0.82534	0.82549	
2014-02-03T21:00:00	0.82704	0.82705	0.82553	0.82584	0.82689	0.82691	0.82535	0.82566	
2014-02-03T20:00:00	0.82737	0.82775	0.82642	0.82704	0.82719	0.82758	0.82624	0.82689	
2014-02-03T19:00:00	0.82655	0.82782	0.82601	0.82737	0.82639	0.82763	0.82584	0.82719	
2014-02-03T18:00:00	0.82334	0.82656	0.82238	0.82655	0.82317	0.82642	0.82223	0.82639	
2014-02-03T17:00:00	0.82235	0.82337	0.82223	0.82334	0.82218	0.82320	0.82205	0.82317	
2014-02-03T16:00:00	0.82143	0.82267	0.82127	0.82235	0.82124	0.82255	0.82108	0.82218	
2014-02-03T15:00:00	0.82106	0.82172	0.82095	0.82143	0.82087	0.82156	0.82076	0.82124	
2014-02-03T14:00:00	0.82089	0.82118	0.82088	0.82106	0.82072	0.82098	0.82072	0.82087	
2014-02-03T13:00:00	0.82107	0.82108	0.82082	0.82089	0.82087	0.82088	0.82063	0.82072	
2014-02-03T12:00:00	0.82121	0.82152	0.82105	0.82107	0.82101	0.82135	0.82086	0.82087	
2014-02-03T11:00:00	0.82098	0.82121	0.82095	0.82121	0.82079	0.82102	0.82075	0.82101	
2014-02-03T10:00:00	0.82079	0.82124	0.82069	0.82098	0.82060	0.82104	0.82048	0.82079	
2014-02-03T09:00:00	0.82066	0.82102	0.82034	0.82079	0.82045	0.82080	0.82016	0.82060	
