日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	
2014-02-07T06:00:00	138.830	138.833	138.758	138.793	138.819	138.822	138.744	138.781	
2014-02-07T05:00:00	138.759	138.833	138.668	138.830	138.750	138.822	138.652	138.819	
2014-02-07T04:00:00	138.536	138.834	138.523	138.759	138.521	138.823	138.514	138.750	
2014-02-07T03:00:00	138.578	138.626	138.462	138.536	138.566	138.615	138.458	138.521	
2014-02-07T02:00:00	138.550	138.665	138.532	138.578	138.546	138.657	138.521	138.566	
2014-02-07T01:00:00	138.530	138.626	138.502	138.550	138.520	138.615	138.494	138.546	
2014-02-07T00:00:00	138.452	138.839	138.446	138.530	138.443	138.822	138.439	138.520	
2014-02-06T23:00:00	137.711	138.522	137.702	138.452	137.696	138.512	137.693	138.443	
2014-02-06T22:00:00	136.998	137.780	136.760	137.711	136.986	137.769	136.750	137.696	
2014-02-06T21:00:00	137.191	137.285	136.912	136.998	137.186	137.225	136.892	136.986	
2014-02-06T20:00:00	137.369	137.380	137.151	137.191	137.338	137.367	137.140	137.186	
2014-02-06T19:00:00	137.323	137.396	137.239	137.369	137.311	137.388	137.227	137.338	
2014-02-06T18:00:00	137.190	137.346	137.133	137.323	137.178	137.334	137.122	137.311	
2014-02-06T17:00:00	137.273	137.284	137.055	137.190	137.262	137.272	137.045	137.178	
2014-02-06T16:00:00	137.160	137.303	137.096	137.273	137.146	137.294	137.083	137.262	
2014-02-06T15:00:00	137.124	137.268	137.064	137.160	137.110	137.254	137.053	137.146	
2014-02-06T14:00:00	137.393	137.396	137.109	137.124	137.383	137.385	137.095	137.110	
2014-02-06T13:00:00	137.260	137.489	137.244	137.393	137.248	137.475	137.230	137.383	
2014-02-06T12:00:00	137.289	137.370	137.186	137.260	137.276	137.356	137.174	137.248	
2014-02-06T11:00:00	137.272	137.348	137.163	137.289	137.258	137.335	137.152	137.276	
2014-02-06T10:00:00	137.475	137.492	137.107	137.272	137.461	137.481	137.100	137.258	
2014-02-06T09:00:00	137.335	137.589	137.315	137.475	137.321	137.579	137.302	137.461	
2014-02-06T08:00:00	137.404	137.415	137.277	137.335	137.380	137.401	137.266	137.321	
2014-02-06T07:00:00	137.314	137.407	137.314	137.404	137.280	137.386	137.280	137.380	
2014-02-06T06:00:00	137.262	137.350	137.179	137.314	137.251	137.337	137.166	137.280	
2014-02-06T05:00:00	137.124	137.297	137.114	137.262	137.113	137.291	137.102	137.251	
2014-02-06T04:00:00	137.317	137.358	137.115	137.124	137.305	137.347	137.105	137.113	
2014-02-06T03:00:00	137.249	137.369	137.242	137.317	137.234	137.361	137.229	137.305	
2014-02-06T02:00:00	137.068	137.249	137.041	137.249	137.056	137.237	137.031	137.234	
2014-02-06T01:00:00	136.933	137.231	136.789	137.068	136.923	137.222	136.778	137.056	
2014-02-06T00:00:00	136.962	137.267	136.925	136.933	136.900	137.259	136.870	136.923	
2014-02-05T23:00:00	136.800	137.059	136.730	136.962	136.788	137.046	136.717	136.900	
2014-02-05T22:00:00	136.716	137.052	136.587	136.800	136.703	137.037	136.579	136.788	
2014-02-05T21:00:00	136.797	136.809	136.632	136.716	136.782	136.797	136.621	136.703	
2014-02-05T20:00:00	136.800	136.876	136.717	136.797	136.792	136.863	136.703	136.782	
2014-02-05T19:00:00	136.783	136.866	136.559	136.800	136.765	136.855	136.545	136.792	
2014-02-05T18:00:00	136.975	137.027	136.761	136.783	136.960	137.015	136.750	136.765	
2014-02-05T17:00:00	136.772	137.131	136.676	136.975	136.761	137.121	136.664	136.960	
2014-02-05T16:00:00	136.859	136.924	136.667	136.772	136.851	136.914	136.652	136.761	
2014-02-05T15:00:00	137.071	137.093	136.842	136.859	137.060	137.079	136.827	136.851	
2014-02-05T14:00:00	137.078	137.193	137.015	137.071	137.064	137.180	137.000	137.060	
2014-02-05T13:00:00	137.098	137.197	137.001	137.078	137.085	137.184	136.990	137.064	
2014-02-05T12:00:00	136.954	137.159	136.869	137.098	136.941	137.149	136.857	137.085	
2014-02-05T11:00:00	137.258	137.298	136.877	136.954	137.242	137.288	136.862	136.941	
2014-02-05T10:00:00	137.260	137.351	137.143	137.258	137.249	137.344	137.128	137.242	
2014-02-05T09:00:00	137.456	137.463	137.100	137.260	137.445	137.449	137.084	137.249	
2014-02-05T08:00:00	137.353	137.551	137.304	137.456	137.334	137.541	137.298	137.445	
2014-02-05T07:00:00	137.416	137.454	137.307	137.353	137.381	137.435	137.292	137.334	
2014-02-05T06:00:00	137.396	137.425	137.339	137.416	137.390	137.414	137.330	137.381	
2014-02-05T05:00:00	137.344	137.440	137.323	137.396	137.337	137.431	137.311	137.390	
2014-02-05T04:00:00	137.284	137.383	137.259	137.344	137.276	137.370	137.248	137.337	
2014-02-05T03:00:00	137.412	137.445	137.252	137.284	137.401	137.436	137.240	137.276	
2014-02-05T02:00:00	137.262	137.433	137.108	137.412	137.252	137.420	137.097	137.401	
2014-02-05T01:00:00	136.987	137.281	136.929	137.262	136.976	137.273	136.919	137.252	
2014-02-05T00:00:00	136.999	137.193	136.935	136.987	136.988	137.180	136.925	136.976	
2014-02-04T23:00:00	137.076	137.102	136.923	136.999	137.065	137.090	136.912	136.988	
2014-02-04T22:00:00	136.890	137.178	136.890	137.076	136.879	137.167	136.878	137.065	
2014-02-04T21:00:00	136.906	137.059	136.847	136.890	136.893	137.050	136.836	136.879	
2014-02-04T20:00:00	136.898	137.028	136.811	136.906	136.884	137.021	136.796	136.893	
2014-02-04T19:00:00	137.092	137.169	136.748	136.898	137.077	137.158	136.737	136.884	
2014-02-04T18:00:00	136.935	137.110	136.824	137.092	136.925	137.102	136.814	137.077	
2014-02-04T17:00:00	136.723	136.948	136.488	136.935	136.707	136.938	136.474	136.925	
2014-02-04T16:00:00	136.692	136.824	136.542	136.723	136.676	136.813	136.533	136.707	
2014-02-04T15:00:00	136.452	136.737	136.235	136.692	136.439	136.722	136.224	136.676	
2014-02-04T14:00:00	136.808	136.881	136.430	136.452	136.795	136.869	136.434	136.439	
2014-02-04T13:00:00	136.725	136.855	136.635	136.808	136.711	136.842	136.628	136.795	
2014-02-04T12:00:00	136.879	136.942	136.660	136.725	136.866	136.929	136.646	136.711	
2014-02-04T11:00:00	136.834	137.025	136.766	136.879	136.820	137.022	136.758	136.866	
2014-02-04T10:00:00	136.874	136.931	136.642	136.834	136.865	136.919	136.630	136.820	
2014-02-04T09:00:00	136.837	136.903	136.757	136.874	136.823	136.892	136.744	136.865	
2014-02-04T08:00:00	136.805	136.858	136.659	136.837	136.771	136.848	136.645	136.823	
2014-02-04T07:00:00	136.604	136.831	136.604	136.805	136.578	136.805	136.554	136.771	
2014-02-04T06:00:00	136.635	136.654	136.474	136.604	136.622	136.642	136.464	136.578	
2014-02-04T05:00:00	136.461	136.751	136.459	136.635	136.450	136.744	136.446	136.622	
2014-02-04T04:00:00	136.743	136.784	136.365	136.461	136.730	136.775	136.354	136.450	
2014-02-04T03:00:00	136.758	136.793	136.606	136.743	136.751	136.784	136.601	136.730	
2014-02-04T02:00:00	136.753	136.919	136.664	136.758	136.743	136.907	136.655	136.751	
2014-02-04T01:00:00	136.879	137.079	136.700	136.753	136.869	137.071	136.688	136.743	
2014-02-04T00:00:00	137.273	137.274	136.670	136.879	137.194	137.260	136.661	136.869	
2014-02-03T23:00:00	137.467	137.545	137.166	137.273	137.453	137.532	137.157	137.194	
2014-02-03T22:00:00	137.609	137.869	137.387	137.467	137.597	137.860	137.375	137.453	
2014-02-03T21:00:00	137.600	137.653	137.472	137.609	137.588	137.648	137.460	137.597	
2014-02-03T20:00:00	137.436	137.659	137.408	137.600	137.426	137.648	137.397	137.588	
2014-02-03T19:00:00	137.629	137.701	137.355	137.436	137.620	137.691	137.342	137.426	
2014-02-03T18:00:00	137.884	137.933	137.532	137.629	137.874	137.924	137.519	137.620	
2014-02-03T17:00:00	137.685	138.007	137.664	137.884	137.672	137.996	137.654	137.874	
2014-02-03T16:00:00	137.792	137.933	137.600	137.685	137.779	137.919	137.588	137.672	
