日時	EUR/TRY(始値, 買い)	EUR/TRY(高値, 買い)	EUR/TRY(安値, 買い)	EUR/TRY(終値, 買い)	EUR/TRY(始値, 売り)	EUR/TRY(高値, 売り)	EUR/TRY(安値, 売り)	EUR/TRY(終値, 売り)	
2014-02-07T06:00:00	3.00706	3.00841	3.00506	3.00663	3.00361	3.00610	3.00308	3.00491	
2014-02-07T05:00:00	3.00643	3.00743	3.00463	3.00706	3.00441	3.00601	3.00226	3.00361	
2014-02-07T04:00:00	3.00628	3.00763	3.00320	3.00643	3.00421	3.00611	3.00136	3.00441	
2014-02-07T03:00:00	3.00618	3.00744	3.00209	3.00628	3.00392	3.00541	3.00146	3.00421	
2014-02-07T02:00:00	3.00721	3.00879	3.00133	3.00618	3.00636	3.00721	2.99926	3.00392	
2014-02-07T01:00:00	3.00443	3.00858	3.00054	3.00721	3.00271	3.00739	2.99910	3.00636	
2014-02-07T00:00:00	3.02065	3.02141	3.00358	3.00443	3.01971	3.02041	3.00211	3.00271	
2014-02-06T23:00:00	3.02740	3.03018	3.01955	3.02065	3.02611	3.02898	3.01841	3.01971	
2014-02-06T22:00:00	3.00463	3.03173	2.99992	3.02740	3.00346	3.03076	2.99871	3.02611	
2014-02-06T21:00:00	3.00123	3.01634	2.99962	3.00463	3.00031	3.01410	2.99836	3.00346	
2014-02-06T20:00:00	3.01238	3.01398	3.00103	3.00123	3.00904	3.01296	3.00021	3.00031	
2014-02-06T19:00:00	3.01583	3.01583	3.00413	3.01238	3.01501	3.01501	3.00316	3.00904	
2014-02-06T18:00:00	3.02183	3.02184	3.01388	3.01583	3.02061	3.02076	3.01296	3.01501	
2014-02-06T17:00:00	3.02268	3.03023	3.01973	3.02183	3.02142	3.02921	3.01851	3.02061	
2014-02-06T16:00:00	3.02108	3.02723	3.01648	3.02268	3.01841	3.02547	3.01551	3.02142	
2014-02-06T15:00:00	3.02938	3.02981	3.01671	3.02108	3.02623	3.02661	3.01345	3.01841	
2014-02-06T14:00:00	3.03051	3.03081	3.02748	3.02938	3.02731	3.02754	3.02571	3.02623	
2014-02-06T13:00:00	3.03110	3.03203	3.02949	3.03051	3.02745	3.02814	3.02629	3.02731	
2014-02-06T12:00:00	3.03438	3.03465	3.03110	3.03110	3.02995	3.03021	3.02745	3.02745	
2014-02-06T11:00:00	3.03463	3.03521	3.03360	3.03438	3.02973	3.03037	3.02917	3.02995	
2014-02-06T10:00:00	3.03426	3.03545	3.03258	3.03463	3.03001	3.03022	3.02833	3.02973	
2014-02-06T09:00:00	3.03511	3.03593	3.03378	3.03426	3.03033	3.03135	3.02953	3.03001	
2014-02-06T08:00:00	3.03506	3.03579	3.03426	3.03511	3.03079	3.03079	3.02934	3.03033	
2014-02-06T07:00:00	3.03320	3.03613	3.03320	3.03506	3.02478	3.03110	3.02478	3.03079	
2014-02-06T06:00:00	3.03173	3.03381	3.02833	3.03320	3.03031	3.03224	3.02478	3.02478	
2014-02-06T05:00:00	3.03053	3.03215	3.02943	3.03173	3.02888	3.03086	3.02796	3.03031	
2014-02-06T04:00:00	3.03223	3.03428	3.03018	3.03053	3.03056	3.03249	3.02836	3.02888	
2014-02-06T03:00:00	3.03445	3.03534	3.03008	3.03223	3.03230	3.03343	3.02861	3.03056	
2014-02-06T02:00:00	3.03283	3.03643	3.03038	3.03445	3.03155	3.03401	3.02856	3.03230	
2014-02-06T01:00:00	3.03428	3.03993	3.03028	3.03283	3.03351	3.03900	3.02903	3.03155	
2014-02-06T00:00:00	3.02700	3.04193	3.01970	3.03428	3.02404	3.04056	3.01861	3.03351	
2014-02-05T23:00:00	3.02613	3.03083	3.02158	3.02700	3.02504	3.02975	3.02031	3.02404	
2014-02-05T22:00:00	3.03258	3.03970	3.02570	3.02613	3.03166	3.03861	3.02337	3.02504	
2014-02-05T21:00:00	3.02388	3.03323	3.02145	3.03258	3.02286	3.03226	3.02051	3.03166	
2014-02-05T20:00:00	3.02370	3.02530	3.01903	3.02388	3.02311	3.02440	3.01811	3.02286	
2014-02-05T19:00:00	3.02849	3.03185	3.02261	3.02370	3.02759	3.03116	3.02206	3.02311	
2014-02-05T18:00:00	3.03498	3.03518	3.02198	3.02849	3.03401	3.03420	3.02105	3.02759	
2014-02-05T17:00:00	3.03708	3.04278	3.03293	3.03498	3.03566	3.04141	3.03156	3.03401	
