日時	EUR/USD(始値, 買い)	EUR/USD(高値, 買い)	EUR/USD(安値, 買い)	EUR/USD(終値, 買い)	EUR/USD(始値, 売り)	EUR/USD(高値, 売り)	EUR/USD(安値, 売り)	EUR/USD(終値, 売り)	
2014-02-07T06:00:00	1.35923	1.35936	1.35897	1.35921	1.35919	1.35931	1.35893	1.35915	
2014-02-07T05:00:00	1.35875	1.35928	1.35853	1.35923	1.35870	1.35921	1.35846	1.35919	
2014-02-07T04:00:00	1.35943	1.35945	1.35857	1.35875	1.35937	1.35939	1.35850	1.35870	
2014-02-07T03:00:00	1.36008	1.36029	1.35909	1.35943	1.36005	1.36023	1.35902	1.35937	
2014-02-07T02:00:00	1.36035	1.36074	1.35996	1.36008	1.36029	1.36069	1.35990	1.36005	
2014-02-07T01:00:00	1.36001	1.36067	1.35967	1.36035	1.35994	1.36062	1.35961	1.36029	
2014-02-07T00:00:00	1.36056	1.36156	1.35957	1.36001	1.36049	1.36150	1.35950	1.35994	
2014-02-06T23:00:00	1.35947	1.36192	1.35899	1.36056	1.35942	1.36185	1.35893	1.36049	
2014-02-06T22:00:00	1.35017	1.36016	1.34835	1.35947	1.35009	1.36020	1.34833	1.35942	
2014-02-06T21:00:00	1.35176	1.35378	1.34897	1.35017	1.35172	1.35350	1.34893	1.35009	
2014-02-06T20:00:00	1.35288	1.35293	1.35151	1.35176	1.35281	1.35288	1.35145	1.35172	
2014-02-06T19:00:00	1.35265	1.35316	1.35226	1.35288	1.35260	1.35311	1.35222	1.35281	
2014-02-06T18:00:00	1.35279	1.35281	1.35206	1.35265	1.35274	1.35275	1.35199	1.35260	
2014-02-06T17:00:00	1.35252	1.35342	1.35170	1.35279	1.35246	1.35338	1.35165	1.35274	
2014-02-06T16:00:00	1.35197	1.35259	1.35177	1.35252	1.35189	1.35253	1.35171	1.35246	
2014-02-06T15:00:00	1.35170	1.35213	1.35153	1.35197	1.35163	1.35206	1.35146	1.35189	
2014-02-06T14:00:00	1.35228	1.35241	1.35167	1.35170	1.35220	1.35236	1.35160	1.35163	
2014-02-06T13:00:00	1.35216	1.35249	1.35216	1.35228	1.35212	1.35243	1.35210	1.35220	
2014-02-06T12:00:00	1.35350	1.35351	1.35216	1.35216	1.35343	1.35345	1.35210	1.35212	
2014-02-06T11:00:00	1.35328	1.35359	1.35302	1.35350	1.35320	1.35352	1.35296	1.35343	
2014-02-06T10:00:00	1.35342	1.35352	1.35266	1.35328	1.35337	1.35346	1.35258	1.35320	
2014-02-06T09:00:00	1.35342	1.35399	1.35311	1.35342	1.35336	1.35393	1.35307	1.35337	
2014-02-06T08:00:00	1.35367	1.35370	1.35313	1.35342	1.35358	1.35362	1.35307	1.35336	
2014-02-06T07:00:00	1.35334	1.35380	1.35313	1.35367	1.35323	1.35374	1.35304	1.35358	
2014-02-06T06:00:00	1.35385	1.35385	1.35319	1.35334	1.35379	1.35379	1.35319	1.35323	
2014-02-06T05:00:00	1.35348	1.35387	1.35310	1.35385	1.35342	1.35383	1.35303	1.35379	
2014-02-06T04:00:00	1.35349	1.35369	1.35310	1.35348	1.35343	1.35364	1.35304	1.35342	
2014-02-06T03:00:00	1.35336	1.35399	1.35318	1.35349	1.35330	1.35395	1.35312	1.35343	
2014-02-06T02:00:00	1.35189	1.35337	1.35178	1.35336	1.35183	1.35331	1.35172	1.35330	
2014-02-06T01:00:00	1.35317	1.35404	1.35152	1.35189	1.35311	1.35399	1.35146	1.35183	
2014-02-06T00:00:00	1.35192	1.35461	1.35038	1.35317	1.35172	1.35456	1.35031	1.35311	
2014-02-05T23:00:00	1.35149	1.35194	1.35099	1.35192	1.35141	1.35187	1.35094	1.35172	
2014-02-05T22:00:00	1.35238	1.35558	1.35147	1.35149	1.35232	1.35555	1.35141	1.35141	
2014-02-05T21:00:00	1.35192	1.35265	1.35112	1.35238	1.35184	1.35260	1.35104	1.35232	
2014-02-05T20:00:00	1.35110	1.35229	1.35094	1.35192	1.35103	1.35225	1.35087	1.35184	
2014-02-05T19:00:00	1.35191	1.35191	1.35044	1.35110	1.35184	1.35184	1.35043	1.35103	
2014-02-05T18:00:00	1.35206	1.35289	1.35080	1.35191	1.35200	1.35283	1.35074	1.35184	
2014-02-05T17:00:00	1.35097	1.35255	1.35097	1.35206	1.35091	1.35248	1.35091	1.35200	
2014-02-05T16:00:00	1.35063	1.35165	1.35057	1.35097	1.35056	1.35162	1.35051	1.35091	
2014-02-05T15:00:00	1.35122	1.35126	1.34991	1.35063	1.35115	1.35120	1.34985	1.35056	
2014-02-05T14:00:00	1.35131	1.35155	1.35117	1.35122	1.35124	1.35151	1.35111	1.35115	
2014-02-05T13:00:00	1.35115	1.35150	1.35088	1.35131	1.35109	1.35147	1.35085	1.35124	
2014-02-05T12:00:00	1.35175	1.35228	1.35091	1.35115	1.35168	1.35223	1.35087	1.35109	
