日時	GBP/AUD(始値, 買い)	GBP/AUD(高値, 買い)	GBP/AUD(安値, 買い)	GBP/AUD(終値, 買い)	GBP/AUD(始値, 売り)	GBP/AUD(高値, 売り)	GBP/AUD(安値, 売り)	GBP/AUD(終値, 売り)	
2014-02-07T06:00:00	1.82228	1.82298	1.82172	1.82223	1.82197	1.82272	1.82138	1.82187	
2014-02-07T05:00:00	1.82108	1.82262	1.82078	1.82228	1.82083	1.82242	1.82048	1.82197	
2014-02-07T04:00:00	1.82060	1.82122	1.81982	1.82108	1.82028	1.82096	1.81955	1.82083	
2014-02-07T03:00:00	1.82028	1.82125	1.81933	1.82060	1.81999	1.82093	1.81902	1.82028	
2014-02-07T02:00:00	1.82294	1.82321	1.82001	1.82028	1.82275	1.82302	1.81971	1.81999	
2014-02-07T01:00:00	1.82179	1.82387	1.82118	1.82294	1.82162	1.82363	1.82089	1.82275	
2014-02-07T00:00:00	1.82118	1.82199	1.81854	1.82179	1.82101	1.82179	1.81831	1.82162	
2014-02-06T23:00:00	1.81757	1.82238	1.81746	1.82118	1.81738	1.82210	1.81722	1.82101	
2014-02-06T22:00:00	1.81818	1.82270	1.81331	1.81757	1.81791	1.82242	1.81266	1.81738	
2014-02-06T21:00:00	1.82023	1.82069	1.81705	1.81818	1.81828	1.82038	1.81673	1.81791	
2014-02-06T20:00:00	1.81845	1.82122	1.81598	1.82023	1.81817	1.82033	1.81581	1.81828	
2014-02-06T19:00:00	1.82080	1.82112	1.81845	1.81845	1.82058	1.82086	1.81816	1.81817	
2014-02-06T18:00:00	1.82150	1.82241	1.81969	1.82080	1.82121	1.82218	1.81943	1.82058	
2014-02-06T17:00:00	1.82109	1.82264	1.81816	1.82150	1.82074	1.82237	1.81784	1.82121	
2014-02-06T16:00:00	1.81875	1.82141	1.81833	1.82109	1.81840	1.82112	1.81807	1.82074	
2014-02-06T15:00:00	1.81978	1.82031	1.81788	1.81875	1.81946	1.81996	1.81756	1.81840	
2014-02-06T14:00:00	1.81978	1.82042	1.81871	1.81978	1.81951	1.82011	1.81839	1.81946	
2014-02-06T13:00:00	1.81925	1.82057	1.81925	1.81978	1.81896	1.82025	1.81896	1.81951	
2014-02-06T12:00:00	1.81955	1.81998	1.81889	1.81925	1.81931	1.81968	1.81862	1.81896	
2014-02-06T11:00:00	1.81910	1.81990	1.81802	1.81955	1.81878	1.81956	1.81768	1.81931	
2014-02-06T10:00:00	1.81765	1.82023	1.81737	1.81910	1.81733	1.81991	1.81699	1.81878	
2014-02-06T09:00:00	1.82887	1.83047	1.81741	1.81765	1.82856	1.82929	1.81704	1.81733	
2014-02-06T08:00:00	1.82860	1.82939	1.82740	1.82887	1.82791	1.82904	1.82701	1.82856	
2014-02-06T07:00:00	1.83072	1.83157	1.82725	1.82860	1.83005	1.83039	1.82652	1.82791	
2014-02-06T06:00:00	1.83009	1.83088	1.82898	1.83072	1.82981	1.83067	1.82887	1.83005	
2014-02-06T05:00:00	1.83135	1.83151	1.82983	1.83009	1.83107	1.83122	1.82949	1.82981	
2014-02-06T04:00:00	1.83062	1.83164	1.82989	1.83135	1.83028	1.83134	1.82961	1.83107	
2014-02-06T03:00:00	1.83169	1.83221	1.83047	1.83062	1.83139	1.83192	1.83019	1.83028	
2014-02-06T02:00:00	1.83024	1.83218	1.82984	1.83169	1.83001	1.83194	1.82953	1.83139	
2014-02-06T01:00:00	1.82858	1.83189	1.82838	1.83024	1.82838	1.83161	1.82813	1.83001	
2014-02-06T00:00:00	1.82754	1.83197	1.82650	1.82858	1.82660	1.83171	1.82624	1.82838	
2014-02-05T23:00:00	1.82497	1.82892	1.82432	1.82754	1.82465	1.82861	1.82404	1.82660	
