日時	GBP/CAD(始値, 買い)	GBP/CAD(高値, 買い)	GBP/CAD(安値, 買い)	GBP/CAD(終値, 買い)	GBP/CAD(始値, 売り)	GBP/CAD(高値, 売り)	GBP/CAD(安値, 売り)	GBP/CAD(終値, 売り)	
2014-02-07T06:00:00	1.80748	1.80838	1.80712	1.80743	1.80728	1.80805	1.80679	1.80718	
2014-02-07T05:00:00	1.80656	1.80768	1.80612	1.80748	1.80634	1.80741	1.80579	1.80728	
2014-02-07T04:00:00	1.80634	1.80695	1.80570	1.80656	1.80604	1.80667	1.80543	1.80634	
2014-02-07T03:00:00	1.80771	1.80800	1.80609	1.80634	1.80746	1.80768	1.80587	1.80604	
2014-02-07T02:00:00	1.80876	1.80917	1.80644	1.80771	1.80849	1.80888	1.80617	1.80746	
2014-02-07T01:00:00	1.80617	1.80894	1.80530	1.80876	1.80591	1.80868	1.80505	1.80849	
2014-02-07T00:00:00	1.81168	1.81214	1.80566	1.80617	1.81130	1.81172	1.80535	1.80591	
2014-02-06T23:00:00	1.81069	1.81478	1.80941	1.81168	1.81048	1.81455	1.80911	1.81130	
2014-02-06T22:00:00	1.80290	1.81286	1.79895	1.81069	1.80262	1.81264	1.79857	1.81048	
2014-02-06T21:00:00	1.80528	1.80545	1.80175	1.80290	1.80324	1.80511	1.80143	1.80262	
2014-02-06T20:00:00	1.80228	1.80611	1.80002	1.80528	1.80194	1.80548	1.79971	1.80324	
2014-02-06T19:00:00	1.80451	1.80471	1.80223	1.80228	1.80428	1.80440	1.80191	1.80194	
2014-02-06T18:00:00	1.80528	1.80535	1.80373	1.80451	1.80494	1.80503	1.80341	1.80428	
2014-02-06T17:00:00	1.80438	1.80555	1.80126	1.80528	1.80407	1.80526	1.80094	1.80494	
2014-02-06T16:00:00	1.80486	1.80529	1.80401	1.80438	1.80453	1.80495	1.80372	1.80407	
2014-02-06T15:00:00	1.80358	1.80521	1.80289	1.80486	1.80333	1.80489	1.80260	1.80453	
2014-02-06T14:00:00	1.80519	1.80547	1.80347	1.80358	1.80482	1.80512	1.80315	1.80333	
2014-02-06T13:00:00	1.80390	1.80553	1.80389	1.80519	1.80359	1.80517	1.80354	1.80482	
2014-02-06T12:00:00	1.80542	1.80544	1.80388	1.80390	1.80507	1.80511	1.80354	1.80359	
2014-02-06T11:00:00	1.80555	1.80585	1.80452	1.80542	1.80519	1.80554	1.80423	1.80507	
