日時	GBP/CHF(始値, 買い)	GBP/CHF(高値, 買い)	GBP/CHF(安値, 買い)	GBP/CHF(終値, 買い)	GBP/CHF(始値, 売り)	GBP/CHF(高値, 売り)	GBP/CHF(安値, 売り)	GBP/CHF(終値, 売り)	
2014-02-07T06:00:00	1.47040	1.47100	1.47017	1.47071	1.47016	1.47078	1.46991	1.47040	
2014-02-07T05:00:00	1.47020	1.47086	1.47006	1.47040	1.46993	1.47058	1.46979	1.47016	
2014-02-07T04:00:00	1.47029	1.47136	1.47007	1.47020	1.47001	1.47110	1.46980	1.46993	
2014-02-07T03:00:00	1.46991	1.47094	1.46957	1.47029	1.46960	1.47069	1.46927	1.47001	
2014-02-07T02:00:00	1.46987	1.47010	1.46906	1.46991	1.46960	1.46987	1.46879	1.46960	
2014-02-07T01:00:00	1.46809	1.47068	1.46795	1.46987	1.46779	1.47042	1.46766	1.46960	
2014-02-07T00:00:00	1.46679	1.46992	1.46665	1.46809	1.46649	1.46962	1.46635	1.46779	
2014-02-06T23:00:00	1.46551	1.46713	1.46288	1.46679	1.46521	1.46685	1.46258	1.46649	
2014-02-06T22:00:00	1.47538	1.47610	1.46518	1.46551	1.47508	1.47575	1.46489	1.46521	
2014-02-06T21:00:00	1.47515	1.47646	1.47114	1.47538	1.47372	1.47616	1.47049	1.47508	
2014-02-06T20:00:00	1.47245	1.47571	1.47119	1.47515	1.47213	1.47516	1.47092	1.47372	
2014-02-06T19:00:00	1.47362	1.47378	1.47211	1.47245	1.47335	1.47350	1.47181	1.47213	
2014-02-06T18:00:00	1.47216	1.47443	1.47209	1.47362	1.47187	1.47412	1.47183	1.47335	
2014-02-06T17:00:00	1.47509	1.47522	1.47145	1.47216	1.47479	1.47494	1.47123	1.47187	
2014-02-06T16:00:00	1.47572	1.47596	1.47422	1.47509	1.47533	1.47568	1.47400	1.47479	
2014-02-06T15:00:00	1.47527	1.47598	1.47472	1.47572	1.47493	1.47572	1.47439	1.47533	
2014-02-06T14:00:00	1.47558	1.47581	1.47479	1.47527	1.47525	1.47548	1.47446	1.47493	
2014-02-06T13:00:00	1.47503	1.47598	1.47499	1.47558	1.47470	1.47572	1.47467	1.47525	
