日時	GBP/JPY(始値, 買い)	GBP/JPY(高値, 買い)	GBP/JPY(安値, 買い)	GBP/JPY(終値, 買い)	GBP/JPY(始値, 売り)	GBP/JPY(高値, 売り)	GBP/JPY(安値, 売り)	GBP/JPY(終値, 売り)	
2014-02-07T06:00:00	166.756	166.785	166.662	166.716	166.735	166.759	166.629	166.686	
2014-02-07T05:00:00	166.688	166.756	166.580	166.756	166.663	166.738	166.552	166.735	
2014-02-07T04:00:00	166.407	166.846	166.399	166.688	166.378	166.818	166.368	166.663	
2014-02-07T03:00:00	166.492	166.559	166.389	166.407	166.462	166.532	166.360	166.378	
2014-02-07T02:00:00	166.469	166.537	166.384	166.492	166.447	166.509	166.360	166.462	
2014-02-07T01:00:00	166.284	166.534	166.251	166.469	166.263	166.519	166.228	166.447	
2014-02-07T00:00:00	166.049	166.596	166.049	166.284	166.022	166.576	166.022	166.263	
2014-02-06T23:00:00	165.144	166.158	165.113	166.049	165.113	166.130	165.083	166.022	
2014-02-06T22:00:00	165.346	165.456	165.068	165.144	165.316	165.433	165.041	165.113	
2014-02-06T21:00:00	165.576	165.603	165.178	165.346	165.393	165.534	165.138	165.316	
2014-02-06T20:00:00	165.413	165.617	165.152	165.576	165.385	165.542	165.129	165.393	
2014-02-06T19:00:00	165.447	165.513	165.361	165.413	165.424	165.487	165.334	165.385	
2014-02-06T18:00:00	165.245	165.524	165.213	165.447	165.219	165.498	165.187	165.424	
2014-02-06T17:00:00	165.585	165.591	165.062	165.245	165.557	165.561	165.040	165.219	
2014-02-06T16:00:00	165.501	165.593	165.403	165.585	165.468	165.568	165.372	165.557	
2014-02-06T15:00:00	165.379	165.585	165.249	165.501	165.349	165.556	165.217	165.468	
2014-02-06T14:00:00	165.722	165.727	165.352	165.379	165.691	165.698	165.325	165.349	
2014-02-06T13:00:00	165.515	165.824	165.498	165.722	165.492	165.791	165.470	165.691	
2014-02-06T12:00:00	165.486	165.651	165.340	165.515	165.455	165.621	165.309	165.492	
2014-02-06T11:00:00	165.470	165.593	165.360	165.486	165.437	165.564	165.329	165.455	
2014-02-06T10:00:00	165.762	165.795	165.266	165.470	165.732	165.764	165.237	165.437	
2014-02-06T09:00:00	165.656	165.956	165.630	165.762	165.626	165.930	165.602	165.732	
2014-02-06T08:00:00	165.597	165.678	165.551	165.656	165.548	165.645	165.521	165.626	
2014-02-06T07:00:00	165.489	165.613	165.489	165.597	165.433	165.570	165.433	165.548	
2014-02-06T06:00:00	165.381	165.533	165.290	165.489	165.352	165.502	165.259	165.433	
2014-02-06T05:00:00	165.278	165.452	165.238	165.381	165.249	165.427	165.214	165.352	
2014-02-06T04:00:00	165.618	165.690	165.265	165.278	165.590	165.663	165.237	165.249	
2014-02-06T03:00:00	165.530	165.721	165.511	165.618	165.500	165.692	165.482	165.590	
2014-02-06T02:00:00	165.342	165.551	165.295	165.530	165.317	165.523	165.268	165.500	
2014-02-06T01:00:00	165.008	165.368	164.919	165.342	164.985	165.341	164.896	165.317	
2014-02-06T00:00:00	164.966	165.438	164.960	165.008	164.888	165.413	164.882	164.985	
2014-02-05T23:00:00	164.683	165.207	164.601	164.966	164.654	165.185	164.573	164.888	
2014-02-05T22:00:00	164.411	164.800	163.969	164.683	164.389	164.759	163.938	164.654	
