日時	GBP/NZD(始値, 買い)	GBP/NZD(高値, 買い)	GBP/NZD(安値, 買い)	GBP/NZD(終値, 買い)	GBP/NZD(始値, 売り)	GBP/NZD(高値, 売り)	GBP/NZD(安値, 売り)	GBP/NZD(終値, 売り)	
2014-02-07T06:00:00	1.97822	1.97924	1.97749	1.97858	1.97778	1.97869	1.97707	1.97820	
2014-02-07T05:00:00	1.97609	1.97884	1.97594	1.97822	1.97565	1.97861	1.97550	1.97778	
2014-02-07T04:00:00	1.97465	1.97721	1.97435	1.97609	1.97421	1.97681	1.97398	1.97565	
2014-02-07T03:00:00	1.97438	1.97563	1.97364	1.97465	1.97394	1.97519	1.97320	1.97421	
2014-02-07T02:00:00	1.97602	1.97633	1.97371	1.97438	1.97560	1.97589	1.97328	1.97394	
2014-02-07T01:00:00	1.97328	1.97682	1.97328	1.97602	1.97291	1.97638	1.97291	1.97560	
2014-02-07T00:00:00	1.98137	1.98191	1.97153	1.97328	1.98101	1.98149	1.97110	1.97291	
2014-02-06T23:00:00	1.98008	1.98423	1.97913	1.98137	1.97976	1.98379	1.97878	1.98101	
2014-02-06T22:00:00	1.97898	1.98555	1.97389	1.98008	1.97854	1.98511	1.97343	1.97976	
2014-02-06T21:00:00	1.97969	1.98101	1.97668	1.97898	1.97749	1.98058	1.97585	1.97854	
2014-02-06T20:00:00	1.98011	1.98056	1.97556	1.97969	1.97948	1.98014	1.97512	1.97749	
2014-02-06T19:00:00	1.97892	1.98220	1.97892	1.98011	1.97864	1.98177	1.97864	1.97948	
2014-02-06T18:00:00	1.98204	1.98360	1.97892	1.97892	1.98160	1.98324	1.97864	1.97864	
2014-02-06T17:00:00	1.98357	1.98548	1.98186	1.98204	1.98313	1.98507	1.98142	1.98160	
2014-02-06T16:00:00	1.97898	1.98388	1.97788	1.98357	1.97857	1.98347	1.97744	1.98313	
2014-02-06T15:00:00	1.97830	1.97998	1.97730	1.97898	1.97786	1.97972	1.97686	1.97857	
2014-02-06T14:00:00	1.98013	1.98048	1.97830	1.97830	1.97969	1.98004	1.97786	1.97786	
2014-02-06T13:00:00	1.97933	1.98088	1.97932	1.98013	1.97889	1.98045	1.97888	1.97969	
2014-02-06T12:00:00	1.98004	1.98093	1.97901	1.97933	1.97960	1.98049	1.97860	1.97889	
2014-02-06T11:00:00	1.97916	1.98012	1.97808	1.98004	1.97872	1.97968	1.97766	1.97960	
2014-02-06T10:00:00	1.98162	1.98225	1.97739	1.97916	1.98120	1.98184	1.97695	1.97872	
2014-02-06T09:00:00	1.98485	1.98674	1.98107	1.98162	1.98441	1.98542	1.98065	1.98120	
2014-02-06T08:00:00	1.98448	1.98506	1.97878	1.98485	1.98371	1.98462	1.97741	1.98441	
2014-02-06T07:00:00	1.98634	1.98656	1.98378	1.98448	1.98511	1.98533	1.98290	1.98371	
2014-02-06T06:00:00	1.98522	1.98644	1.98449	1.98634	1.98478	1.98604	1.98405	1.98511	
2014-02-06T05:00:00	1.98637	1.98772	1.98484	1.98522	1.98598	1.98728	1.98439	1.98478	
2014-02-06T04:00:00	1.98641	1.98722	1.98539	1.98637	1.98598	1.98686	1.98498	1.98598	
2014-02-06T03:00:00	1.98928	1.98945	1.98591	1.98641	1.98887	1.98900	1.98555	1.98598	
2014-02-06T02:00:00	1.98787	1.98942	1.98691	1.98928	1.98742	1.98912	1.98646	1.98887	
