日時	GBP/USD(始値, 買い)	GBP/USD(高値, 買い)	GBP/USD(安値, 買い)	GBP/USD(終値, 買い)	GBP/USD(始値, 売り)	GBP/USD(高値, 売り)	GBP/USD(安値, 売り)	GBP/USD(終値, 売り)	
2014-02-07T06:00:00	1.63271	1.63280	1.63245	1.63260	1.63259	1.63272	1.63231	1.63249	
2014-02-07T05:00:00	1.63219	1.63287	1.63190	1.63271	1.63210	1.63280	1.63179	1.63259	
2014-02-07T04:00:00	1.63289	1.63298	1.63214	1.63219	1.63279	1.63288	1.63203	1.63210	
2014-02-07T03:00:00	1.63403	1.63407	1.63277	1.63289	1.63392	1.63398	1.63268	1.63279	
2014-02-07T02:00:00	1.63441	1.63472	1.63326	1.63403	1.63432	1.63460	1.63313	1.63392	
2014-02-07T01:00:00	1.63242	1.63492	1.63241	1.63441	1.63234	1.63482	1.63234	1.63432	
2014-02-07T00:00:00	1.63167	1.63389	1.63156	1.63242	1.63159	1.63378	1.63152	1.63234	
2014-02-06T23:00:00	1.63028	1.63295	1.62918	1.63167	1.63016	1.63286	1.62907	1.63159	
2014-02-06T22:00:00	1.62950	1.63159	1.62754	1.63028	1.62940	1.63155	1.62745	1.63016	
2014-02-06T21:00:00	1.63174	1.63174	1.62868	1.62950	1.63068	1.63120	1.62852	1.62940	
2014-02-06T20:00:00	1.62922	1.63206	1.62732	1.63174	1.62913	1.63169	1.62721	1.63068	
2014-02-06T19:00:00	1.62967	1.62980	1.62904	1.62922	1.62957	1.62969	1.62899	1.62913	
2014-02-06T18:00:00	1.62934	1.63013	1.62905	1.62967	1.62925	1.62999	1.62897	1.62957	
2014-02-06T17:00:00	1.63141	1.63155	1.62871	1.62934	1.63128	1.63144	1.62861	1.62925	
2014-02-06T16:00:00	1.63127	1.63170	1.63047	1.63141	1.63114	1.63157	1.63037	1.63128	
2014-02-06T15:00:00	1.63016	1.63157	1.62950	1.63127	1.63004	1.63147	1.62937	1.63114	
2014-02-06T14:00:00	1.63108	1.63143	1.62990	1.63016	1.63097	1.63129	1.62977	1.63004	
2014-02-06T13:00:00	1.63051	1.63156	1.63051	1.63108	1.63044	1.63147	1.63039	1.63097	
2014-02-06T12:00:00	1.63141	1.63143	1.63051	1.63051	1.63130	1.63130	1.63042	1.63044	
2014-02-06T11:00:00	1.63126	1.63185	1.63094	1.63141	1.63111	1.63173	1.63084	1.63130	
2014-02-06T10:00:00	1.63188	1.63207	1.63081	1.63126	1.63174	1.63194	1.63070	1.63111	
2014-02-06T09:00:00	1.63245	1.63300	1.63184	1.63188	1.63231	1.63285	1.63169	1.63174	
2014-02-06T08:00:00	1.63135	1.63252	1.63122	1.63245	1.63105	1.63237	1.63101	1.63231	
2014-02-06T07:00:00	1.63107	1.63186	1.63028	1.63135	1.63083	1.63155	1.63002	1.63105	
