日時	JPN225(始値, 買い)	JPN225(高値, 買い)	JPN225(安値, 買い)	JPN225(終値, 買い)	JPN225(始値, 売り)	JPN225(高値, 売り)	JPN225(安値, 売り)	JPN225(終値, 売り)	
2014-02-07T06:00:00	14458	14458	14433	14443	14448	14448	14423	14433	
2014-02-07T05:00:00	14468	14473	14443	14458	14458	14463	14433	14448	
2014-02-07T04:00:00	14418	14478	14413	14468	14408	14468	14403	14458	
2014-02-07T03:00:00	14438	14438	14405	14418	14428	14428	14395	14408	
2014-02-07T02:00:00	14405	14448	14403	14438	14395	14438	14393	14428	
2014-02-07T01:00:00	14385	14443	14378	14405	14375	14433	14368	14395	
2014-02-07T00:00:00	14323	14418	14313	14385	14313	14408	14303	14375	
2014-02-06T23:00:00	14163	14328	14148	14323	14153	14318	14138	14313	
2014-02-06T22:00:00	14193	14223	14133	14163	14183	14213	14123	14153	
2014-02-06T21:00:00	14198	14203	14130	14193	14188	14193	14120	14183	
2014-02-06T20:00:00	14223	14223	14193	14198	14213	14213	14183	14188	
2014-02-06T19:00:00	14218	14238	14208	14223	14208	14228	14198	14213	
2014-02-06T18:00:00	14150	14238	14148	14218	14140	14228	14138	14208	
2014-02-06T17:00:00	14163	14168	14113	14150	14153	14158	14103	14140	
2014-02-06T16:00:00	14160	14173	14148	14163	14150	14163	14138	14153	
2014-02-06T15:00:00	14158	14170	14125	14160	14148	14160	14115	14150	
2014-02-06T14:00:00	14233	14263	14153	14158	14223	14253	14143	14148	
2014-02-06T13:00:00	14215	14270	14203	14233	14205	14260	14193	14223	
2014-02-06T12:00:00	14208	14273	14188	14215	14198	14263	14178	14205	
2014-02-06T11:00:00	14215	14240	14178	14208	14205	14230	14168	14198	
2014-02-06T10:00:00	14258	14258	14163	14215	14248	14248	14153	14205	
2014-02-06T09:00:00	14158	14308	14158	14258	14148	14298	14148	14248	
2014-02-06T06:00:00	14208	14208	14145	14158	14198	14198	14135	14148	
2014-02-06T05:00:00	14183	14238	14173	14208	14173	14228	14163	14198	
2014-02-06T04:00:00	14213	14228	14178	14183	14203	14218	14168	14173	
2014-02-06T03:00:00	14168	14218	14158	14213	14158	14208	14148	14203	
2014-02-06T02:00:00	14173	14203	14143	14168	14163	14193	14133	14158	
2014-02-06T01:00:00	14088	14183	14048	14173	14078	14173	14038	14163	
2014-02-06T00:00:00	14135	14243	14043	14088	14125	14233	14033	14078	
2014-02-05T23:00:00	14133	14195	14123	14135	14123	14185	14113	14125	
2014-02-05T22:00:00	14043	14133	13988	14133	14033	14123	13978	14123	
2014-02-05T21:00:00	14103	14123	14038	14043	14093	14113	14028	14033	
2014-02-05T20:00:00	14113	14138	14088	14103	14103	14128	14078	14093	
2014-02-05T19:00:00	14118	14133	14073	14113	14108	14123	14063	14103	
2014-02-05T18:00:00	14128	14153	14118	14118	14118	14143	14108	14108	
2014-02-05T17:00:00	14123	14158	14078	14128	14113	14148	14068	14118	
2014-02-05T16:00:00	14153	14165	14093	14123	14143	14155	14083	14113	
2014-02-05T15:00:00	14190	14198	14150	14153	14180	14188	14140	14143	
2014-02-05T14:00:00	14185	14253	14130	14190	14175	14243	14120	14180	
2014-02-05T13:00:00	14173	14238	14123	14185	14163	14228	14113	14175	
2014-02-05T12:00:00	14098	14208	13993	14173	14088	14198	13983	14163	
2014-02-05T11:00:00	14183	14188	14068	14098	14173	14178	14058	14088	
2014-02-05T10:00:00	14193	14228	14138	14183	14183	14218	14128	14173	
2014-02-05T09:00:00	14279	14286	14179	14193	14269	14276	14169	14183	
2014-02-05T06:00:00	14329	14329	14279	14279	14319	14319	14269	14269	
2014-02-05T05:00:00	14319	14344	14291	14329	14309	14334	14281	14319	
2014-02-05T04:00:00	14269	14324	14254	14319	14259	14314	14244	14309	
2014-02-05T03:00:00	14304	14324	14261	14269	14294	14314	14251	14259	
2014-02-05T02:00:00	14269	14314	14254	14304	14259	14304	14244	14294	
2014-02-05T01:00:00	14171	14269	14156	14269	14161	14259	14146	14259	
2014-02-05T00:00:00	14181	14209	14154	14171	14171	14199	14144	14161	
2014-02-04T23:00:00	14169	14209	14104	14181	14159	14199	14094	14171	
2014-02-04T22:00:00	14046	14174	14044	14169	14036	14164	14034	14159	
2014-02-04T21:00:00	14044	14064	14034	14046	14034	14054	14024	14036	
2014-02-04T20:00:00	14044	14064	14029	14044	14034	14054	14019	14034	
2014-02-04T19:00:00	14094	14104	14024	14044	14084	14094	14014	14034	
2014-02-04T18:00:00	14114	14139	14059	14094	14104	14129	14049	14084	
2014-02-04T17:00:00	14086	14119	14051	14114	14076	14109	14041	14104	
2014-02-04T16:00:00	13999	14086	13994	14086	13989	14076	13984	14076	
2014-02-04T15:00:00	14014	14016	13914	13999	14004	14006	13904	13989	
2014-02-04T14:00:00	14114	14134	14009	14014	14104	14124	13999	14004	
2014-02-04T13:00:00	14159	14179	14054	14114	14149	14169	14044	14104	
2014-02-04T12:00:00	14234	14249	14114	14159	14224	14239	14104	14149	
2014-02-04T11:00:00	14236	14299	14209	14234	14226	14289	14199	14224	
2014-02-04T10:00:00	14174	14259	14109	14236	14164	14249	14099	14226	
2014-02-04T09:00:00	14134	14231	14134	14174	14124	14221	14124	14164	
2014-02-04T06:00:00	14169	14184	14134	14134	14159	14174	14124	14124	
2014-02-04T05:00:00	14144	14209	14134	14169	14134	14199	14124	14159	
2014-02-04T04:00:00	14229	14254	14139	14144	14219	14244	14129	14134	
2014-02-04T03:00:00	14194	14244	14131	14229	14184	14234	14121	14219	
2014-02-04T02:00:00	14179	14214	14139	14194	14169	14204	14129	14184	
2014-02-04T01:00:00	14276	14289	14174	14179	14266	14279	14164	14169	
2014-02-04T00:00:00	14456	14456	14269	14276	14446	14446	14259	14266	
2014-02-03T23:00:00	14464	14504	14396	14456	14454	14494	14386	14446	
2014-02-03T22:00:00	14504	14549	14454	14464	14494	14539	14444	14454	
2014-02-03T21:00:00	14456	14504	14441	14504	14446	14494	14431	14494	
2014-02-03T20:00:00	14409	14474	14389	14456	14399	14464	14379	14446	
