日時	NOK/JPY(始値, 買い)	NOK/JPY(高値, 買い)	NOK/JPY(安値, 買い)	NOK/JPY(終値, 買い)	NOK/JPY(始値, 売り)	NOK/JPY(高値, 売り)	NOK/JPY(安値, 売り)	NOK/JPY(終値, 売り)	
2014-02-07T06:00:00	16.452	16.463	16.444	16.456	16.409	16.417	16.400	16.408	
2014-02-07T05:00:00	16.443	16.452	16.430	16.452	16.401	16.410	16.388	16.409	
2014-02-07T04:00:00	16.416	16.458	16.413	16.443	16.373	16.414	16.370	16.401	
2014-02-07T03:00:00	16.423	16.444	16.410	16.416	16.378	16.399	16.362	16.373	
2014-02-07T02:00:00	16.423	16.438	16.410	16.423	16.383	16.396	16.370	16.378	
2014-02-07T01:00:00	16.461	16.473	16.420	16.423	16.421	16.432	16.378	16.383	
2014-02-07T00:00:00	16.440	16.485	16.439	16.461	16.401	16.446	16.400	16.421	
2014-02-06T23:00:00	16.304	16.446	16.304	16.440	16.265	16.406	16.265	16.401	
2014-02-06T22:00:00	16.297	16.391	16.292	16.304	16.258	16.355	16.252	16.265	
2014-02-06T21:00:00	16.319	16.408	16.291	16.297	16.279	16.292	16.203	16.258	
2014-02-06T20:00:00	16.359	16.359	16.310	16.319	16.317	16.318	16.272	16.279	
2014-02-06T19:00:00	16.319	16.359	16.308	16.359	16.280	16.320	16.269	16.317	
2014-02-06T18:00:00	16.276	16.324	16.267	16.319	16.237	16.285	16.228	16.280	
2014-02-06T17:00:00	16.295	16.296	16.247	16.276	16.256	16.257	16.208	16.237	
2014-02-06T16:00:00	16.287	16.307	16.280	16.295	16.246	16.266	16.239	16.256	
2014-02-06T15:00:00	16.281	16.297	16.274	16.287	16.237	16.254	16.230	16.246	
2014-02-06T14:00:00	16.314	16.315	16.280	16.281	16.274	16.274	16.236	16.237	
2014-02-06T13:00:00	16.299	16.324	16.297	16.314	16.259	16.284	16.257	16.274	
2014-02-06T12:00:00	16.299	16.309	16.286	16.299	16.259	16.269	16.246	16.259	
2014-02-06T11:00:00	16.297	16.306	16.284	16.299	16.257	16.266	16.244	16.259	
2014-02-06T10:00:00	16.321	16.324	16.278	16.297	16.281	16.284	16.238	16.257	
2014-02-06T09:00:00	16.306	16.335	16.304	16.321	16.263	16.293	16.261	16.281	
2014-02-06T08:00:00	16.315	16.318	16.299	16.306	16.267	16.269	16.257	16.263	
2014-02-06T07:00:00	16.309	16.320	16.304	16.315	16.255	16.269	16.251	16.267	
2014-02-06T06:00:00	16.295	16.311	16.285	16.309	16.253	16.264	16.243	16.255	
2014-02-06T05:00:00	16.273	16.302	16.273	16.295	16.232	16.260	16.232	16.253	
2014-02-06T04:00:00	16.307	16.311	16.273	16.273	16.265	16.271	16.232	16.232	
2014-02-06T03:00:00	16.292	16.319	16.292	16.307	16.251	16.277	16.251	16.265	
2014-02-06T02:00:00	16.270	16.292	16.259	16.292	16.226	16.251	16.218	16.251	
2014-02-06T01:00:00	16.228	16.287	16.207	16.270	16.189	16.248	16.166	16.226	
2014-02-06T00:00:00	16.200	16.260	16.195	16.228	16.155	16.221	16.152	16.189	
2014-02-05T23:00:00	16.186	16.219	16.179	16.200	16.146	16.180	16.140	16.155	
2014-02-05T22:00:00	16.185	16.229	16.161	16.186	16.145	16.186	16.122	16.146	
2014-02-05T21:00:00	16.189	16.198	16.172	16.185	16.150	16.158	16.132	16.145	
2014-02-05T20:00:00	16.150	16.199	16.145	16.189	16.110	16.159	16.105	16.150	
2014-02-05T19:00:00	16.139	16.171	16.121	16.150	16.099	16.130	16.082	16.110	
2014-02-05T18:00:00	16.149	16.169	16.137	16.139	16.109	16.129	16.097	16.099	
2014-02-05T17:00:00	16.123	16.158	16.102	16.149	16.083	16.117	16.061	16.109	
2014-02-05T16:00:00	16.127	16.135	16.093	16.123	16.085	16.097	16.053	16.083	
2014-02-05T15:00:00	16.155	16.158	16.123	16.127	16.114	16.116	16.082	16.085	
2014-02-05T14:00:00	16.156	16.170	16.149	16.155	16.116	16.128	16.107	16.114	
2014-02-05T13:00:00	16.159	16.170	16.148	16.156	16.119	16.130	16.108	16.116	
2014-02-05T12:00:00	16.145	16.166	16.135	16.159	16.104	16.126	16.094	16.119	
2014-02-05T11:00:00	16.181	16.185	16.137	16.145	16.139	16.144	16.095	16.104	
2014-02-05T10:00:00	16.179	16.186	16.162	16.181	16.135	16.143	16.120	16.139	
2014-02-05T09:00:00	16.200	16.201	16.157	16.179	16.156	16.156	16.112	16.135	
2014-02-05T08:00:00	16.192	16.212	16.182	16.200	16.149	16.162	16.118	16.156	
2014-02-05T07:00:00	16.210	16.217	16.185	16.192	16.144	16.157	16.140	16.149	
2014-02-05T06:00:00	16.193	16.210	16.180	16.210	16.151	16.152	16.134	16.144	
2014-02-05T05:00:00	16.180	16.194	16.178	16.193	16.137	16.153	16.135	16.151	
2014-02-05T04:00:00	16.179	16.191	16.161	16.180	16.134	16.146	16.119	16.137	
2014-02-05T03:00:00	16.184	16.190	16.167	16.179	16.143	16.148	16.123	16.134	
2014-02-05T02:00:00	16.168	16.187	16.145	16.184	16.128	16.147	16.105	16.143	
2014-02-05T01:00:00	16.138	16.169	16.115	16.168	16.098	16.129	16.075	16.128	
2014-02-05T00:00:00	16.153	16.176	16.129	16.138	16.108	16.136	16.088	16.098	
2014-02-04T23:00:00	16.124	16.164	16.111	16.153	16.086	16.124	16.072	16.108	
2014-02-04T22:00:00	16.082	16.137	16.082	16.124	16.042	16.098	16.042	16.086	
2014-02-04T21:00:00	16.082	16.115	16.080	16.082	16.043	16.076	16.041	16.042	
2014-02-04T20:00:00	16.102	16.117	16.076	16.082	16.063	16.077	16.036	16.043	
2014-02-04T19:00:00	16.126	16.134	16.082	16.102	16.084	16.094	16.043	16.063	
2014-02-04T18:00:00	16.102	16.132	16.097	16.126	16.061	16.092	16.056	16.084	
2014-02-04T17:00:00	16.098	16.111	16.033	16.102	16.058	16.067	15.994	16.061	
2014-02-04T16:00:00	16.101	16.114	16.072	16.098	16.060	16.073	16.029	16.058	
2014-02-04T15:00:00	16.077	16.112	16.054	16.101	16.030	16.066	16.007	16.060	
2014-02-04T14:00:00	16.123	16.129	16.077	16.077	16.079	16.084	16.030	16.030	
2014-02-04T13:00:00	16.111	16.128	16.102	16.123	16.067	16.082	16.058	16.079	
2014-02-04T12:00:00	16.119	16.131	16.101	16.111	16.076	16.084	16.058	16.067	
2014-02-04T11:00:00	16.117	16.133	16.103	16.119	16.071	16.091	16.060	16.076	
2014-02-04T10:00:00	16.122	16.128	16.095	16.117	16.076	16.082	16.048	16.071	
2014-02-04T09:00:00	16.118	16.126	16.108	16.122	16.071	16.080	16.062	16.076	
2014-02-04T08:00:00	16.108	16.125	16.091	16.118	16.050	16.078	16.033	16.071	
