日時	NZD/CHF(始値, 買い)	NZD/CHF(高値, 買い)	NZD/CHF(安値, 買い)	NZD/CHF(終値, 買い)	NZD/CHF(始値, 売り)	NZD/CHF(高値, 売り)	NZD/CHF(安値, 売り)	NZD/CHF(終値, 売り)	
2014-02-07T06:00:00	0.74347	0.74376	0.74310	0.74316	0.74313	0.74342	0.74266	0.74266	
2014-02-07T05:00:00	0.74416	0.74438	0.74323	0.74347	0.74381	0.74403	0.74297	0.74313	
2014-02-07T04:00:00	0.74476	0.74527	0.74373	0.74416	0.74441	0.74496	0.74338	0.74381	
2014-02-07T03:00:00	0.74467	0.74514	0.74440	0.74476	0.74432	0.74483	0.74410	0.74441	
2014-02-07T02:00:00	0.74402	0.74472	0.74381	0.74467	0.74369	0.74438	0.74352	0.74432	
2014-02-07T01:00:00	0.74413	0.74450	0.74334	0.74402	0.74379	0.74415	0.74299	0.74369	
2014-02-07T00:00:00	0.74041	0.74525	0.74040	0.74413	0.74008	0.74492	0.74005	0.74379	
2014-02-06T23:00:00	0.74025	0.74091	0.73821	0.74041	0.73989	0.74056	0.73786	0.74008	
2014-02-06T22:00:00	0.74570	0.74746	0.73868	0.74025	0.74535	0.74672	0.73833	0.73989	
2014-02-06T21:00:00	0.74535	0.74632	0.74349	0.74570	0.74500	0.74596	0.74233	0.74535	
2014-02-06T20:00:00	0.74387	0.74543	0.74363	0.74535	0.74343	0.74508	0.74328	0.74500	
2014-02-06T19:00:00	0.74478	0.74484	0.74318	0.74387	0.74446	0.74451	0.74283	0.74343	
2014-02-06T18:00:00	0.74292	0.74478	0.74259	0.74478	0.74257	0.74446	0.74225	0.74446	
2014-02-06T17:00:00	0.74384	0.74393	0.74171	0.74292	0.74349	0.74358	0.74135	0.74257	
2014-02-06T16:00:00	0.74586	0.74609	0.74384	0.74384	0.74546	0.74574	0.74349	0.74349	
2014-02-06T15:00:00	0.74589	0.74626	0.74536	0.74586	0.74555	0.74591	0.74503	0.74546	
2014-02-06T14:00:00	0.74536	0.74589	0.74531	0.74589	0.74504	0.74555	0.74495	0.74555	
2014-02-06T13:00:00	0.74540	0.74557	0.74493	0.74536	0.74504	0.74521	0.74457	0.74504	
2014-02-06T12:00:00	0.74488	0.74552	0.74451	0.74540	0.74456	0.74518	0.74415	0.74504	
2014-02-06T11:00:00	0.74552	0.74599	0.74479	0.74488	0.74516	0.74565	0.74445	0.74456	
2014-02-06T10:00:00	0.74473	0.74617	0.74450	0.74552	0.74442	0.74583	0.74414	0.74516	
2014-02-06T09:00:00	0.74380	0.74516	0.74317	0.74473	0.74344	0.74484	0.74264	0.74442	
2014-02-06T08:00:00	0.74333	0.74569	0.74323	0.74380	0.74279	0.74491	0.74263	0.74344	
2014-02-06T07:00:00	0.74308	0.74355	0.74255	0.74333	0.74135	0.74304	0.74115	0.74279	
2014-02-06T06:00:00	0.74252	0.74308	0.74216	0.74308	0.74217	0.74252	0.74135	0.74135	
2014-02-06T05:00:00	0.74205	0.74283	0.74150	0.74252	0.74171	0.74250	0.74119	0.74217	
2014-02-06T04:00:00	0.74240	0.74275	0.74169	0.74205	0.74205	0.74241	0.74139	0.74171	
2014-02-06T03:00:00	0.74132	0.74295	0.74124	0.74240	0.74098	0.74260	0.74092	0.74205	
2014-02-06T02:00:00	0.74193	0.74224	0.74123	0.74132	0.74158	0.74191	0.74091	0.74098	
2014-02-06T01:00:00	0.74162	0.74287	0.74072	0.74193	0.74127	0.74252	0.74042	0.74158	
2014-02-06T00:00:00	0.74192	0.74259	0.73896	0.74162	0.74079	0.74224	0.73861	0.74127	
2014-02-05T23:00:00	0.74362	0.74392	0.74133	0.74192	0.74328	0.74358	0.74079	0.74079	
2014-02-05T22:00:00	0.74281	0.74385	0.74074	0.74362	0.74248	0.74350	0.74045	0.74328	
2014-02-05T21:00:00	0.74442	0.74468	0.74255	0.74281	0.74406	0.74437	0.74219	0.74248	
2014-02-05T20:00:00	0.74379	0.74463	0.74343	0.74442	0.74349	0.74428	0.74307	0.74406	
2014-02-05T19:00:00	0.74384	0.74427	0.74297	0.74379	0.74351	0.74393	0.74258	0.74349	
2014-02-05T18:00:00	0.74168	0.74416	0.74168	0.74384	0.74132	0.74381	0.74132	0.74351	
