日時	NZD/JPY(始値, 買い)	NZD/JPY(高値, 買い)	NZD/JPY(安値, 買い)	NZD/JPY(終値, 買い)	NZD/JPY(始値, 売り)	NZD/JPY(高値, 売り)	NZD/JPY(安値, 売り)	NZD/JPY(終値, 売り)	
2014-02-07T06:00:00	84.310	84.334	84.263	84.266	84.276	84.305	84.223	84.234	
2014-02-07T05:00:00	84.359	84.383	84.238	84.310	84.334	84.360	84.213	84.276	
2014-02-07T04:00:00	84.280	84.487	84.260	84.359	84.250	84.464	84.240	84.334	
2014-02-07T03:00:00	84.345	84.375	84.254	84.280	84.311	84.344	84.223	84.250	
2014-02-07T02:00:00	84.259	84.380	84.244	84.345	84.236	84.349	84.215	84.311	
2014-02-07T01:00:00	84.285	84.316	84.166	84.259	84.259	84.289	84.140	84.236	
2014-02-07T00:00:00	83.820	84.451	83.820	84.285	83.796	84.419	83.796	84.259	
2014-02-06T23:00:00	83.415	83.874	83.370	83.820	83.388	83.849	83.342	83.796	
2014-02-06T22:00:00	83.565	83.682	83.221	83.415	83.537	83.652	83.193	83.388	
2014-02-06T21:00:00	83.657	83.664	83.444	83.565	83.631	83.640	83.417	83.537	
2014-02-06T20:00:00	83.558	83.658	83.504	83.657	83.528	83.631	83.472	83.631	
2014-02-06T19:00:00	83.616	83.626	83.445	83.558	83.599	83.608	83.423	83.528	
2014-02-06T18:00:00	83.385	83.618	83.318	83.616	83.357	83.599	83.289	83.599	
2014-02-06T17:00:00	83.492	83.494	83.229	83.385	83.464	83.467	83.198	83.357	
2014-02-06T16:00:00	83.647	83.703	83.475	83.492	83.616	83.670	83.450	83.464	
2014-02-06T15:00:00	83.613	83.735	83.581	83.647	83.586	83.703	83.548	83.616	
2014-02-06T14:00:00	83.712	83.712	83.582	83.613	83.680	83.682	83.556	83.586	
2014-02-06T13:00:00	83.645	83.753	83.605	83.712	83.614	83.721	83.573	83.680	
2014-02-06T12:00:00	83.595	83.717	83.498	83.645	83.564	83.685	83.468	83.614	
2014-02-06T11:00:00	83.624	83.703	83.572	83.595	83.592	83.673	83.539	83.564	
2014-02-06T10:00:00	83.666	83.677	83.485	83.624	83.637	83.649	83.456	83.592	
2014-02-06T09:00:00	83.473	83.739	83.453	83.666	83.450	83.711	83.421	83.637	
2014-02-06T08:00:00	83.468	83.737	83.461	83.473	83.427	83.679	83.422	83.450	
2014-02-06T07:00:00	83.377	83.473	83.376	83.468	83.293	83.433	83.268	83.427	
2014-02-06T06:00:00	83.320	83.381	83.241	83.377	83.299	83.350	83.208	83.293	
2014-02-06T05:00:00	83.219	83.364	83.159	83.320	83.192	83.335	83.134	83.299	
2014-02-06T04:00:00	83.386	83.440	83.178	83.219	83.353	83.408	83.154	83.192	
2014-02-06T03:00:00	83.225	83.456	83.216	83.386	83.195	83.424	83.189	83.353	
2014-02-06T02:00:00	83.191	83.267	83.145	83.225	83.158	83.238	83.114	83.195	
2014-02-06T01:00:00	83.071	83.237	82.958	83.191	83.051	83.210	82.928	83.158	
2014-02-06T00:00:00	83.114	83.289	82.910	83.071	83.029	83.269	82.882	83.051	
2014-02-05T23:00:00	83.222	83.313	83.031	83.114	83.197	83.284	83.001	83.029	
2014-02-05T22:00:00	83.064	83.259	82.913	83.222	83.037	83.229	82.883	83.197	
