日時	NZD/USD(始値, 買い)	NZD/USD(高値, 買い)	NZD/USD(安値, 買い)	NZD/USD(終値, 買い)	NZD/USD(始値, 売り)	NZD/USD(高値, 売り)	NZD/USD(安値, 売り)	NZD/USD(終値, 売り)	
2014-02-07T06:00:00	0.82549	0.82575	0.82505	0.82522	0.82527	0.82556	0.82484	0.82502	
2014-02-07T05:00:00	0.82611	0.82619	0.82513	0.82549	0.82589	0.82596	0.82498	0.82527	
2014-02-07T04:00:00	0.82710	0.82714	0.82582	0.82611	0.82687	0.82696	0.82563	0.82589	
2014-02-07T03:00:00	0.82779	0.82787	0.82696	0.82710	0.82756	0.82764	0.82675	0.82687	
2014-02-07T02:00:00	0.82727	0.82795	0.82701	0.82779	0.82706	0.82777	0.82679	0.82756	
2014-02-07T01:00:00	0.82745	0.82747	0.82658	0.82727	0.82724	0.82730	0.82645	0.82706	
2014-02-07T00:00:00	0.82367	0.82840	0.82367	0.82745	0.82347	0.82819	0.82347	0.82724	
2014-02-06T23:00:00	0.82346	0.82461	0.82271	0.82367	0.82329	0.82445	0.82251	0.82347	
2014-02-06T22:00:00	0.82356	0.82488	0.82167	0.82346	0.82335	0.82456	0.82147	0.82329	
2014-02-06T21:00:00	0.82422	0.82431	0.82311	0.82356	0.82400	0.82413	0.82291	0.82335	
2014-02-06T20:00:00	0.82300	0.82427	0.82283	0.82422	0.82278	0.82410	0.82264	0.82400	
2014-02-06T19:00:00	0.82362	0.82365	0.82219	0.82300	0.82347	0.82347	0.82197	0.82278	
2014-02-06T18:00:00	0.82223	0.82363	0.82144	0.82362	0.82203	0.82347	0.82123	0.82347	
2014-02-06T17:00:00	0.82258	0.82262	0.82101	0.82223	0.82240	0.82243	0.82078	0.82203	
2014-02-06T16:00:00	0.82446	0.82464	0.82251	0.82258	0.82426	0.82442	0.82237	0.82240	
2014-02-06T15:00:00	0.82421	0.82495	0.82368	0.82446	0.82398	0.82472	0.82352	0.82426	
2014-02-06T14:00:00	0.82391	0.82421	0.82376	0.82421	0.82369	0.82398	0.82356	0.82398	
2014-02-06T13:00:00	0.82397	0.82400	0.82347	0.82391	0.82374	0.82377	0.82325	0.82369	
2014-02-06T12:00:00	0.82411	0.82430	0.82331	0.82397	0.82388	0.82409	0.82310	0.82374	
2014-02-06T11:00:00	0.82438	0.82499	0.82393	0.82411	0.82415	0.82477	0.82370	0.82388	
2014-02-06T10:00:00	0.82366	0.82496	0.82327	0.82438	0.82346	0.82474	0.82304	0.82415	
2014-02-06T09:00:00	0.82263	0.82400	0.82210	0.82366	0.82241	0.82380	0.82157	0.82346	
2014-02-06T08:00:00	0.82227	0.82487	0.82227	0.82263	0.82198	0.82439	0.82198	0.82241	
2014-02-06T07:00:00	0.82158	0.82227	0.82150	0.82227	0.82110	0.82198	0.82067	0.82198	
2014-02-06T06:00:00	0.82179	0.82200	0.82128	0.82158	0.82158	0.82177	0.82106	0.82110	
2014-02-06T05:00:00	0.82139	0.82184	0.82072	0.82179	0.82121	0.82165	0.82052	0.82158	
2014-02-06T04:00:00	0.82191	0.82231	0.82101	0.82139	0.82168	0.82209	0.82085	0.82121	
2014-02-06T03:00:00	0.82064	0.82251	0.82057	0.82191	0.82044	0.82234	0.82036	0.82168	
2014-02-06T02:00:00	0.82046	0.82097	0.82015	0.82064	0.82023	0.82074	0.81997	0.82044	
2014-02-06T01:00:00	0.82093	0.82131	0.81995	0.82046	0.82075	0.82110	0.81978	0.82023	
2014-02-06T00:00:00	0.82043	0.82200	0.81904	0.82093	0.81979	0.82181	0.81885	0.82075	
2014-02-05T23:00:00	0.82216	0.82228	0.81997	0.82043	0.82199	0.82206	0.81976	0.81979	
2014-02-05T22:00:00	0.82166	0.82299	0.82157	0.82216	0.82146	0.82281	0.82134	0.82199	
2014-02-05T21:00:00	0.82278	0.82286	0.82118	0.82166	0.82257	0.82267	0.82096	0.82146	
2014-02-05T20:00:00	0.82163	0.82294	0.82132	0.82278	0.82142	0.82274	0.82110	0.82257	
2014-02-05T19:00:00	0.82231	0.82264	0.82080	0.82163	0.82209	0.82243	0.82058	0.82142	
2014-02-05T18:00:00	0.82045	0.82246	0.82016	0.82231	0.82022	0.82226	0.81996	0.82209	
2014-02-05T17:00:00	0.82025	0.82087	0.81951	0.82045	0.82003	0.82068	0.81933	0.82022	
2014-02-05T16:00:00	0.82175	0.82183	0.82011	0.82025	0.82156	0.82162	0.81997	0.82003	
2014-02-05T15:00:00	0.82140	0.82199	0.82066	0.82175	0.82117	0.82179	0.82045	0.82156	
2014-02-05T14:00:00	0.82135	0.82148	0.82081	0.82140	0.82112	0.82130	0.82058	0.82117	
2014-02-05T13:00:00	0.82048	0.82151	0.82020	0.82135	0.82026	0.82143	0.82002	0.82112	
2014-02-05T12:00:00	0.82084	0.82125	0.81886	0.82048	0.82061	0.82103	0.81865	0.82026	
2014-02-05T11:00:00	0.82055	0.82087	0.81952	0.82084	0.82032	0.82064	0.81930	0.82061	
2014-02-05T10:00:00	0.82092	0.82120	0.81963	0.82055	0.82072	0.82098	0.81948	0.82032	
2014-02-05T09:00:00	0.82233	0.82256	0.82034	0.82092	0.82210	0.82235	0.82016	0.82072	
2014-02-05T08:00:00	0.82267	0.82347	0.82230	0.82233	0.82233	0.82321	0.82207	0.82210	
2014-02-05T07:00:00	0.82404	0.82540	0.82249	0.82267	0.82401	0.82509	0.82220	0.82233	
2014-02-05T06:00:00	0.82093	0.82615	0.82083	0.82404	0.82079	0.82579	0.82067	0.82401	
2014-02-05T05:00:00	0.82045	0.82141	0.82037	0.82093	0.82023	0.82121	0.82019	0.82079	
2014-02-05T04:00:00	0.82187	0.82200	0.82027	0.82045	0.82164	0.82182	0.82009	0.82023	
2014-02-05T03:00:00	0.82105	0.82264	0.82057	0.82187	0.82086	0.82250	0.82041	0.82164	
2014-02-05T02:00:00	0.82014	0.82137	0.81947	0.82105	0.81992	0.82119	0.81926	0.82086	
2014-02-05T01:00:00	0.81667	0.82036	0.81650	0.82014	0.81646	0.82028	0.81633	0.81992	
2014-02-05T00:00:00	0.81745	0.81784	0.81635	0.81667	0.81719	0.81761	0.81615	0.81646	
2014-02-04T23:00:00	0.81608	0.81892	0.81565	0.81745	0.81590	0.81870	0.81543	0.81719	
2014-02-04T22:00:00	0.81567	0.81686	0.81565	0.81608	0.81555	0.81664	0.81542	0.81590	
2014-02-04T21:00:00	0.81600	0.81611	0.81482	0.81567	0.81579	0.81591	0.81462	0.81555	
2014-02-04T20:00:00	0.81632	0.81637	0.81474	0.81600	0.81609	0.81616	0.81451	0.81579	
2014-02-04T19:00:00	0.81557	0.81636	0.81437	0.81632	0.81534	0.81613	0.81414	0.81609	
2014-02-04T18:00:00	0.81385	0.81619	0.81364	0.81557	0.81362	0.81596	0.81342	0.81534	
2014-02-04T17:00:00	0.81487	0.81653	0.81281	0.81385	0.81464	0.81630	0.81259	0.81362	
2014-02-04T16:00:00	0.81269	0.81504	0.81269	0.81487	0.81250	0.81481	0.81248	0.81464	
2014-02-04T15:00:00	0.81164	0.81304	0.81065	0.81269	0.81149	0.81289	0.81050	0.81250	
2014-02-04T14:00:00	0.81192	0.81285	0.81140	0.81164	0.81169	0.81274	0.81125	0.81149	
2014-02-04T13:00:00	0.80979	0.81258	0.80979	0.81192	0.80960	0.81238	0.80959	0.81169	
2014-02-04T12:00:00	0.80878	0.81066	0.80842	0.80979	0.80856	0.81046	0.80823	0.80960	
