日時	SEK/JPY(始値, 買い)	SEK/JPY(高値, 買い)	SEK/JPY(安値, 買い)	SEK/JPY(終値, 買い)	SEK/JPY(始値, 売り)	SEK/JPY(高値, 売り)	SEK/JPY(安値, 売り)	SEK/JPY(終値, 売り)	
2014-02-07T06:00:00	15.727	15.728	15.716	15.725	15.684	15.685	15.673	15.680	
2014-02-07T05:00:00	15.711	15.727	15.707	15.727	15.669	15.686	15.664	15.684	
2014-02-07T04:00:00	15.688	15.722	15.686	15.711	15.647	15.679	15.643	15.669	
2014-02-07T03:00:00	15.690	15.700	15.675	15.688	15.648	15.657	15.632	15.647	
2014-02-07T02:00:00	15.687	15.699	15.680	15.690	15.647	15.659	15.640	15.648	
2014-02-07T01:00:00	15.702	15.710	15.679	15.687	15.662	15.670	15.640	15.647	
2014-02-07T00:00:00	15.699	15.748	15.697	15.702	15.659	15.710	15.657	15.662	
2014-02-06T23:00:00	15.624	15.710	15.618	15.699	15.585	15.671	15.569	15.659	
2014-02-06T22:00:00	15.607	15.692	15.582	15.624	15.568	15.641	15.543	15.585	
2014-02-06T21:00:00	15.613	15.658	15.590	15.607	15.576	15.602	15.524	15.568	
2014-02-06T20:00:00	15.646	15.646	15.608	15.613	15.605	15.605	15.570	15.576	
2014-02-06T19:00:00	15.592	15.647	15.582	15.646	15.554	15.606	15.543	15.605	
2014-02-06T18:00:00	15.549	15.597	15.548	15.592	15.511	15.559	15.510	15.554	
2014-02-06T17:00:00	15.566	15.570	15.514	15.549	15.528	15.532	15.476	15.511	
2014-02-06T16:00:00	15.551	15.575	15.546	15.566	15.509	15.534	15.504	15.528	
2014-02-06T15:00:00	15.546	15.560	15.538	15.551	15.504	15.517	15.495	15.509	
2014-02-06T14:00:00	15.574	15.575	15.545	15.546	15.534	15.534	15.502	15.504	
2014-02-06T13:00:00	15.560	15.585	15.558	15.574	15.519	15.543	15.517	15.534	
2014-02-06T12:00:00	15.564	15.571	15.551	15.560	15.523	15.531	15.511	15.519	
2014-02-06T11:00:00	15.565	15.570	15.553	15.564	15.525	15.529	15.510	15.523	
2014-02-06T10:00:00	15.590	15.592	15.547	15.565	15.549	15.551	15.506	15.525	
2014-02-06T09:00:00	15.576	15.604	15.574	15.590	15.532	15.562	15.530	15.549	
2014-02-06T08:00:00	15.584	15.593	15.570	15.576	15.537	15.542	15.519	15.532	
2014-02-06T07:00:00	15.576	15.591	15.573	15.584	15.524	15.541	15.521	15.537	
2014-02-06T06:00:00	15.558	15.582	15.550	15.576	15.519	15.533	15.511	15.524	
2014-02-06T05:00:00	15.544	15.568	15.536	15.558	15.505	15.528	15.497	15.519	
2014-02-06T04:00:00	15.566	15.579	15.540	15.544	15.527	15.539	15.500	15.505	
2014-02-06T03:00:00	15.569	15.584	15.564	15.566	15.529	15.544	15.513	15.527	
2014-02-06T02:00:00	15.538	15.569	15.536	15.569	15.500	15.529	15.498	15.529	
2014-02-06T01:00:00	15.514	15.557	15.482	15.538	15.476	15.518	15.444	15.500	
2014-02-06T00:00:00	15.517	15.549	15.512	15.514	15.474	15.510	15.457	15.476	
