日時	SGD/JPY(始値, 買い)	SGD/JPY(高値, 買い)	SGD/JPY(安値, 買い)	SGD/JPY(終値, 買い)	SGD/JPY(始値, 売り)	SGD/JPY(高値, 売り)	SGD/JPY(安値, 売り)	SGD/JPY(終値, 売り)	
2014-02-07T06:00:00	80.547	80.562	80.512	80.552	80.507	80.526	80.467	80.507	
2014-02-07T05:00:00	80.547	80.562	80.463	80.547	80.507	80.527	80.429	80.507	
2014-02-07T04:00:00	80.397	80.592	80.392	80.547	80.357	80.557	80.357	80.507	
2014-02-07T03:00:00	80.377	80.432	80.367	80.397	80.344	80.392	80.327	80.357	
2014-02-07T02:00:00	80.362	80.412	80.341	80.377	80.332	80.372	80.312	80.344	
2014-02-07T01:00:00	80.382	80.432	80.337	80.362	80.347	80.397	80.303	80.332	
2014-02-07T00:00:00	80.267	80.497	80.262	80.382	80.232	80.457	80.227	80.347	
2014-02-06T23:00:00	79.912	80.327	79.892	80.267	79.877	80.292	79.853	80.232	
2014-02-06T22:00:00	80.002	80.087	79.867	79.912	79.967	80.042	79.832	79.877	
2014-02-06T21:00:00	80.012	80.052	79.912	80.002	79.977	80.012	79.882	79.967	
2014-02-06T20:00:00	80.028	80.057	79.972	80.012	79.988	80.018	79.937	79.977	
2014-02-06T19:00:00	80.022	80.077	79.984	80.028	79.987	80.042	79.952	79.988	
2014-02-06T18:00:00	79.912	80.042	79.902	80.022	79.877	80.007	79.867	79.987	
2014-02-06T17:00:00	79.944	79.950	79.812	79.912	79.912	79.917	79.781	79.877	
2014-02-06T16:00:00	79.927	79.982	79.892	79.944	79.892	79.949	79.857	79.912	
2014-02-06T15:00:00	79.922	80.007	79.894	79.927	79.887	79.976	79.864	79.892	
2014-02-06T14:00:00	80.062	80.062	79.905	79.922	80.032	80.032	79.872	79.887	
2014-02-06T13:00:00	79.982	80.117	79.972	80.062	79.950	80.087	79.942	80.032	
2014-02-06T12:00:00	79.989	80.072	79.926	79.982	79.957	80.045	79.897	79.950	
2014-02-06T11:00:00	80.010	80.057	79.952	79.989	79.978	80.027	79.917	79.957	
2014-02-06T10:00:00	80.141	80.147	79.912	80.010	80.107	80.117	79.879	79.978	
2014-02-06T09:00:00	80.047	80.187	80.032	80.141	80.007	80.154	79.992	80.107	
2014-02-06T08:00:00	80.051	80.094	80.012	80.047	80.010	80.057	79.968	80.007	
2014-02-06T07:00:00	80.043	80.099	80.032	80.051	79.973	80.042	79.973	80.010	
2014-02-06T06:00:00	79.957	80.065	79.932	80.043	79.924	80.017	79.892	79.973	
2014-02-06T05:00:00	79.907	80.007	79.897	79.957	79.867	79.970	79.857	79.924	
2014-02-06T04:00:00	80.022	80.052	79.902	79.907	79.989	80.018	79.862	79.867	
2014-02-06T03:00:00	80.022	80.092	80.002	80.022	79.989	80.063	79.962	79.989	
