日時	TRY/JPY(始値, 買い)	TRY/JPY(高値, 買い)	TRY/JPY(安値, 買い)	TRY/JPY(終値, 買い)	TRY/JPY(始値, 売り)	TRY/JPY(高値, 売り)	TRY/JPY(安値, 売り)	TRY/JPY(終値, 売り)	
2014-02-07T06:00:00	46.245	46.245	46.186	46.219	46.140	46.154	46.109	46.152	
2014-02-07T05:00:00	46.209	46.246	46.166	46.245	46.152	46.160	46.109	46.140	
2014-02-07T04:00:00	46.136	46.246	46.133	46.209	46.053	46.176	46.043	46.152	
2014-02-07T03:00:00	46.154	46.182	46.117	46.136	46.091	46.118	46.039	46.053	
2014-02-07T02:00:00	46.112	46.228	46.105	46.154	46.054	46.164	46.039	46.091	
2014-02-07T01:00:00	46.157	46.228	46.094	46.112	46.080	46.171	46.027	46.054	
2014-02-07T00:00:00	45.872	46.198	45.869	46.157	45.808	46.133	45.801	46.080	
2014-02-06T23:00:00	45.529	45.905	45.510	45.872	45.459	45.836	45.444	45.808	
2014-02-06T22:00:00	45.635	45.709	45.449	45.529	45.568	45.598	45.382	45.459	
2014-02-06T21:00:00	45.749	45.776	45.540	45.635	45.684	45.709	45.476	45.568	
2014-02-06T20:00:00	45.674	45.749	45.606	45.749	45.577	45.685	45.539	45.684	
2014-02-06T19:00:00	45.569	45.762	45.569	45.674	45.506	45.696	45.506	45.577	
2014-02-06T18:00:00	45.442	45.591	45.440	45.569	45.373	45.524	45.373	45.506	
2014-02-06T17:00:00	45.458	45.487	45.278	45.442	45.386	45.441	45.210	45.373	
2014-02-06T16:00:00	45.459	45.544	45.382	45.458	45.372	45.478	45.308	45.386	
2014-02-06T15:00:00	45.336	45.565	45.316	45.459	45.236	45.468	45.216	45.372	
2014-02-06T14:00:00	45.404	45.416	45.321	45.336	45.305	45.332	45.219	45.236	
2014-02-06T13:00:00	45.357	45.449	45.356	45.404	45.256	45.354	45.249	45.305	
2014-02-06T12:00:00	45.334	45.383	45.314	45.357	45.216	45.280	45.193	45.256	
2014-02-06T11:00:00	45.327	45.363	45.297	45.334	45.203	45.245	45.174	45.216	
2014-02-06T10:00:00	45.387	45.387	45.277	45.327	45.278	45.280	45.164	45.203	
2014-02-06T09:00:00	45.344	45.417	45.337	45.387	45.221	45.302	45.214	45.278	
2014-02-06T08:00:00	45.360	45.379	45.332	45.344	45.243	45.256	45.209	45.221	
2014-02-06T07:00:00	45.389	45.436	45.345	45.360	45.267	45.267	45.208	45.243	
2014-02-06T06:00:00	45.316	45.394	45.298	45.389	45.248	45.322	45.224	45.267	
