日時	US30(始値, 買い)	US30(高値, 買い)	US30(安値, 買い)	US30(終値, 買い)	US30(始値, 売り)	US30(高値, 売り)	US30(安値, 売り)	US30(終値, 売り)	
2014-02-07T06:00:00	15626	15628	15601	15615	15622	15624	15597	15611	
2014-02-07T05:00:00	15608	15631	15600	15626	15604	15627	15596	15622	
2014-02-07T04:00:00	15576	15620	15576	15608	15572	15616	15572	15604	
2014-02-07T03:00:00	15588	15596	15567	15576	15584	15592	15563	15572	
2014-02-07T02:00:00	15583	15604	15582	15588	15579	15600	15578	15584	
2014-02-07T01:00:00	15591	15603	15575	15583	15587	15599	15571	15579	
2014-02-07T00:00:00	15551	15607	15550	15591	15547	15603	15546	15587	
2014-02-06T23:00:00	15463	15556	15453	15551	15459	15552	15449	15547	
2014-02-06T22:00:00	15470	15514	15438	15463	15466	15510	15434	15459	
2014-02-06T21:00:00	15489	15494	15439	15470	15485	15490	15435	15466	
2014-02-06T20:00:00	15494	15504	15485	15489	15490	15500	15481	15485	
2014-02-06T19:00:00	15494	15511	15488	15494	15490	15507	15484	15490	
2014-02-06T18:00:00	15450	15506	15449	15494	15446	15502	15445	15490	
2014-02-06T17:00:00	15465	15468	15434	15450	15461	15464	15430	15446	
2014-02-06T16:00:00	15446	15469	15444	15465	15442	15465	15440	15461	
2014-02-06T15:00:00	15449	15455	15442	15446	15445	15451	15438	15442	
2014-02-06T14:00:00	15459	15464	15449	15449	15455	15460	15445	15445	
2014-02-06T13:00:00	15456	15469	15456	15459	15452	15465	15452	15455	
2014-02-06T12:00:00	15456	15458	15448	15456	15452	15454	15444	15452	
2014-02-06T11:00:00	15455	15459	15436	15456	15451	15455	15432	15452	
2014-02-06T10:00:00	15460	15464	15432	15455	15456	15460	15428	15451	
2014-02-06T09:00:00	15444	15473	15441	15460	15440	15469	15437	15456	
2014-02-06T08:00:00	15437	15449	15432	15444	15433	15445	15428	15440	
2014-02-06T07:00:00	15440	15443	15435	15437	15436	15439	15431	15433	
2014-02-06T06:00:00	15447	15448	15426	15440	15443	15444	15422	15436	
2014-02-06T05:00:00	15439	15480	15432	15447	15435	15476	15428	15443	
2014-02-06T04:00:00	15464	15475	15432	15439	15460	15471	15428	15435	
2014-02-06T03:00:00	15445	15475	15444	15464	15441	15471	15440	15460	
2014-02-06T02:00:00	15452	15463	15428	15445	15448	15459	15424	15441	
2014-02-06T01:00:00	15396	15461	15362	15452	15392	15457	15358	15448	
2014-02-06T00:00:00	15396	15475	15342	15396	15392	15471	15338	15392	
2014-02-05T23:00:00	15407	15444	15376	15396	15403	15440	15372	15392	
2014-02-05T22:00:00	15375	15414	15346	15407	15371	15410	15342	15403	
2014-02-05T21:00:00	15385	15397	15362	15375	15381	15393	15358	15371	
2014-02-05T20:00:00	15394	15403	15376	15385	15390	15399	15372	15381	
2014-02-05T19:00:00	15402	15412	15388	15394	15398	15408	15384	15390	
2014-02-05T18:00:00	15405	15419	15398	15402	15401	15415	15394	15398	
2014-02-05T17:00:00	15390	15419	15370	15405	15386	15415	15366	15401	
2014-02-05T16:00:00	15384	15393	15371	15390	15380	15389	15367	15386	
2014-02-05T15:00:00	15384	15393	15381	15384	15380	15389	15377	15380	
2014-02-05T14:00:00	15383	15391	15374	15384	15379	15387	15370	15380	
2014-02-05T13:00:00	15382	15394	15373	15383	15378	15390	15369	15379	
2014-02-05T12:00:00	15374	15389	15363	15382	15370	15385	15359	15378	
2014-02-05T11:00:00	15402	15406	15360	15374	15398	15402	15356	15370	
2014-02-05T10:00:00	15416	15417	15401	15402	15412	15413	15397	15398	
2014-02-05T09:00:00	15424	15424	15398	15416	15420	15420	15394	15412	
2014-02-05T08:00:00	15404	15425	15404	15424	15400	15421	15400	15420	
2014-02-05T07:00:00	15410	15410	15402	15404	15406	15406	15398	15400	
2014-02-05T06:00:00	15442	15444	15402	15410	15438	15440	15398	15406	
2014-02-05T05:00:00	15449	15459	15392	15442	15445	15455	15388	15438	
2014-02-05T04:00:00	15423	15462	15413	15449	15419	15458	15409	15445	
2014-02-05T03:00:00	15467	15481	15415	15423	15463	15477	15411	15419	
2014-02-05T02:00:00	15466	15477	15448	15467	15462	15473	15444	15463	
2014-02-05T01:00:00	15406	15467	15398	15466	15402	15463	15394	15462	
2014-02-05T00:00:00	15431	15446	15394	15406	15427	15442	15390	15402	
2014-02-04T23:00:00	15436	15447	15358	15431	15432	15443	15354	15427	
2014-02-04T22:00:00	15397	15439	15392	15436	15393	15435	15388	15432	
2014-02-04T21:00:00	15392	15404	15385	15397	15388	15400	15381	15393	
2014-02-04T20:00:00	15389	15405	15379	15392	15385	15401	15375	15388	
2014-02-04T19:00:00	15419	15422	15382	15389	15415	15418	15378	15385	
2014-02-04T18:00:00	15412	15430	15401	15419	15408	15426	15397	15415	
2014-02-04T17:00:00	15406	15418	15387	15412	15402	15414	15383	15408	
2014-02-04T16:00:00	15385	15408	15382	15406	15381	15404	15378	15402	
2014-02-04T15:00:00	15387	15390	15349	15385	15383	15386	15345	15381	
2014-02-04T14:00:00	15406	15410	15385	15387	15402	15406	15381	15383	
2014-02-04T13:00:00	15385	15410	15383	15406	15381	15406	15379	15402	
2014-02-04T12:00:00	15396	15404	15383	15385	15392	15400	15379	15381	
2014-02-04T11:00:00	15402	15424	15388	15396	15398	15420	15384	15392	
2014-02-04T10:00:00	15404	15409	15383	15402	15400	15405	15379	15398	
2014-02-04T09:00:00	15402	15406	15382	15404	15398	15402	15378	15400	
2014-02-04T08:00:00	15377	15404	15377	15402	15373	15400	15373	15398	
2014-02-04T07:00:00	15381	15382	15372	15377	15377	15378	15368	15373	
2014-02-04T06:00:00	15378	15396	15350	15381	15374	15392	15345	15377	
2014-02-04T05:00:00	15390	15414	15358	15378	15386	15410	15354	15374	
2014-02-04T04:00:00	15433	15458	15388	15390	15429	15454	15384	15386	
2014-02-04T03:00:00	15475	15483	15414	15433	15471	15479	15410	15429	
2014-02-04T02:00:00	15481	15497	15436	15475	15477	15493	15432	15471	
2014-02-04T01:00:00	15554	15554	15475	15481	15550	15550	15471	15477	
2014-02-04T00:00:00	15649	15649	15539	15554	15644	15645	15535	15550	
