日時	USD/CAD(始値, 買い)	USD/CAD(高値, 買い)	USD/CAD(安値, 買い)	USD/CAD(終値, 買い)	USD/CAD(始値, 売り)	USD/CAD(高値, 売り)	USD/CAD(安値, 売り)	USD/CAD(終値, 売り)	
2014-02-07T06:00:00	1.10702	1.10753	1.10693	1.10748	1.10684	1.10733	1.10674	1.10726	
2014-02-07T05:00:00	1.10677	1.10712	1.10630	1.10702	1.10663	1.10694	1.10620	1.10684	
2014-02-07T04:00:00	1.10618	1.10683	1.10585	1.10677	1.10599	1.10663	1.10569	1.10663	
2014-02-07T03:00:00	1.10625	1.10655	1.10586	1.10618	1.10607	1.10636	1.10570	1.10599	
2014-02-07T02:00:00	1.10665	1.10684	1.10573	1.10625	1.10646	1.10665	1.10555	1.10607	
2014-02-07T01:00:00	1.10635	1.10670	1.10567	1.10665	1.10620	1.10653	1.10549	1.10646	
2014-02-07T00:00:00	1.11026	1.11036	1.10571	1.10635	1.11002	1.11012	1.10552	1.10620	
2014-02-06T23:00:00	1.11063	1.11235	1.10985	1.11026	1.11048	1.11219	1.10967	1.11002	
2014-02-06T22:00:00	1.10637	1.11117	1.10514	1.11063	1.10619	1.11100	1.10498	1.11048	
2014-02-06T21:00:00	1.10665	1.10710	1.10607	1.10637	1.10647	1.10693	1.10587	1.10619	
2014-02-06T20:00:00	1.10618	1.10696	1.10557	1.10665	1.10599	1.10677	1.10541	1.10647	
2014-02-06T19:00:00	1.10726	1.10737	1.10617	1.10618	1.10707	1.10718	1.10599	1.10599	
2014-02-06T18:00:00	1.10792	1.10792	1.10701	1.10726	1.10771	1.10772	1.10682	1.10707	
2014-02-06T17:00:00	1.10601	1.10794	1.10571	1.10792	1.10580	1.10774	1.10554	1.10771	
2014-02-06T16:00:00	1.10638	1.10677	1.10592	1.10601	1.10616	1.10662	1.10575	1.10580	
2014-02-06T15:00:00	1.10638	1.10668	1.10619	1.10638	1.10622	1.10651	1.10598	1.10616	
2014-02-06T14:00:00	1.10667	1.10677	1.10633	1.10638	1.10648	1.10657	1.10614	1.10622	
2014-02-06T13:00:00	1.10626	1.10674	1.10620	1.10667	1.10607	1.10653	1.10602	1.10648	
2014-02-06T12:00:00	1.10662	1.10669	1.10613	1.10626	1.10641	1.10654	1.10595	1.10607	
2014-02-06T11:00:00	1.10679	1.10682	1.10595	1.10662	1.10659	1.10664	1.10581	1.10641	
2014-02-06T10:00:00	1.10686	1.10811	1.10678	1.10679	1.10666	1.10794	1.10658	1.10659	
2014-02-06T09:00:00	1.10802	1.10812	1.10615	1.10686	1.10781	1.10791	1.10598	1.10666	
2014-02-06T08:00:00	1.10800	1.10840	1.10785	1.10802	1.10758	1.10820	1.10758	1.10781	
2014-02-06T07:00:00	1.10845	1.10872	1.10740	1.10800	1.10813	1.10818	1.10716	1.10758	
2014-02-06T06:00:00	1.10814	1.10865	1.10766	1.10845	1.10795	1.10846	1.10749	1.10813	
2014-02-06T05:00:00	1.10784	1.10884	1.10758	1.10814	1.10767	1.10871	1.10739	1.10795	
