日時	USD/CHF(始値, 買い)	USD/CHF(高値, 買い)	USD/CHF(安値, 買い)	USD/CHF(終値, 買い)	USD/CHF(始値, 売り)	USD/CHF(高値, 売り)	USD/CHF(安値, 売り)	USD/CHF(終値, 売り)	
2014-02-07T06:00:00	0.90064	0.90099	0.90049	0.90098	0.90047	0.90091	0.90036	0.90078	
2014-02-07T05:00:00	0.90079	0.90113	0.90060	0.90064	0.90060	0.90101	0.90045	0.90047	
2014-02-07T04:00:00	0.90045	0.90112	0.90035	0.90079	0.90027	0.90095	0.90018	0.90060	
2014-02-07T03:00:00	0.89959	0.90067	0.89950	0.90045	0.89942	0.90050	0.89933	0.90027	
2014-02-07T02:00:00	0.89936	0.89978	0.89920	0.89959	0.89919	0.89960	0.89903	0.89942	
2014-02-07T01:00:00	0.89930	0.90001	0.89905	0.89936	0.89914	0.89984	0.89889	0.89919	
2014-02-07T00:00:00	0.89895	0.89976	0.89823	0.89930	0.89880	0.89958	0.89805	0.89914	
2014-02-06T23:00:00	0.89895	0.89928	0.89689	0.89895	0.89876	0.89913	0.89673	0.89880	
2014-02-06T22:00:00	0.90545	0.90649	0.89852	0.89895	0.90526	0.90634	0.89836	0.89876	
2014-02-06T21:00:00	0.90427	0.90635	0.90272	0.90545	0.90410	0.90618	0.90229	0.90526	
2014-02-06T20:00:00	0.90381	0.90445	0.90362	0.90427	0.90361	0.90428	0.90347	0.90410	
2014-02-06T19:00:00	0.90425	0.90448	0.90351	0.90381	0.90408	0.90432	0.90333	0.90361	
2014-02-06T18:00:00	0.90353	0.90457	0.90350	0.90425	0.90336	0.90442	0.90332	0.90408	
2014-02-06T17:00:00	0.90421	0.90473	0.90315	0.90353	0.90405	0.90455	0.90300	0.90336	
2014-02-06T16:00:00	0.90467	0.90477	0.90408	0.90421	0.90447	0.90458	0.90391	0.90405	
2014-02-06T15:00:00	0.90500	0.90511	0.90455	0.90467	0.90479	0.90496	0.90437	0.90447	
2014-02-06T14:00:00	0.90468	0.90512	0.90459	0.90500	0.90447	0.90492	0.90438	0.90479	
2014-02-06T13:00:00	0.90464	0.90499	0.90456	0.90468	0.90443	0.90479	0.90435	0.90447	
2014-02-06T12:00:00	0.90390	0.90470	0.90390	0.90464	0.90370	0.90451	0.90370	0.90443	
2014-02-06T11:00:00	0.90433	0.90440	0.90388	0.90390	0.90415	0.90421	0.90369	0.90370	
2014-02-06T10:00:00	0.90418	0.90464	0.90409	0.90433	0.90398	0.90445	0.90388	0.90415	
2014-02-06T09:00:00	0.90418	0.90434	0.90376	0.90418	0.90398	0.90416	0.90357	0.90398	
2014-02-06T08:00:00	0.90393	0.90427	0.90377	0.90418	0.90367	0.90406	0.90357	0.90398	
2014-02-06T07:00:00	0.90382	0.90437	0.90363	0.90393	0.90349	0.90411	0.90242	0.90367	
2014-02-06T06:00:00	0.90355	0.90385	0.90355	0.90382	0.90337	0.90368	0.90337	0.90349	
2014-02-06T05:00:00	0.90342	0.90405	0.90339	0.90355	0.90324	0.90387	0.90321	0.90337	
2014-02-06T04:00:00	0.90328	0.90390	0.90316	0.90342	0.90310	0.90372	0.90298	0.90324	
2014-02-06T03:00:00	0.90337	0.90375	0.90294	0.90328	0.90318	0.90356	0.90275	0.90310	
2014-02-06T02:00:00	0.90430	0.90438	0.90329	0.90337	0.90412	0.90421	0.90313	0.90318	
2014-02-06T01:00:00	0.90334	0.90530	0.90262	0.90430	0.90317	0.90511	0.90246	0.90412	
2014-02-06T00:00:00	0.90432	0.90578	0.90164	0.90334	0.90371	0.90562	0.90148	0.90317	
2014-02-05T23:00:00	0.90444	0.90518	0.90391	0.90432	0.90428	0.90500	0.90371	0.90371	
2014-02-05T22:00:00	0.90404	0.90448	0.90048	0.90444	0.90388	0.90430	0.90032	0.90428	
2014-02-05T21:00:00	0.90477	0.90510	0.90385	0.90404	0.90457	0.90493	0.90370	0.90388	
2014-02-05T20:00:00	0.90523	0.90544	0.90445	0.90477	0.90509	0.90528	0.90428	0.90457	
2014-02-05T19:00:00	0.90459	0.90538	0.90425	0.90523	0.90443	0.90521	0.90409	0.90509	
2014-02-05T18:00:00	0.90401	0.90507	0.90370	0.90459	0.90382	0.90490	0.90355	0.90443	
2014-02-05T17:00:00	0.90461	0.90461	0.90357	0.90401	0.90443	0.90443	0.90339	0.90382	
2014-02-05T16:00:00	0.90481	0.90487	0.90372	0.90461	0.90457	0.90469	0.90354	0.90443	
2014-02-05T15:00:00	0.90409	0.90527	0.90397	0.90481	0.90392	0.90510	0.90381	0.90457	
2014-02-05T14:00:00	0.90403	0.90421	0.90390	0.90409	0.90383	0.90403	0.90370	0.90392	
2014-02-05T13:00:00	0.90402	0.90427	0.90369	0.90403	0.90381	0.90409	0.90352	0.90383	
2014-02-05T12:00:00	0.90367	0.90410	0.90326	0.90402	0.90348	0.90390	0.90307	0.90381	
2014-02-05T11:00:00	0.90337	0.90381	0.90319	0.90367	0.90320	0.90360	0.90301	0.90348	
2014-02-05T10:00:00	0.90386	0.90390	0.90314	0.90337	0.90365	0.90373	0.90294	0.90320	
2014-02-05T09:00:00	0.90419	0.90420	0.90331	0.90386	0.90398	0.90402	0.90310	0.90365	
2014-02-05T08:00:00	0.90391	0.90435	0.90390	0.90419	0.90377	0.90422	0.90376	0.90398	
2014-02-05T07:00:00	0.90385	0.90458	0.90376	0.90391	0.90352	0.90424	0.90337	0.90377	
2014-02-05T06:00:00	0.90430	0.90448	0.90376	0.90385	0.90411	0.90429	0.90352	0.90352	
2014-02-05T05:00:00	0.90440	0.90464	0.90413	0.90430	0.90424	0.90447	0.90395	0.90411	
2014-02-05T04:00:00	0.90411	0.90485	0.90411	0.90440	0.90394	0.90467	0.90394	0.90424	
2014-02-05T03:00:00	0.90461	0.90500	0.90411	0.90411	0.90443	0.90483	0.90394	0.90394	
2014-02-05T02:00:00	0.90523	0.90562	0.90456	0.90461	0.90504	0.90546	0.90441	0.90443	
2014-02-05T01:00:00	0.90439	0.90612	0.90432	0.90523	0.90426	0.90595	0.90415	0.90504	
2014-02-05T00:00:00	0.90507	0.90627	0.90436	0.90439	0.90482	0.90611	0.90420	0.90426	
2014-02-04T23:00:00	0.90418	0.90541	0.90411	0.90507	0.90402	0.90524	0.90393	0.90482	
2014-02-04T22:00:00	0.90359	0.90426	0.90326	0.90418	0.90341	0.90410	0.90308	0.90402	
2014-02-04T21:00:00	0.90443	0.90466	0.90261	0.90359	0.90423	0.90449	0.90245	0.90341	
2014-02-04T20:00:00	0.90394	0.90457	0.90393	0.90443	0.90375	0.90438	0.90375	0.90423	
2014-02-04T19:00:00	0.90433	0.90451	0.90360	0.90394	0.90414	0.90439	0.90341	0.90375	
2014-02-04T18:00:00	0.90400	0.90491	0.90369	0.90433	0.90382	0.90475	0.90351	0.90414	
2014-02-04T17:00:00	0.90236	0.90511	0.90230	0.90400	0.90217	0.90495	0.90213	0.90382	
2014-02-04T16:00:00	0.90134	0.90262	0.90115	0.90236	0.90115	0.90245	0.90098	0.90217	
2014-02-04T15:00:00	0.90238	0.90293	0.90103	0.90134	0.90217	0.90272	0.90084	0.90115	
2014-02-04T14:00:00	0.90290	0.90336	0.90236	0.90238	0.90275	0.90317	0.90217	0.90217	
2014-02-04T13:00:00	0.90310	0.90369	0.90290	0.90290	0.90291	0.90351	0.90269	0.90275	
2014-02-04T12:00:00	0.90289	0.90315	0.90253	0.90310	0.90275	0.90296	0.90233	0.90291	
2014-02-04T11:00:00	0.90226	0.90299	0.90224	0.90289	0.90208	0.90280	0.90205	0.90275	
2014-02-04T10:00:00	0.90173	0.90233	0.90164	0.90226	0.90156	0.90215	0.90147	0.90208	
2014-02-04T09:00:00	0.90143	0.90221	0.90136	0.90173	0.90124	0.90201	0.90119	0.90156	
2014-02-04T08:00:00	0.90142	0.90167	0.90099	0.90143	0.90119	0.90148	0.90071	0.90124	
2014-02-04T07:00:00	0.90093	0.90190	0.90090	0.90142	0.90075	0.90135	0.89992	0.90119	
2014-02-04T06:00:00	0.90137	0.90142	0.90054	0.90093	0.90119	0.90126	0.90034	0.90075	
2014-02-04T05:00:00	0.90092	0.90171	0.90074	0.90137	0.90074	0.90156	0.90057	0.90119	
2014-02-04T04:00:00	0.90198	0.90265	0.90045	0.90092	0.90182	0.90246	0.90031	0.90074	
2014-02-04T03:00:00	0.90227	0.90231	0.90138	0.90198	0.90208	0.90213	0.90121	0.90182	
2014-02-04T02:00:00	0.90150	0.90250	0.90094	0.90227	0.90131	0.90236	0.90080	0.90208	
2014-02-04T01:00:00	0.90280	0.90300	0.90085	0.90150	0.90267	0.90287	0.90069	0.90131	
2014-02-04T00:00:00	0.90552	0.90552	0.90185	0.90280	0.90512	0.90512	0.90167	0.90267	
2014-02-03T23:00:00	0.90532	0.90615	0.90509	0.90552	0.90515	0.90596	0.90492	0.90512	
2014-02-03T22:00:00	0.90560	0.90598	0.90501	0.90532	0.90545	0.90580	0.90485	0.90515	
2014-02-03T21:00:00	0.90432	0.90565	0.90429	0.90560	0.90414	0.90548	0.90410	0.90545	
2014-02-03T20:00:00	0.90478	0.90493	0.90377	0.90432	0.90459	0.90476	0.90360	0.90414	
2014-02-03T19:00:00	0.90462	0.90531	0.90386	0.90478	0.90444	0.90514	0.90367	0.90459	
2014-02-03T18:00:00	0.90535	0.90590	0.90458	0.90462	0.90516	0.90572	0.90440	0.90444	
2014-02-03T17:00:00	0.90725	0.90733	0.90521	0.90535	0.90707	0.90714	0.90507	0.90516	
2014-02-03T16:00:00	0.90543	0.90760	0.90533	0.90725	0.90524	0.90742	0.90515	0.90707	
2014-02-03T15:00:00	0.90673	0.90673	0.90515	0.90543	0.90653	0.90653	0.90496	0.90524	
2014-02-03T14:00:00	0.90735	0.90737	0.90657	0.90673	0.90718	0.90721	0.90636	0.90653	
2014-02-03T13:00:00	0.90747	0.90776	0.90729	0.90735	0.90726	0.90755	0.90711	0.90718	
2014-02-03T12:00:00	0.90745	0.90747	0.90663	0.90747	0.90726	0.90727	0.90644	0.90726	
2014-02-03T11:00:00	0.90728	0.90757	0.90691	0.90745	0.90708	0.90742	0.90676	0.90726	
2014-02-03T10:00:00	0.90729	0.90826	0.90712	0.90728	0.90708	0.90809	0.90691	0.90708	
2014-02-03T09:00:00	0.90667	0.90772	0.90667	0.90729	0.90648	0.90750	0.90648	0.90708	
2014-02-03T08:00:00	0.90666	0.90686	0.90644	0.90667	0.90635	0.90667	0.90623	0.90648	
2014-02-03T07:00:00	0.90694	0.90726	0.90646	0.90666	0.90627	0.90656	0.90560	0.90635	
2014-02-03T06:00:00	0.90687	0.90719	0.90683	0.90694	0.90636	0.90654	0.90604	0.90627	
2014-02-03T05:00:00	0.90688	0.90719	0.90683	0.90687	0.90633	0.90638	0.90604	0.90636	
2014-02-03T04:00:00	0.90640	0.90737	0.90640	0.90688	0.90581	0.90638	0.90568	0.90633	
2014-02-01T06:00:00	0.90684	0.90690	0.90592	0.90640	0.90665	0.90671	0.90563	0.90581	
2014-02-01T05:00:00	0.90802	0.90810	0.90632	0.90684	0.90783	0.90790	0.90610	0.90665	
2014-02-01T04:00:00	0.90517	0.90806	0.90512	0.90802	0.90499	0.90789	0.90494	0.90783	
2014-02-01T03:00:00	0.90498	0.90545	0.90442	0.90517	0.90480	0.90527	0.90421	0.90499	
2014-02-01T02:00:00	0.90526	0.90623	0.90498	0.90498	0.90509	0.90606	0.90480	0.90480	
2014-02-01T01:00:00	0.90585	0.90592	0.90458	0.90526	0.90567	0.90579	0.90439	0.90509	
2014-02-01T00:00:00	0.90650	0.90674	0.90464	0.90585	0.90631	0.90656	0.90445	0.90567	
2014-01-31T23:00:00	0.90417	0.90679	0.90373	0.90650	0.90398	0.90664	0.90354	0.90631	
2014-01-31T22:00:00	0.90421	0.90529	0.90336	0.90417	0.90402	0.90511	0.90318	0.90398	
2014-01-31T21:00:00	0.90235	0.90446	0.90196	0.90421	0.90218	0.90430	0.90178	0.90402	
2014-01-31T20:00:00	0.90408	0.90469	0.90087	0.90235	0.90391	0.90451	0.90070	0.90218	
2014-01-31T19:00:00	0.90327	0.90471	0.90314	0.90408	0.90309	0.90456	0.90295	0.90391	
2014-01-31T18:00:00	0.90325	0.90401	0.90299	0.90327	0.90309	0.90384	0.90281	0.90309	
2014-01-31T17:00:00	0.90317	0.90373	0.90271	0.90325	0.90298	0.90358	0.90252	0.90309	
2014-01-31T16:00:00	0.90379	0.90430	0.90312	0.90317	0.90355	0.90412	0.90294	0.90298	
2014-01-31T15:00:00	0.90285	0.90385	0.90280	0.90379	0.90265	0.90370	0.90260	0.90355	
2014-01-31T14:00:00	0.90260	0.90285	0.90216	0.90285	0.90241	0.90265	0.90196	0.90265	
2014-01-31T13:00:00	0.90232	0.90284	0.90216	0.90260	0.90212	0.90263	0.90197	0.90241	
2014-01-31T12:00:00	0.90278	0.90278	0.90215	0.90232	0.90258	0.90258	0.90197	0.90212	
2014-01-31T11:00:00	0.90250	0.90278	0.90241	0.90278	0.90231	0.90259	0.90221	0.90258	
2014-01-31T10:00:00	0.90277	0.90297	0.90238	0.90250	0.90256	0.90281	0.90217	0.90231	
2014-01-31T09:00:00	0.90272	0.90322	0.90258	0.90277	0.90252	0.90304	0.90240	0.90256	
2014-01-31T08:00:00	0.90266	0.90295	0.90247	0.90272	0.90247	0.90274	0.90227	0.90252	
2014-01-31T07:00:00	0.90268	0.90327	0.90215	0.90266	0.90270	0.90260	0.90188	0.90247	
2014-01-31T06:00:00	0.90374	0.90375	0.90254	0.90268	0.90356	0.90357	0.90231	0.90270	
2014-01-31T05:00:00	0.90343	0.90379	0.90333	0.90374	0.90324	0.90362	0.90316	0.90356	
2014-01-31T04:00:00	0.90341	0.90349	0.90289	0.90343	0.90324	0.90331	0.90270	0.90324	
2014-01-31T03:00:00	0.90359	0.90392	0.90319	0.90341	0.90344	0.90377	0.90301	0.90324	
2014-01-31T02:00:00	0.90444	0.90461	0.90336	0.90359	0.90426	0.90443	0.90320	0.90344	
2014-01-31T01:00:00	0.90276	0.90488	0.90262	0.90444	0.90259	0.90471	0.90243	0.90426	
2014-01-31T00:00:00	0.90143	0.90283	0.90076	0.90276	0.90137	0.90265	0.90057	0.90259	
2014-01-30T23:00:00	0.90145	0.90258	0.90127	0.90143	0.90130	0.90240	0.90109	0.90137	
2014-01-30T22:00:00	0.90122	0.90242	0.90042	0.90145	0.90103	0.90227	0.90023	0.90130	
2014-01-30T21:00:00	0.89997	0.90142	0.89943	0.90122	0.89980	0.90125	0.89928	0.90103	
2014-01-30T20:00:00	0.89884	0.90005	0.89847	0.89997	0.89869	0.89991	0.89829	0.89980	
2014-01-30T19:00:00	0.89929	0.89985	0.89875	0.89884	0.89916	0.89970	0.89859	0.89869	
2014-01-30T18:00:00	0.89803	0.89965	0.89798	0.89929	0.89781	0.89952	0.89780	0.89916	
2014-01-30T17:00:00	0.89790	0.89942	0.89777	0.89803	0.89773	0.89925	0.89758	0.89781	
2014-01-30T16:00:00	0.89609	0.89842	0.89600	0.89790	0.89591	0.89827	0.89583	0.89773	
2014-01-30T15:00:00	0.89652	0.89678	0.89602	0.89609	0.89634	0.89659	0.89583	0.89591	
2014-01-30T14:00:00	0.89651	0.89680	0.89624	0.89652	0.89631	0.89662	0.89604	0.89634	
2014-01-30T13:00:00	0.89621	0.89688	0.89606	0.89651	0.89603	0.89669	0.89585	0.89631	
2014-01-30T12:00:00	0.89583	0.89624	0.89528	0.89621	0.89563	0.89605	0.89507	0.89603	
2014-01-30T11:00:00	0.89564	0.89599	0.89522	0.89583	0.89546	0.89581	0.89502	0.89563	
2014-01-30T10:00:00	0.89477	0.89567	0.89466	0.89564	0.89459	0.89551	0.89445	0.89546	
2014-01-30T09:00:00	0.89521	0.89521	0.89462	0.89477	0.89501	0.89502	0.89442	0.89459	
2014-01-30T08:00:00	0.89462	0.89533	0.89457	0.89521	0.89435	0.89506	0.89431	0.89501	
2014-01-30T07:00:00	0.89448	0.89559	0.89444	0.89462	0.89415	0.89485	0.89410	0.89435	
2014-01-30T06:00:00	0.89546	0.89573	0.89440	0.89448	0.89527	0.89559	0.89415	0.89415	
2014-01-30T05:00:00	0.89461	0.89588	0.89427	0.89546	0.89440	0.89570	0.89409	0.89527	
2014-01-30T04:00:00	0.89563	0.89667	0.89395	0.89461	0.89409	0.89644	0.89376	0.89440	
2014-01-30T03:00:00	0.89445	0.89572	0.89387	0.89563	0.89426	0.89496	0.89368	0.89409	
2014-01-30T02:00:00	0.89500	0.89512	0.89386	0.89445	0.89484	0.89494	0.89370	0.89426	
2014-01-30T01:00:00	0.89589	0.89629	0.89445	0.89500	0.89571	0.89611	0.89427	0.89484	
2014-01-30T00:00:00	0.89535	0.89642	0.89418	0.89589	0.89516	0.89623	0.89401	0.89571	
2014-01-29T23:00:00	0.89651	0.89687	0.89363	0.89535	0.89634	0.89670	0.89344	0.89516	
2014-01-29T22:00:00	0.89909	0.90106	0.89640	0.89651	0.89892	0.90089	0.89629	0.89634	
2014-01-29T21:00:00	0.89777	0.89986	0.89761	0.89909	0.89757	0.89969	0.89743	0.89892	
2014-01-29T20:00:00	0.89662	0.89804	0.89606	0.89777	0.89643	0.89788	0.89596	0.89757	
2014-01-29T19:00:00	0.89769	0.89789	0.89640	0.89662	0.89750	0.89772	0.89624	0.89643	
2014-01-29T18:00:00	0.89830	0.89855	0.89623	0.89769	0.89810	0.89840	0.89609	0.89750	
2014-01-29T17:00:00	0.89920	0.89963	0.89806	0.89830	0.89903	0.89946	0.89789	0.89810	
2014-01-29T16:00:00	0.89993	0.90011	0.89901	0.89920	0.89974	0.89994	0.89883	0.89903	
2014-01-29T15:00:00	0.89993	0.90042	0.89967	0.89993	0.89972	0.90023	0.89947	0.89974	
2014-01-29T14:00:00	0.90070	0.90071	0.89981	0.89993	0.90051	0.90051	0.89964	0.89972	
2014-01-29T13:00:00	0.90044	0.90078	0.90027	0.90070	0.90025	0.90061	0.90014	0.90051	
2014-01-29T12:00:00	0.89949	0.90056	0.89950	0.90044	0.89929	0.90039	0.89931	0.90025	
2014-01-29T11:00:00	0.89957	0.89987	0.89899	0.89949	0.89937	0.89975	0.89878	0.89929	
2014-01-29T10:00:00	0.89968	0.89969	0.89909	0.89957	0.89947	0.89949	0.89888	0.89937	
2014-01-29T09:00:00	0.89983	0.89989	0.89946	0.89968	0.89962	0.89977	0.89927	0.89947	
2014-01-29T08:00:00	0.90031	0.90031	0.89970	0.89983	0.90003	0.90011	0.89951	0.89962	
2014-01-29T07:00:00	0.89734	0.90057	0.89744	0.90031	0.89706	0.90043	0.89687	0.90003	
2014-01-29T06:00:00	0.89776	0.89779	0.89730	0.89734	0.89758	0.89762	0.89706	0.89706	
2014-01-29T05:00:00	0.89791	0.89823	0.89756	0.89776	0.89773	0.89804	0.89737	0.89758	
2014-01-29T04:00:00	0.89896	0.89910	0.89774	0.89791	0.89880	0.89892	0.89755	0.89773	
2014-01-29T03:00:00	0.89863	0.89933	0.89860	0.89896	0.89847	0.89914	0.89842	0.89880	
2014-01-29T02:00:00	0.89855	0.89925	0.89845	0.89863	0.89837	0.89915	0.89826	0.89847	
2014-01-29T01:00:00	0.89884	0.89913	0.89816	0.89855	0.89867	0.89895	0.89797	0.89837	
2014-01-29T00:00:00	0.89758	0.89921	0.89766	0.89884	0.89741	0.89902	0.89742	0.89867	
