日時	USD/HKD(始値, 買い)	USD/HKD(高値, 買い)	USD/HKD(安値, 買い)	USD/HKD(終値, 買い)	USD/HKD(始値, 売り)	USD/HKD(高値, 売り)	USD/HKD(安値, 売り)	USD/HKD(終値, 売り)	
2014-02-07T06:00:00	7.75939	7.76017	7.75939	7.75987	7.75897	7.75981	7.75897	7.75935	
2014-02-07T05:00:00	7.75937	7.75949	7.75923	7.75939	7.75896	7.75917	7.75873	7.75897	
2014-02-07T04:00:00	7.75940	7.75944	7.75935	7.75937	7.75900	7.75908	7.75892	7.75896	
2014-02-07T03:00:00	7.75938	7.75947	7.75938	7.75940	7.75903	7.75907	7.75890	7.75900	
2014-02-07T02:00:00	7.75924	7.75954	7.75914	7.75938	7.75874	7.75905	7.75866	7.75903	
2014-02-07T01:00:00	7.75972	7.76016	7.75890	7.75924	7.75937	7.75977	7.75844	7.75874	
2014-02-07T00:00:00	7.75964	7.75979	7.75952	7.75972	7.75924	7.75941	7.75913	7.75937	
2014-02-06T23:00:00	7.75957	7.75969	7.75956	7.75964	7.75913	7.75936	7.75912	7.75924	
2014-02-06T22:00:00	7.75925	7.75964	7.75914	7.75957	7.75882	7.75937	7.75877	7.75913	
2014-02-06T21:00:00	7.75907	7.75927	7.75907	7.75925	7.75867	7.75895	7.75867	7.75882	
2014-02-06T20:00:00	7.75900	7.75918	7.75897	7.75907	7.75860	7.75886	7.75855	7.75867	
2014-02-06T19:00:00	7.75882	7.75914	7.75882	7.75900	7.75846	7.75876	7.75846	7.75860	
2014-02-06T18:00:00	7.75932	7.75942	7.75882	7.75882	7.75896	7.75901	7.75844	7.75846	
2014-02-06T17:00:00	7.76003	7.76006	7.75924	7.75932	7.75963	7.75963	7.75884	7.75896	
2014-02-06T16:00:00	7.75997	7.76012	7.75980	7.76003	7.75957	7.75974	7.75938	7.75963	
2014-02-06T15:00:00	7.76006	7.76014	7.75996	7.75997	7.75965	7.75977	7.75955	7.75957	
2014-02-06T14:00:00	7.75986	7.76006	7.75986	7.76006	7.75949	7.75972	7.75949	7.75965	
2014-02-06T13:00:00	7.75981	7.75986	7.75981	7.75986	7.75942	7.75949	7.75942	7.75949	
2014-02-06T12:00:00	7.75961	7.76005	7.75953	7.75981	7.75918	7.75972	7.75914	7.75942	
2014-02-06T11:00:00	7.76038	7.76044	7.75938	7.75961	7.75997	7.76002	7.75904	7.75918	
2014-02-06T10:00:00	7.76142	7.76142	7.76028	7.76038	7.76096	7.76104	7.75989	7.75997	
2014-02-06T09:00:00	7.76190	7.76191	7.76131	7.76142	7.76138	7.76150	7.76094	7.76096	
2014-02-06T08:00:00	7.76205	7.76210	7.76181	7.76190	7.76139	7.76163	7.76138	7.76138	
2014-02-06T07:00:00	7.76198	7.76240	7.76187	7.76205	7.76137	7.76175	7.76132	7.76139	
2014-02-06T06:00:00	7.76187	7.76198	7.76174	7.76198	7.76138	7.76153	7.76133	7.76137	
2014-02-06T05:00:00	7.76210	7.76217	7.76176	7.76187	7.76169	7.76169	7.76138	7.76138	
2014-02-06T04:00:00	7.76221	7.76227	7.76188	7.76210	7.76184	7.76185	7.76148	7.76169	
2014-02-06T03:00:00	7.76227	7.76243	7.76220	7.76221	7.76185	7.76191	7.76180	7.76184	
2014-02-06T02:00:00	7.76228	7.76243	7.76203	7.76227	7.76194	7.76196	7.76160	7.76185	
2014-02-06T01:00:00	7.76273	7.76293	7.76228	7.76228	7.76231	7.76252	7.76194	7.76194	
2014-02-06T00:00:00	7.76233	7.76273	7.76230	7.76273	7.76190	7.76232	7.76190	7.76231	
2014-02-05T23:00:00	7.76242	7.76244	7.76212	7.76233	7.76204	7.76207	7.76172	7.76190	
2014-02-05T22:00:00	7.76233	7.76242	7.76232	7.76242	7.76195	7.76206	7.76189	7.76204	
2014-02-05T21:00:00	7.76235	7.76247	7.76232	7.76233	7.76197	7.76212	7.76193	7.76195	
2014-02-05T20:00:00	7.76237	7.76250	7.76235	7.76235	7.76200	7.76214	7.76194	7.76197	
2014-02-05T19:00:00	7.76223	7.76242	7.76207	7.76237	7.76183	7.76206	7.76171	7.76200	
2014-02-05T18:00:00	7.76275	7.76275	7.76216	7.76223	7.76237	7.76237	7.76183	7.76183	
2014-02-05T17:00:00	7.76285	7.76293	7.76273	7.76275	7.76247	7.76253	7.76234	7.76237	
2014-02-05T16:00:00	7.76297	7.76305	7.76273	7.76285	7.76259	7.76264	7.76237	7.76247	
2014-02-05T15:00:00	7.76286	7.76303	7.76281	7.76297	7.76244	7.76271	7.76244	7.76259	
2014-02-05T14:00:00	7.76296	7.76313	7.76281	7.76286	7.76262	7.76277	7.76244	7.76244	
