日時	USD/JPY(始値, 買い)	USD/JPY(高値, 買い)	USD/JPY(安値, 買い)	USD/JPY(終値, 買い)	USD/JPY(始値, 売り)	USD/JPY(高値, 売り)	USD/JPY(安値, 売り)	USD/JPY(終値, 売り)	
2014-02-07T06:00:00	102.138	102.149	102.089	102.118	102.132	102.142	102.082	102.109	
2014-02-07T05:00:00	102.123	102.162	102.044	102.138	102.119	102.156	102.037	102.132	
2014-02-07T04:00:00	101.907	102.176	101.900	102.123	101.900	102.171	101.896	102.119	
2014-02-07T03:00:00	101.889	101.943	101.866	101.907	101.884	101.939	101.859	101.900	
2014-02-07T02:00:00	101.852	101.925	101.845	101.889	101.851	101.921	101.839	101.884	
2014-02-07T01:00:00	101.860	101.917	101.801	101.852	101.855	101.911	101.797	101.851	
2014-02-07T00:00:00	101.760	102.001	101.746	101.860	101.757	101.997	101.742	101.855	
2014-02-06T23:00:00	101.294	101.839	101.267	101.760	101.287	101.836	101.264	101.757	
2014-02-06T22:00:00	101.469	101.522	101.244	101.294	101.462	101.511	101.241	101.287	
2014-02-06T21:00:00	101.494	101.523	101.354	101.469	101.490	101.517	101.349	101.462	
2014-02-06T20:00:00	101.531	101.553	101.465	101.494	101.524	101.550	101.461	101.490	
2014-02-06T19:00:00	101.519	101.568	101.475	101.531	101.514	101.564	101.470	101.524	
2014-02-06T18:00:00	101.414	101.545	101.392	101.519	101.409	101.540	101.387	101.514	
2014-02-06T17:00:00	101.498	101.502	101.328	101.414	101.491	101.498	101.326	101.409	
2014-02-06T16:00:00	101.453	101.526	101.419	101.498	101.446	101.520	101.413	101.491	
2014-02-06T15:00:00	101.445	101.533	101.396	101.453	101.441	101.529	101.393	101.446	
2014-02-06T14:00:00	101.599	101.600	101.428	101.445	101.593	101.595	101.423	101.441	
2014-02-06T13:00:00	101.510	101.666	101.498	101.599	101.504	101.661	101.492	101.593	
2014-02-06T12:00:00	101.434	101.564	101.388	101.510	101.427	101.558	101.384	101.504	
2014-02-06T11:00:00	101.435	101.508	101.364	101.434	101.430	101.502	101.360	101.427	
2014-02-06T10:00:00	101.576	101.583	101.326	101.435	101.569	101.577	101.321	101.430	
2014-02-06T09:00:00	101.475	101.637	101.454	101.576	101.469	101.632	101.450	101.569	
2014-02-06T08:00:00	101.503	101.537	101.441	101.475	101.494	101.531	101.436	101.469	
2014-02-06T07:00:00	101.459	101.536	101.459	101.503	101.441	101.526	101.441	101.494	
2014-02-06T06:00:00	101.387	101.479	101.344	101.459	101.381	101.469	101.339	101.441	
2014-02-06T05:00:00	101.313	101.446	101.304	101.387	101.307	101.441	101.299	101.381	
2014-02-06T04:00:00	101.455	101.486	101.305	101.313	101.450	101.480	101.300	101.307	
2014-02-06T03:00:00	101.411	101.498	101.404	101.455	101.407	101.494	101.399	101.450	
2014-02-06T02:00:00	101.391	101.475	101.335	101.411	101.386	101.469	101.332	101.407	
2014-02-06T01:00:00	101.193	101.436	101.069	101.391	101.190	101.429	101.063	101.386	
2014-02-06T00:00:00	101.308	101.635	101.153	101.193	101.289	101.630	101.148	101.190	
2014-02-05T23:00:00	101.220	101.415	101.169	101.308	101.214	101.410	101.164	101.289	
2014-02-05T22:00:00	101.088	101.239	100.807	101.220	101.086	101.234	100.800	101.214	
2014-02-05T21:00:00	101.187	101.217	101.063	101.088	101.182	101.212	101.057	101.086	
2014-02-05T20:00:00	101.251	101.272	101.161	101.187	101.246	101.265	101.154	101.182	
2014-02-05T19:00:00	101.175	101.308	101.104	101.251	101.171	101.305	101.098	101.246	
2014-02-05T18:00:00	101.309	101.402	101.175	101.175	101.302	101.399	101.171	101.171	
2014-02-05T17:00:00	101.239	101.398	101.135	101.309	101.236	101.394	101.129	101.302	
2014-02-05T16:00:00	101.329	101.355	101.174	101.239	101.326	101.349	101.169	101.236	
2014-02-05T15:00:00	101.442	101.462	101.319	101.329	101.436	101.459	101.312	101.326	
2014-02-05T14:00:00	101.439	101.534	101.383	101.442	101.436	101.529	101.378	101.436	
2014-02-05T13:00:00	101.469	101.544	101.378	101.439	101.463	101.541	101.373	101.436	
2014-02-05T12:00:00	101.315	101.507	101.255	101.469	101.310	101.502	101.252	101.463	
2014-02-05T11:00:00	101.490	101.515	101.241	101.315	101.484	101.508	101.235	101.310	
2014-02-05T10:00:00	101.540	101.578	101.425	101.490	101.536	101.574	101.420	101.484	
2014-02-05T09:00:00	101.699	101.699	101.419	101.540	101.692	101.694	101.414	101.536	
2014-02-05T08:00:00	101.630	101.768	101.599	101.699	101.622	101.763	101.597	101.692	
2014-02-05T07:00:00	101.654	101.696	101.592	101.630	101.632	101.682	101.585	101.622	
