日時	USD/SGD(始値, 買い)	USD/SGD(高値, 買い)	USD/SGD(安値, 買い)	USD/SGD(終値, 買い)	USD/SGD(始値, 売り)	USD/SGD(高値, 売り)	USD/SGD(安値, 売り)	USD/SGD(終値, 売り)	
2014-02-07T06:00:00	1.26858	1.26871	1.26848	1.26859	1.26807	1.26816	1.26791	1.26795	
2014-02-07T05:00:00	1.26843	1.26879	1.26838	1.26858	1.26789	1.26827	1.26783	1.26807	
2014-02-07T04:00:00	1.26805	1.26843	1.26802	1.26843	1.26753	1.26793	1.26750	1.26789	
2014-02-07T03:00:00	1.26807	1.26813	1.26796	1.26805	1.26758	1.26767	1.26742	1.26753	
2014-02-07T02:00:00	1.26790	1.26825	1.26774	1.26807	1.26746	1.26781	1.26731	1.26758	
2014-02-07T01:00:00	1.26761	1.26806	1.26746	1.26790	1.26718	1.26761	1.26697	1.26746	
2014-02-07T00:00:00	1.26823	1.26823	1.26734	1.26761	1.26776	1.26778	1.26692	1.26718	
2014-02-06T23:00:00	1.26807	1.26856	1.26751	1.26823	1.26754	1.26810	1.26711	1.26776	
2014-02-06T22:00:00	1.26877	1.26891	1.26787	1.26807	1.26828	1.26841	1.26743	1.26754	
2014-02-06T21:00:00	1.26898	1.26918	1.26865	1.26877	1.26845	1.26871	1.26805	1.26828	
2014-02-06T20:00:00	1.26920	1.26932	1.26873	1.26898	1.26873	1.26885	1.26831	1.26845	
2014-02-06T19:00:00	1.26911	1.26935	1.26871	1.26920	1.26867	1.26897	1.26831	1.26873	
2014-02-06T18:00:00	1.26949	1.26965	1.26905	1.26911	1.26908	1.26922	1.26861	1.26867	
2014-02-06T17:00:00	1.27004	1.27013	1.26934	1.26949	1.26961	1.26975	1.26894	1.26908	
2014-02-06T16:00:00	1.26979	1.27017	1.26968	1.27004	1.26935	1.26976	1.26930	1.26961	
2014-02-06T15:00:00	1.26972	1.26987	1.26947	1.26979	1.26930	1.26945	1.26903	1.26935	
2014-02-06T14:00:00	1.26943	1.27002	1.26943	1.26972	1.26901	1.26957	1.26901	1.26930	
2014-02-06T13:00:00	1.26959	1.26962	1.26917	1.26943	1.26916	1.26923	1.26878	1.26901	
2014-02-06T12:00:00	1.26852	1.26959	1.26852	1.26959	1.26809	1.26916	1.26809	1.26916	
2014-02-06T11:00:00	1.26819	1.26866	1.26798	1.26852	1.26779	1.26821	1.26757	1.26809	
2014-02-06T10:00:00	1.26791	1.26870	1.26791	1.26819	1.26747	1.26826	1.26747	1.26779	
2014-02-06T09:00:00	1.26823	1.26838	1.26742	1.26791	1.26769	1.26797	1.26700	1.26747	
2014-02-06T08:00:00	1.26851	1.26856	1.26774	1.26823	1.26796	1.26797	1.26726	1.26769	
2014-02-06T07:00:00	1.26827	1.26888	1.26808	1.26851	1.26751	1.26821	1.26730	1.26796	
2014-02-06T06:00:00	1.26848	1.26853	1.26807	1.26827	1.26801	1.26807	1.26739	1.26751	
2014-02-06T05:00:00	1.26846	1.26859	1.26845	1.26848	1.26792	1.26812	1.26786	1.26801	
2014-02-06T04:00:00	1.26828	1.26858	1.26823	1.26846	1.26788	1.26807	1.26775	1.26792	
2014-02-06T03:00:00	1.26778	1.26837	1.26748	1.26828	1.26732	1.26788	1.26700	1.26788	
2014-02-06T02:00:00	1.26788	1.26801	1.26773	1.26778	1.26744	1.26752	1.26726	1.26732	
2014-02-06T01:00:00	1.26810	1.26854	1.26773	1.26788	1.26767	1.26808	1.26734	1.26744	
2014-02-06T00:00:00	1.26900	1.26929	1.26779	1.26810	1.26847	1.26884	1.26734	1.26767	
2014-02-05T23:00:00	1.26889	1.26900	1.26868	1.26900	1.26845	1.26859	1.26826	1.26847	
2014-02-05T22:00:00	1.26898	1.26903	1.26821	1.26889	1.26850	1.26855	1.26776	1.26845	
2014-02-05T21:00:00	1.26872	1.26923	1.26847	1.26898	1.26819	1.26877	1.26801	1.26850	
2014-02-05T20:00:00	1.26931	1.26951	1.26849	1.26872	1.26882	1.26903	1.26801	1.26819	
2014-02-05T19:00:00	1.26880	1.26968	1.26842	1.26931	1.26840	1.26922	1.26798	1.26882	
2014-02-05T18:00:00	1.26977	1.26977	1.26854	1.26880	1.26934	1.26935	1.26807	1.26840	
2014-02-05T17:00:00	1.26990	1.27042	1.26972	1.26977	1.26947	1.26996	1.26926	1.26934	
2014-02-05T16:00:00	1.26931	1.27011	1.26918	1.26990	1.26885	1.26970	1.26872	1.26947	
2014-02-05T15:00:00	1.26974	1.27015	1.26910	1.26931	1.26929	1.26974	1.26865	1.26885	
2014-02-05T14:00:00	1.26958	1.26981	1.26941	1.26974	1.26910	1.26939	1.26902	1.26929	
2014-02-05T13:00:00	1.27007	1.27017	1.26933	1.26958	1.26974	1.26975	1.26889	1.26910	
2014-02-05T12:00:00	1.26957	1.27062	1.26915	1.27007	1.26915	1.27019	1.26872	1.26974	
2014-02-05T11:00:00	1.26863	1.26967	1.26859	1.26957	1.26821	1.26924	1.26817	1.26915	
2014-02-05T10:00:00	1.26843	1.26902	1.26813	1.26863	1.26800	1.26860	1.26765	1.26821	
2014-02-05T09:00:00	1.26865	1.26871	1.26753	1.26843	1.26820	1.26826	1.26707	1.26800	
2014-02-05T08:00:00	1.26909	1.26925	1.26853	1.26865	1.26811	1.26857	1.26800	1.26820	
2014-02-05T07:00:00	1.26935	1.26938	1.26898	1.26909	1.26833	1.26869	1.26783	1.26811	
2014-02-05T06:00:00	1.26874	1.26935	1.26828	1.26935	1.26817	1.26875	1.26766	1.26833	
2014-02-05T05:00:00	1.26856	1.26874	1.26848	1.26874	1.26806	1.26817	1.26801	1.26817	
2014-02-05T04:00:00	1.26827	1.26856	1.26808	1.26856	1.26772	1.26806	1.26765	1.26806	
2014-02-05T03:00:00	1.26831	1.26858	1.26819	1.26827	1.26787	1.26816	1.26768	1.26772	
2014-02-05T02:00:00	1.26806	1.26844	1.26784	1.26831	1.26762	1.26797	1.26740	1.26787	
2014-02-05T01:00:00	1.26849	1.26871	1.26799	1.26806	1.26801	1.26834	1.26760	1.26762	
2014-02-05T00:00:00	1.26891	1.26936	1.26811	1.26849	1.26842	1.26888	1.26768	1.26801	
2014-02-04T23:00:00	1.26824	1.26907	1.26812	1.26891	1.26779	1.26860	1.26765	1.26842	
2014-02-04T22:00:00	1.26958	1.26980	1.26808	1.26824	1.26916	1.26934	1.26766	1.26779	
2014-02-04T21:00:00	1.26962	1.27056	1.26946	1.26958	1.26916	1.27008	1.26905	1.26916	
2014-02-04T20:00:00	1.26962	1.27029	1.26904	1.26962	1.26917	1.26979	1.26862	1.26916	
2014-02-04T19:00:00	1.26874	1.26978	1.26874	1.26962	1.26830	1.26934	1.26830	1.26917	
2014-02-04T18:00:00	1.26984	1.26992	1.26858	1.26874	1.26941	1.26951	1.26815	1.26830	
2014-02-04T17:00:00	1.26873	1.26992	1.26852	1.26984	1.26829	1.26952	1.26807	1.26941	
2014-02-04T16:00:00	1.26949	1.26949	1.26739	1.26873	1.26902	1.26908	1.26698	1.26829	
2014-02-04T15:00:00	1.27057	1.27070	1.26905	1.26949	1.27022	1.27033	1.26855	1.26902	
2014-02-04T14:00:00	1.27102	1.27115	1.27026	1.27057	1.27055	1.27063	1.26984	1.27022	
2014-02-04T13:00:00	1.27117	1.27141	1.27071	1.27102	1.27073	1.27097	1.27030	1.27055	
2014-02-04T12:00:00	1.27330	1.27330	1.27096	1.27117	1.27284	1.27284	1.27052	1.27073	
2014-02-04T11:00:00	1.27467	1.27476	1.27296	1.27330	1.27423	1.27439	1.27262	1.27284	
2014-02-04T10:00:00	1.27489	1.27521	1.27430	1.27467	1.27447	1.27475	1.27393	1.27423	
2014-02-04T09:00:00	1.27553	1.27579	1.27476	1.27489	1.27506	1.27532	1.27432	1.27447	
2014-02-04T08:00:00	1.27602	1.27611	1.27525	1.27553	1.27546	1.27561	1.27479	1.27506	
2014-02-04T07:00:00	1.27608	1.27621	1.27558	1.27602	1.27533	1.27548	1.27451	1.27546	
2014-02-04T06:00:00	1.27579	1.27613	1.27574	1.27608	1.27535	1.27555	1.27521	1.27533	
2014-02-04T05:00:00	1.27581	1.27609	1.27573	1.27579	1.27538	1.27560	1.27527	1.27535	
2014-02-04T04:00:00	1.27627	1.27627	1.27573	1.27581	1.27574	1.27576	1.27527	1.27538	
2014-02-04T03:00:00	1.27592	1.27632	1.27556	1.27627	1.27543	1.27586	1.27510	1.27574	
2014-02-04T02:00:00	1.27582	1.27599	1.27571	1.27592	1.27535	1.27555	1.27524	1.27543	
