日時	USD/TRY(始値, 買い)	USD/TRY(高値, 買い)	USD/TRY(安値, 買い)	USD/TRY(終値, 買い)	USD/TRY(始値, 売り)	USD/TRY(高値, 売り)	USD/TRY(安値, 売り)	USD/TRY(終値, 売り)	
2014-02-07T06:00:00	2.21030	2.21123	2.20933	2.20973	2.20766	2.20967	2.20762	2.20900	
2014-02-07T05:00:00	2.21048	2.21123	2.20907	2.21030	2.20921	2.21053	2.20709	2.20766	
2014-02-07T04:00:00	2.20963	2.21093	2.20803	2.21048	2.20796	2.20986	2.20596	2.20921	
2014-02-07T03:00:00	2.20798	2.21003	2.20733	2.20963	2.20671	2.20856	2.20616	2.20796	
2014-02-07T02:00:00	2.20875	2.21013	2.20418	2.20798	2.20836	2.20886	2.20336	2.20671	
2014-02-07T01:00:00	2.20708	2.20983	2.20409	2.20875	2.20611	2.20896	2.20326	2.20836	
2014-02-07T00:00:00	2.21808	2.21830	2.20580	2.20708	2.21756	2.21756	2.20506	2.20611	
2014-02-06T23:00:00	2.22496	2.22640	2.21753	2.21808	2.22406	2.22541	2.21681	2.21756	
2014-02-06T22:00:00	2.22348	2.22918	2.22178	2.22496	2.22271	2.22856	2.22106	2.22406	
2014-02-06T21:00:00	2.21840	2.22593	2.21706	2.22348	2.21766	2.22539	2.21631	2.22271	
2014-02-06T20:00:00	2.22418	2.22613	2.21826	2.21840	2.22251	2.22546	2.21766	2.21766	
2014-02-06T19:00:00	2.22763	2.22763	2.21863	2.22418	2.22711	2.22721	2.21806	2.22251	
2014-02-06T18:00:00	2.23183	2.23188	2.22703	2.22763	2.23096	2.23106	2.22636	2.22711	
2014-02-06T17:00:00	2.23308	2.23818	2.23092	2.23183	2.23218	2.23736	2.23016	2.23096	
2014-02-06T16:00:00	2.23228	2.23678	2.22853	2.23308	2.23115	2.23554	2.22791	2.23218	
2014-02-06T15:00:00	2.23888	2.23928	2.22908	2.23228	2.23708	2.23768	2.22717	2.23115	
2014-02-06T14:00:00	2.24028	2.24028	2.23701	2.23888	2.23680	2.23769	2.23620	2.23708	
2014-02-06T13:00:00	2.23990	2.24098	2.23748	2.24028	2.23716	2.23719	2.23621	2.23680	
2014-02-06T12:00:00	2.24035	2.24106	2.23978	2.23990	2.23699	2.23745	2.23660	2.23716	
2014-02-06T11:00:00	2.24118	2.24127	2.24034	2.24035	2.23660	2.23699	2.23650	2.23699	
2014-02-06T10:00:00	2.24118	2.24166	2.24002	2.24118	2.23660	2.23699	2.23660	2.23660	
2014-02-06T09:00:00	2.24084	2.24171	2.24022	2.24118	2.23718	2.23718	2.23608	2.23660	
2014-02-06T08:00:00	2.24040	2.24150	2.24034	2.24084	2.23714	2.23719	2.23608	2.23718	
2014-02-06T07:00:00	2.24195	2.24258	2.23968	2.24040	2.23443	2.23764	2.23431	2.23714	
2014-02-06T06:00:00	2.23868	2.24196	2.23698	2.24195	2.23782	2.23979	2.23443	2.23443	
2014-02-06T05:00:00	2.23823	2.23943	2.23793	2.23868	2.23723	2.23849	2.23691	2.23782	
2014-02-06T04:00:00	2.23973	2.24118	2.23788	2.23823	2.23846	2.23978	2.23694	2.23723	
2014-02-06T03:00:00	2.24160	2.24182	2.23793	2.23973	2.24021	2.24056	2.23756	2.23846	
2014-02-06T02:00:00	2.24286	2.24368	2.24073	2.24160	2.24189	2.24271	2.23971	2.24021	
2014-02-06T01:00:00	2.24173	2.24553	2.24050	2.24286	2.24121	2.24496	2.23971	2.24189	
2014-02-06T00:00:00	2.23833	2.24608	2.23505	2.24173	2.23696	2.24511	2.23441	2.24121	
2014-02-05T23:00:00	2.23853	2.24183	2.23543	2.23833	2.23791	2.24103	2.23446	2.23696	
2014-02-05T22:00:00	2.24183	2.24258	2.23664	2.23853	2.24116	2.24191	2.23591	2.23791	
2014-02-05T21:00:00	2.23617	2.24328	2.23467	2.24183	2.23541	2.24236	2.23406	2.24116	
2014-02-05T20:00:00	2.23742	2.23873	2.23243	2.23617	2.23691	2.23811	2.23181	2.23541	
2014-02-05T19:00:00	2.23962	2.24383	2.23643	2.23742	2.23895	2.24326	2.23601	2.23691	
2014-02-05T18:00:00	2.24413	2.24433	2.23548	2.23962	2.24341	2.24391	2.23501	2.23895	
2014-02-05T17:00:00	2.24753	2.25043	2.24208	2.24413	2.24641	2.24966	2.24096	2.24341	
2014-02-05T16:00:00	2.24063	2.24858	2.23643	2.24753	2.23921	2.24761	2.23541	2.24641	
2014-02-05T15:00:00	2.24386	2.24716	2.23952	2.24063	2.24261	2.24601	2.23801	2.23921	
2014-02-05T14:00:00	2.24085	2.24418	2.24078	2.24386	2.23931	2.24271	2.23893	2.24261	
