日時	USD/ZAR(始値, 買い)	USD/ZAR(高値, 買い)	USD/ZAR(安値, 買い)	USD/ZAR(終値, 買い)	USD/ZAR(始値, 売り)	USD/ZAR(高値, 売り)	USD/ZAR(安値, 売り)	USD/ZAR(終値, 売り)	
2014-02-07T06:00:00	11.03517	11.03837	11.03517	11.03783	11.03132	11.03582	11.03052	11.03502	
2014-02-07T05:00:00	11.03383	11.03937	11.03097	11.03517	11.03132	11.03582	11.02752	11.03132	
2014-02-07T04:00:00	11.02117	11.04067	11.01607	11.03383	11.01732	11.03732	11.01102	11.03132	
2014-02-07T03:00:00	11.02737	11.02967	11.00517	11.02117	11.02152	11.02552	11.00472	11.01732	
2014-02-07T02:00:00	11.02107	11.03027	11.00451	11.02737	11.01822	11.02722	11.00062	11.02152	
2014-02-07T01:00:00	11.00967	11.02818	10.97847	11.02107	11.00872	11.02572	10.97632	11.01822	
2014-02-07T00:00:00	11.10337	11.10347	11.00487	11.00967	11.10152	11.10152	11.00312	11.00872	
2014-02-06T23:00:00	11.14967	11.15247	11.10137	11.10337	11.14852	11.15002	11.10052	11.10152	
2014-02-06T22:00:00	11.13347	11.17677	11.12777	11.14967	11.13012	11.17522	11.12612	11.14852	
2014-02-06T21:00:00	11.11597	11.14377	11.10717	11.13347	11.11112	11.14212	11.10622	11.13012	
2014-02-06T20:00:00	11.11687	11.13587	11.10877	11.11597	11.11482	11.13302	11.10602	11.11112	
2014-02-06T19:00:00	11.14217	11.14267	11.10887	11.11687	11.14012	11.14172	11.10742	11.11482	
2014-02-06T18:00:00	11.12327	11.16917	11.11807	11.14217	11.11972	11.16782	11.11582	11.14012	
2014-02-06T17:00:00	11.12697	11.15237	11.11667	11.12327	11.12412	11.15042	11.11352	11.11972	
2014-02-06T16:00:00	11.10097	11.13737	11.09242	11.12697	11.09482	11.13442	11.08722	11.12412	
2014-02-06T15:00:00	11.11997	11.12847	11.08917	11.10097	11.11262	11.11492	11.08052	11.09482	
2014-02-06T14:00:00	11.10999	11.13017	11.10947	11.11997	11.10372	11.12602	11.10292	11.11262	
2014-02-06T13:00:00	11.12627	11.12947	11.10947	11.10999	11.10412	11.12162	11.09702	11.10372	
