日時	XAU/USD(始値, 買い)	XAU/USD(高値, 買い)	XAU/USD(安値, 買い)	XAU/USD(終値, 買い)	XAU/USD(始値, 売り)	XAU/USD(高値, 売り)	XAU/USD(安値, 売り)	XAU/USD(終値, 売り)	
2014-02-07T06:00:00	1257.58	1257.98	1257.34	1257.88	1257.11	1257.58	1256.93	1257.38	
2014-02-07T05:00:00	1257.75	1258.80	1257.18	1257.58	1257.30	1258.35	1256.71	1257.11	
2014-02-07T04:00:00	1257.36	1258.70	1257.16	1257.75	1256.90	1258.23	1256.80	1257.30	
2014-02-07T03:00:00	1257.89	1258.30	1256.92	1257.36	1257.43	1257.88	1256.50	1256.90	
2014-02-07T02:00:00	1256.80	1258.25	1256.27	1257.89	1256.35	1257.80	1255.85	1257.43	
2014-02-07T01:00:00	1255.29	1257.60	1254.21	1256.80	1254.90	1257.29	1253.80	1256.35	
2014-02-07T00:00:00	1256.00	1257.00	1253.07	1255.29	1255.59	1256.54	1252.70	1254.90	
2014-02-06T23:00:00	1262.38	1262.76	1253.78	1256.00	1261.95	1262.30	1253.32	1255.59	
2014-02-06T22:00:00	1262.70	1267.11	1257.07	1262.38	1262.22	1266.87	1256.61	1261.95	
2014-02-06T21:00:00	1261.96	1264.30	1261.44	1262.70	1261.59	1263.84	1260.98	1262.22	
2014-02-06T20:00:00	1259.87	1262.77	1259.77	1261.96	1259.45	1262.37	1259.30	1261.59	
2014-02-06T19:00:00	1259.34	1260.28	1258.54	1259.87	1258.90	1259.81	1258.17	1259.45	
2014-02-06T18:00:00	1259.46	1260.00	1258.38	1259.34	1259.00	1259.55	1257.92	1258.90	
2014-02-06T17:00:00	1257.87	1260.68	1257.53	1259.46	1257.40	1260.30	1257.20	1259.00	
2014-02-06T16:00:00	1258.45	1258.85	1257.59	1257.87	1257.95	1258.43	1257.16	1257.40	
2014-02-06T15:00:00	1258.19	1259.35	1257.88	1258.45	1257.71	1258.90	1257.41	1257.95	
2014-02-06T14:00:00	1256.96	1258.24	1256.65	1258.19	1256.50	1257.81	1256.22	1257.71	
2014-02-06T13:00:00	1256.40	1257.01	1255.45	1256.96	1255.95	1256.55	1255.01	1256.50	
2014-02-06T12:00:00	1256.48	1256.93	1256.16	1256.40	1256.05	1256.45	1255.75	1255.95	
2014-02-06T11:00:00	1257.32	1257.87	1256.03	1256.48	1256.84	1257.41	1255.56	1256.05	
2014-02-06T10:00:00	1257.81	1258.45	1257.09	1257.32	1257.35	1258.01	1256.65	1256.84	
2014-02-06T09:00:00	1259.36	1259.66	1257.58	1257.81	1258.86	1259.16	1257.10	1257.35	
2014-02-06T08:00:00	1258.02	1259.75	1257.91	1259.36	1257.38	1259.34	1257.24	1258.86	
2014-02-06T07:00:00	1258.31	1258.33	1257.98	1258.02	1257.74	1257.77	1257.38	1257.38	
2014-02-06T06:00:00	1258.21	1258.61	1257.66	1258.31	1257.76	1258.10	1257.25	1257.74	
2014-02-06T05:00:00	1259.59	1259.73	1257.80	1258.21	1259.09	1259.23	1257.35	1257.76	
2014-02-06T04:00:00	1257.88	1260.25	1257.82	1259.59	1257.40	1259.77	1257.40	1259.09	
2014-02-06T03:00:00	1257.67	1258.25	1255.93	1257.88	1257.17	1257.86	1255.45	1257.40	
2014-02-06T02:00:00	1258.51	1258.75	1255.81	1257.67	1258.05	1258.30	1255.34	1257.17	
2014-02-06T01:00:00	1260.42	1262.76	1257.25	1258.51	1259.99	1262.31	1256.82	1258.05	
2014-02-06T00:00:00	1258.53	1263.65	1252.60	1260.42	1257.93	1263.22	1252.38	1259.99	
2014-02-05T23:00:00	1265.75	1266.60	1256.55	1258.53	1265.36	1266.19	1256.10	1257.93	
2014-02-05T22:00:00	1258.66	1274.71	1258.46	1265.75	1258.20	1274.41	1258.05	1265.36	
2014-02-05T21:00:00	1259.05	1260.22	1258.39	1258.66	1258.53	1259.83	1257.95	1258.20	
2014-02-05T20:00:00	1257.59	1259.13	1257.17	1259.05	1257.09	1258.73	1256.68	1258.53	
2014-02-05T19:00:00	1257.55	1258.70	1256.68	1257.59	1257.10	1258.33	1256.20	1257.09	
2014-02-05T18:00:00	1256.71	1258.40	1255.68	1257.55	1256.21	1257.97	1255.29	1257.10	
2014-02-05T17:00:00	1255.28	1258.04	1255.28	1256.71	1254.86	1257.64	1254.86	1256.21	
2014-02-05T16:00:00	1254.74	1256.07	1254.46	1255.28	1254.33	1255.66	1254.05	1254.86	
2014-02-05T15:00:00	1254.30	1255.38	1254.25	1254.74	1253.85	1254.92	1253.84	1254.33	
2014-02-05T14:00:00	1254.34	1255.20	1253.95	1254.30	1253.84	1254.73	1253.50	1253.85	
2014-02-05T13:00:00	1254.18	1254.75	1253.80	1254.34	1253.70	1254.30	1253.31	1253.84	
2014-02-05T12:00:00	1255.45	1255.82	1254.04	1254.18	1255.00	1255.34	1253.55	1253.70	
2014-02-05T11:00:00	1255.74	1255.88	1254.75	1255.45	1255.26	1255.40	1254.26	1255.00	
2014-02-05T10:00:00	1254.39	1256.24	1254.39	1255.74	1253.90	1255.80	1253.90	1255.26	
2014-02-05T09:00:00	1253.31	1254.62	1253.15	1254.39	1252.90	1254.11	1252.65	1253.90	
2014-02-05T08:00:00	1254.76	1255.35	1252.85	1253.31	1254.18	1254.75	1252.45	1252.90	
2014-02-05T07:00:00	1255.00	1255.24	1254.62	1254.76	1254.53	1254.70	1254.10	1254.18	
