日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	
2014-03-03T06:45:00	139.635	139.644	139.539	139.630	139.602	139.615	139.523	139.604	
2014-03-03T06:30:00	139.582	139.648	139.535	139.635	139.540	139.611	139.503	139.602	
2014-03-03T06:15:00	139.544	139.609	139.538	139.582	139.513	139.577	139.499	139.540	
2014-03-03T06:00:00	139.569	139.583	139.537	139.544	139.526	139.537	139.498	139.513	
2014-03-03T05:45:00	139.572	139.619	139.567	139.569	139.551	139.591	139.526	139.526	
2014-03-03T05:30:00	139.447	139.624	139.444	139.572	139.412	139.586	139.406	139.551	
2014-03-03T05:15:00	139.408	139.463	139.388	139.447	139.356	139.422	139.345	139.412	
2014-03-03T05:00:00	139.570	139.570	139.387	139.408	139.522	139.522	139.331	139.356	
2014-03-03T04:45:00	139.553	139.578	139.537	139.570	139.503	139.535	139.494	139.522	
2014-03-03T04:30:00	139.633	139.633	139.499	139.553	139.582	139.582	139.454	139.503	
2014-03-03T04:15:00	139.694	139.704	139.576	139.633	139.640	139.640	139.521	139.582	
2014-03-03T04:00:00	140.446	140.446	139.590	139.694	140.422	140.422	139.539	139.640	
2014-03-01T06:45:00	140.618	140.680	140.446	140.446	140.603	140.659	140.422	140.422	
2014-03-01T06:30:00	140.614	140.626	140.577	140.618	140.600	140.605	140.555	140.603	
2014-03-01T06:15:00	140.586	140.654	140.587	140.614	140.574	140.644	140.572	140.600	
2014-03-01T06:00:00	140.490	140.586	140.452	140.586	140.479	140.574	140.441	140.574	
2014-03-01T05:45:00	140.564	140.583	140.466	140.490	140.550	140.571	140.455	140.479	
2014-03-01T05:30:00	140.527	140.607	140.518	140.564	140.515	140.598	140.507	140.550	
2014-03-01T05:15:00	140.505	140.575	140.484	140.527	140.493	140.560	140.472	140.515	
2014-03-01T05:00:00	140.723	140.747	140.471	140.505	140.710	140.742	140.456	140.493	
2014-03-01T04:45:00	140.944	140.947	140.696	140.723	140.931	140.934	140.683	140.710	
2014-03-01T04:30:00	140.931	140.970	140.900	140.944	140.918	140.961	140.889	140.931	
2014-03-01T04:15:00	140.891	140.941	140.893	140.931	140.881	140.930	140.881	140.918	
2014-03-01T04:00:00	140.933	140.939	140.881	140.891	140.921	140.930	140.868	140.881	
