日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	DI+	DI-	
2014-02-24T09:00:00	140.871	140.872	140.760	140.839	140.856	140.857	140.749	140.827	14.0217	29.9513	
2014-02-24T08:00:00	140.914	140.955	140.844	140.871	140.886	140.945	140.832	140.856	16.1789	22.7359	
2014-02-24T07:00:00	140.754	140.969	140.754	140.914	140.736	140.945	140.725	140.886	18.6680	26.2337	
2014-02-24T06:00:00	140.758	140.800	140.678	140.754	140.684	140.756	140.646	140.736	8.3232	30.2697	
2014-02-24T05:00:00	140.770	140.784	140.727	140.758	140.707	140.724	140.684	140.684	9.6037	29.6119	
2014-02-24T04:00:00	140.828	140.828	140.741	140.770	140.795	140.795	140.694	140.707	11.0812	30.3214	
2014-02-22T07:00:00	140.828	140.828	140.828	140.828	140.792	140.804	140.792	140.795	12.7860	20.0586	
2014-02-22T06:00:00	140.901	140.935	140.804	140.828	140.890	140.924	140.787	140.792	14.7530	23.1445	
2014-02-22T05:00:00	140.917	141.014	140.882	140.901	140.901	141.004	140.872	140.890	17.0227	17.1600	
2014-02-22T04:00:00	141.037	141.044	140.894	140.917	141.025	141.032	140.883	140.901	19.6416	18.5179	
2014-02-22T03:00:00	140.986	141.104	140.966	141.037	140.976	141.091	140.953	141.025	22.6634	14.1392	
2014-02-22T02:00:00	140.950	141.029	140.882	140.986	140.940	141.022	140.872	140.976	18.4578	16.3144	
2014-02-22T01:00:00	141.127	141.188	140.950	140.950	141.116	141.177	140.939	140.940	21.2974	11.9525	
2014-02-22T00:00:00	141.134	141.262	141.066	141.127	141.089	141.254	141.053	141.116	24.5740	6.4223	
2014-02-21T23:00:00	140.654	141.276	140.639	141.134	140.646	141.266	140.628	141.089	28.3546	7.4103	
2014-02-21T22:00:00	140.591	140.676	140.486	140.654	140.578	140.668	140.473	140.646	18.2968	8.5504	
2014-02-21T21:00:00	140.428	140.678	140.364	140.591	140.416	140.667	140.353	140.578	21.0328	9.8658	
2014-02-21T20:00:00	140.409	140.536	140.391	140.428	140.396	140.525	140.377	140.416	17.3112	11.3837	
2014-02-21T19:00:00	140.524	140.612	140.346	140.409	140.513	140.600	140.331	140.396	19.9745	13.1350	
2014-02-21T18:00:00	140.376	140.555	140.328	140.524	140.365	140.544	140.317	140.513	19.8447	15.1558	
2014-02-21T17:00:00	140.572	140.583	140.325	140.376	140.563	140.573	140.313	140.365	22.8977	17.4874	
2014-02-21T16:00:00	140.692	140.821	140.534	140.572	140.678	140.811	140.522	140.563	26.4205	7.8109	
2014-02-21T15:00:00	140.625	140.710	140.543	140.692	140.616	140.697	140.533	140.678	24.4165	9.0126	
2014-02-21T14:00:00	140.616	140.753	140.604	140.625	140.608	140.744	140.592	140.616	28.1729	4.8644	
2014-02-21T13:00:00	140.581	140.632	140.563	140.616	140.567	140.625	140.548	140.608	20.4626	5.6128	
2014-02-21T12:00:00	140.581	140.657	140.511	140.581	140.571	140.645	140.495	140.567	23.6107	6.4763	
2014-02-21T11:00:00	140.504	140.603	140.471	140.581	140.488	140.593	140.456	140.571	21.9098	7.4727	
2014-02-21T10:00:00	140.558	140.596	140.459	140.504	140.542	140.585	140.444	140.488	24.3822	8.6223	
2014-02-21T09:00:00	140.400	140.676	140.399	140.558	140.385	140.663	140.383	140.542	28.1333	9.9488	
2014-02-21T08:00:00	140.446	140.445	140.343	140.400	140.428	140.432	140.330	140.385	19.7692	11.4794	
2014-02-21T07:00:00	140.316	140.448	140.316	140.446	140.299	140.433	140.278	140.428	22.8106	13.2455	
2014-02-21T06:00:00	140.356	140.402	140.307	140.316	140.342	140.390	140.290	140.299	22.0519	15.2833	
2014-02-21T05:00:00	140.360	140.456	140.350	140.356	140.352	140.445	140.336	140.342	25.4445	10.5576	
2014-02-21T04:00:00	140.304	140.430	140.217	140.360	140.294	140.418	140.205	140.352	25.5482	12.1819	
2014-02-21T03:00:00	140.254	140.353	140.252	140.304	140.247	140.346	140.244	140.294	24.2782	14.0560	
2014-02-21T02:00:00	140.093	140.305	140.035	140.254	140.083	140.292	140.027	140.247	19.8685	16.2185	
2014-02-21T01:00:00	140.290	140.378	140.060	140.093	140.281	140.370	140.048	140.083	22.9252	17.4945	
2014-02-21T00:00:00	140.187	140.374	140.033	140.290	140.106	140.365	139.992	140.281	26.2133	20.1859	
2014-02-20T23:00:00	140.210	140.371	140.119	140.187	140.202	140.362	140.103	140.106	30.2461	18.7132	
2014-02-20T22:00:00	139.821	140.225	139.777	140.210	139.808	140.216	139.761	140.202	26.2270	21.5921	
2014-02-20T21:00:00	139.709	139.821	139.663	139.821	139.698	139.811	139.653	139.808	16.5679	24.9140	
2014-02-20T20:00:00	139.619	139.742	139.550	139.709	139.609	139.730	139.538	139.698	11.2297	28.7469	
2014-02-20T19:00:00	139.621	139.772	139.595	139.619	139.609	139.760	139.589	139.609	12.9574	29.0830	
2014-02-20T18:00:00	139.399	139.732	139.333	139.621	139.386	139.722	139.319	139.609	11.5320	33.5573	
2014-02-20T17:00:00	139.651	139.648	139.206	139.399	139.636	139.635	139.187	139.386	9.9849	38.7199	
2014-02-20T16:00:00	140.119	140.186	139.531	139.651	140.105	140.175	139.536	139.636	11.5211	32.7186	
2014-02-20T15:00:00	140.218	140.227	140.062	140.119	140.208	140.217	140.049	140.105	13.2936	25.4012	
2014-02-20T14:00:00	140.244	140.313	140.147	140.218	140.229	140.300	140.133	140.208	15.3387	21.6168	
2014-02-20T13:00:00	140.178	140.249	140.092	140.244	140.162	140.235	140.079	140.229	11.7105	24.9425	
2014-02-20T12:00:00	140.187	140.423	140.170	140.178	140.175	140.410	140.157	140.162	13.5121	21.0875	
2014-02-20T11:00:00	140.154	140.284	140.054	140.187	140.140	140.282	140.038	140.175	7.8074	24.3317	
