日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	DI+	DI-	
2014-02-25T12:00:00	140.806	140.810	140.779	140.802	140.795	140.799	140.768	140.792	17.0582	11.4801	
2014-02-25T11:00:00	140.763	140.831	140.719	140.806	140.751	140.819	140.709	140.795	19.6826	13.2462	
2014-02-25T10:00:00	140.814	140.973	140.745	140.763	140.800	140.963	140.734	140.751	22.7106	11.7127	
2014-02-25T09:00:00	140.799	140.869	140.729	140.814	140.788	140.856	140.717	140.800	19.1870	13.5147	
2014-02-25T08:00:00	140.762	140.808	140.727	140.799	140.739	140.798	140.715	140.788	15.4356	15.5938	
2014-02-25T07:00:00	140.788	140.844	140.707	140.762	140.766	140.822	140.682	140.739	17.8103	17.9929	
2014-02-25T06:00:00	140.721	140.788	140.663	140.788	140.711	140.778	140.658	140.766	14.2618	20.7610	
2014-02-25T05:00:00	140.795	140.795	140.681	140.721	140.785	140.788	140.672	140.711	16.4559	21.7396	
2014-02-25T04:00:00	140.823	140.879	140.781	140.795	140.812	140.868	140.769	140.785	18.9875	11.5889	
2014-02-25T03:00:00	140.850	140.862	140.762	140.823	140.837	140.852	140.748	140.812	19.2399	13.3718	
2014-02-25T02:00:00	140.811	140.906	140.766	140.850	140.799	140.898	140.755	140.837	22.1999	14.8136	
2014-02-25T01:00:00	140.632	140.830	140.621	140.811	140.622	140.821	140.611	140.799	17.2637	17.0927	
2014-02-25T00:00:00	140.674	140.761	140.572	140.632	140.664	140.754	140.560	140.622	14.8405	19.7223	
2014-02-24T23:00:00	140.686	140.785	140.520	140.674	140.681	140.772	140.507	140.664	17.1236	22.7565	
2014-02-24T22:00:00	140.635	140.758	140.635	140.686	140.622	140.749	140.622	140.681	19.7580	19.5812	
2014-02-24T21:00:00	140.671	140.726	140.586	140.635	140.661	140.716	140.575	140.622	18.7952	22.5937	
2014-02-24T20:00:00	140.894	140.923	140.639	140.671	140.887	140.910	140.630	140.661	21.6868	20.2454	
2014-02-24T19:00:00	140.910	140.968	140.804	140.894	140.893	140.955	140.792	140.887	25.0232	14.4219	
2014-02-24T18:00:00	140.816	141.018	140.805	140.910	140.748	140.987	140.733	140.893	28.8730	16.5468	
2014-02-24T17:00:00	140.513	140.835	140.508	140.816	140.508	140.821	140.497	140.748	20.0972	19.0925	
2014-02-24T16:00:00	140.576	140.707	140.498	140.513	140.562	140.696	140.483	140.508	17.1669	22.0298	
2014-02-24T15:00:00	140.577	140.618	140.482	140.576	140.565	140.606	140.482	140.562	13.2567	25.4189	
2014-02-24T14:00:00	140.468	140.618	140.397	140.577	140.452	140.603	140.385	140.565	15.2962	29.3296	
2014-02-24T13:00:00	140.509	140.509	140.351	140.468	140.495	140.495	140.338	140.452	10.0615	33.8418	
2014-02-24T12:00:00	140.666	140.667	140.437	140.509	140.652	140.652	140.422	140.495	11.6095	30.6743	
2014-02-24T11:00:00	140.808	140.864	140.602	140.666	140.795	140.851	140.593	140.652	13.3955	24.3567	
2014-02-24T10:00:00	141.013	141.046	140.780	140.808	141.003	141.033	140.766	140.795	15.4564	17.6517	
2014-02-24T09:00:00	140.871	141.050	140.760	141.013	140.856	141.038	140.749	141.003	17.8343	20.3673	
2014-02-24T08:00:00	140.914	140.955	140.840	140.871	140.886	140.945	140.829	140.856	15.5382	23.5008	
2014-02-24T07:00:00	140.754	140.969	140.754	140.914	140.736	140.945	140.725	140.886	17.9287	27.1163	
2014-02-24T06:00:00	140.758	140.800	140.678	140.754	140.684	140.756	140.646	140.736	8.5940	31.2880	
2014-02-24T05:00:00	140.770	140.784	140.727	140.758	140.707	140.724	140.684	140.684	9.9161	29.9225	
2014-02-24T04:00:00	140.828	140.828	140.741	140.770	140.795	140.795	140.694	140.707	11.4417	30.7473	
2014-02-22T07:00:00	140.828	140.828	140.828	140.828	140.792	140.804	140.792	140.795	13.2019	20.0930	
2014-02-22T06:00:00	140.901	140.935	140.804	140.828	140.890	140.924	140.787	140.792	15.2330	23.1842	
