日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	
EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	AD	2014-02-15T07:00:00	139.425	139.481	139.425	139.481	139.383	
139.383	139.383	139.383	327424.81	2014-02-15T06:30:00	139.443	139.528	139.404	139.425	
139.412	139.477	139.382	139.383	327424.81	2014-02-15T06:00:00	139.473	139.518	139.425	
139.443	139.446	139.489	139.388	139.412	328071.89	2014-02-15T05:30:00	139.542	139.575	
139.444	139.473	139.513	139.551	139.416	139.446	328698.45	2014-02-15T05:00:00	139.560	
139.563	139.522	139.542	139.531	139.535	139.493	139.513	329571.22	2014-02-15T04:30:00	
139.523	139.607	139.510	139.560	139.494	139.577	139.482	139.531	329618.70	
2014-02-15T04:00:00	139.487	139.529	139.481	139.523	139.458	139.500	139.453	139.494	
329560.91	2014-02-15T03:30:00	139.509	139.535	139.467	139.487	139.482	139.507	139.438	
139.458	328577.19	2014-02-15T03:00:00	139.472	139.532	139.459	139.509	139.444	139.504	
139.430	139.482	329043.71	2014-02-15T02:30:00	139.440	139.502	139.408	139.472	139.410	
139.476	139.382	139.444	328515.06	2014-02-15T02:00:00	139.409	139.469	139.368	139.440	
139.380	139.441	139.344	139.410	327794.74	2014-02-15T01:30:00	139.451	139.499	139.408	
139.409	139.428	139.473	139.379	139.380	326927.32	2014-02-15T01:00:00	139.433	139.486	
139.376	139.451	139.406	139.458	139.348	139.428	329592.38	2014-02-15T00:30:00	139.495	
139.583	139.411	139.433	139.471	139.555	139.381	139.406	327793.29	2014-02-15T00:00:00	
139.414	139.525	139.317	139.495	139.385	139.499	139.292	139.471	331441.32	
2014-02-14T23:30:00	139.491	139.505	139.352	139.414	139.463	139.479	139.321	139.385	
325016.89	2014-02-14T23:00:00	139.479	139.543	139.357	139.491	139.450	139.516	139.330	
139.463	326974.29	2014-02-14T22:30:00	139.547	139.626	139.455	139.479	139.516	139.598	
