日時	EUR/JPY(始値, 買い)	
EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	CHO	2014-02-15T07:00:00	
139.425	139.481	139.425	139.481	139.383	139.383	139.383	139.383	-1010.17	
2014-02-15T06:30:00	139.443	139.528	139.404	139.425	139.412	139.477	139.382	139.383	
-622.62	2014-02-15T06:00:00	139.473	139.518	139.425	139.443	139.446	139.489	139.388	
139.412	142.60	2014-02-15T05:30:00	139.542	139.575	139.444	139.473	139.513	139.551	
139.416	139.446	506.16	2014-02-15T05:00:00	139.560	139.563	139.522	139.542	139.531	
139.535	139.493	139.513	884.16	2014-02-15T04:30:00	139.523	139.607	139.510	139.560	
139.494	139.577	139.482	139.531	365.80	2014-02-15T04:00:00	139.487	139.529	139.481	
139.523	139.458	139.500	139.453	139.494	634.32	2014-02-15T03:30:00	139.509	139.535	
139.467	139.487	139.482	139.507	139.438	139.458	544.37	2014-02-15T03:00:00	139.472	
139.532	139.459	139.509	139.444	139.504	139.430	139.482	790.04	2014-02-15T02:30:00	
139.440	139.502	139.408	139.472	139.410	139.476	139.382	139.444	165.58	
2014-02-15T02:00:00	139.409	139.469	139.368	139.440	139.380	139.441	139.344	139.410	
671.14	2014-02-15T01:30:00	139.451	139.499	139.408	139.409	139.428	139.473	139.379	
139.380	722.56	2014-02-15T01:00:00	139.433	139.486	139.376	139.451	139.406	139.458	
139.348	139.428	2501.92	2014-02-15T00:30:00	139.495	139.583	139.411	139.433	139.471	
139.555	139.381	139.406	1836.31	2014-02-15T00:00:00	139.414	139.525	139.317	139.495	
139.385	139.499	139.292	139.471	2068.88	2014-02-14T23:30:00	139.491	139.505	139.352	
139.414	139.463	139.479	139.321	139.385	400.51	2014-02-14T23:00:00	139.479	139.543	
139.357	139.491	139.450	139.516	139.330	139.463	1520.04	2014-02-14T22:30:00	139.547	
139.626	139.455	139.479	139.516	139.598	139.428	139.450	1918.31	2014-02-14T22:00:00	
139.584	139.584	139.467	139.547	139.557	139.557	139.442	139.516	3100.08	
2014-02-14T21:30:00	139.651	139.660	139.522	139.584	139.620	139.629	139.494	139.557	
2054.72	2014-02-14T21:00:00	139.619	139.664	139.547	139.651	139.591	139.636	139.518	
139.620	-1.93	2014-02-14T20:30:00	139.424	139.638	139.390	139.619	139.393	139.613	
139.361	139.591	-1164.72	2014-02-14T20:00:00	139.450	139.486	139.407	139.424	139.421	
139.460	139.378	139.393	-1431.77	2014-02-14T19:30:00	139.435	139.479	139.386	139.450	
139.406	139.450	139.369	139.421	42.84	2014-02-14T19:00:00	139.542	139.576	139.396	
139.435	139.515	139.544	139.370	139.406	680.46	2014-02-14T18:30:00	139.531	139.601	
139.442	139.542	139.506	139.571	139.414	139.515	1688.71	2014-02-14T18:00:00	139.518	
139.674	139.437	139.531	139.490	139.644	139.411	139.506	2182.31	2014-02-14T17:30:00	
139.504	139.599	139.463	139.518	139.475	139.571	139.434	139.490	3822.81	
2014-02-14T17:00:00	139.620	139.706	139.394	139.504	139.591	139.677	139.370	139.475	
4158.00	2014-02-14T16:30:00	139.582	139.631	139.494	139.620	139.552	139.602	139.465	
139.591	2500.64	2014-02-14T16:00:00	139.233	139.643	139.233	139.582	139.208	139.617	
139.208	139.552	65.43	2014-02-14T15:30:00	139.145	139.312	139.126	139.233	139.114	
139.282	139.097	139.208	-1820.86	2014-02-14T15:00:00	139.109	139.193	139.088	139.145	
139.081	139.166	139.061	139.114	-2215.56	2014-02-14T14:30:00	139.133	139.238	139.078	
139.109	139.106	139.209	139.048	139.081	-2261.24	2014-02-14T14:00:00	139.338	139.347	
139.006	139.133	139.308	139.318	138.976	139.106	-2349.34	2014-02-14T13:30:00	139.255	
139.410	139.211	139.338	139.227	139.382	139.181	139.308	-3754.75	2014-02-14T13:00:00	
139.236	139.288	139.175	139.255	139.211	139.258	139.146	139.227	-5236.07	
2014-02-14T12:30:00	139.399	139.399	139.093	139.236	139.373	139.373	139.063	139.211	
-6339.15	2014-02-14T12:00:00	139.528	139.531	139.303	139.399	139.496	139.501	139.284	
139.373	-6107.48	2014-02-14T11:30:00	139.581	139.681	139.525	139.528	139.549	139.652	
139.496	139.496	-4559.25	2014-02-14T11:00:00	139.779	139.835	139.555	139.581	139.746	
139.807	139.531	139.549	-2130.64	2014-02-14T10:30:00	139.959	139.990	139.749	139.779	
139.930	139.965	139.723	139.746	-1349.46	2014-02-14T10:00:00	139.864	139.990	139.791	
139.959	139.834	139.961	139.761	139.930	-237.15	2014-02-14T09:30:00	139.985	140.003	
139.848	139.864	139.956	139.973	139.822	139.834	-652.68	2014-02-14T09:00:00	139.757	
140.081	139.757	139.985	139.725	140.055	139.725	139.956	117.40	2014-02-14T08:30:00	
139.831	139.860	139.752	139.757	139.799	139.828	139.723	139.725	268.82	
2014-02-14T08:00:00	139.898	139.905	139.765	139.831	139.863	139.866	139.737	139.799	
652.53	2014-02-14T07:30:00	139.857	139.898	139.828	139.898	139.819	139.863	139.793	
139.863	821.57	2014-02-14T07:00:00	139.791	139.889	139.783	139.857	139.739	139.836	
139.739	139.819	1239.93	2014-02-14T06:30:00	139.855	139.856	139.755	139.791	139.823	
139.827	139.724	139.739	1466.66	2014-02-14T06:00:00	139.860	139.860	139.799	139.855	
139.837	139.837	139.769	139.823	2646.51	2014-02-14T05:30:00	139.929	139.932	139.860	
139.860	139.900	139.905	139.837	139.837	2803.60	2014-02-14T05:00:00	139.893	139.930	
