日時	
EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	OBV	
2014-02-15T07:00:00	139.425	139.481	139.425	139.481	139.383	139.383	139.383	139.383	
356474	2014-02-15T06:30:00	139.443	139.528	139.404	139.425	139.412	139.477	139.382	
139.383	356474	2014-02-15T06:00:00	139.473	139.518	139.425	139.443	139.446	139.489	
139.388	139.412	357135	2014-02-15T05:30:00	139.542	139.575	139.444	139.473	139.513	
139.551	139.416	139.446	358329	2014-02-15T05:00:00	139.560	139.563	139.522	139.542	
139.531	139.535	139.493	139.513	359900	2014-02-15T04:30:00	139.523	139.607	139.510	
139.560	139.494	139.577	139.482	139.531	360897	2014-02-15T04:00:00	139.487	139.529	
139.481	139.523	139.458	139.500	139.453	139.494	359067	2014-02-15T03:30:00	139.509	
139.535	139.467	139.487	139.482	139.507	139.438	139.458	357746	2014-02-15T03:00:00	
139.472	139.532	139.459	139.509	139.444	139.504	139.430	139.482	358856	
2014-02-15T02:30:00	139.440	139.502	139.408	139.472	139.410	139.476	139.382	139.444	
357552	2014-02-15T02:00:00	139.409	139.469	139.368	139.440	139.380	139.441	139.344	
139.410	355295	2014-02-15T01:30:00	139.451	139.499	139.408	139.409	139.428	139.473	
139.379	139.380	352891	2014-02-15T01:00:00	139.433	139.486	139.376	139.451	139.406	
139.458	139.348	139.428	355614	2014-02-15T00:30:00	139.495	139.583	139.411	139.433	
139.471	139.555	139.381	139.406	351656	2014-02-15T00:00:00	139.414	139.525	139.317	
139.495	139.385	139.499	139.292	139.471	356775	2014-02-14T23:30:00	139.491	139.505	
139.352	139.414	139.463	139.479	139.321	139.385	347968	2014-02-14T23:00:00	139.479	
139.543	139.357	139.491	139.450	139.516	139.330	139.463	358277	2014-02-14T22:30:00	
139.547	139.626	139.455	139.479	139.516	139.598	139.428	139.450	350228	
2014-02-14T22:00:00	139.584	139.584	139.467	139.547	139.557	139.557	139.442	139.516	
356598	2014-02-14T21:30:00	139.651	139.660	139.522	139.584	139.620	139.629	139.494	
139.557	360721	2014-02-14T21:00:00	139.619	139.664	139.547	139.651	139.591	139.636	
139.518	139.620	364098	2014-02-14T20:30:00	139.424	139.638	139.390	139.619	139.393	
139.613	139.361	139.591	359851	2014-02-14T20:00:00	139.450	139.486	139.407	139.424	
139.421	139.460	139.378	139.393	355994	2014-02-14T19:30:00	139.435	139.479	139.386	
139.450	139.406	139.450	139.369	139.421	358739	2014-02-14T19:00:00	139.542	139.576	
139.396	139.435	139.515	139.544	139.370	139.406	355068	2014-02-14T18:30:00	139.531	
139.601	139.442	139.542	139.506	139.571	139.414	139.515	359928	2014-02-14T18:00:00	
139.518	139.674	139.437	139.531	139.490	139.644	139.411	139.506	355398	
2014-02-14T17:30:00	139.504	139.599	139.463	139.518	139.475	139.571	139.434	139.490	
350016	2014-02-14T17:00:00	139.620	139.706	139.394	139.504	139.591	139.677	139.370	
139.475	344879	2014-02-14T16:30:00	139.582	139.631	139.494	139.620	139.552	139.602	
139.465	139.591	352037	2014-02-14T16:00:00	139.233	139.643	139.233	139.582	139.208	
139.617	139.208	139.552	347675	2014-02-14T15:30:00	139.145	139.312	139.126	139.233	
139.114	139.282	139.097	139.208	340038	2014-02-14T15:00:00	139.109	139.193	139.088	
139.145	139.081	139.166	139.061	139.114	337579	2014-02-14T14:30:00	139.133	139.238	
139.078	139.109	139.106	139.209	139.048	139.081	335490	2014-02-14T14:00:00	139.338	
139.347	139.006	139.133	139.308	139.318	138.976	139.106	338942	2014-02-14T13:30:00	
139.255	139.410	139.211	139.338	139.227	139.382	139.181	139.308	345713	
2014-02-14T13:00:00	139.236	139.288	139.175	139.255	139.211	139.258	139.146	139.227	
342298	2014-02-14T12:30:00	139.399	139.399	139.093	139.236	139.373	139.373	139.063	
139.211	339006	2014-02-14T12:00:00	139.528	139.531	139.303	139.399	139.496	139.501	
139.284	139.373	347265	2014-02-14T11:30:00	139.581	139.681	139.525	139.528	139.549	
139.652	139.496	139.496	352061	2014-02-14T11:00:00	139.779	139.835	139.555	139.581	
139.746	139.807	139.531	139.549	355049	2014-02-14T10:30:00	139.959	139.990	139.749	
139.779	139.930	139.965	139.723	139.746	359683	2014-02-14T10:00:00	139.864	139.990	
139.791	139.959	139.834	139.961	139.761	139.930	363472	2014-02-14T09:30:00	139.985	
140.003	139.848	139.864	139.956	139.973	139.822	139.834	359804	2014-02-14T09:00:00	
139.757	140.081	139.757	139.985	139.725	140.055	139.725	139.956	363991	
2014-02-14T08:30:00	139.831	139.860	139.752	139.757	139.799	139.828	139.723	139.725	
359527	2014-02-14T08:00:00	139.898	139.905	139.765	139.831	139.863	139.866	139.737	
139.799	360766	2014-02-14T07:30:00	139.857	139.898	139.828	139.898	139.819	139.863	
139.793	139.863	361842	2014-02-14T07:00:00	139.791	139.889	139.783	139.857	139.739	
139.836	139.739	139.819	361238	2014-02-14T06:30:00	139.855	139.856	139.755	139.791	
139.823	139.827	139.724	139.739	360336	2014-02-14T06:00:00	139.860	139.860	139.799	
139.855	139.837	139.837	139.769	139.823	361840	2014-02-14T05:30:00	139.929	139.932	
139.860	139.860	139.900	139.905	139.837	139.837	363498	2014-02-14T05:00:00	139.893	
139.930	139.840	139.929	139.866	139.900	139.812	139.900	365664	2014-02-14T04:30:00	
139.725	139.931	139.721	139.893	139.698	139.905	139.693	139.866	363686	
2014-02-14T04:00:00	139.712	139.750	139.696	139.725	139.684	139.722	139.669	139.698	
360694	2014-02-14T03:30:00	139.691	139.713	139.638	139.712	139.660	139.684	139.612	
139.684	358893	2014-02-14T03:00:00	139.724	139.767	139.644	139.691	139.696	139.742	
139.614	139.660	356306	2014-02-14T02:30:00	139.708	139.758	139.694	139.724	139.679	
139.729	139.665	139.696	359729	2014-02-14T02:00:00	139.704	139.732	139.647	139.708	
139.680	139.706	139.620	139.679	357340	2014-02-14T01:30:00	139.712	139.790	139.660	
139.704	139.686	139.762	139.634	139.680	359878	2014-02-14T01:00:00	139.604	139.732	
139.564	139.712	139.576	139.706	139.538	139.686	363957	2014-02-14T00:30:00	139.496	
139.678	139.443	139.604	139.467	139.654	139.414	139.576	358338	2014-02-14T00:00:00	
139.244	139.549	139.209	139.496	139.216	139.522	139.181	139.467	351725	
2014-02-13T23:30:00	139.142	139.352	139.129	139.244	139.112	139.323	139.101	139.216	
343482	2014-02-13T23:00:00	139.213	139.308	139.080	139.142	139.183	139.279	139.050	
139.112	333803	2014-02-13T22:30:00	139.451	139.451	139.175	139.213	139.258	139.395	
139.146	139.183	341695	2014-02-13T22:00:00	139.466	139.525	139.294	139.451	139.441	
139.503	139.258	139.258	356864	2014-02-13T21:30:00	139.434	139.475	139.406	139.466	
139.406	139.449	139.380	139.441	362866	2014-02-13T21:00:00	139.266	139.438	139.266	
139.434	139.241	139.411	139.241	139.406	359983	2014-02-13T20:30:00	139.300	139.398	
139.266	139.266	139.273	139.368	139.241	139.241	356055	2014-02-13T20:00:00	139.311	
139.369	139.223	139.300	139.282	139.341	139.198	139.273	359077	2014-02-13T19:30:00	
139.386	139.466	139.307	139.311	139.357	139.436	139.280	139.282	363419	
2014-02-13T19:00:00	139.520	139.563	139.283	139.386	139.492	139.535	139.254	139.357	
367750	2014-02-13T18:30:00	139.472	139.704	139.403	139.520	139.446	139.676	139.377	
139.492	374414	2014-02-13T18:00:00	139.122	139.514	138.936	139.472	139.096	139.485	
138.908	139.446	365751	2014-02-13T17:30:00	139.243	139.308	139.102	139.122	139.216	
139.282	139.082	139.096	357745	2014-02-13T17:00:00	139.126	139.317	139.126	139.243	
139.099	139.288	139.099	139.216	362513	2014-02-13T16:30:00	139.107	139.161	139.046	
139.126	139.077	139.135	139.018	139.099	357417	2014-02-13T16:00:00	139.059	139.140	
138.994	139.107	139.029	139.114	138.972	139.077	353439	2014-02-13T15:30:00	139.149	
139.155	138.984	139.059	139.123	139.125	138.954	139.029	348768	2014-02-13T15:00:00	
138.965	139.157	138.938	139.149	138.937	139.128	138.909	139.123	352300	
2014-02-13T14:30:00	138.948	139.042	138.904	138.965	138.918	139.019	138.877	138.937	
346940	2014-02-13T14:00:00	139.047	139.061	138.891	138.948	139.021	139.029	138.863	
138.918	342205	2014-02-13T13:30:00	139.097	139.148	139.040	139.047	139.067	139.118	
139.013	139.021	346303	2014-02-13T13:00:00	139.112	139.149	139.020	139.097	139.082	
139.120	138.994	139.067	349091	2014-02-13T12:30:00	139.176	139.194	139.043	139.112	
139.144	139.164	139.017	139.082	352247	2014-02-13T12:00:00	139.343	139.350	139.126	
139.176	139.317	139.323	139.100	139.144	355925	2014-02-13T11:30:00	139.298	139.390	
139.267	139.343	139.270	139.363	139.240	139.317	359322	2014-02-13T11:00:00	139.213	
139.327	139.210	139.298	139.186	139.298	139.184	139.270	357238	2014-02-13T10:30:00	
139.337	139.368	139.152	139.213	139.308	139.339	139.127	139.186	354444	
2014-02-13T10:00:00	139.365	139.411	139.317	139.337	139.336	139.383	139.288	139.308	
358508	2014-02-13T09:30:00	139.246	139.392	139.232	139.365	139.214	139.367	139.204	
139.336	361037	2014-02-13T09:00:00	139.247	139.287	139.187	139.246	139.216	139.255	
139.159	139.214	356278	2014-02-13T08:30:00	139.271	139.333	139.245	139.247	139.239	
